RA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
RA41,0,14,29,109,42,28,14,0,0,237,0,3,3,20,30,47,41,23,4,180,0,0,9,20,18,21,0,0,0,73,12,59,59,236,119,148,142,100,55,938,276,571,653,1521,1057,1190,1046,600,322,7229,5725,12990,11684,23387,15520,15645,13511,6828,3357,108653,0,0,6,22,0,0,0,0,0,34,10946,24364,21183,37763,23063,22602,18423,8577,3781,170698,0,9,0,34,3,0,0,0,0,45,0,0,0,6,3,5,3,0,0,25,0,4,12,41,11,8,4,0,0,83,0,14,9,62,46,42,32,6,6,220,0,3,0,5,3,4,3,0,0,21,4,30,66,280,76,29,19,3,0,503,0,0,0,9,18,16,33,33,5,108,0,0,0,11,3,6,6,9,0,36,20,275,346,1096,2689,3160,3311,2039,598,13529,0,7,3,23,12,8,3,0,0,56,0,0,12,27,28,24,22,13,0,125,4,6,18,114,122,254,467,231,129,1338
RA42,0,6,5,47,19,0,6,0,0,86,0,3,0,10,12,23,16,15,7,85,0,7,13,33,9,10,5,0,0,70,4,19,26,127,75,78,92,82,24,529,228,550,543,1276,1037,1095,1017,601,441,6782,4575,10102,8481,18035,11907,12529,10527,5889,2861,84907,0,12,76,209,90,30,3,0,0,424,8842,19283,16146,30487,19424,19975,15830,7828,3221,141036,0,9,0,46,3,0,0,0,0,62,0,0,0,8,6,7,4,7,0,26,3,0,3,12,11,0,3,0,0,26,0,3,8,25,12,21,20,3,3,97,0,0,0,3,10,0,5,3,0,21,0,17,15,104,34,28,9,0,0,204,0,0,0,0,11,25,44,43,11,136,0,0,0,7,3,0,7,3,0,20,3,51,78,313,1159,1640,1531,928,268,5967,0,0,10,37,17,12,5,3,0,82,0,0,9,17,25,12,12,5,4,86,0,0,8,38,79,119,278,142,67,733
RA43,0,0,0,11,0,0,0,0,0,9,0,0,0,0,3,3,0,0,0,11,0,3,0,13,0,10,0,0,0,22,0,21,4,39,21,31,17,7,0,146,80,162,150,417,232,264,209,139,101,1758,1306,2610,1970,4903,2866,3064,2353,1222,667,20950,0,0,0,6,0,0,0,0,0,10,2528,4903,3695,8317,4903,5086,3733,1782,826,35768,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,17,3,7,3,0,0,34,0,0,0,3,7,0,3,0,0,9,0,3,3,11,6,0,0,0,0,25,0,0,0,4,6,10,24,25,3,81,0,0,0,0,0,0,0,0,0,4,3,25,27,92,259,326,327,178,55,1301,0,0,0,3,0,6,0,0,0,9,0,3,0,8,0,3,6,0,0,30,0,0,3,14,11,34,57,38,10,168
RA44,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,6,0,7,0,17,12,11,16,3,3,63,52,63,64,189,103,110,70,33,31,710,451,843,703,1676,891,841,497,187,101,6188,0,0,0,0,0,0,0,0,0,0,764,1537,1289,2859,1520,1421,799,280,110,10573,0,3,0,9,0,0,0,0,0,13,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,6,3,20,10,0,44,0,0,0,0,0,0,0,0,0,0,0,0,5,31,38,69,48,24,4,225,0,0,0,0,4,0,0,0,0,10,0,0,0,5,0,0,6,0,0,11,0,0,0,5,11,13,15,17,0,72
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,3,0,0,0,23,3,10,11,35,39,19,14,0,0,143,43,68,181,351,192,164,97,21,7,1129,0,0,0,3,0,0,0,0,0,7,76,94,274,637,319,254,174,36,10,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,39,26,40,14,3,8,142,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,4,4,0,4,3,0,0,21
RA50,53,219,808,3651,1551,1297,479,233,79,8363,7,136,182,649,592,432,373,219,96,2690,21,265,701,1999,928,654,247,68,18,4898,412,2377,4027,14877,4846,3562,2300,1234,641,34271,3149,5260,6867,18399,7617,6925,5721,4353,3046,61330,61051,116903,122313,287654,128616,108248,77265,44440,21876,968373,32,234,1245,2414,499,237,82,29,7,4779,111926,184104,164452,287480,122365,104539,69097,35468,15714,1095136,51,219,188,1504,213,124,57,12,4,2374,0,13,172,1011,535,520,214,88,26,2580,23,36,83,496,215,182,64,21,15,1142,73,377,439,1837,777,613,287,123,47,4573,5,61,86,543,289,273,167,59,11,1499,281,1370,4745,12254,3575,2069,908,452,225,25881,3,26,101,743,568,886,932,794,235,4284,33,303,116,551,211,281,326,167,79,2062,916,8826,11491,34831,36333,27761,24742,14366,5060,164338,3,49,69,408,205,156,66,24,6,984,37,173,258,1642,467,233,201,103,32,3149,28,206,485,2185,1298,1008,2169,795,374,8548
RA51,3,8,19,71,19,16,10,0,0,138,0,4,0,23,53,45,40,20,7,185,0,20,62,147,72,74,33,12,0,412,19,71,68,434,256,227,154,70,37,1328,430,955,859,2182,1366,1347,1087,675,298,9202,6335,14508,11282,26588,15664,14784,10888,5456,2188,107703,0,3,41,59,23,3,0,0,0,128,12069,25477,19265,37481,20271,19285,13436,6106,2110,155503,4,5,6,70,8,3,3,0,0,97,0,0,0,12,4,3,3,0,0,31,0,0,0,4,4,3,0,0,0,12,3,14,18,145,64,58,27,5,7,342,0,0,0,17,9,11,3,0,0,45,3,25,29,188,61,23,9,4,0,340,0,0,3,7,7,21,23,20,9,83,0,0,0,24,0,7,14,3,0,50,34,508,611,2297,3518,3149,3225,1628,516,15479,0,0,0,19,15,7,3,8,0,49,3,6,18,112,39,27,34,11,8,250,3,11,30,187,127,153,386,86,28,1013
RA52,0,6,8,46,9,17,3,0,0,95,5,7,5,27,29,27,34,10,3,144,0,40,28,138,64,46,24,0,5,335,4,59,61,313,179,162,131,71,34,1010,425,862,805,2042,1205,1243,953,629,292,8454,5693,12078,9469,22113,12955,12413,8985,4827,1996,90535,0,16,46,106,28,6,0,0,0,199,10475,20927,16302,30950,17692,17336,11924,5873,2134,133617,0,4,0,26,8,0,0,0,0,42,0,0,0,3,0,3,4,0,0,19,0,5,3,7,0,0,0,0,0,20,0,19,22,89,49,59,21,9,6,275,0,0,0,12,8,8,0,3,0,37,4,15,145,183,65,25,3,4,0,453,0,0,0,10,4,24,21,15,0,76,3,6,0,26,0,4,10,5,0,55,24,191,215,1096,1912,2024,2217,1242,382,9315,0,19,7,79,19,13,7,3,0,157,0,4,14,49,21,26,16,9,0,138,0,16,20,145,124,99,271,65,35,787
RA53,0,0,3,25,0,0,0,0,0,32,0,0,0,16,8,3,4,0,0,34,0,12,18,64,22,15,3,0,0,140,8,26,33,247,76,58,23,12,9,486,341,584,491,1720,767,563,312,139,63,4987,3250,5843,4049,13115,5487,4280,2224,1050,376,39672,0,0,0,4,0,0,0,0,0,7,5880,10004,6481,17412,7699,6351,3316,1446,471,59060,0,13,5,27,14,4,0,0,0,61,0,0,3,12,3,5,0,0,0,25,0,0,0,13,0,0,0,0,0,15,0,4,7,66,23,10,6,0,3,125,0,0,0,8,4,3,0,0,0,18,6,7,20,90,26,12,0,0,4,161,0,0,0,7,3,7,6,6,0,38,0,0,0,4,0,3,5,0,0,19,14,68,85,768,614,501,395,167,45,2643,0,3,11,23,7,11,3,0,0,54,4,4,21,88,11,11,8,0,0,148,0,0,27,111,45,35,57,31,10,307
RA54,0,4,3,49,18,7,0,0,0,88,0,0,0,8,4,3,3,0,0,18,0,3,0,29,9,6,5,0,0,59,0,16,13,140,61,46,21,3,0,296,182,354,360,1325,587,424,206,56,22,3525,2168,3924,3223,9423,3786,2918,1296,415,128,27279,0,0,0,3,0,0,0,0,0,3,4087,6985,5493,15876,6068,4540,2021,601,159,45834,0,0,0,14,0,0,0,0,0,12,0,0,0,8,5,0,0,0,0,20,0,3,3,33,18,13,0,0,0,70,0,0,5,52,20,10,8,0,0,91,0,0,0,13,3,3,0,0,0,17,0,3,9,129,40,6,4,0,0,193,0,0,0,15,12,21,17,11,0,70,0,0,0,11,3,0,3,0,0,21,0,25,66,642,566,390,209,66,16,1975,0,4,4,33,15,14,9,0,0,75,0,0,22,66,6,3,4,0,0,105,0,3,22,97,33,30,42,11,0,251
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,0,3,11,8,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,10,122,42,20,3,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,13,36,7,5,0,0,0,62,20,21,52,133,45,74,47,3,3,406,79,120,315,840,325,442,254,37,11,2415,0,0,0,0,0,0,0,0,0,0,115,187,347,1275,609,571,352,53,10,3512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,3,0,0,0,26,0,0,0,3,0,0,0,0,0,4,3,3,15,13,3,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,3,3,35,95,72,88,68,12,3,378,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,29,0,0,13,14,3,3,12,0,0,50
RA61,0,14,29,110,22,25,4,0,0,205,0,3,3,23,21,41,41,25,10,163,0,7,8,31,25,19,0,4,0,91,31,184,265,955,354,329,251,151,107,2627,489,865,1184,2637,1576,1785,1619,1128,626,11918,9813,20462,21495,43714,23866,23510,18504,10765,5471,177606,0,13,74,153,41,16,5,3,0,302,18594,37896,37029,67503,36628,35030,25144,13043,5789,276660,3,6,12,82,3,0,0,0,0,100,0,0,8,26,21,18,15,10,4,106,0,0,3,16,9,0,0,0,0,25,3,25,38,229,97,95,66,15,3,582,0,11,5,50,42,21,22,9,4,165,32,95,807,1488,177,131,70,37,13,2853,0,3,6,13,15,43,53,65,11,203,5,23,12,19,11,16,8,8,3,100,36,268,284,1186,2058,2377,2999,1890,738,11829,0,0,10,59,41,48,11,17,3,183,3,10,12,88,45,32,28,14,10,247,4,19,43,184,164,186,413,244,148,1390
RA62,0,3,0,16,4,0,0,0,0,23,0,0,5,8,11,15,37,20,8,99,0,0,3,8,12,11,6,0,0,43,4,20,15,127,94,128,107,53,13,560,184,465,503,1336,991,1193,1012,595,212,6498,3828,9048,7760,16013,11516,12615,10097,4852,1837,77566,0,0,0,0,0,0,0,0,0,0,7357,17340,14743,25984,17990,19408,14509,6513,2220,126065,0,0,0,3,3,3,0,0,0,9,0,0,0,3,3,0,3,3,0,14,0,0,0,3,0,0,0,0,0,3,4,11,15,59,31,44,45,7,3,213,0,3,0,6,6,4,3,0,0,24,3,8,16,71,30,15,13,4,0,164,0,0,0,0,5,3,9,16,0,39,0,0,0,7,0,6,10,3,0,27,3,98,86,405,1010,1579,2100,1054,253,6595,0,3,3,25,14,12,5,0,0,58,0,0,5,22,11,23,16,7,0,79,0,8,14,68,79,141,197,115,25,651
RA63,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,4,0,0,5,0,0,0,3,0,0,0,0,0,4,3,0,0,18,3,9,4,4,0,32,11,40,28,73,54,75,68,33,10,388,203,402,291,802,536,677,507,222,69,3711,0,0,0,0,0,0,0,0,0,0,384,709,517,1255,906,1084,783,338,87,6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,39,69,79,35,8,243,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,10,3,6,14,8,0,40
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,8,3,11,13,23,10,23,14,10,4,108,61,113,78,264,169,223,154,86,34,1189,0,0,0,0,0,0,0,0,0,0,136,215,150,416,296,364,258,115,38,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,20,16,3,68,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,7,0,22
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6,7,7,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,0,5,4,9,12,9,4,0,0,38,20,22,62,123,59,56,38,5,0,393,0,0,0,0,0,0,0,0,0,0,41,32,119,236,99,73,58,11,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,14,10,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6
RA72,8,22,34,219,72,49,20,7,0,436,0,3,5,21,9,7,15,4,0,67,0,22,27,123,18,18,4,0,0,219,31,137,165,769,344,245,160,76,21,1957,471,757,826,2570,968,808,402,150,45,6999,5018,8444,7911,23124,8858,6612,3393,1226,356,64939,0,0,19,29,3,3,0,0,0,54,8577,13326,12049,27390,11141,8131,3826,1098,301,85840,3,27,73,218,27,15,4,3,0,372,0,0,0,12,9,8,8,0,0,29,3,11,9,77,37,39,17,3,0,187,3,14,13,115,36,36,25,6,0,253,0,0,3,12,8,8,3,0,0,40,11,82,143,508,164,55,54,24,10,1057,0,0,3,3,4,6,14,10,0,38,3,12,3,15,7,4,5,0,0,44,37,199,272,1140,950,763,575,199,59,4194,3,12,24,110,40,35,7,0,3,234,3,16,32,134,41,16,30,7,0,273,5,12,35,220,83,86,127,68,9,643
RA73,0,3,6,38,19,3,0,0,0,75,0,0,0,4,3,3,4,0,0,20,0,12,10,54,23,6,0,0,0,102,0,19,27,138,61,30,16,7,0,300,154,336,310,969,482,408,196,70,29,2952,1579,2957,2556,7085,3390,2600,1184,423,152,21919,0,0,4,3,0,0,0,0,0,4,2773,4846,4184,8861,4351,3417,1610,511,147,30695,0,0,0,20,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,4,17,0,0,0,0,0,20,0,0,8,29,9,19,5,3,0,69,0,0,0,3,3,0,0,0,0,8,0,5,11,54,21,4,0,0,0,96,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,3,0,0,11,5,39,43,192,244,224,165,51,8,973,0,12,13,54,25,5,6,0,0,122,0,0,13,23,8,11,10,3,0,69,5,0,10,54,29,39,31,11,5,188
RA74,0,0,3,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,4,0,0,0,22,3,4,9,40,19,18,9,0,0,98,79,133,205,491,233,153,66,21,0,1381,1989,3911,3822,7197,2617,1766,667,224,36,22235,0,0,0,0,0,0,0,0,0,0,3905,7777,7187,12208,4285,2764,1073,341,62,39598,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,9,0,0,5,13,0,0,6,0,0,24,0,0,0,6,3,0,0,0,0,9,0,0,6,18,9,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,68,77,79,34,7,3,295,0,10,5,24,19,9,5,4,0,73,0,0,3,23,3,3,0,0,0,30,0,0,6,27,14,13,7,3,0,74
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,7,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,9,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,3,0,0,0,24,6,17,38,138,61,42,17,5,0,317,34,76,102,418,203,212,105,10,0,1157,0,0,0,0,0,0,0,0,0,0,62,92,94,406,270,278,163,15,0,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,38,11,24,22,4,0,120,0,0,3,0,0,0,0,0,0,3,0,0,4,12,0,0,0,0,0,14,0,0,6,8,3,3,3,0,0,28
RA80,11,60,133,792,375,324,102,56,21,1876,3,4,17,39,24,32,39,26,16,205,0,27,57,140,47,32,11,4,0,319,64,376,610,2585,1032,873,662,434,222,6867,517,798,1394,3369,1321,1247,995,729,661,11035,12875,23005,27613,62954,25910,21533,15485,7911,3837,201114,3,19,90,206,78,51,21,4,0,471,24386,40157,40423,77817,32753,25970,17195,7385,3071,269161,13,76,115,858,166,107,31,4,0,1363,0,4,10,117,80,75,48,39,12,385,6,14,46,164,64,45,29,15,3,386,16,91,103,410,258,148,92,28,6,1152,3,13,21,259,133,137,125,41,13,753,74,242,4177,4339,1029,854,376,177,69,11332,4,6,18,126,168,251,367,322,44,1299,11,51,27,157,51,61,54,22,8,441,73,660,669,2139,2537,2453,2289,1361,552,12726,7,41,78,381,174,130,64,24,5,902,11,64,71,265,127,52,35,28,16,669,11,45,110,384,272,243,730,276,148,2221
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10,3,3,3,8,3,0,0,0,0,32,15,48,40,112,47,32,9,4,3,311,0,0,0,0,0,0,0,0,0,0,47,89,72,174,74,48,24,5,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
