RA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
RA23,28,4,6,5,5,19,10,4,0,80,8,0,0,3,4,6,9,4,0,35,0,9,7,12,14,38,18,14,3,117,0,3,7,8,24,33,64,36,11,186,5,3,10,4,16,33,59,24,13,168,3,3,6,6,8,29,27,10,3,95,0,6,14,16,27,18,26,10,3,113,0,4,7,20,20,28,21,4,3,109,0,4,15,10,23,32,15,9,4,104,0,0,9,21,16,7,8,0,0,64,0,0,11,7,15,12,0,0,0,49,0,0,0,0,9,3,7,3,0,28,0,0,0,5,10,16,3,0,0,33,0,0,0,3,6,6,0,0,0,20,12,11,11,13,25,26,29,24,11,148,57,50,106,136,212,306,295,147,50,1356,35,0,3,5,11,23,8,5,0,93,17,3,3,9,6,13,8,0,0,59,0,11,9,14,26,44,23,8,3,142,3,3,3,16,23,35,61,37,12,190
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,51,69,109,72,39,37,18,5,0,397,25,34,36,32,21,13,5,0,0,160,36,76,153,143,105,50,27,0,3,593,3,40,58,79,61,65,58,15,5,370,8,30,73,57,64,57,67,27,0,387,6,30,49,27,34,30,16,5,0,196,10,38,69,44,33,20,7,0,0,218,3,16,77,52,41,27,11,0,0,224,3,27,78,48,32,23,8,0,0,210,0,3,48,25,18,17,7,0,0,124,0,0,25,22,9,10,3,0,0,83,0,0,19,16,15,8,0,0,0,59,0,0,44,29,18,14,3,0,0,95,0,0,9,12,8,15,0,0,0,52,33,82,214,156,121,79,53,14,3,757,180,447,1052,813,628,460,283,72,9,3942,46,89,85,45,25,57,16,3,0,359,24,29,39,12,16,15,7,0,0,145,47,80,98,68,56,54,23,3,0,426,13,36,54,44,44,49,62,7,5,317
RA30,42207,12233,8734,5285,5677,7739,4813,1625,489,88793,19050,6025,2214,1663,1913,3060,2826,924,292,37968,9788,11474,8716,5884,5861,8060,9135,4804,1293,65026,4308,7526,7114,5338,6235,9308,20650,14454,4213,79139,4021,8094,8332,5870,6838,8786,16146,9533,3776,71398,3837,10748,11209,7110,7366,8924,12501,6294,1794,69784,2284,13065,18153,12112,11011,10830,9250,4164,1278,82149,1287,12525,27535,19601,17976,14930,8344,2633,777,105613,530,9026,31195,25292,22578,17226,7917,2055,633,116455,175,4202,22768,20196,17386,12304,4470,975,281,82746,94,1766,18029,20131,17516,11365,3173,697,202,72977,32,822,11215,15185,13191,7881,2037,418,131,50920,33,690,14956,25564,23179,12633,3012,648,208,80923,83,309,5271,16057,17989,10189,3112,843,248,54097,7788,8708,17861,15497,14567,11866,10072,6739,4308,97398,95504,107224,213307,200790,189288,155096,117461,56804,19928,1155389,34645,12209,19119,17378,15267,17858,6857,2184,886,126412,23600,6305,5877,6842,5740,6850,3850,1239,412,60712,12585,12595,12816,11629,10414,14001,11870,5423,1738,93069,5135,9381,12110,11222,11376,14836,26189,14952,4982,110182
RA31,12077,1813,1469,1357,1897,3174,1602,574,151,24124,5842,1117,546,582,862,1589,1337,422,119,12414,2966,2824,2953,2605,3111,4643,4662,2124,549,26427,1316,1452,1902,2057,3092,5167,12177,7579,1846,36593,1572,1779,2020,2190,3196,4735,8316,4743,1539,30081,1495,2598,2460,2217,2882,3955,5583,2533,631,24348,839,3582,4316,3486,4049,4367,3735,1698,439,26503,512,3452,6250,5426,6111,5735,3053,879,228,31632,205,2372,6753,6593,7160,6252,2794,679,197,33000,56,1228,4735,4976,5399,4137,1260,281,62,22138,25,570,3850,4841,5186,3818,889,179,47,19403,13,316,2648,3610,3831,2719,545,104,25,13816,13,324,3974,5965,6362,3829,700,146,38,21353,35,120,1377,2885,3279,2176,657,198,67,10788,3385,2820,5820,5835,6452,6068,5422,3253,1517,40575,30341,26368,51079,54624,62869,62354,52733,25369,7455,373191,9639,1567,4237,4275,4973,6868,2071,687,277,34594,7059,1180,1844,2024,2108,2907,1438,457,157,19172,3609,2929,4066,4062,4555,6913,5382,2177,639,34329,1687,2136,3760,4055,5087,7614,13726,6756,1869,46694
RA32,8144,1425,1238,1113,1527,2181,1150,378,116,17269,4198,805,403,421,567,915,822,222,90,8443,1910,1938,1997,1680,2079,2933,2789,1175,263,16766,932,1074,1259,1366,1990,3115,6069,3763,908,20460,1026,1216,1419,1400,2035,2997,4891,2625,866,18480,1017,1772,1949,1641,2016,2621,3251,1444,300,16015,614,2565,3484,2644,2936,3086,2231,859,192,18605,371,2657,5033,4197,4473,4127,1984,478,141,23454,197,2207,5701,4997,5267,4405,1761,404,116,25050,59,1273,4308,3934,3921,3029,887,171,36,17624,28,578,3394,3780,3959,2599,630,116,35,15118,23,270,2216,2875,2821,1920,402,67,31,10616,14,280,3443,4940,4850,2784,535,102,35,16977,22,81,1185,2280,2458,1615,477,145,44,8306,2910,2869,5884,5272,5673,5031,3950,2221,712,34514,21466,21008,42898,42550,46559,43362,31829,14156,3873,267703,6641,1413,3481,3065,3215,4196,1309,428,208,23972,4947,982,1365,1497,1337,1596,760,254,105,12853,2243,2127,2894,2863,2934,3917,2973,1125,342,21421,1063,1482,2713,2842,3089,4143,6660,3340,958,26281
RA33,703,120,113,116,190,263,144,61,9,1712,271,49,32,40,75,89,78,30,3,674,157,191,307,252,313,351,270,99,20,1960,85,75,110,121,201,316,524,306,67,1804,105,88,126,117,207,320,511,226,69,1766,121,147,165,179,219,289,279,107,25,1526,92,233,299,263,295,256,218,73,18,1751,49,253,477,327,400,396,209,50,3,2178,29,241,535,423,438,431,165,55,7,2324,13,146,391,351,378,307,97,26,3,1713,8,103,397,345,376,267,79,16,3,1589,5,91,355,326,342,220,45,18,4,1406,5,122,980,860,699,410,83,23,0,3177,3,18,305,426,375,268,90,13,0,1500,358,411,1008,784,827,755,561,208,45,4960,2014,2289,5597,4927,5328,4934,3357,1300,285,30040,542,130,503,362,343,460,155,41,19,2552,346,59,182,196,137,155,89,25,6,1184,181,186,405,355,373,412,230,106,17,2257,70,163,346,291,301,417,516,275,63,2444
RA34,558,149,144,114,122,202,112,31,11,1448,178,48,51,51,63,65,45,24,3,523,156,300,423,366,358,322,229,77,24,2252,52,73,155,135,186,236,394,193,49,1474,84,72,129,133,156,216,351,169,50,1360,124,160,181,195,218,229,152,72,19,1349,76,209,317,239,258,240,93,39,3,1480,57,219,345,291,320,276,112,29,4,1657,19,146,420,320,336,290,99,13,3,1656,10,73,279,218,252,233,64,16,3,1146,4,50,199,206,249,183,40,8,4,947,4,27,178,171,164,145,37,7,0,728,0,29,280,318,284,208,37,10,3,1168,0,9,61,123,138,114,37,14,0,498,325,262,510,394,414,415,290,137,27,2784,1664,1830,3683,3280,3515,3371,2082,841,201,20462,476,100,185,146,201,237,104,24,17,1495,198,63,125,98,118,93,35,22,5,758,156,284,439,390,373,371,203,77,19,2314,75,159,345,284,298,282,387,177,51,2060
RA35,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,3,0,9,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,9,3,3,4,7,10,7,13,7,0,65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,3,5,0,0,13
RA39,64,79,108,60,74,92,40,5,0,524,16,22,28,22,29,41,14,3,3,176,36,67,135,153,128,136,92,22,0,773,14,31,76,93,105,155,297,64,8,848,5,43,61,47,73,116,203,43,3,599,11,44,79,31,54,75,100,13,0,417,7,66,117,59,52,73,72,15,0,461,4,39,113,54,55,63,45,5,0,389,3,29,87,65,39,67,34,11,0,336,0,14,40,31,43,30,11,3,0,169,0,3,56,31,34,21,16,0,0,162,0,3,14,27,15,14,3,0,0,83,0,0,45,36,34,16,6,0,0,141,0,4,18,19,25,9,3,5,0,85,43,115,306,227,208,229,186,40,6,1353,212,559,1288,964,975,1147,1120,225,19,6509,53,69,120,57,91,190,37,7,0,621,13,32,29,18,30,78,18,0,0,223,56,65,85,95,96,191,97,17,0,697,19,43,83,42,79,183,260,45,0,755
RA40,19050,6336,4156,2535,2529,3119,1731,639,318,40424,8151,3824,1331,868,1127,1564,1222,472,168,18720,3622,6371,5428,3849,4180,4974,4119,2483,823,35853,1300,3347,3556,2980,3819,5174,9959,8041,2753,40931,1233,3265,3896,3091,3917,4685,7600,5038,2407,35140,1068,4125,5119,3542,3663,4182,5754,3090,1090,31620,510,4505,8262,5467,5353,4906,4224,2278,869,36375,267,4295,11415,8798,8377,6988,4111,1521,588,46361,103,2788,12438,10210,9816,8121,3939,1109,458,48979,38,1150,8237,7606,7076,5383,2141,466,178,32267,13,450,6309,7270,6617,4850,1428,306,125,27370,18,161,3747,5511,5261,3697,974,209,91,19667,13,168,4111,8229,8359,5403,1349,289,102,28018,38,108,1217,4038,5194,3662,1368,357,159,16150,2742,2666,5595,4976,5188,4455,3857,2851,1831,34160,38172,43560,84811,78963,80476,71153,53782,29159,11948,492027,15597,5539,7819,6032,5308,7209,2671,997,596,51760,9818,3688,2698,2777,2504,3235,2119,718,304,27864,4725,6582,6210,5605,5563,7222,5874,3364,1271,46420,1569,4045,5268,5015,5682,7560,13412,8933,3483,54974
RA41,2858,365,249,292,406,669,331,97,43,5310,1302,291,125,133,234,361,267,88,22,2829,564,625,591,505,641,1050,1048,531,144,5703,274,378,388,396,660,1153,2771,1755,485,8254,313,461,377,497,763,1045,2036,1109,429,7036,276,644,568,557,765,1042,1510,727,225,6318,132,840,1128,951,1188,1183,1111,572,152,7247,61,815,1633,1476,1713,1655,931,339,94,8715,30,469,1781,1776,1987,1865,826,236,60,9041,8,190,1068,1232,1356,1149,443,83,22,5555,10,83,716,1009,1182,982,233,61,12,4288,4,26,440,735,843,607,163,19,8,2843,0,29,489,1027,1281,791,182,43,17,3866,3,15,122,383,576,486,189,55,20,1850,768,415,863,924,1066,1147,1120,722,394,7415,6605,5644,10532,11899,14659,15197,13166,6427,2129,86263,2448,351,655,748,890,1417,468,117,56,7152,1723,354,414,490,530,723,434,146,39,4846,757,749,935,995,1088,1570,1301,575,191,8154,290,494,884,945,1179,1716,3389,1694,524,11111
RA42,2098,217,212,253,359,559,299,85,34,4124,988,177,103,115,234,328,248,80,20,2299,434,482,644,587,872,1122,993,515,103,5769,192,252,392,435,797,1233,2541,1596,438,7879,271,309,380,454,762,1071,1719,926,365,6264,223,492,489,520,694,901,1161,534,128,5143,160,657,835,773,938,994,811,390,115,5672,64,587,1256,1065,1293,1253,627,196,59,6408,41,339,1178,1152,1397,1406,586,137,49,6284,3,212,776,774,1012,845,241,40,14,3916,5,80,625,718,944,771,162,29,7,3342,0,42,410,562,659,472,122,22,6,2293,0,41,481,750,878,611,136,36,18,2936,7,29,134,314,362,331,137,35,19,1370,632,488,1097,1103,1276,1249,1131,715,369,8064,5123,4409,9018,9587,12477,13158,10909,5334,1754,71763,1784,171,514,522,662,1126,332,119,44,5269,1181,166,362,374,335,516,250,85,32,3301,515,467,847,856,1035,1490,1100,488,138,6930,207,406,760,742,1140,1547,2844,1544,460,9643
RA43,412,45,49,42,89,142,55,25,8,870,255,20,21,23,61,87,49,30,8,560,96,81,101,84,149,259,249,118,31,1164,56,39,76,86,160,247,512,328,103,1607,72,72,72,104,167,262,396,182,85,1405,49,94,128,99,182,236,244,120,40,1203,36,163,215,177,239,256,206,95,30,1415,12,141,297,246,316,339,210,35,8,1614,3,112,345,334,345,358,165,41,9,1722,7,50,244,203,275,194,62,19,4,1055,8,26,202,211,206,193,46,16,9,903,3,30,141,190,187,143,28,3,0,736,0,24,302,316,298,203,35,11,3,1197,3,4,86,151,166,96,41,15,6,553,155,125,322,267,354,345,283,156,82,2079,1176,1025,2595,2534,3186,3364,2577,1197,421,18083,367,37,163,153,162,267,86,34,14,1273,293,41,109,89,83,140,68,15,5,854,85,81,207,189,200,338,272,103,25,1499,44,92,180,183,203,311,586,276,136,2008
RA44,113,25,28,25,42,45,20,9,4,310,38,8,10,4,13,26,24,7,0,132,39,75,131,115,93,99,70,27,6,662,13,19,50,38,56,78,128,78,17,479,14,19,33,28,45,79,131,58,9,418,18,33,35,44,59,60,58,24,3,341,8,37,61,44,71,52,37,18,3,339,6,33,85,75,59,65,30,5,3,365,8,32,105,87,109,83,31,9,3,462,0,19,49,77,81,70,30,0,0,329,0,18,72,62,69,70,14,0,0,306,0,3,53,36,64,56,8,0,0,222,0,10,72,92,67,47,10,0,0,296,3,0,13,39,28,42,7,0,0,139,81,78,168,139,183,181,111,52,17,1013,345,409,966,918,1037,1060,711,284,75,5810,110,13,40,29,35,36,19,6,0,290,45,5,31,19,18,29,13,3,3,175,45,74,125,120,108,105,56,17,5,654,8,41,80,60,57,79,131,53,14,518
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,30,18,33,15,19,23,14,3,0,157,13,10,5,12,9,11,4,0,0,67,25,37,66,82,56,42,8,4,3,326,6,14,21,23,34,29,39,12,0,168,3,14,20,22,26,18,37,11,0,152,3,13,21,11,16,20,22,3,0,110,0,16,36,8,12,8,7,3,0,99,0,7,34,12,9,9,3,0,0,84,0,8,26,17,13,8,7,0,0,83,0,3,10,4,12,4,0,0,0,38,0,0,3,11,7,5,0,0,0,26,0,0,5,0,3,5,3,0,0,20,0,0,8,8,12,7,0,0,0,30,3,0,3,3,4,0,3,0,0,19,7,25,44,41,59,43,23,5,3,256,95,161,349,280,282,239,168,43,13,1627,22,15,23,19,15,26,3,3,0,119,10,8,6,3,10,18,4,0,0,55,23,13,26,35,35,27,9,0,0,179,3,4,23,17,23,19,32,3,3,138
RA50,29439,8710,6807,4123,4365,5567,3436,1197,306,63946,12100,4521,1674,1058,1207,1916,1814,707,211,25196,5166,7359,5810,3698,3838,4872,5597,3157,886,40378,2346,4731,4252,2720,3271,4644,11533,9181,2630,45306,2242,4627,4651,3019,3216,4300,8732,5754,2096,38634,2084,5796,6165,3691,3677,4448,7471,3937,1153,38428,1147,6394,8884,5303,4842,4972,5446,2740,841,40560,678,6818,14855,9296,8587,7550,5100,1608,601,55091,315,5818,20310,14145,12641,10431,5118,1336,475,70594,91,3026,15971,12626,10927,8120,3057,639,212,54676,41,1678,14256,12850,11575,8005,2297,455,137,51292,17,835,10118,11122,9813,6581,1644,287,107,40529,17,1008,16817,22599,20379,12208,2649,492,142,76311,48,370,6637,16202,17372,9875,2535,564,176,53781,4776,5479,13854,10868,9919,7799,6261,4519,2617,66089,60519,67166,151056,133321,125620,101287,72697,36584,12571,760820,24888,7716,18492,17238,12627,13814,5221,1759,628,102374,14911,4686,5200,5623,4042,4521,2747,1055,382,43155,6704,7958,8874,8199,6994,8523,7550,3927,1311,60046,2423,5666,7693,7327,6876,8458,15284,10040,3119,66886
RA51,2872,401,349,331,436,750,404,128,57,5724,1250,161,123,110,134,267,280,69,20,2429,475,379,479,436,499,805,915,426,99,4507,300,244,293,343,466,817,2126,1344,315,6249,341,298,322,324,484,759,1560,806,218,5114,351,493,461,407,498,800,1147,527,137,4834,204,707,723,566,680,856,910,370,98,5117,111,691,1204,1024,1150,1167,730,177,61,6313,60,549,1484,1524,1566,1398,681,154,42,7465,29,301,1094,1296,1320,1038,376,79,19,5553,5,204,1003,1318,1449,1057,272,64,23,5398,5,131,801,1123,1261,894,188,34,13,4457,8,149,1387,2285,2446,1451,240,30,12,8003,15,46,530,1053,1253,797,226,49,7,3976,912,908,2246,2152,2004,1550,1285,729,312,12090,6932,5670,12500,14284,15651,14416,11340,4991,1431,87218,2340,349,1439,1534,1413,1887,577,155,72,9773,1602,242,586,711,538,627,334,104,41,4780,546,506,973,1092,1000,1419,1087,448,118,7188,277,379,862,1049,1090,1433,2552,1264,345,9252
RA52,2375,377,284,250,355,614,373,98,30,4767,899,172,110,96,182,259,236,89,28,2058,386,338,465,420,517,782,799,379,80,4179,258,219,289,320,500,813,1830,1233,290,5755,322,245,259,295,497,721,1303,778,256,4686,309,408,388,353,516,738,927,440,122,4212,211,557,671,590,676,766,735,325,109,4626,121,610,975,858,1084,1081,588,176,45,5549,62,537,1241,1164,1407,1279,561,136,61,6446,21,277,998,962,1088,869,314,79,24,4624,10,225,976,1009,1142,902,263,54,10,4595,6,147,789,907,957,726,159,39,10,3740,5,163,1365,1712,1818,1229,240,55,14,6610,6,39,371,728,832,575,192,52,18,2819,797,590,1477,1409,1540,1508,1120,699,318,9471,5787,4914,10648,11093,13124,12872,9637,4634,1418,74140,1948,309,1194,943,981,1332,409,129,57,7302,1152,182,500,474,426,528,278,80,29,3651,452,365,808,835,803,1088,834,381,108,5675,252,315,801,796,861,1128,2134,1058,306,7653
RA53,897,165,180,155,183,216,137,31,10,1963,334,49,35,31,41,78,60,17,9,642,142,104,159,145,196,229,182,86,19,1259,70,77,100,124,152,216,418,224,67,1449,93,73,107,130,166,218,335,165,57,1340,98,150,174,148,192,236,242,103,17,1363,76,217,249,182,222,255,164,83,19,1474,66,254,473,312,363,348,179,52,11,2054,46,240,674,551,550,476,183,45,13,2777,15,136,558,496,486,392,100,28,14,2214,8,120,552,536,547,403,90,15,4,2271,3,100,541,533,465,338,54,14,3,2057,14,167,1303,1289,1083,656,111,26,5,4647,7,57,803,1003,799,437,112,26,10,3251,398,369,1198,1031,1035,764,414,178,75,5458,2269,2266,7102,6676,6471,5263,2781,1086,312,34222,716,176,808,553,387,428,144,26,20,3254,342,63,283,246,144,113,61,15,11,1272,149,128,376,369,292,315,196,75,26,1928,70,119,337,314,297,303,392,219,60,2112
RA54,479,119,117,115,107,147,76,11,3,1182,177,54,57,70,55,65,54,13,3,542,145,305,557,383,328,261,156,65,3,2208,49,82,168,159,188,208,313,100,20,1288,33,42,115,72,126,179,237,81,20,913,59,81,149,125,138,126,123,35,5,851,55,116,186,132,127,171,86,24,6,909,36,144,337,225,224,206,80,19,0,1269,25,130,388,335,306,295,102,23,5,1604,10,104,409,332,330,226,69,14,0,1503,13,128,445,336,375,245,48,5,3,1603,7,100,556,456,414,259,52,3,0,1851,9,221,1862,1582,1276,686,103,3,0,5751,0,103,1373,1401,1182,589,84,10,0,4746,416,524,2035,1696,1347,869,315,95,26,7325,1524,2262,8756,7421,6526,4539,1909,504,105,33549,452,98,375,268,167,179,66,15,3,1613,167,60,156,140,84,92,33,8,4,740,165,267,617,440,405,286,141,59,16,2391,68,155,373,291,256,264,262,96,27,1791
RA55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,10,0,3,3,3,0,0,0,0,0,17,0,0,4,3,4,3,0,0,0,14,0,0,10,6,3,3,3,0,0,27,0,0,7,6,6,3,0,0,0,24,0,4,40,20,17,6,0,0,0,90,0,0,27,59,40,14,0,0,0,140,0,3,27,21,23,6,0,0,0,78,0,17,124,120,94,43,8,3,3,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,34,39,69,49,47,45,17,6,0,293,13,15,12,14,27,17,10,0,0,104,15,45,88,109,125,74,38,0,0,503,7,13,35,52,56,66,63,19,0,313,0,19,26,23,39,37,70,12,3,225,0,21,26,16,13,25,43,3,0,153,0,19,53,16,21,27,23,0,0,162,0,9,51,35,34,28,14,3,0,184,0,11,55,38,24,19,11,3,0,160,0,3,39,25,24,19,3,0,0,112,0,8,32,29,23,15,5,0,0,106,0,3,35,20,19,16,3,0,0,91,0,8,62,52,48,28,14,0,0,204,0,3,38,35,33,19,3,0,0,130,15,43,149,95,114,96,59,14,0,590,84,254,773,606,638,540,375,58,12,3336,21,37,65,28,27,65,12,3,0,249,3,10,19,15,16,31,7,0,0,106,15,30,53,72,60,62,23,3,0,312,6,12,25,29,42,40,77,11,0,243
