RA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
RA40,4186,4734,8915,12156,15746,27894,80,26,98,1179,1569,2739,736,403,1142,200373,165241,365617,9741,15586,25327,2736,71,2805,2395,275,2671,4988,1622,6613,2540,848,3392,6194,5987,12179,247307,212101,459408,816,703,1519,3,0,3,88,109,197,753,959,1710,104,167,275,144,43,189,1904,1985,3889,4,0,3,140,177,315,958,1558,2510,328,810,1139,188,144,333,1620,2685,4307,2596,1883,4480,6119,6551,12672,333,448,778,170,214,388,136,74,209,644,738,1377,8097,10845,18944,21287,36590,57872,2261,2034,4293,285707,268859,554564
RA41,55,53,105,465,424,886,12,5,23,3,6,10,32,50,85,35148,29609,64762,1773,2267,4044,841,30,865,310,27,341,287,64,347,547,157,708,1583,1258,2840,41066,33953,75016,14,10,26,0,0,0,0,0,0,81,93,171,10,8,13,0,0,0,99,114,215,0,0,0,0,0,0,155,252,410,30,43,71,16,10,22,196,304,497,356,142,498,651,558,1206,11,20,34,11,11,28,23,3,30,48,40,89,2874,3118,5989,4273,6970,11240,545,483,1026,49450,45120,94566
RA42,11,7,18,376,83,458,16,5,18,0,3,5,73,45,113,24997,21521,46522,1685,1718,3398,629,22,645,283,42,322,285,69,352,529,170,696,1976,1538,3514,30861,25209,56068,3,0,3,0,0,0,0,0,0,11,3,9,0,0,0,0,0,0,13,3,13,0,0,0,0,0,0,77,8,85,8,3,12,5,3,10,97,14,109,303,107,413,414,121,533,5,3,7,6,5,7,23,9,36,36,15,52,2911,2553,5463,3388,4631,8017,499,431,929,38100,32967,71067
RA43,3,0,3,181,24,200,0,3,5,0,0,0,12,20,31,6778,5566,12341,459,398,857,135,4,140,65,11,75,67,30,98,176,36,214,644,533,1175,8511,6629,15139,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,3,8,6,0,0,0,0,0,0,10,0,13,9,0,8,3,0,7,24,5,22,80,22,104,102,34,138,0,0,5,4,0,3,12,3,12,16,3,21,898,866,1764,1065,1280,2342,122,121,250,10715,8927,19648
RA44,0,0,0,89,27,111,3,0,3,0,0,0,5,0,3,1567,1193,2756,143,146,289,45,0,45,18,3,21,30,6,35,109,26,132,461,476,931,2459,1876,4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,4,4,0,9,36,8,43,44,12,51,0,0,0,4,0,4,12,0,12,17,0,17,270,226,500,221,279,497,74,53,133,3084,2442,5529
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
RA49,3,3,4,22,12,34,0,0,0,0,0,0,3,0,3,251,102,355,37,49,85,6,0,9,5,0,6,3,3,6,11,3,21,26,24,50,372,200,577,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,3,0,3,3,0,4,8,3,17,0,0,0,0,0,0,0,0,0,0,4,4,14,11,18,64,47,112,8,0,10,465,263,734
RA50,12379,13293,25670,19396,14495,33887,147,60,209,87,53,139,1133,539,1668,316930,266301,583229,18604,23187,41798,5796,167,5958,3877,421,4296,7270,2076,9346,8760,2234,10991,9340,9187,18524,403712,332015,735730,7338,6829,14166,7,5,11,9,7,13,4526,4815,9340,612,991,1607,573,192,770,13062,12845,25904,25,14,41,9,4,9,714,815,1525,443,813,1256,408,166,570,1598,1808,3404,3796,1692,5486,18447,16351,34799,2120,2493,4619,268,134,402,177,64,236,2567,2689,5254,13445,21189,34633,38035,51742,89773,4975,3664,8640,481176,427663,908835
RA51,55,56,107,1477,293,1763,7,0,11,3,4,6,37,33,71,32449,29139,61589,2635,2414,5047,914,39,955,284,55,343,487,227,717,1027,253,1283,1488,1274,2760,40858,33799,74656,8,17,22,0,0,0,0,0,0,103,120,227,9,13,24,7,0,7,130,155,285,0,0,0,0,0,0,81,24,106,23,28,56,45,8,54,154,64,216,418,144,569,700,364,1063,15,26,39,33,7,42,27,6,38,73,46,116,2189,3200,5387,5509,6283,11788,763,549,1311,50097,44239,94331
RA52,12,9,24,1127,252,1380,13,3,13,3,3,7,81,91,178,27901,24380,52276,2271,2277,4547,838,34,873,375,89,465,475,149,620,775,230,1013,1986,1731,3722,35856,29248,65105,3,6,9,0,0,0,0,0,0,10,8,21,0,0,0,3,0,3,14,14,31,0,0,0,0,0,0,85,21,104,18,11,28,19,6,31,125,35,166,334,141,472,474,196,667,0,0,0,7,6,14,27,8,35,36,16,50,2635,2862,5499,3862,4565,8428,622,473,1093,43485,37360,80846
