RA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
RA23,0,0,4,6,0,8,3,0,26,0,0,0,0,0,0,0,0,6,5,12,9,27,36,39,22,9,157,3,10,9,6,31,17,8,8,88,5,12,23,19,12,6,3,0,77,0,0,0,0,5,4,0,0,18,0,4,3,11,13,18,0,0,49,0,6,9,3,9,16,7,0,49,0,9,4,6,12,10,6,0,37,0,3,3,0,4,3,0,0,9,0,4,4,10,5,3,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,19,13,15,22,28,29,25,12,160,31,63,88,110,169,148,78,27,715,0,3,0,0,4,4,3,0,20,0,0,0,0,0,3,0,0,7,0,3,0,3,3,4,3,0,10,0,0,0,0,0,0,0,0,4,3,9,5,7,0,0,0,0,22,3,11,29,16,35,16,10,0,119,3,9,13,24,27,30,3,0,119,4,8
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,3,21,8,12,4,7,3,0,58,9,28,11,6,3,3,0,0,58,28,111,54,54,48,38,10,0,348,20,59,38,29,21,9,4,0,175,0,19,13,7,9,3,0,0,50,5,31,18,7,7,0,0,0,70,4,11,9,7,19,6,0,0,53,28,80,49,30,18,13,3,0,223,12,41,22,18,24,9,0,0,128,4,28,20,13,3,0,0,0,63,12,19,20,18,9,0,0,0,73,0,0,0,0,0,0,0,0,3,3,6,10,6,3,0,0,0,35,177,314,350,244,145,70,16,3,1329,297,769,620,444,313,166,39,3,2654,15,23,11,0,7,4,0,0,60,3,6,4,3,0,0,0,0,23,8,15,11,3,0,0,0,0,43,6,6,3,4,0,0,0,0,21,9,12,3,3,0,0,0,0,27,28,57,21,25,29,10,0,0,176,11,28,21,16,17,14,0,0,107,54,96
RA30,1756,4222,4025,3670,2953,2265,807,213,19914,3730,9380,9642,5314,2440,759,98,7,31375,11530,35097,35464,37235,32563,24723,12012,3383,192006,6030,18535,16895,15156,12578,8686,4326,1206,83403,1097,2778,3595,3069,2166,1394,593,160,14851,2358,8367,8076,7227,5233,2936,1397,483,36084,685,3579,4611,4830,5083,3743,1516,348,24403,10695,26777,26788,22838,15785,9698,3214,851,116640,6858,12253,11520,9594,7448,4883,1770,409,54745,4467,6557,4335,2680,1821,1107,464,123,21561,3879,7125,6270,4776,2817,1963,727,184,27747,557,259,154,169,195,209,178,79,1798,672,1806,2153,2006,1481,941,467,187,9706,15786,18557,16225,15055,12240,10288,7081,4049,99279,70094,155300,149762,133613,104796,73599,34663,11683,733497,2083,5298,4564,3220,2024,1043,300,99,18628,858,2532,2825,1694,852,303,45,4,9113,1116,3765,3299,2533,1726,1109,871,411,14832,823,2492,1845,1280,632,284,83,25,7460,656,1607,1649,1048,619,220,55,21,5872,8600,25645,22535,21532,17463,9704,4281,1481,111245,3171,14122,18259,17478,15337,9300,3416,957,82039,17949,44667
RA31,126,439,587,602,664,573,196,41,3235,625,958,922,603,439,223,29,0,3804,5084,12383,12972,14240,13764,10813,4676,1047,74975,1802,4367,4426,4725,5240,3788,1607,317,26268,596,1179,1718,1803,1485,832,383,83,8082,340,1468,1654,1856,1701,967,374,95,8459,154,899,1378,1765,2029,1516,512,97,8352,1649,2966,3722,3943,3373,2117,674,167,18604,1137,1647,1897,1885,1834,1375,460,84,10308,404,547,494,466,463,373,131,24,2899,1147,1651,1654,1446,1173,844,279,75,8268,125,64,44,51,80,106,83,31,586,199,412,556,648,523,381,184,55,2965,6167,6062,6254,6806,6374,5798,3801,1623,42875,19551,35049,38282,40848,39137,29706,13386,3736,219687,197,656,834,723,517,247,96,12,3283,167,246,332,278,238,102,14,0,1384,350,759,728,703,498,371,228,76,3727,104,261,243,248,111,65,17,3,1050,480,728,883,655,415,164,44,4,3376,1850,5364,5348,6671,6607,3893,1651,467,31852,933,3939,5586,5912,5257,3239,1218,285,26377,4242,8781
RA32,166,602,646,579,535,390,122,32,3076,432,714,569,374,243,91,25,3,2447,3883,10175,10008,10503,9507,6246,2416,530,53262,1091,3242,3199,3278,3515,2231,927,168,17650,419,1065,1293,1245,936,481,197,46,5681,390,1276,1310,1282,1083,529,203,48,6114,136,793,995,991,1161,783,230,41,5133,956,2419,2719,2779,2134,1113,310,83,12505,849,1550,1528,1446,1104,734,211,33,7463,222,436,326,339,299,204,70,12,1910,772,1568,1509,1288,901,590,174,23,6815,78,57,28,40,68,55,47,19,394,150,343,408,540,353,203,90,26,2109,5763,6158,5498,5956,5217,4062,2320,759,35730,15295,30396,30048,30633,27038,17709,7333,1822,160287,251,830,792,566,365,177,59,11,3053,86,206,206,187,113,51,9,0,858,293,732,621,533,342,217,114,48,2891,60,249,199,152,82,39,11,3,811,328,693,700,455,231,79,24,3,2518,1612,4626,4197,4350,4059,2036,790,207,21867,797,3256,3872,3875,3340,1736,602,139,17614,2870,7023
RA33,11,52,51,40,25,18,3,0,205,15,41,28,14,11,3,0,0,112,480,1503,1273,1191,1018,511,181,31,6195,103,325,277,251,296,186,63,5,1504,95,220,237,221,132,64,23,3,997,17,79,92,93,59,26,14,0,388,22,98,82,77,77,51,12,0,420,67,228,187,169,120,59,13,3,838,60,114,92,78,59,48,10,0,475,12,28,21,14,12,16,7,0,107,83,181,131,116,80,46,13,0,644,0,8,9,7,6,10,8,0,45,16,38,33,45,35,24,7,0,197,789,1042,812,828,756,547,226,52,5053,1771,3953,3338,3149,2687,1604,578,104,17175,13,75,53,33,30,15,3,0,217,20,23,19,11,11,7,0,0,97,35,113,69,55,34,18,11,0,326,3,20,16,14,3,0,0,0,61,83,139,108,53,30,11,4,0,433,127,406,320,384,376,148,49,15,1828,163,454,379,357,280,154,37,7,1840,283,753
RA34,3,32,20,17,10,12,8,0,108,7,10,10,15,17,3,0,0,63,281,666,558,535,445,241,72,6,2806,159,312,268,200,210,87,24,5,1267,112,170,166,168,161,46,19,7,856,16,65,71,94,56,21,5,0,319,16,84,77,64,57,14,4,0,320,40,130,137,133,130,21,4,3,607,50,91,90,89,70,31,4,0,417,11,17,22,13,7,3,6,0,90,51,100,82,57,56,35,4,0,388,0,9,0,3,3,7,3,0,28,13,27,20,27,13,7,4,0,112,621,599,447,434,424,311,151,42,3027,1393,2320,1973,1833,1668,845,311,63,10399,10,32,34,22,3,8,0,0,110,8,11,14,7,8,0,0,0,45,27,58,26,40,21,9,4,0,183,9,5,5,5,5,0,0,0,34,89,111,90,59,32,5,0,0,388,105,262,242,283,334,109,39,11,1374,128,376,286,239,218,58,28,7,1327,212,482
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,9,3,3,8,3,3,10,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
RA39,6,28,7,3,7,16,0,0,73,11,13,9,15,9,6,0,0,57,44,164,106,146,212,207,43,7,930,21,79,52,53,81,86,18,0,387,11,26,17,18,18,17,3,0,111,12,35,21,21,23,8,0,0,115,0,9,3,10,29,24,9,0,87,47,74,45,45,60,50,6,0,331,35,55,28,21,24,33,3,0,194,16,37,15,7,8,5,0,0,81,15,36,25,17,27,21,0,0,142,0,3,0,0,3,0,0,0,9,8,3,6,3,12,10,3,0,48,166,355,336,299,265,187,54,9,1657,391,925,669,647,771,673,135,14,4223,15,15,5,9,6,0,0,0,53,3,9,3,4,5,0,0,0,21,8,23,7,3,10,11,7,0,62,3,9,3,3,3,0,0,0,27,4,13,6,8,4,3,0,0,44,42,95,38,62,115,75,8,0,426,10,31,24,29,55,39,4,0,197,65,140
RA40,596,2113,2110,1872,1704,1280,493,136,10315,1101,3901,3588,1949,1156,360,46,8,12105,4632,14205,14115,15775,13929,11170,6045,2099,81969,2622,5673,4179,4430,4016,2969,1806,590,26287,531,1459,1407,1302,949,514,213,90,6464,884,3601,3396,2997,2632,1581,650,289,16032,358,1767,1785,1872,2902,2382,717,210,11986,2913,10325,10617,8955,6880,4447,1629,521,46284,2049,5256,4877,4418,3963,2753,893,278,24489,1175,2450,1751,1173,917,541,184,51,8236,1268,2842,2238,1832,1211,814,315,87,10606,144,73,77,70,83,86,109,42,674,252,784,856,772,639,428,216,100,4056,5105,5931,5324,5447,4829,4068,3252,1930,35882,23628,60375,56325,52866,45790,33393,16580,6433,295391,831,2439,2209,1530,1057,519,179,70,8827,164,1163,1060,662,362,112,20,3,3537,459,1528,1309,1093,751,606,507,284,6539,404,989,670,493,272,130,39,13,3012,335,780,636,469,273,103,42,3,2653,3486,12012,9828,9706,9366,4689,2104,890,52083,1184,5559,5772,5579,6701,4891,1612,661,31965,5068,16139
RA41,32,162,234,231,261,258,72,18,1268,94,219,201,158,118,46,6,0,840,882,2209,2408,3059,2979,2604,1190,316,15647,430,815,722,818,872,656,319,87,4725,218,502,642,590,539,331,110,47,2984,69,205,309,358,446,238,103,39,1776,38,218,296,322,585,544,137,30,2170,242,663,972,1102,1006,810,284,65,5135,225,454,490,531,619,480,164,36,3002,111,160,139,135,147,100,45,15,843,205,421,460,367,279,207,61,12,2013,8,15,8,12,12,14,10,14,94,43,80,93,153,114,112,39,21,656,1180,948,1040,1223,1264,1191,812,378,8038,3776,7066,8018,9058,9240,7595,3352,1079,49184,55,196,253,202,154,84,18,5,968,16,43,62,51,52,25,4,0,255,66,130,181,171,120,115,63,41,889,28,63,66,58,42,25,9,0,287,114,232,305,258,145,74,10,4,1146,411,1151,1368,1848,2007,1184,436,144,8554,187,845,1038,987,1306,1058,294,96,5809,684,1769
RA42,9,82,62,94,116,78,16,3,466,69,100,87,68,39,25,7,0,394,906,1998,1962,2421,2538,1924,870,214,12835,279,524,402,523,614,527,255,58,3177,249,524,711,627,426,260,96,42,2944,41,141,191,235,278,126,32,12,1061,48,210,188,183,286,259,58,15,1246,151,376,481,571,536,330,80,24,2545,101,260,258,293,290,183,37,9,1440,27,42,41,43,55,45,15,3,274,157,293,253,259,224,134,53,15,1385,9,18,10,12,19,22,17,9,116,25,65,73,85,66,54,33,11,406,1113,1190,1216,1379,1300,1240,820,353,8609,3184,5816,5926,6789,6805,5221,2380,768,36892,18,75,76,71,42,34,12,4,340,18,27,39,33,25,16,6,0,159,40,98,115,108,58,74,58,23,571,3,21,29,24,5,6,0,0,95,99,198,217,200,100,41,5,0,863,301,893,813,1224,1461,711,295,89,5789,211,768,777,681,840,632,200,51,4153,510,1251
RA43,7,39,36,21,23,30,3,0,158,7,22,15,11,11,6,0,0,71,217,642,645,668,604,417,162,35,3388,76,223,149,178,184,142,55,22,1033,70,202,203,185,115,72,24,5,883,16,36,40,75,57,29,9,6,268,8,53,50,45,96,59,16,4,336,35,123,129,120,151,77,17,8,664,23,61,64,63,86,48,18,3,373,3,13,13,17,18,14,3,0,86,23,82,92,72,51,37,15,0,377,0,0,3,3,4,3,3,0,22,6,14,12,24,19,11,6,4,94,285,328,303,361,369,300,170,80,2195,776,1832,1754,1857,1795,1244,515,176,9946,6,34,32,18,15,7,3,0,119,0,5,9,5,6,3,3,0,38,16,45,30,25,17,5,11,9,155,3,11,11,6,3,3,0,0,37,21,67,72,32,25,5,0,0,231,61,255,213,310,414,170,61,17,1496,47,249,220,204,244,189,64,27,1244,101,371
RA44,0,13,4,5,3,3,0,0,27,4,3,5,0,0,0,0,0,19,47,162,158,138,165,92,35,4,802,13,38,46,56,48,24,14,3,243,16,33,48,46,21,17,0,0,185,4,11,25,20,21,5,0,0,89,6,32,19,19,22,14,5,3,119,11,27,24,31,34,15,0,0,155,12,42,29,14,22,3,3,0,128,0,6,4,7,10,3,0,0,31,11,28,21,24,23,6,5,0,114,0,0,0,0,0,0,0,0,9,6,0,3,5,3,6,4,0,31,152,175,167,195,176,119,64,19,1059,285,576,555,564,555,315,129,34,3013,0,12,13,3,0,3,0,0,29,0,0,0,0,0,0,0,0,5,6,5,7,0,5,3,0,0,27,0,3,0,4,0,0,0,0,8,12,20,22,7,10,0,0,0,69,21,58,37,64,81,43,7,0,317,30,98,69,64,84,28,6,0,375,19,73
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,4,0,5,3,0,0,0,14,0,5,3,0,0,0,0,0,9,18,56,32,28,40,39,10,5,220,3,21,10,14,10,13,3,0,75,0,6,7,7,4,8,0,0,31,3,9,0,8,6,0,0,0,19,0,5,3,6,3,7,0,0,25,7,23,6,9,7,5,0,3,66,6,18,8,7,8,4,0,0,50,3,3,6,5,0,3,0,0,24,3,14,7,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,19,58,68,90,100,66,35,6,3,414,114,236,165,190,151,111,20,11,994,3,6,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,6,0,0,5,0,0,0,10,0,17,10,22,18,3,0,0,73,0,3,0,3,10,7,0,0,28,6,35
RA50,1359,3852,3729,3524,2699,1878,577,176,17794,1915,5942,5693,2994,1361,406,47,8,18362,10818,33098,31294,30117,24952,16765,7587,1939,156566,4361,11827,8789,8381,6618,4709,2704,680,48069,607,1967,2037,1797,1298,883,403,114,9099,1255,5264,4929,4344,3191,1836,828,285,21925,462,2136,2578,2950,3460,2256,1009,272,15124,4852,16805,16057,14084,9687,6148,2173,572,70364,3082,7219,6305,5341,4559,2928,1011,271,30714,2145,3651,2455,1558,1189,662,263,76,11989,1521,4951,3750,3057,1943,1161,477,114,16977,294,160,137,133,129,136,128,44,1163,367,1206,1256,1280,867,519,285,109,5897,9654,14216,11361,10260,8171,6543,5034,2634,67867,42687,112290,100379,89807,70116,46826,22521,7291,491924,1988,5065,4196,2791,1629,698,202,79,16663,417,1949,1726,1094,567,171,38,0,5962,1038,3706,3025,1900,1167,656,606,278,12378,620,1789,1217,823,417,135,36,12,5060,523,1534,1430,882,438,176,61,16,5060,5687,18231,14550,13500,11128,6372,3039,963,73475,2596,10036,11737,12168,10629,5728,2304,649,55851,8708,28119
RA51,51,176,229,224,199,165,54,12,1119,145,199,170,123,67,35,13,0,746,1386,3002,3515,3775,3412,2375,923,194,18575,482,1128,1060,1126,1041,705,312,64,5927,120,328,486,440,406,268,126,21,2197,60,258,380,423,384,198,77,18,1794,31,145,296,395,513,348,119,20,1866,207,533,764,876,703,577,134,46,3829,165,271,353,336,343,290,82,16,1864,95,125,124,117,114,89,27,7,704,161,426,515,449,262,168,57,20,2051,29,10,14,10,5,23,13,4,121,26,77,122,139,109,63,32,11,575,1827,2322,2271,2079,1675,1348,830,326,12688,4788,9008,10305,10515,9240,6657,2794,762,54073,80,250,334,231,132,46,11,7,1089,25,75,88,75,43,22,5,0,332,91,232,254,163,90,64,48,32,974,31,95,108,82,37,18,3,0,376,109,267,291,218,136,43,17,3,1084,390,1161,1349,1448,1634,980,427,104,7489,237,936,1521,1548,1395,776,249,48,6707,867,1901
RA52,48,147,189,148,144,119,32,7,829,114,136,104,79,54,23,3,0,509,1214,2782,2650,2849,2638,1692,643,152,14625,425,774,588,698,756,517,238,61,4055,258,433,562,602,501,334,149,39,2877,52,218,275,298,265,138,56,14,1311,28,191,245,317,392,229,75,13,1486,168,413,563,557,533,348,112,22,2720,143,265,299,330,314,187,62,16,1622,70,95,81,84,82,72,19,3,510,117,245,294,294,215,139,50,13,1367,17,12,16,7,17,20,17,7,113,24,93,96,114,93,47,39,9,502,1355,1533,1470,1630,1572,1187,794,301,9840,4038,7334,7431,7997,7580,5043,2292,654,42367,47,186,222,144,105,41,5,0,755,25,58,70,51,43,21,3,0,270,62,154,137,121,88,50,46,20,673,20,70,42,40,30,9,4,0,214,157,264,312,250,135,53,11,3,1188,328,1089,1032,1157,1291,836,358,91,6179,220,858,1171,1251,1128,592,228,57,5514,648,1440
RA53,13,73,80,47,32,15,4,0,270,30,67,72,27,12,3,0,0,202,545,2129,1865,1495,1048,440,98,27,7649,155,499,393,331,269,104,53,9,1809,106,226,277,247,183,110,40,7,1209,12,128,122,128,84,38,7,6,516,23,109,141,108,124,49,23,3,584,56,318,380,278,210,69,19,3,1341,56,198,161,148,96,35,6,6,702,22,60,49,32,27,11,3,0,197,40,146,153,138,84,42,8,3,609,0,10,5,8,6,11,3,0,38,12,40,63,58,39,9,3,0,234,801,1270,1111,1055,813,447,206,81,5776,1870,5273,4881,4087,3031,1365,483,145,21136,18,104,109,46,22,3,0,0,308,5,25,38,19,9,8,0,0,110,43,145,111,39,27,13,7,3,397,9,33,23,20,8,8,0,0,103,46,155,155,96,32,0,3,0,491,126,603,532,437,421,176,73,8,2384,131,599,627,488,392,153,58,15,2451,330,1072
RA54,17,140,109,52,37,11,7,0,371,13,54,48,28,5,3,0,0,145,497,2564,1966,1671,964,293,67,12,8032,94,480,370,316,232,97,18,0,1616,79,172,159,132,116,45,10,0,707,10,132,135,138,113,27,6,0,557,12,120,109,111,107,38,0,0,502,51,259,268,223,137,33,10,0,982,32,167,138,117,87,35,5,0,584,13,60,39,27,25,12,3,0,185,28,178,177,150,79,32,6,0,653,8,3,3,10,11,4,4,0,42,14,51,53,59,44,9,0,0,227,935,2091,1721,1395,925,372,121,26,7583,1812,6465,5295,4431,2874,1009,253,47,22183,13,107,73,40,19,0,0,0,261,10,20,18,4,11,0,0,0,63,51,140,77,32,20,4,4,0,331,3,23,10,9,9,0,0,0,58,34,95,75,42,33,3,0,0,287,57,314,269,255,261,97,22,8,1285,95,386,299,291,221,61,12,0,1371,219,567
RA55,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,43,49,38,16,3,0,0,156,0,15,0,3,3,0,0,0,22,0,0,3,0,0,0,0,0,5,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,5,6,4,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,27,22,17,8,0,0,0,77,7,100,95,77,33,4,3,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,4,10,13,6,7,0,0,0,38,3,15,8,3,5,3,0,0,37,34,144,79,107,106,73,9,3,556,13,54,44,17,36,17,0,0,184,7,11,10,5,14,11,0,0,59,3,15,6,5,9,6,0,0,49,3,8,4,3,13,3,0,0,37,8,30,26,18,17,17,4,0,126,12,32,10,14,9,5,0,0,83,6,10,7,3,3,4,0,0,35,3,18,15,14,8,3,0,0,67,0,3,0,0,0,0,0,0,3,4,5,7,11,4,4,3,0,37,93,232,221,250,133,77,14,3,1018,188,588,450,459,369,233,35,4,2331,4,21,0,5,0,0,0,0,33,0,3,3,0,5,0,0,0,7,4,14,5,8,4,3,0,0,42,0,9,3,0,0,0,0,0,16,3,13,6,3,3,0,0,0,27,11,47,21,19,30,16,3,0,153,8,21,11,8,31,23,3,0,103,25,74
RA61,141,506,575,581,542,395,130,50,2916,376,1045,671,425,250,83,13,4,2871,1147,2997,3193,3735,3782,2932,1558,499,19866,810,2019,1442,1680,1631,1076,617,197,9478,165,466,572,555,441,216,114,34,2560,160,692,749,756,751,407,198,78,3793,69,477,585,569,809,636,230,73,3444,632,1933,1905,1962,1683,1086,423,144,9766,477,1087,1103,1137,1123,783,244,72,6030,209,502,444,342,285,239,80,31,2141,402,830,806,618,422,242,114,23,3455,49,26,21,24,28,43,26,7,233,63,175,223,238,213,133,66,31,1140,1819,1753,1586,1822,1804,1685,1213,524,12208,6514,14527,13899,14444,13769,9958,5024,1758,79894,157,593,620,437,282,160,48,25,2323,57,139,186,126,85,51,7,0,648,104,244,328,268,195,151,100,54,1447,80,145,138,109,74,24,4,4,585,92,207,269,233,128,50,15,3,1005,782,2419,2152,2506,2524,1612,728,271,12983,225,1458,1807,1875,2279,1449,770,248,10109,1446,3660
