RA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
RA23,34,0,0,0,0,36,29,0,0,0,0,32,14,0,0,0,0,14,32,0,0,0,0,32,25,0,0,0,0,25,41,0,0,0,0,39,18,0,0,0,0,23,17,0,0,0,0,17,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,24,0,0,0,0,28,252,0,0,3,3,261
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,14306,1195,1087,25,27,16644,5753,619,399,6,13,6789,4861,568,398,13,12,5852,8617,1014,755,35,8,10430,12028,1435,1115,26,35,14636,37540,4962,3632,54,90,46271,50956,6144,4599,71,102,61884,78817,5318,5025,69,139,89367,40245,1653,1866,37,81,43878,30739,1074,1415,50,59,33332,17765,556,904,28,57,19313,12663,868,729,26,39,14329,314283,25413,21938,447,660,362732
RA31,4999,95,52,26,24,5194,2899,102,39,17,6,3059,2571,66,23,21,14,2687,4911,113,61,47,28,5158,6962,204,77,39,20,7300,19641,529,218,83,71,20549,21310,433,156,74,65,22043,22602,266,137,60,62,23129,9464,63,48,37,35,9649,6218,45,41,12,27,6347,2956,22,19,18,30,3044,4668,68,32,34,24,4832,109196,2023,908,468,403,113002
RA32,3300,70,100,31,23,3531,1668,41,62,20,11,1805,1545,46,57,25,4,1677,3098,132,158,33,19,3448,4194,189,251,29,11,4678,11879,517,469,61,37,12961,13638,320,386,53,44,14442,15369,193,262,43,57,15926,6219,45,83,21,14,6381,4151,47,73,28,22,4311,2084,26,54,27,17,2202,3126,59,82,34,13,3314,70276,1682,2041,396,283,74677
RA33,468,7,0,8,14,498,117,0,0,5,3,122,132,3,0,4,3,136,228,0,0,3,3,238,382,3,7,9,13,406,777,10,11,16,20,825,809,19,12,3,12,850,1022,14,7,14,8,1070,395,4,3,0,3,409,240,4,3,3,4,251,206,0,0,0,9,221,381,0,3,5,6,401,5153,60,39,68,100,5422
RA34,347,13,0,9,9,384,120,0,0,3,4,128,118,0,0,0,0,116,217,3,3,6,4,231,230,7,0,3,3,242,398,13,3,0,3,423,225,16,0,3,3,246,231,24,0,7,5,265,119,4,0,3,0,133,86,8,0,0,0,95,89,6,0,9,4,110,210,4,0,10,6,230,2395,106,8,56,46,2607
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,7374,1001,246,13,23,8659,4296,548,168,8,5,5033,3809,521,162,5,4,4499,7004,995,323,5,10,8338,9241,1306,502,14,19,11078,26443,3544,1509,36,71,31595,28699,3565,1117,20,81,33491,28607,3601,643,18,101,32972,11031,1293,196,16,40,12577,8341,932,125,9,34,9446,5096,569,93,8,20,5791,4794,509,143,4,16,5460,144739,18383,5226,156,417,168931
RA41,1618,48,6,9,10,1685,1086,34,12,0,3,1134,993,33,6,6,3,1041,1921,72,21,8,9,2032,2641,70,23,8,16,2755,6560,105,20,16,21,6726,5710,46,10,17,27,5810,4883,33,5,15,18,4960,1659,8,3,3,9,1672,1155,10,0,10,0,1174,654,3,0,7,9,671,1087,16,0,3,5,1113,29965,478,105,93,129,30777
RA42,1335,63,9,3,12,1415,1104,86,4,12,8,1207,1053,93,3,8,9,1163,2027,198,5,13,11,2250,2407,189,9,10,8,2629,4455,267,7,20,18,4764,2819,70,6,6,8,2915,1862,39,3,11,13,1924,527,6,0,0,5,541,375,12,0,8,0,401,243,7,0,13,0,261,887,44,7,9,4,942,19092,1073,53,106,103,20424
RA43,368,6,0,6,4,390,209,10,0,0,0,224,189,4,3,3,0,196,361,9,3,9,3,389,469,15,3,3,0,492,1010,27,4,9,4,1055,809,22,0,4,3,830,572,13,0,4,4,594,188,4,0,0,0,197,146,3,0,0,0,153,74,0,0,0,0,82,176,3,0,0,0,185,4574,114,17,46,27,4777
RA44,73,0,0,0,3,75,52,0,0,0,0,56,65,0,0,0,0,68,70,0,0,0,0,75,75,0,0,0,0,75,155,0,0,0,0,155,107,0,0,0,0,108,65,0,0,3,0,68,20,0,0,0,0,20,10,0,0,0,0,16,8,0,0,0,0,9,42,0,0,3,0,48,744,0,0,10,12,771
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,11170,1422,365,8,20,12983,4213,578,137,9,12,4946,3769,450,119,4,10,4351,6621,867,255,15,6,7761,8600,1142,327,13,14,10095,25763,3708,1254,35,43,30795,33872,5406,1650,42,62,41030,60919,7819,1973,51,102,70867,35636,3579,873,18,73,40183,27877,2857,689,35,66,31514,18246,1726,459,23,51,20500,9056,955,242,10,21,10286,245744,30504,8342,258,462,285310
RA51,1307,31,4,3,3,1358,651,21,0,3,4,676,568,19,0,5,6,600,1073,24,0,12,3,1113,1413,42,3,9,8,1475,4048,141,9,14,10,4229,5090,122,16,25,18,5267,7105,94,14,25,25,7260,3101,34,5,17,11,3168,2445,27,6,14,17,2508,1144,13,3,12,9,1181,1263,16,6,10,3,1296,29209,594,68,140,113,30119
RA52,1117,17,0,16,16,1173,643,13,0,3,0,665,544,17,3,11,5,582,1087,23,3,7,3,1126,1340,46,6,16,5,1404,3705,118,10,18,12,3864,3481,100,11,12,7,3613,4089,89,10,12,16,4214,1746,36,0,13,5,1806,1216,22,3,6,5,1251,647,19,0,7,7,681,893,21,5,9,6,933,20520,515,44,134,89,21307
RA53,439,8,0,5,4,458,163,0,0,5,0,171,170,0,0,0,0,171,233,3,7,0,0,243,290,6,5,3,4,309,602,19,0,7,3,641,558,18,8,4,3,599,824,27,14,13,3,884,521,10,8,4,5,543,654,11,3,9,5,688,473,7,5,3,6,497,270,8,0,3,3,282,5195,130,61,55,42,5477
RA54,124,0,0,10,4,142,79,0,3,3,3,85,66,0,0,0,0,68,82,3,0,7,0,91,85,0,0,0,0,89,229,5,3,8,4,243,206,3,0,7,3,219,261,7,0,15,3,289,142,3,5,6,0,155,168,3,0,4,3,178,108,0,4,10,0,121,109,3,0,5,3,121,1647,28,19,73,31,1797
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,2141,65,75,10,0,2286,1493,51,42,3,0,1588,1297,43,45,0,3,1386,2642,97,77,8,8,2820,3787,136,162,7,6,4102,10197,270,278,20,24,10789,8990,203,169,13,13,9391,6737,130,92,14,14,6997,2118,56,34,0,0,2218,1541,36,21,3,4,1609,836,24,12,5,4,883,1356,31,36,3,6,1427,43122,1148,1045,100,84,45495
RA62,1308,10,3,7,8,1333,994,3,5,5,8,1024,989,5,4,4,0,1011,1738,12,8,16,6,1778,2274,17,0,7,11,2311,4756,14,7,13,12,4809,3242,14,3,8,11,3285,2004,8,4,11,13,2036,621,3,0,3,3,631,407,0,0,3,3,421,253,3,0,3,3,259,854,4,0,11,6,875,19440,100,35,101,98,19773
RA63,77,0,0,0,0,76,80,0,0,0,0,82,67,0,0,0,0,67,98,4,0,0,3,98,89,4,0,0,0,94,126,0,0,0,3,135,61,0,0,0,0,68,47,0,0,0,0,51,13,0,0,0,0,9,13,0,0,0,0,9,3,0,0,0,0,8,30,0,0,0,0,31,701,17,6,5,8,732
RA64,23,0,0,0,0,23,10,0,0,0,0,13,25,0,0,0,0,23,30,0,0,0,0,30,25,0,0,0,0,25,34,0,0,0,0,32,20,0,0,0,3,30,16,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,14,0,0,0,0,14,210,3,0,3,8,218
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,333,37,66,0,3,446,148,13,21,0,0,186,124,11,20,0,0,158,228,20,44,6,3,302,330,37,80,6,0,449,1057,136,237,16,3,1450,1271,182,305,13,5,1770,2365,265,509,28,5,3168,2117,142,259,18,7,2539,2307,93,194,6,6,2606,1241,38,94,6,3,1382,546,44,58,7,3,658,12066,1022,1883,99,45,15110
RA73,88,11,0,3,0,103,44,3,0,0,0,50,48,12,0,3,0,69,93,18,3,7,0,121,135,31,3,8,0,173,394,100,14,18,3,529,552,136,12,18,4,718,774,128,9,31,6,946,444,35,3,25,5,508,328,17,0,9,6,360,148,8,0,3,4,170,136,7,0,11,3,156,3190,513,37,132,35,3904
RA74,13,0,0,3,0,16,16,0,0,0,0,20,6,0,0,0,0,9,10,0,3,0,0,14,11,0,0,0,0,17,38,0,0,4,0,46,50,0,0,3,0,59,17,0,0,0,0,18,3,0,0,0,0,4,8,0,0,0,0,6,4,0,0,3,0,11,11,0,0,3,0,13,190,3,11,23,0,226
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,1934,312,141,0,3,2380,735,101,49,0,0,885,609,90,48,0,0,755,1006,205,108,0,0,1320,1355,292,168,0,0,1828,3820,901,599,3,3,5329,5005,1611,1168,4,7,7793,10608,2247,1187,5,9,14060,6853,821,395,4,3,8082,5963,631,288,0,3,6892,3341,279,168,0,0,3793,1321,193,102,0,0,1622,42558,7688,4421,26,31,54735
RA81,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,22,0,0,0,0,22,14,0,0,0,0,14,19,0,0,0,0,19,10,0,0,0,0,10,7,0,0,0,0,7,99,0,0,0,0,100
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,18,0,0,0,0,17,9,0,0,0,0,9,9,0,0,0,0,9,13,0,0,0,0,12,20,0,0,0,0,25,59,0,3,0,0,65,54,0,3,0,0,57,36,3,0,0,0,44,19,0,0,0,0,19,14,0,0,0,0,11,11,0,0,0,0,9,13,0,0,0,0,13,282,11,11,0,3,297
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
