RA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
RA61,66,479,7,555,9572,845,10969,567,399,18,983,9470,814,11271,5859,666,199,6721,12603,1584,20901,10172,483,316,10973,7625,1343,19939,6040,783,177,6997,13538,1551,22086,1101,1966,43,3107,16661,1614,21384,173,2100,7,2277,12782,1561,16617,25,465,0,490,7004,1060,8552,6,33,0,40,2550,446,3034,24019,7363,763,32147,91805,10803,134753,157,884,8,1053,8636,858,10546,1252,801,62,2112,8142,696,10948,8701,1165,559,10425,10085,1264,21768,12509,894,786,14189,6550,1202,21942,5673,2003,261,7936,14589,1340,23866,439,4880,44,5371,16546,1598,23510,114,3390,15,3519,13245,1741,18504,41,616,3,657,8589,1521,10765,16,35,0,55,4576,844,5471,28897,14668,1747,45314,90959,11055,147327,222,1367,16,1606,18213,1698,21518,1821,1200,82,3101,17611,1503,22216,14559,1827,759,17144,22681,2844,42673,22673,1377,1106,25157,14182,2544,41884,11710,2783,441,14935,28125,2892,45954,1544,6844,88,8476,33211,3207,44895,284,5486,24,5800,26024,3298,35120,66,1082,4,1149,15588,2576,19316,25,67,0,94
RA62,25,183,3,213,3997,558,4771,299,135,7,439,3021,284,3745,2522,242,86,2849,3429,508,6781,4116,205,120,4438,2972,617,8029,2546,450,72,3070,7012,849,10930,522,966,15,1510,10096,1029,12634,99,691,4,797,8669,1135,10595,13,128,0,143,3943,707,4788,16,8,0,23,985,237,1243,10163,3011,312,13487,44118,5919,63525,59,357,8,425,3441,505,4367,595,273,35,905,2251,235,3391,3752,377,228,4362,2434,500,7298,4962,359,258,5575,2553,588,8718,2210,1160,104,3473,7247,802,11516,182,2186,15,2381,9303,934,12615,75,1137,3,1212,7812,1070,10097,18,158,3,177,3863,803,4852,18,16,0,37,1491,311,1837,11879,6027,655,18554,40395,5735,64689,88,548,8,641,7438,1057,9138,894,411,44,1340,5277,515,7133,6280,620,316,7209,5862,1008,14084,9080,565,375,10020,5523,1208,16750,4756,1609,181,6545,14253,1645,22450,705,3150,30,3890,19396,1960,25248,176,1821,13,2009,16481,2208,20696,30,285,3,323,7803,1512,9637,35,26,0,61
RA63,3,6,0,14,100,27,143,13,3,0,22,125,15,156,148,17,0,166,179,38,378,166,6,7,184,179,42,405,120,19,4,144,402,68,616,31,37,0,73,612,60,748,0,26,0,29,497,80,616,0,7,0,7,195,40,243,0,0,0,3,40,13,53,487,134,13,637,2336,375,3353,8,18,0,20,94,22,141,34,12,0,44,91,21,156,198,18,11,228,141,39,409,202,19,6,223,137,29,393,80,57,7,140,343,43,536,10,82,0,91,520,66,677,0,48,0,48,388,73,507,0,4,0,4,174,42,222,0,0,0,0,53,16,69,523,256,32,805,1942,350,3101,8,22,0,32,198,47,282,48,17,0,65,212,32,313,347,39,17,396,318,71,788,369,24,15,406,316,68,793,200,80,7,290,749,109,1152,39,123,0,156,1137,125,1419,0,73,0,77,885,157,1116,0,19,0,19,370,83,466,0,0,0,3
RA64,0,0,0,0,34,10,51,0,3,0,9,47,7,62,50,4,0,59,67,7,133,62,3,0,67,49,10,130,31,7,0,41,126,15,175,3,9,0,12,211,23,242,3,18,0,17,163,19,199,0,3,0,3,69,11,85,0,0,0,0,20,3,21,152,47,0,204,788,105,1094,0,0,0,0,15,17,31,3,3,0,5,34,3,45,61,9,7,73,56,11,145,70,7,5,76,39,6,122,27,7,0,38,124,7,169,3,32,0,36,172,15,223,0,21,0,21,123,14,154,0,3,0,7,66,13,86,0,0,0,0,31,10,34,163,86,12,260,658,97,1012,0,4,0,4,51,25,84,5,4,0,12,78,8,100,107,16,7,131,125,19,273,124,13,3,141,87,19,243,60,12,0,74,247,25,345,8,43,0,51,380,37,469,3,36,0,34,288,35,356,0,6,0,11,139,24,171,3,0,0,6
RA65,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,11,4,15,3,0,0,3,3,3,5,3,0,0,3,6,0,10,0,0,0,0,6,0,8,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,41,6,49,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,21,4,23,3,0,0,3,3,3,5,7,0,0,7,10,0,15,0,0,0,0,12,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,3,27,3,34,3,0,0,3,34,19,56,17,3,0,24,65,34,120,14,3,0,20,49,22,93,5,0,0,9,46,20,77,3,0,0,3,39,7,52,0,0,0,0,36,12,48,0,0,0,0,4,6,8,0,0,0,0,0,0,0,46,13,0,63,302,122,481,0,0,0,0,25,7,33,10,0,0,9,21,7,29,11,4,3,21,36,9,69,19,4,0,21,29,5,54,6,0,0,5,40,17,59,0,12,0,12,45,8,56,0,5,0,5,30,9,38,0,0,0,0,5,0,5,0,0,0,0,0,0,0,39,22,6,70,231,58,350,0,0,0,3,56,9,62,9,3,0,13,55,20,90,33,9,3,42,96,43,183,35,9,0,40,77,30,147,9,3,0,17,90,35,135,3,10,0,14,80,15,113,0,5,0,5,70,18,84,0,0,0,0,9,4,12,0,0,0,0
RA72,17,204,4,235,3213,597,4039,199,171,0,377,3986,833,5198,2718,324,49,3090,8541,2415,14046,4451,212,94,4752,4921,1800,11472,2259,288,68,2615,5959,1515,10094,486,496,16,1000,5350,1085,7434,87,374,4,462,2978,580,4021,17,68,0,84,981,182,1246,3,7,0,4,222,45,273,10240,2141,239,12619,36155,9056,57821,45,337,3,384,2689,483,3560,493,264,14,772,3011,566,4355,4186,491,192,4865,6399,1552,12810,5195,338,233,5771,3483,1056,10315,1894,664,103,2659,5245,951,8858,190,1153,13,1350,4449,808,6612,36,606,3,645,2320,423,3393,12,84,0,104,944,183,1226,0,3,0,6,297,54,356,12054,3945,560,16561,28830,6083,51481,69,542,12,618,5899,1082,7600,694,439,16,1148,6999,1405,9555,6903,815,236,7956,14944,3961,26858,9648,549,329,10523,8407,2862,21789,4156,953,170,5282,11206,2467,18951,678,1647,26,2355,9798,1893,14042,125,981,8,1105,5302,1004,7413,26,152,0,187,1924,361,2470,4,9,0,8
RA73,22,133,5,158,1009,283,1449,104,68,15,192,946,372,1502,863,114,57,1033,1910,818,3766,1078,101,55,1229,1334,549,3111,628,149,29,812,1891,645,3341,141,168,3,310,1927,493,2726,25,97,0,126,1013,273,1415,3,15,0,19,310,100,428,0,0,0,0,67,14,84,2866,848,163,3874,10410,3539,17827,43,159,10,214,773,215,1201,235,112,22,364,738,250,1352,1284,197,120,1598,1658,646,3899,1292,179,118,1593,1140,450,3185,595,320,41,959,1900,525,3390,56,363,6,422,1743,432,2600,13,137,3,157,819,219,1184,3,35,0,39,303,75,423,3,3,0,5,114,33,152,3517,1503,326,5346,9185,2857,17385,66,295,14,374,1779,497,2654,336,178,36,554,1685,619,2856,2149,311,178,2633,3565,1459,7662,2366,282,176,2819,2475,1001,6297,1221,472,74,1770,3792,1172,6726,193,530,15,736,3669,925,5327,43,235,3,277,1826,489,2596,6,48,0,54,621,180,850,0,3,0,4
RA74,80,385,41,510,1011,449,1965,295,335,104,733,946,356,2040,1089,480,248,1818,1536,583,3936,922,336,197,1459,1120,451,3030,406,419,123,941,1238,355,2541,96,284,34,414,1042,254,1715,21,106,7,141,459,106,703,7,23,3,37,134,31,195,0,0,0,3,26,7,30,2924,2370,763,6053,7513,2592,16158,148,456,69,670,769,378,1819,534,351,181,1075,652,275,2000,1523,527,363,2411,1152,523,4090,1064,478,296,1837,871,392,3105,351,665,147,1158,1130,335,2617,81,483,59,618,937,222,1766,14,178,20,212,380,77,667,7,38,10,57,129,36,224,0,5,0,11,21,10,36,3717,3182,1144,8044,6035,2250,16332,225,841,106,1181,1779,835,3788,827,690,288,1810,1603,636,4044,2613,1005,608,4228,2691,1106,8029,1986,817,495,3297,1992,844,6136,749,1077,270,2102,2367,692,5159,180,767,86,1028,1975,477,3483,37,286,28,352,838,183,1371,19,66,11,93,258,63,411,3,10,0,10
RA75,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,19,5,23,0,0,0,0,12,7,16,0,0,0,0,4,3,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,38,18,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,17,3,30,0,0,0,0,12,10,19,0,0,0,0,4,3,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
RA79,0,0,0,0,17,4,16,0,3,0,0,60,37,98,12,7,0,25,105,94,219,30,9,0,38,99,84,215,13,3,0,17,135,103,257,7,8,0,10,163,55,229,0,3,0,3,135,36,174,0,0,0,0,18,11,20,0,0,0,0,0,0,0,70,30,0,95,723,416,1240,0,0,0,0,12,0,17,0,3,0,3,47,39,85,28,7,0,40,117,80,239,42,3,0,47,69,68,180,17,5,0,17,112,75,203,0,4,0,4,159,44,212,0,3,0,3,80,24,105,0,0,0,0,9,3,10,0,0,0,0,0,0,0,81,34,0,114,599,329,1043,0,0,0,3,29,8,32,3,3,0,10,108,74,183,42,16,0,61,221,173,457,74,12,0,82,162,145,396,30,7,0,34,243,181,461,7,13,0,13,325,99,438,0,10,0,10,215,58,278,0,0,0,0,24,9,38,0,0,0,0
RA80,30,596,3,632,10944,749,12323,288,412,17,719,14010,1078,15810,6711,784,159,7642,22275,2402,32326,14333,505,393,15233,11732,1851,28816,8013,652,217,8885,14454,1570,24909,1391,1953,35,3376,15255,1194,19825,207,2628,15,2857,10055,1004,13914,44,608,3,650,5056,729,6436,9,35,0,43,1874,399,2316,31020,8177,846,40046,105650,10973,156663,71,984,4,1062,10355,683,12100,746,826,33,1608,12939,969,15511,10455,1396,510,12364,19173,2051,33586,16777,909,863,18550,9356,1461,29363,7265,1551,336,9148,15429,1332,25910,583,4458,56,5097,15149,1285,21533,148,4161,31,4331,10081,1075,15485,46,739,0,785,6198,936,7911,13,53,0,63,2894,875,3837,36101,15075,1837,53007,101568,10665,165240,101,1584,12,1695,21295,1432,24420,1029,1239,58,2327,26948,2047,31319,17168,2178,667,20007,41452,4449,65909,31107,1410,1261,33784,21086,3315,58180,15280,2199,555,18037,29886,2895,50816,1972,6408,90,8470,30405,2482,41358,357,6788,46,7187,20137,2078,29400,86,1348,5,1440,11247,1663,14346,13,92,3,111
RA81,0,0,0,0,19,3,21,0,0,0,0,20,0,19,13,0,0,16,30,10,48,31,0,0,37,15,10,57,12,0,0,10,31,6,55,0,0,0,0,30,5,38,3,0,0,4,11,0,16,0,0,0,0,6,0,6,0,0,0,0,0,0,0,58,4,3,71,164,28,264,0,4,0,4,18,6,25,0,0,0,0,17,0,17,23,0,0,23,24,10,55,40,0,0,41,14,5,60,6,3,0,6,26,3,47,0,5,0,4,20,0,32,0,5,0,5,7,0,9,0,0,0,0,4,0,4,0,0,0,0,0,0,3,65,11,7,86,131,29,244,0,3,0,3,35,13,50,0,0,0,0,29,0,31,30,0,3,33,54,12,105,70,6,0,77,29,11,118,15,3,0,21,61,14,96,4,6,0,8,56,8,72,4,3,0,9,20,0,27,0,0,0,0,8,0,8,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,10,3,16,0,3,0,3,32,6,36,7,0,0,8,50,8,63,12,3,0,12,29,22,67,4,0,0,4,24,16,43,3,0,0,5,25,15,38,0,0,0,0,15,3,15,0,0,0,0,3,0,5,0,0,0,0,0,0,0,19,9,0,32,181,82,297,0,4,0,6,9,4,20,0,3,0,3,28,8,42,5,4,0,11,25,3,44,5,0,0,4,28,9,40,7,0,0,7,13,5,26,0,11,3,14,16,8,34,0,0,0,0,11,0,9,0,0,0,0,4,0,4,0,0,0,0,3,0,3,20,22,3,41,141,31,209,0,4,0,6,23,10,35,0,4,0,4,57,9,79,12,5,0,17,76,16,108,14,3,3,20,58,26,107,6,3,0,13,41,20,68,3,8,3,13,40,24,78,0,0,0,0,21,3,24,0,0,0,0,4,0,8,0,0,0,0
RA91,0,0,0,0,11,3,15,0,0,0,0,19,6,28,0,0,0,0,26,17,40,6,0,0,8,13,0,25,3,0,0,6,19,9,34,0,7,0,4,10,3,21,0,0,0,0,3,0,9,0,0,0,0,3,0,8,0,0,0,0,0,0,0,21,10,0,26,105,45,175,0,3,0,8,3,6,19,0,0,0,0,5,3,7,8,0,0,8,14,5,23,8,9,0,18,12,8,36,6,0,0,6,11,3,23,0,4,0,3,6,7,18,0,0,0,0,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,0,40,60,38,140,0,4,0,5,20,10,35,0,0,0,0,26,9,39,9,0,0,9,33,18,61,18,6,0,24,21,9,58,9,0,0,9,32,16,59,3,10,0,8,17,5,33,0,3,0,3,6,10,15,0,0,0,0,3,0,6,0,0,0,0
RA94,0,3,0,3,69,19,90,3,3,0,3,50,51,104,46,4,3,59,103,127,288,121,4,6,133,99,91,323,72,12,0,86,183,66,334,19,14,0,29,252,54,339,3,14,0,19,190,35,253,0,3,0,7,70,11,90,0,0,0,0,18,3,28,269,59,10,341,1040,459,1841,0,9,0,9,62,13,84,10,5,0,14,36,10,53,92,13,3,106,82,29,221,126,9,5,149,91,15,253,60,21,8,85,180,45,314,10,36,0,47,233,45,325,5,22,0,29,148,19,193,3,6,0,4,71,14,90,0,0,0,0,24,3,29,302,127,19,444,921,199,1565,0,10,0,10,129,32,173,9,12,0,16,87,59,161,146,17,3,165,184,152,507,249,15,14,279,189,106,576,133,31,9,170,368,114,651,23,53,0,78,489,99,661,9,43,0,49,336,56,444,3,9,0,14,139,31,179,0,0,0,0
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,0,4,0,0,0,0,3,0,4,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,18,4,30,0,0,0,0,0,4,3,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,3,0,9,0,0,0,0,10,0,11,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0
