RA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
RA23,0,0,3,64,53,116,0,3,3,62,57,118,0,0,3,80,71,154,0,9,9,82,82,162,0,0,3,76,71,145,3,6,10,81,81,155,0,0,0,51,61,116,3,3,7,57,67,121,0,0,0,40,35,83,10,0,8,50,40,90,0,0,0,43,32,77,4,3,10,46,37,82,0,0,0,53,46,106,8,3,12,60,54,111,0,0,0,50,73,124,3,9,10,58,77,135,3,0,3,72,61,133,6,4,15,80,66,143,0,0,3,66,83,152,9,8,17,78,93,173,3,3,3,116,98,209,12,5,21,132,103,233,3,5,7,134,141,272,11,5,18,145,145,295,3,3,4,149,133,280,15,7,20,163,136,304,3,3,5,458,399,857,30,30,61,488,434,924,17,21,34,1454,1360,2810,118,100,219,1586,1471,3059
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,24,3,0,3,28,4,29
RA29,16,6,25,175,138,312,24,13,39,215,163,379,0,8,8,72,87,157,15,11,24,88,105,195,7,7,9,69,73,145,13,16,25,88,88,176,15,13,28,141,146,288,20,16,39,180,178,357,10,6,23,371,385,753,65,62,121,447,453,898,21,4,22,439,386,821,85,60,143,542,450,994,20,13,28,411,279,691,76,51,134,513,345,856,25,6,32,352,205,555,64,42,108,441,253,693,16,17,38,296,176,471,58,30,95,372,229,601,16,6,23,286,144,427,51,25,73,349,170,524,11,5,20,223,146,364,47,25,66,277,177,451,12,4,12,196,158,355,35,27,58,237,188,425,4,3,12,188,137,324,33,26,55,219,169,390,0,6,6,316,238,556,47,36,80,365,279,643,160,117,279,3534,2688,6219,638,434,1069,4331,3238,7565
RA30,3716,3652,7371,87472,82950,170424,5010,4844,9854,96201,91445,187648,3712,3664,7380,92346,87475,179815,4833,4582,9412,100895,95712,196604,3619,3356,6972,86424,81664,168090,4260,4208,8473,94304,89230,183531,3472,3392,6861,87493,84982,172473,4543,4546,9087,95504,92917,188422,3105,3083,6195,97571,98214,195785,6540,6602,13142,107224,107900,215122,2358,2449,4813,96913,100661,197571,6917,7013,13930,106194,110125,216315,1946,1982,3931,98333,103285,201618,6836,6454,13286,107115,111725,218838,1634,1801,3436,91448,96363,187812,5925,5358,11290,99012,103522,202533,1686,1848,3534,94183,100072,194253,5914,5401,11316,101777,107316,209098,1550,1784,3335,90947,97838,188784,5970,5380,11348,98472,105000,203470,1322,1499,2820,84010,90150,174160,5479,5105,10587,90810,96755,187572,1052,1195,2243,76568,83412,159988,4956,4801,9759,82576,89415,171994,741,890,1635,67391,73590,140980,4381,4506,8886,72517,78988,151501,1060,1451,2511,180844,213882,394732,12282,14838,27120,194189,230171,424359,30983,32044,63029,1331946,1394540,2726487,83859,83642,167499,1446788,1510223,2957012
RA31,2597,2478,5071,23971,23181,47152,1742,1739,3481,28310,27398,55703,2811,2690,5497,27841,26391,54230,1940,1888,3833,32596,30969,63563,2578,2593,5175,27778,26270,54050,1928,1882,3809,32285,30742,63034,2314,2262,4575,26159,24597,50755,1868,1834,3706,30341,28694,59029,1826,1527,3351,22601,21825,44427,1945,1779,3723,26368,25134,51504,1364,1238,2604,21909,22783,44694,1970,1713,3679,25246,25733,50980,1101,1200,2304,22746,24274,47024,1983,1654,3638,25833,27136,52967,1048,1043,2087,22616,24211,46830,2011,1601,3616,25674,26858,52530,1052,1207,2262,25631,27515,53147,2260,1975,4234,28948,30695,59642,989,1138,2128,27635,29522,57157,2494,2115,4609,31120,32773,63896,908,986,1885,28326,30173,58504,2516,2177,4686,31748,33329,65079,723,819,1545,28944,30425,59369,2616,2147,4760,32288,33390,65677,527,597,1126,27294,28247,55543,2251,2095,4345,30067,30945,61009,838,1024,1862,78359,83755,162111,6370,6882,13250,85560,91663,177226,20665,20803,41469,411829,423167,834996,33891,31477,65371,466384,475452,941836
RA32,2902,2752,5654,17635,16327,33957,1787,1588,3376,22325,20667,42994,3188,2968,6153,19035,17967,36995,1859,1771,3632,24079,22704,46779,2932,2857,5787,18136,17058,35190,1666,1550,3210,22728,21458,44191,2612,2455,5072,17168,16009,33176,1684,1587,3273,21466,20048,41515,2058,2045,4102,16765,16080,32842,2190,1760,3954,21008,19887,40900,1621,1743,3364,17249,17803,35046,2296,1919,4215,21169,21462,42629,1480,1571,3053,17933,19023,36951,2317,1898,4219,21733,22488,44220,1289,1468,2757,16975,18238,35217,1967,1762,3726,20230,21467,41696,1352,1500,2852,18760,19705,38467,2207,1828,4034,22320,23031,45356,1218,1454,2672,19714,20102,39815,2288,1895,4182,23216,23459,46671,1086,1193,2275,19919,20024,39942,2335,1904,4236,23340,23115,46454,892,1023,1914,19776,19406,39184,2182,1854,4038,22853,22281,45137,691,780,1473,17948,17048,34992,1874,1627,3499,20510,19457,39968,974,1294,2271,44206,43283,87489,4680,4690,9369,49862,49269,99133,24294,25087,49385,281215,278063,559282,31327,27641,58968,336841,330793,667628
RA33,652,671,1322,1836,1695,3531,265,252,517,2746,2618,5363,650,602,1254,1830,1737,3563,251,231,485,2730,2568,5297,631,569,1198,1498,1335,2828,244,205,448,2366,2109,4474,526,480,1010,1291,1065,2356,195,164,363,2014,1710,3727,447,471,924,1511,1434,2944,331,288,622,2289,2200,4487,370,391,758,1970,1924,3894,481,359,834,2816,2677,5487,325,345,668,2006,1922,3927,445,291,739,2779,2556,5334,284,279,562,1774,1590,3365,348,220,571,2405,2085,4498,338,341,683,1863,1694,3556,325,226,552,2521,2266,4788,332,339,674,1914,1661,3579,330,260,588,2576,2263,4837,290,298,584,2095,1800,3898,371,267,636,2754,2364,5119,209,263,479,2135,1701,3835,347,227,567,2691,2186,4883,184,192,376,1784,1449,3235,278,182,456,2243,1820,4064,263,294,559,4125,3301,7424,557,417,975,4946,4019,8963,5501,5540,11043,27619,24302,51927,4762,3594,8359,37888,33441,71327
RA34,1266,1137,2396,880,887,1768,126,124,249,2269,2150,4415,1311,1262,2568,924,856,1780,122,127,246,2363,2237,4599,1121,1067,2191,669,611,1279,98,106,204,1893,1777,3670,937,905,1848,635,520,1158,82,82,168,1664,1510,3176,879,945,1828,827,818,1644,121,113,238,1830,1878,3706,765,841,1605,1063,1013,2075,163,150,308,1986,1997,3988,586,692,1281,978,1113,2090,131,133,260,1692,1932,3626,586,663,1249,891,815,1707,149,108,255,1630,1583,3213,557,598,1158,972,917,1888,112,110,221,1647,1619,3272,549,596,1142,995,949,1946,131,117,254,1676,1661,3337,510,549,1058,1180,1074,2260,144,127,265,1838,1746,3585,414,437,847,1255,1046,2299,155,110,261,1815,1597,3410,294,318,611,1126,859,1989,134,98,239,1557,1276,2833,457,509,971,2402,2035,4435,273,202,475,3126,2757,5883,10234,10520,20757,14805,13515,28317,1941,1703,3646,26985,25740,52723
RA35,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,3,5,11,0,0,0,3,0,3,0,0,3,3,4,11,0,0,0,3,4,5,0,0,0,3,4,5,0,0,0,3,3,7,0,0,0,3,3,7,0,0,0,7,0,7,0,0,0,6,0,6,0,0,0,4,7,9,0,0,0,4,3,12,0,0,0,5,5,6,0,0,0,5,5,6,0,0,0,5,3,13,0,0,0,5,3,14,0,0,0,5,8,15,0,3,3,5,14,19,0,0,0,8,3,7,0,0,0,8,3,12,0,0,0,22,26,50,0,5,5,21,28,56,0,5,3,63,71,131,6,9,15,66,87,150
RA39,27,19,43,128,120,249,24,20,48,182,160,339,12,14,30,113,109,222,23,19,41,150,144,289,6,16,23,77,74,152,18,8,22,104,96,197,24,28,50,154,149,308,28,24,45,212,203,408,31,39,70,444,439,883,90,94,180,559,576,1133,59,24,82,538,504,1041,125,99,221,714,627,1349,40,22,65,438,298,739,91,52,146,573,374,948,51,28,83,352,198,547,77,33,107,479,261,738,73,36,102,334,192,523,85,32,118,487,256,742,57,23,84,329,234,561,68,41,107,455,298,752,49,24,72,382,318,702,84,49,137,518,393,914,19,18,34,398,487,884,77,83,164,489,592,1080,25,11,30,537,551,1089,102,77,176,660,639,1294,24,13,33,1164,827,1990,179,131,317,1365,971,2332,488,310,799,5388,4498,9886,1061,771,1827,6937,5572,12510
RA40,1062,962,2030,34606,32575,67179,1623,1522,3146,37293,35061,72353,1058,1021,2076,34535,33316,67854,1500,1443,2947,37096,35781,72871,955,942,1894,32698,30844,63541,1396,1242,2638,35049,33031,68077,1008,974,1989,35705,34190,69900,1461,1490,2950,38172,36661,74835,803,845,1646,40810,39555,80361,1955,1862,3816,43560,42267,85827,706,730,1439,39167,40054,79220,2044,2001,4047,41918,42787,84706,542,574,1117,40229,41548,81777,2119,1940,4062,42895,44065,86959,414,478,894,37079,37741,74825,1889,1655,3548,39387,39881,79263,441,535,976,37292,37924,75220,1848,1574,3421,39581,40028,79614,412,503,920,38360,39775,78134,1970,1732,3702,40741,42013,82758,351,435,789,37469,39185,76652,1913,1756,3667,39734,41379,81109,298,385,680,35682,38447,74124,1895,1817,3708,37867,40645,78515,254,268,522,31363,34948,66310,1663,1646,3305,33282,36862,70138,325,428,747,89339,110990,200327,5228,6945,12172,94885,118363,213251,8639,9082,17726,564329,591096,1155422,28494,28648,57138,601460,628829,1230284
RA41,238,205,452,5350,5200,10555,308,319,627,5898,5725,11624,240,206,448,6309,5875,12185,367,335,707,6917,6416,13335,213,200,410,6211,6038,12243,359,344,697,6781,6571,13358,197,201,400,6057,5890,11943,351,320,674,6605,6415,13015,173,143,320,5165,4831,9996,306,298,604,5644,5268,10913,123,116,235,4745,4707,9447,321,292,615,5191,5109,10298,102,115,215,4945,5238,10182,290,277,571,5344,5624,10971,79,87,171,5052,5378,10430,321,292,615,5444,5765,11212,88,122,207,5999,6404,12402,365,367,733,6452,6888,13341,91,106,194,6770,7133,13897,418,411,831,7277,7652,14931,75,87,164,6873,7381,14259,432,403,834,7383,7874,15250,78,66,149,7240,7416,14654,476,489,958,7791,7968,15759,61,58,122,6886,7164,14049,457,455,916,7407,7677,15085,96,101,195,20229,22152,42381,1391,1457,2849,21723,23699,45419,1863,1811,3673,97829,100788,198623,6166,6056,12219,105861,108653,214510
RA42,419,390,813,4113,3919,8030,303,261,564,4842,4575,9411,463,470,928,4654,4295,8947,313,295,605,5429,5058,10483,428,433,864,4714,4319,9035,324,296,617,5469,5047,10511,352,343,701,4478,4032,8510,292,267,554,5123,4644,9764,268,273,546,3866,3317,7178,274,248,525,4409,3834,8243,266,259,524,3975,3745,7725,277,239,519,4526,4246,8764,224,236,463,4004,3965,7965,263,270,539,4489,4476,8968,180,192,373,3969,3989,7961,277,244,520,4430,4418,8850,210,212,421,4615,4436,9051,325,253,576,5157,4899,10053,213,223,440,5324,5221,10545,403,344,747,5937,5787,11726,231,213,438,5848,5512,11363,462,395,856,6541,6121,12657,160,177,339,6041,5824,11867,450,437,881,6644,6436,13082,103,136,241,5981,5556,11536,425,401,827,6513,6094,12607,208,226,428,16459,17575,34028,1339,1481,2816,17997,19278,37274,3737,3780,7515,78040,75698,153741,5726,5424,11152,87501,84907,172404
RA43,88,55,150,1229,1154,2384,111,97,204,1429,1306,2735,93,70,161,1288,1161,2448,113,89,202,1493,1322,2813,66,65,133,1198,1124,2316,86,101,187,1348,1293,2642,63,59,123,1030,917,1952,79,83,165,1176,1059,2238,56,50,110,868,790,1662,101,66,169,1025,911,1938,43,44,88,1073,1044,2115,94,77,174,1207,1164,2375,74,38,110,1185,1140,2333,127,96,227,1386,1281,2663,33,26,56,1123,1054,2177,113,78,187,1265,1160,2423,34,25,62,1153,1175,2327,79,101,183,1265,1300,2567,40,49,87,1398,1282,2682,127,96,224,1569,1425,2996,32,37,69,1459,1312,2770,124,88,210,1617,1435,3055,41,33,72,1551,1492,3036,125,119,244,1714,1638,3355,17,26,44,1485,1293,2781,143,101,245,1650,1419,3071,22,29,51,3831,3855,7687,342,352,697,4196,4239,8433,708,602,1315,19859,18803,38669,1778,1545,3319,22353,20950,43300
RA44,159,175,334,218,230,450,26,44,69,405,451,856,171,183,349,263,219,481,32,29,63,464,431,897,173,178,357,201,205,405,30,26,56,408,411,815,174,143,319,151,144,293,20,27,47,345,317,663,171,192,363,205,166,375,41,27,68,409,391,799,153,162,315,272,236,509,53,38,88,476,432,913,142,150,293,293,248,545,54,44,94,487,442,930,119,128,252,281,234,516,50,34,85,448,395,849,120,122,241,302,244,546,49,36,82,468,405,873,115,136,256,334,273,608,64,48,110,514,454,971,104,110,211,359,289,641,59,42,99,516,433,957,61,88,148,397,319,721,60,51,108,524,456,974,60,58,112,417,304,718,64,29,91,535,385,920,68,86,151,876,591,1466,122,114,238,1069,791,1856,1802,1906,3706,4579,3690,8270,710,593,1304,7091,6188,13278
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,6,0,3
RA49,7,4,13,36,33,70,3,3,6,50,43,91,0,3,3,26,27,50,7,3,9,35,37,67,0,3,9,22,24,46,3,3,10,29,34,60,15,10,21,75,62,131,7,5,11,95,80,173,12,22,31,135,70,210,17,10,22,161,99,266,15,6,22,157,95,248,13,14,33,187,118,304,18,11,30,128,71,202,17,4,22,164,93,259,15,11,25,107,64,172,16,7,24,136,80,221,18,15,31,110,42,158,15,7,21,141,61,205,8,10,25,105,60,169,23,25,49,142,96,238,12,4,17,109,77,184,22,8,30,143,91,235,6,4,11,95,68,166,20,8,24,122,81,207,8,0,8,90,69,166,20,10,36,114,82,198,5,4,5,196,117,308,27,10,38,220,129,351,141,114,249,1400,886,2279,202,130,328,1734,1129,2863
RA50,1814,1727,3542,59160,56246,115411,3339,3074,6416,64320,61051,125375,1768,1757,3528,59510,56404,115917,2962,2746,5711,64243,60918,125163,1737,1693,3430,54735,51836,106568,2618,2463,5087,59092,55993,115086,1689,1561,3258,56059,53776,109832,2766,2594,5365,60519,57931,118451,1492,1434,2920,61737,59131,120862,3940,3822,7763,67166,64380,131547,1296,1192,2487,67053,68772,135830,5488,4856,10341,73838,74822,148659,997,1009,2010,70805,71776,142588,5416,4628,10039,77216,77413,154629,751,822,1576,62571,63773,126348,4397,3510,7910,67720,68107,135824,729,854,1587,60831,63025,123861,4044,3424,7466,65602,67306,132911,717,860,1573,60460,62528,122992,4042,3277,7321,65216,66666,131885,609,696,1308,56071,58102,114166,3724,3154,6875,60401,61944,122354,502,594,1094,50159,53574,103738,3306,2998,6307,53970,57173,111138,348,449,796,44066,47853,91917,2908,2770,5679,47319,51078,98391,471,666,1137,113794,133856,247652,7594,9061,16654,121852,143585,265440,14920,15325,30242,877009,900661,1777672,56546,52386,108929,948475,968373,1916847
RA51,314,280,592,6131,5597,11729,483,457,939,6929,6335,13260,325,334,653,6901,6388,13285,511,502,1013,7738,7217,14955,339,348,685,6597,6440,13030,523,501,1023,7455,7288,14744,282,253,533,6169,5651,11815,487,460,943,6932,6359,13294,321,210,526,4876,4320,9197,479,392,872,5670,4925,10599,277,149,420,5155,5064,10213,489,447,940,5921,5659,11578,237,156,400,5794,6011,11803,548,436,979,6576,6604,13183,215,134,342,6144,6144,12288,538,466,1004,6897,6735,13633,220,160,380,6570,6875,13445,596,554,1154,7391,7591,14981,186,159,351,7061,7292,14351,653,568,1220,7901,8020,15916,147,141,294,6979,6982,13960,618,524,1142,7754,7646,15400,106,116,225,6718,7095,13817,639,593,1230,7468,7806,15268,101,89,190,6298,6387,12684,553,506,1058,6948,6981,13926,111,119,227,16121,16772,32893,1534,1641,3181,17764,18537,36297,3176,2647,5821,97511,97007,194519,8648,8048,16702,109338,107703,217037
RA52,594,534,1128,4855,4723,9578,466,433,898,5915,5693,11607,668,619,1287,5360,5146,10502,475,462,937,6504,6227,12729,587,607,1199,5047,4834,9878,470,407,873,6099,5852,11949,504,492,996,4846,4376,9224,435,387,820,5787,5249,11041,478,346,825,4094,3524,7615,349,344,693,4914,4219,9135,398,357,753,4318,4387,8703,482,412,895,5188,5157,10345,312,324,636,4621,4858,9479,522,442,971,5458,5623,11084,296,301,599,4479,4738,9213,453,416,871,5227,5451,10680,313,290,598,5018,5134,10154,532,454,987,5859,5880,11743,245,336,581,5606,5653,11253,599,489,1086,6443,6479,12925,251,244,494,5840,5706,11550,588,523,1114,6679,6471,13153,213,228,439,5864,5716,11580,654,538,1191,6728,6480,13208,156,181,330,5440,5272,10715,544,481,1030,6143,5933,12080,229,322,549,14017,13995,28012,1453,1488,2937,15697,15809,31500,5233,5184,10419,79391,78067,157458,8019,7282,15302,92652,90535,183178
RA53,558,520,1080,2576,2395,4973,367,338,703,3505,3250,6754,598,550,1146,2514,2367,4882,360,338,698,3466,3254,6721,515,498,1010,1955,1835,3789,271,256,524,2741,2590,5329,488,427,913,1543,1276,2821,235,189,432,2269,1894,4160,357,369,723,1649,1534,3182,266,256,522,2266,2159,4428,395,351,745,2510,2533,5040,479,414,896,3387,3297,6686,311,349,656,2910,2977,5889,491,423,914,3713,3752,7462,280,332,615,2609,2421,5030,417,354,771,3303,3113,6418,296,271,568,2638,2384,5029,430,295,729,3371,2953,6322,264,300,566,2588,2153,4740,403,316,720,3253,2768,6024,225,284,509,2546,2117,4671,435,315,750,3216,2717,5933,191,230,418,2439,1917,4359,375,269,648,3006,2417,5422,138,172,307,1857,1499,3358,263,196,455,2255,1867,4122,181,233,414,3519,3019,6530,479,409,884,4179,3651,7832,4798,4866,9665,33862,30434,64299,5273,4373,9644,43934,39672,83602
RA54,1051,992,2038,1143,1001,2148,216,181,399,2414,2168,4576,1045,983,2020,1023,1032,2056,189,173,367,2262,2184,4443,998,965,1959,730,639,1372,136,134,264,1864,1738,3599,873,827,1697,520,443,967,130,110,237,1524,1382,2900,816,801,1615,1095,832,1925,356,211,575,2262,1848,4111,814,855,1670,2549,1486,4037,843,352,1190,4205,2693,6900,770,779,1551,2909,1533,4444,866,353,1221,4555,2663,7216,643,619,1267,2437,1301,3732,722,248,971,3795,2172,5970,605,587,1197,2361,1096,3451,655,220,879,3619,1902,5519,538,595,1134,2277,1034,3304,584,237,819,3396,1862,5258,433,529,958,2130,1140,3268,573,253,826,3132,1922,5051,347,394,742,1855,1085,2937,441,209,650,2637,1686,4323,250,295,542,1358,787,2145,298,150,449,1905,1229,3131,374,474,852,1817,1151,2965,324,212,537,2516,1838,4354,9547,9693,19239,24193,14549,38749,6341,3036,9375,40080,27279,67357
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,18,7,3,5,17,3,20,3,0,3,30,3,34,10,0,7,43,4,47,0,0,0,57,4,64,19,0,14,74,3,78,0,0,0,47,3,51,10,0,10,63,3,60,0,0,0,55,4,59,6,0,6,59,4,65,0,0,0,44,4,47,7,3,12,54,7,60,0,0,0,40,0,37,3,0,3,43,0,44,0,0,0,19,0,26,5,0,3,27,0,27,0,0,0,15,3,16,0,0,0,17,3,15,0,0,0,6,0,6,0,0,0,9,0,9,10,0,10,328,18,351,65,7,76,408,26,434
RA59,8,18,27,55,48,104,12,18,30,81,79,161,6,9,16,56,51,109,7,8,17,66,72,134,9,14,20,36,29,61,9,6,11,54,46,102,13,14,29,60,53,113,11,5,12,84,65,151,20,27,44,197,179,379,35,38,79,254,242,503,27,25,61,293,236,528,68,48,112,391,309,698,37,18,60,285,163,446,62,44,105,382,230,607,31,21,47,234,117,347,37,21,57,294,155,449,53,32,85,215,100,318,38,16,50,313,147,458,41,35,72,227,94,320,45,16,56,314,137,453,37,18,52,239,135,376,45,31,77,324,185,505,24,9,31,223,173,394,37,38,75,287,216,500,18,8,23,200,185,391,29,25,57,256,218,474,11,9,15,368,253,618,66,46,115,444,309,747,341,247,587,2691,1806,4497,502,363,867,3532,2415,5950
