RA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
RA23,432,227,83,9,757,442,28,1231,5,0,0,0,3,25,0,28,0,0,0,0,0,0,0,0,5,0,0,0,3,25,0,28,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,3,9,0,12,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,10,0,0,0,0,0,4,0,8,3,3,0,0,8,11,0,21,7,0,5,0,12,3,0,16,447,230,92,6,787,492,32,1307
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,202576,301968,89308,8829,602690,112720,28810,744210,11345,4977,5997,533,22845,22902,2086,47834,20503,16891,14541,1539,53471,24564,7375,85414,31851,21865,20534,2064,76314,47462,9461,133240,9555,4078,4528,791,18947,25515,4344,48811,12299,4090,3470,943,20799,19592,5854,46248,19600,5219,3191,938,28945,21484,6622,57048,47,22,30,6,104,118,25,249,41502,13410,11215,2669,68796,66709,16847,152357,642,84,131,13,869,2021,89,2978,535,90,107,10,741,1681,78,2497,29,35,9,0,69,93,4,165,199,236,134,14,583,236,75,899,1406,451,377,36,2270,4033,250,6544,890,669,336,30,1921,1941,255,4119,278226,338356,121775,13639,751994,232865,55623,1040479
RA31,97410,92733,35049,2758,227956,59439,9382,296773,3529,1130,1657,190,6509,9939,696,17144,1291,541,890,79,2802,3465,414,6690,4821,1668,2554,270,9319,13408,1110,23830,1613,725,1099,127,3566,6615,562,10736,173,35,86,4,295,466,54,814,458,98,58,8,622,520,58,1204,12,8,8,0,29,33,3,68,2256,876,1248,140,4515,7642,672,12826,731,110,110,19,964,1880,108,2949,247,47,66,9,373,620,42,1033,130,83,29,3,245,150,17,413,172,149,68,10,394,164,40,605,1282,389,268,40,1981,2811,204,4997,503,386,169,16,1079,941,82,2098,106271,96058,39286,3230,244843,84241,11440,340521
RA32,60380,63761,22467,1933,148543,39825,6869,195238,1570,802,1193,134,3697,5112,456,9269,1277,655,856,110,2896,2985,528,6413,2848,1457,2053,242,6594,8100,987,15676,1930,1087,1600,156,4773,7052,715,12539,1245,443,517,69,2282,2034,536,4846,846,280,159,37,1333,1066,300,2691,12,6,4,0,25,26,3,53,4037,1818,2285,264,8409,10172,1547,20126,563,86,56,10,713,1332,76,2115,143,30,22,3,198,360,41,595,124,88,44,8,262,250,21,533,159,94,45,10,308,230,34,577,992,296,164,27,1478,2167,173,3815,414,259,109,8,793,712,76,1573,68667,67597,27077,2482,165817,60978,9647,236442
RA33,5802,6461,1961,213,14442,4603,571,19610,209,130,99,13,451,452,48,952,36,27,14,0,76,86,16,179,248,156,115,11,532,540,66,1132,190,90,83,15,377,488,45,915,3,0,0,0,0,10,0,12,3,4,0,0,11,7,3,20,3,0,0,0,3,9,0,14,203,94,89,15,391,510,49,953,131,29,20,3,183,299,13,495,31,3,3,0,45,51,11,109,29,7,6,0,42,76,5,127,18,20,5,0,44,25,5,76,213,56,34,4,312,456,34,803,161,126,27,4,314,202,11,526,6617,6894,2225,247,15988,6313,740,23030
RA34,3534,4376,1797,278,9980,3479,355,13814,160,175,80,9,422,336,23,777,81,86,20,0,187,95,32,314,246,255,93,10,617,430,53,1091,67,79,54,8,209,261,25,497,3,0,0,0,9,4,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,79,78,54,8,220,268,29,516,118,11,4,0,133,259,10,401,13,0,3,0,21,34,8,56,18,14,8,0,41,73,5,120,24,21,3,0,47,33,0,83,180,49,15,0,242,396,18,656,88,63,15,0,165,109,3,282,4121,4819,1977,303,11226,4689,451,16358
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,94236,122205,42459,4009,262905,72153,11218,346271,12644,8088,7001,892,28620,29924,2911,61463,5418,4309,2503,439,12673,6359,1843,20874,18061,12390,9504,1335,41291,36286,4755,82332,5260,3238,2062,417,10976,15860,1669,28508,799,396,191,83,1473,2072,433,3974,1499,400,237,124,2258,2600,761,5622,14,16,4,3,44,42,7,93,7573,4050,2490,629,14745,20579,2872,38195,108,26,20,0,149,279,10,447,61,14,10,0,86,186,6,279,8,6,4,0,25,28,3,50,110,115,57,15,293,151,57,500,286,159,91,13,559,648,77,1279,329,306,131,17,781,512,68,1366,120486,139115,54683,5999,320282,130175,18987,469442
RA41,24864,22432,7373,508,55176,17386,1568,74133,824,299,476,41,1650,2600,130,4379,73,33,31,0,137,91,17,241,897,333,506,43,1781,2692,147,4619,213,62,113,15,410,1110,44,1563,13,0,0,0,15,25,0,39,11,3,3,0,16,17,0,29,0,0,0,0,3,3,0,7,239,66,121,15,443,1145,51,1638,73,11,8,0,90,138,3,233,56,15,5,3,78,138,12,225,8,5,5,0,19,20,4,46,39,31,15,0,90,38,0,131,175,66,32,3,274,342,18,632,130,98,31,3,259,188,5,452,26307,22997,8064,571,57934,21750,1784,81479
RA42,19628,15400,5569,453,41051,15610,1302,57966,1082,680,991,67,2824,3346,197,6369,30,16,8,0,59,27,4,90,1109,696,1002,67,2883,3372,208,6459,225,71,78,22,400,1213,48,1656,3,0,0,0,4,19,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,231,73,83,22,406,1229,48,1683,90,11,10,3,119,203,8,325,50,4,6,0,59,73,10,141,5,3,3,0,14,27,0,39,59,34,17,3,111,64,5,186,207,60,29,5,304,363,21,685,105,79,31,4,218,178,5,400,21286,16312,6720,545,44858,20745,1592,67196
RA43,4881,4075,1192,85,10229,3836,336,14409,176,71,106,9,359,538,45,943,26,20,3,0,51,25,0,83,200,95,112,9,415,568,46,1025,58,16,13,3,94,315,10,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,16,13,3,94,311,10,417,41,0,0,0,47,88,6,138,12,3,0,0,10,26,3,40,6,5,0,0,19,22,0,35,29,7,5,0,36,25,0,64,84,20,5,0,107,151,9,273,48,34,13,0,91,57,4,154,5272,4231,1332,97,10936,4931,411,16277
RA44,1137,1083,399,65,2681,1279,69,4023,9,3,5,0,21,48,3,69,0,0,0,0,0,3,0,3,9,3,5,0,21,49,3,72,7,3,0,0,13,54,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,13,54,0,66,18,0,0,0,19,34,0,58,4,3,0,0,8,5,0,10,3,0,0,0,4,51,0,55,7,6,0,0,18,11,3,24,37,6,5,0,50,99,3,151,31,16,3,0,48,40,0,87,1222,1111,406,65,2810,1520,76,4406
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,142175,209995,57516,6501,416186,89655,17264,523103,19494,13209,8531,1307,42547,34656,4188,81389,8488,5864,2579,542,17475,8834,2399,28705,27983,19075,11112,1850,60022,43489,6589,110094,3840,1524,1072,256,6684,9349,1087,17120,2981,923,516,228,4646,5771,992,11412,5618,1442,594,292,7944,7523,1359,16833,9,8,3,0,16,30,3,49,12444,3892,2183,773,19300,22674,3441,45415,240,29,41,4,309,652,24,990,159,23,35,3,221,365,17,603,17,21,5,0,44,30,0,78,129,143,53,9,333,137,38,507,546,225,123,12,912,1182,80,2175,398,350,117,17,884,597,89,1574,183552,233542,71052,9161,497304,157595,27463,682358
RA51,22068,23045,7308,459,52883,13642,1743,68263,855,333,456,29,1675,2224,143,4041,203,92,54,3,347,199,34,581,1056,426,510,36,2022,2420,181,4622,207,65,59,6,333,734,18,1087,23,8,11,0,45,33,6,88,20,0,0,0,22,18,3,40,5,0,0,0,3,12,0,19,250,74,77,9,409,799,27,1233,105,20,20,0,147,252,15,405,201,19,12,3,230,261,9,505,45,41,7,0,102,39,6,143,35,9,3,0,51,24,3,79,395,85,39,7,527,577,30,1138,110,94,26,4,234,141,13,393,23880,23722,7960,510,56069,17575,1995,75642
RA52,19041,17877,5915,543,43378,13839,1609,58826,792,415,394,47,1655,2416,147,4219,147,136,54,10,347,225,34,606,944,557,446,57,2005,2644,181,4821,129,53,58,6,241,532,44,822,6,3,0,0,11,7,0,19,0,0,0,0,0,0,0,0,3,0,3,0,6,4,0,7,133,52,59,6,260,545,44,844,127,12,13,0,153,333,6,494,75,4,3,0,94,140,5,235,39,16,7,0,60,51,3,116,57,52,26,0,138,81,8,230,297,87,50,8,442,607,20,1073,130,99,28,5,261,154,9,426,20552,18670,6500,624,46343,17784,1867,65993
RA53,6749,8447,2042,214,17460,4796,711,22969,324,219,175,35,746,827,67,1632,123,79,37,3,249,118,23,389,444,296,208,37,992,938,85,2018,293,125,66,10,489,490,59,1037,23,3,0,0,26,39,0,58,30,14,0,0,41,50,6,97,0,0,0,0,0,3,0,4,341,142,68,12,556,580,70,1199,189,24,16,0,233,336,11,578,3,3,0,0,5,13,0,20,25,7,3,0,33,32,3,70,28,16,9,3,57,19,5,84,238,57,27,3,325,401,16,743,84,62,24,3,178,149,16,336,7859,8999,2371,271,19504,6862,903,27262
RA54,3147,4388,1647,278,9455,2857,356,12666,191,96,100,20,415,473,35,920,19,13,4,0,38,44,7,86,208,113,105,20,447,518,38,1001,78,26,29,3,141,203,26,365,9,0,0,0,5,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,92,26,29,3,148,215,26,390,252,33,17,3,300,501,14,817,12,8,0,0,17,23,3,39,28,13,14,0,63,97,13,161,54,41,12,0,109,52,18,174,351,95,42,3,491,668,42,1199,77,36,9,0,120,136,3,262,3871,4655,1837,306,10664,4389,470,15516
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
