RA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,3,0,0,14,3,8,9,26,25,27,27,11,3,146,62,168,101,245,212,306,295,147,50,1586,0,0,0,0,0,0,0,0,0,0,50,140,100,181,163,224,177,98,46,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,11,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,3,0,0,0,7,0,0,7,7,0,3,0,0,0,16,0,3,3,10,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,7,6,0,0,0,0,19,4,3,8,5,7,3,3,0,0,21,0,0,3,7,7,7,3,0,0,35,0,0,0,6,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,3,10,30,88,24,10,8,3,0,176,28,32,98,304,105,71,44,6,0,689,215,173,624,1864,628,460,283,72,9,4331,0,0,3,3,0,0,0,0,0,3,124,139,304,665,210,210,116,24,17,1804,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,7,8,0,0,3,0,0,12,0,0,0,8,0,0,0,0,0,10
RA30,0,0,16,183,202,290,246,165,41,1154,27,308,382,1587,626,552,356,153,41,4035,76,228,847,3093,420,548,380,77,12,5684,83,390,533,932,153,62,28,6,0,2190,3,5,18,89,107,103,72,30,6,427,5,20,49,304,210,87,40,19,4,749,143,777,820,1899,931,802,586,174,63,6194,63,320,677,2700,1771,1368,602,199,87,7792,13,115,165,502,490,318,337,180,61,2174,3,84,379,1175,646,509,197,48,9,3048,551,3030,5173,15992,6246,5049,3667,1951,687,42341,4922,8866,11693,27844,12881,10784,8526,4943,2534,92990,96201,195199,202724,414098,189288,155096,117461,56804,19928,1446788,6,87,274,569,159,56,33,8,4,1200,82880,152074,143292,259941,122084,105521,79080,41203,21768,1007836,28,118,128,601,91,48,17,4,0,1021,4,8,89,597,362,282,139,63,17,1570,10,29,59,421,220,167,61,32,20,1014,78,261,439,1905,616,470,239,87,47,4140,7,33,54,396,220,158,117,44,15,1047
RA31,0,0,0,12,29,40,54,30,0,162,7,74,31,285,90,46,29,17,6,586,10,18,70,267,11,11,12,0,0,400,15,57,56,81,22,8,3,0,0,238,0,0,0,0,5,5,5,0,0,19,0,3,0,28,27,15,11,3,0,82,16,118,74,237,197,196,207,68,20,1134,6,52,57,194,84,43,13,3,4,451,0,15,21,64,81,81,108,63,13,439,0,57,108,220,223,158,61,22,6,864,79,390,519,1362,764,702,761,465,125,5155,1591,3452,3792,9065,5883,5827,4864,2581,974,38034,28310,64881,56709,105698,62869,62354,52733,25369,7455,466384,0,20,38,65,12,11,3,0,0,140,25319,55023,45804,85997,49773,48614,38207,19972,8625,377334,9,22,26,109,18,0,0,0,0,184,0,0,0,4,6,4,0,0,0,22,0,6,6,25,11,15,0,0,0,64,13,31,64,261,123,148,87,34,14,780,0,0,0,25,13,11,6,3,0,63
RA32,0,0,0,4,18,27,35,29,3,113,4,37,36,146,56,40,36,13,0,368,0,16,43,222,16,4,0,3,0,300,21,88,118,142,39,13,3,0,0,425,0,0,0,6,0,3,3,3,0,11,0,4,0,8,19,5,5,0,0,45,9,83,76,242,129,147,152,43,13,896,3,46,29,141,66,29,19,4,0,343,3,8,19,70,59,48,66,22,8,289,0,30,49,160,95,84,19,9,3,450,53,343,444,1526,799,772,649,428,81,5094,1697,3325,3982,9606,5402,4871,3545,1787,515,34737,22325,46809,42476,85451,46559,43362,31829,14156,3873,336841,0,0,3,4,3,0,0,0,0,8,18709,38542,32427,63341,32794,29852,20010,9706,4148,249527,0,4,12,34,9,3,0,0,0,58,0,0,0,9,6,5,9,3,0,36,0,5,3,33,16,3,4,0,0,70,7,24,68,360,130,121,80,19,5,806,0,0,5,31,10,6,7,3,0,60
RA33,0,0,0,0,3,0,5,3,0,10,0,5,0,23,4,4,3,0,0,42,0,0,0,14,0,0,0,0,0,16,0,3,6,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,3,18,11,11,9,0,0,56,0,0,0,8,3,0,0,0,0,11,0,0,0,5,0,3,3,0,0,11,0,6,9,27,16,4,3,0,0,61,3,4,17,103,61,67,81,42,9,382,263,463,524,1733,782,726,481,157,24,5166,2746,5097,4300,10522,5328,4934,3357,1300,285,37888,0,0,0,0,0,0,0,0,0,0,2364,4034,3080,6970,3387,2954,1860,808,284,25730,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,3,34,4,6,4,0,0,55,0,0,0,0,0,0,0,0,0,0
RA34,0,0,0,0,0,0,0,3,0,3,0,0,0,4,4,0,0,0,0,8,0,0,0,4,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,7,3,0,0,37,0,11,15,32,4,0,0,0,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,3,3,0,0,20,0,10,14,41,17,20,25,6,4,139,125,219,256,666,374,327,247,100,30,2330,2269,4253,3492,6957,3515,3371,2082,841,201,26985,0,0,0,0,0,0,0,0,0,0,2028,3724,3013,5876,2795,2368,1372,626,253,22053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,6,10,9,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,12,0,0,5,15,10,7,13,7,0,66,0,0,0,0,0,0,0,0,0,0,3,0,5,8,7,14,4,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0,0,9,37,0,0,0,0,0,46,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,14,11,4,0,0,3,0,35,0,0,7,3,4,0,0,0,0,11,0,0,8,0,0,7,4,0,0,17,0,0,4,0,3,0,3,0,0,10,5,0,28,78,19,20,18,3,0,174,28,37,130,417,160,200,157,38,3,1172,182,249,772,2257,975,1147,1120,225,19,6937,0,0,0,0,0,0,0,0,0,0,130,183,337,734,438,791,472,77,6,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,3,0,0,29,0,0,0,9,0,0,0,0,0,15
RA40,0,0,9,130,137,183,173,137,46,814,25,204,180,911,256,117,77,49,6,1827,16,28,108,293,26,29,15,0,0,518,23,58,162,452,54,26,7,6,0,776,0,3,3,23,27,37,35,29,6,174,0,15,17,75,59,44,31,25,12,276,39,205,196,530,288,251,191,55,22,1779,46,181,510,2015,1364,1339,471,152,84,6157,3,45,59,201,210,239,199,136,44,1137,0,36,84,196,115,86,14,4,0,539,269,1473,2341,5920,2340,1868,1512,1123,552,17392,1598,2750,3568,8893,4749,4349,3442,2268,1128,32758,37293,72144,81738,163781,80476,71153,53782,29159,11948,601460,24,227,727,1000,254,84,40,8,0,2371,32049,57575,58995,107906,54432,49103,34523,17692,11488,423759,38,130,65,566,51,29,8,0,0,887,0,6,55,336,224,207,88,60,12,996,9,43,116,678,291,303,142,59,22,1658,19,65,73,391,157,140,57,27,20,947,3,9,17,122,72,66,48,24,5,360
