RA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
RA62,56753,133662,1867,2582,177,285,2049,2858,644,925,35,43,63,95,5,12,753,1074,231,384,139,227,69,120,176,394,618,1116,311,660,60479,139370,15392,..,75868,139370
RA63,2969,6230,68,114,0,0,68,114,67,107,0,0,0,0,3,5,69,110,6,13,5,6,0,3,3,5,17,26,26,45,3152,6527,3215,..,6368,6527
RA64,976,2025,32,45,0,0,32,45,15,20,0,0,0,0,0,0,15,20,0,3,0,0,0,0,3,7,3,10,23,70,1053,2161,344,..,1395,2161
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA72,27239,84213,2629,5600,2016,4677,4646,10280,3843,8156,1755,3682,4450,9544,11,32,10062,21420,509,1015,115,197,78,197,150,364,850,1775,256,558,43043,118250,5532,..,48578,118250
RA73,9192,27881,1738,3516,677,1438,2413,4951,472,806,34,57,61,89,12,20,578,971,408,718,46,80,66,121,309,773,824,1690,248,623,13262,36118,2408,..,15664,36118
RA74,6667,33648,782,2900,9,21,796,2919,618,1200,101,172,0,0,5,10,725,1383,257,525,37,69,165,489,33,71,500,1158,65,141,8752,39250,2780,..,11535,39250
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA80,95345,269681,13872,27768,11408,26418,25278,54187,4597,8056,7314,13208,9303,16159,191,330,21404,37754,26,39,104,167,9,11,45,139,184,356,274,521,142479,362494,12574,..,155058,362494
RA81,173,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,9,0,3,182,544,15,..,197,544
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA91,80,288,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,7,4,3,0,86,300,15,..,98,300
RA94,1048,2641,54,141,29,77,87,217,44,81,59,172,5,13,3,3,110,272,0,0,0,0,0,0,13,15,13,16,15,31,1270,3172,365,..,1634,3172
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
