RA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
RA23,0,0,48,48,0,6,25,37,26,20,42,87,66,18,32,120,87,26,67,180,133,19,97,254,139,14,80,233,82,3,37,121,15,0,21,38,548,116,454,1116,0,3,56,60,4,9,25,37,37,15,20,74,79,23,29,127,100,25,49,171,147,25,71,244,132,14,65,208,57,0,45,102,5,0,37,39,557,114,394,1064,0,3,103,103,3,23,51,76,60,38,63,165,140,41,62,247,186,50,113,348,277,46,170,494,278,28,141,445,130,5,82,222,22,0,60,79,1100,227,848,2177
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,46,999,85589,86630,2513,12365,78598,93473,61738,42968,82446,187152,107559,26592,45518,179665,106451,19720,43305,169484,91720,11553,35102,138371,73909,5770,24378,104056,35052,1500,12772,49323,8417,256,6251,14924,487409,121725,413948,1023087,143,1873,81310,83320,5426,18159,71039,94628,81938,44771,72884,199594,116947,25698,52510,195155,109849,18952,57255,186055,89637,10266,52208,152112,64897,4087,44684,113668,24523,849,32724,58093,3997,123,18679,22805,497358,124774,483301,1105428,189,2868,166895,169950,7934,30522,149640,188097,143682,87732,155330,386748,224507,52294,98027,374825,216303,38677,100563,355542,181356,21814,87308,290483,138806,9856,69059,217723,59573,2348,45498,107425,12422,382,24930,37732,984766,246496,897250,2128516
RA31,24,441,26379,26845,887,4185,16458,21533,15314,9928,16709,41944,26659,6986,12414,46060,31908,6688,15169,53769,34428,4667,14243,53335,31776,2633,11041,45445,15239,687,6074,22003,3196,100,2393,5692,159427,36315,120879,316618,56,1005,24018,25074,1821,5856,13734,21412,20843,10507,15904,47250,30833,7294,14503,52636,35482,6874,17316,59671,35693,4358,16548,56597,28236,2015,15650,45910,10560,431,12321,23310,1412,53,6320,7789,164937,38394,136320,339648,80,1447,50395,51922,2705,10043,30190,42944,36153,20435,32608,89198,57496,14287,26916,98695,67391,13563,32485,113438,70117,9027,30785,109933,60018,4644,26690,91352,25793,1114,18403,45308,4610,154,8712,13477,324363,74710,257193,656262
RA32,8,282,17766,18063,534,3391,12193,16118,11290,8830,13662,33788,19134,6039,9794,34959,21692,5180,11544,38418,21576,3506,11235,36315,17280,1635,8101,27019,7736,411,3790,11934,1541,51,1292,2887,100798,29321,89385,219501,32,727,16024,16785,1175,4724,10365,16273,15681,9627,12537,37844,22462,6359,10889,39708,23555,5232,12111,40894,21621,3069,11278,35968,14695,1151,9037,24883,5082,215,6540,11832,643,27,3256,3925,104944,31129,92038,228110,41,1015,33793,34847,1711,8120,22557,32391,26978,18451,26201,71630,41590,12394,20685,74669,45250,10408,23652,79312,43203,6575,22508,72287,31983,2779,17140,51898,12819,624,10327,23771,2177,87,4549,6814,205740,60457,181418,447612
RA33,0,35,1487,1528,62,366,1159,1596,1352,1079,1414,3837,1952,685,1015,3662,2159,546,1357,4068,2056,450,1332,3829,1532,170,1025,2735,630,37,419,1084,93,3,118,218,9840,3374,9332,22553,3,71,1278,1355,139,527,903,1568,1788,1148,1159,4092,2168,653,838,3663,2204,578,995,3779,2007,374,915,3288,1246,117,728,2085,392,17,482,887,37,4,199,234,9980,3497,7487,20960,3,109,2770,2878,205,896,2063,3157,3137,2228,2571,7935,4124,1340,1862,7323,4367,1125,2355,7845,4058,823,2238,7122,2778,291,1752,4819,1018,61,896,1972,134,4,316,454,19820,6869,16819,43515
RA34,5,33,1225,1265,45,337,987,1361,666,953,1164,2784,1098,689,830,2618,1352,571,938,2857,1416,334,989,2734,871,107,734,1713,358,20,332,711,59,5,78,145,5871,3048,7273,16193,0,68,1107,1173,72,450,930,1448,922,1059,1283,3271,1219,707,857,2779,1449,540,898,2886,1339,238,795,2372,716,83,621,1422,197,15,406,618,23,6,161,189,5939,3159,7068,16165,3,103,2334,2443,118,779,1915,2808,1592,2011,2447,6056,2320,1395,1690,5403,2807,1106,1839,5744,2752,566,1786,5104,1586,192,1361,3132,555,37,740,1328,83,8,245,332,11808,6205,14340,32363
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,23,257,34797,35077,916,3665,34217,38791,25122,14839,35674,75634,42134,9331,20217,71681,43218,7837,22098,73152,41001,5277,18193,64476,34191,2366,11196,47756,18560,611,6288,25458,5148,123,3609,8879,210312,44301,186288,440905,71,521,32844,33431,2228,5484,29919,37631,33940,15645,30020,79603,44607,9220,21097,74921,44510,7859,25636,78004,40910,4794,25426,71121,31362,1781,21034,54186,13647,393,17462,31511,2474,76,11028,13577,213742,45772,214469,473988,91,780,67644,68511,3141,9149,64133,76426,59060,30480,65691,155233,86738,18548,41316,146609,87729,15697,47733,151153,81915,10070,43613,135603,65561,4147,32230,101943,32211,1004,23756,56969,7618,194,14637,22449,424057,90075,400759,914885
RA41,3,56,6042,6096,188,672,4026,4880,3320,2127,3703,9153,6246,1615,2709,10575,7912,1757,3416,13082,8774,1300,3331,13410,8264,638,2350,11255,4066,157,1290,5513,962,34,591,1586,39737,8359,27456,75548,8,129,5715,5851,359,1048,3137,4545,4498,2197,3037,9735,7096,1737,2903,11732,8606,1833,3821,14252,8879,1159,3814,13854,7584,506,3603,11690,2909,101,2855,5862,476,25,1649,2149,40406,8730,30533,79672,14,183,11757,11950,542,1716,7161,9422,7820,4322,6744,18888,13345,3351,5609,22307,16515,3591,7235,27337,17653,2462,7142,27261,15846,1139,5955,22948,6968,255,4146,11370,1441,57,2240,3730,80143,17090,57990,155223
RA42,7,61,4512,4576,100,671,2840,3604,2395,1867,3197,7456,4269,1287,2473,8033,5820,1323,3603,10747,6956,949,3415,11325,6283,471,2378,9130,3118,134,1267,4515,713,21,566,1299,29656,6776,24252,60689,11,165,3932,4112,231,988,2040,3248,3227,1889,2686,7806,4975,1355,2205,8540,6336,1317,2966,10624,7162,858,2837,10853,5624,346,2868,8835,2312,84,2556,4949,297,17,1451,1769,30166,7027,23536,60736,11,233,8441,8685,326,1651,4875,6853,5621,3753,5879,15259,9246,2644,4681,16568,12154,2642,6572,21372,14122,1804,6253,22174,11908,819,5243,17971,5429,217,3820,9464,1009,41,2018,3066,59821,13810,47789,121419
RA43,0,19,1003,1025,27,153,615,794,712,574,737,2024,1186,368,522,2079,1484,323,812,2616,1697,216,839,2757,1409,110,523,2043,694,28,269,991,165,3,135,299,7369,1804,5453,14623,0,30,862,891,48,263,441,749,987,590,526,2107,1349,350,473,2172,1566,315,652,2532,1642,225,650,2524,1319,75,559,1955,475,15,516,1008,80,6,320,410,7469,1873,5005,14348,0,50,1867,1916,73,417,1053,1546,1703,1163,1265,4133,2533,719,998,4249,3051,637,1462,5150,3340,450,1492,5277,2726,183,1085,3995,1166,45,788,1999,243,11,452,711,14840,3670,10458,28969
RA44,7,7,286,304,38,72,214,321,196,184,275,652,306,139,207,645,327,151,283,762,387,93,314,798,286,26,266,577,109,8,108,225,23,0,28,49,1678,681,1978,4339,12,13,246,273,57,92,169,309,263,189,235,682,325,150,199,680,352,143,243,746,381,84,217,684,244,18,134,394,57,7,76,141,9,3,50,64,1697,704,1561,3967,25,26,529,577,95,163,383,632,461,367,513,1338,633,285,404,1322,680,293,535,1507,767,184,530,1479,526,45,392,972,165,13,185,365,40,3,71,112,3377,1383,3544,8306
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
RA50,16,419,55219,55657,1469,6268,51034,58767,43773,28102,57500,129381,73058,15326,28312,116696,72102,11919,26800,110814,60942,7112,21725,89780,46935,3290,14140,64362,23291,871,7621,31776,5749,158,3709,9612,327329,73453,266060,666847,82,928,51867,52877,3860,10099,42741,56697,60784,30389,45812,136981,80368,15465,29547,125386,74691,11743,32708,119141,60462,6320,31573,98347,40530,2409,25876,68817,16773,543,20786,38098,2638,89,11692,14418,340193,77986,292593,710767,100,1348,107080,108531,5320,16361,93776,115459,104560,58492,103316,266368,153429,30791,57856,242076,146792,23659,59506,229955,121401,13427,53297,188131,87465,5699,40017,133181,40065,1408,28405,69875,8389,253,15395,24034,667525,151436,558649,1377609
RA51,0,72,6015,6092,135,709,3380,4219,3103,2382,3703,9195,6666,1876,2605,11145,7852,1787,3034,12671,7887,1209,2786,11889,6762,513,2051,9329,2973,121,1012,4106,663,19,401,1088,36049,8683,25000,69731,12,141,5450,5601,304,1099,2703,4105,4816,2765,3208,10789,7901,2050,2982,12936,8658,1818,3508,13987,8164,1101,3368,12631,5911,381,2824,9112,2063,87,2324,4475,284,15,1159,1453,38107,9458,27526,75094,15,209,11464,11688,443,1805,6083,8329,7920,5148,6913,19981,14571,3927,5587,24078,16509,3610,6548,26658,16049,2304,6153,24517,12670,890,4879,18444,5039,206,3339,8583,950,33,1561,2543,74152,18142,52524,144823
RA52,3,69,4723,4796,127,854,3001,3978,2896,2244,3360,8504,5102,1627,2333,9065,6172,1509,3200,10887,6456,1086,3053,10597,5312,491,2162,7964,2620,150,1019,3791,602,22,423,1052,29288,8051,23282,60623,10,202,4216,4427,258,1178,2104,3540,4078,2455,2792,9326,5965,1721,2377,10073,6731,1575,3048,11348,6592,982,2894,10468,4620,362,2502,7479,1798,97,2079,3973,263,10,1018,1289,30306,8592,23029,61926,17,271,8941,9229,388,2029,5103,7520,6970,4705,6156,17829,11070,3356,4715,19134,12904,3088,6245,22234,13048,2064,5952,21066,9933,856,4658,15447,4410,248,3099,7759,861,35,1446,2334,59590,16641,46318,122552
RA53,0,48,1746,1797,46,380,1280,1710,1841,1631,1765,5234,2910,1003,1212,5132,2715,820,1455,4990,2284,480,1296,4058,1285,144,714,2141,519,27,319,861,115,0,100,218,11710,4539,9888,26145,7,93,1422,1519,142,616,945,1703,2516,1746,1520,5780,3123,997,1042,5163,2639,792,1062,4493,2074,395,966,3429,1021,88,621,1733,358,18,470,851,54,0,179,234,11926,4737,8234,24898,5,140,3167,3311,187,998,2229,3415,4352,3377,3285,11018,6032,2003,2257,10291,5354,1613,2521,9478,4357,866,2263,7491,2302,239,1338,3876,878,49,785,1712,164,0,280,449,23644,9279,18124,51040
RA54,22,26,1110,1153,88,288,829,1206,930,972,1196,3100,1390,682,847,2909,1185,558,989,2726,1060,369,985,2414,611,133,639,1378,177,23,184,392,29,3,43,77,5482,3063,6816,15358,31,54,1031,1116,134,416,754,1303,1209,1105,1260,3571,1474,666,884,3018,1180,530,910,2619,927,303,860,2092,476,68,456,999,99,16,204,323,11,0,76,91,5547,3152,6431,15131,54,80,2140,2266,216,701,1582,2504,2137,2080,2457,6671,2859,1343,1727,5935,2363,1085,1894,5344,1986,675,1842,4508,1090,201,1091,2377,281,39,390,713,36,3,124,166,11031,6209,13249,30493
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
