RA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA53,64,453,1342,1091,1076,862,307,80,18,5298,17,273,1055,906,855,650,157,47,12,3964,15,205,968,880,904,629,132,26,11,3764,8,145,855,800,708,495,78,23,4,3130,14,195,1716,1694,1437,868,150,35,7,6117,9,67,936,1195,942,540,162,39,12,3900,715,682,2142,1805,1765,1337,755,366,174,9718,4160,4428,14149,12741,11957,9540,5011,2135,688,64799
RA54,52,260,799,656,634,526,161,27,10,3122,17,205,722,570,592,388,105,14,3,2621,19,187,750,522,580,402,69,5,3,2544,11,141,756,601,581,392,69,6,0,2555,10,269,2239,1869,1580,879,133,3,0,6989,5,116,1492,1522,1273,656,100,9,0,5177,747,862,2987,2355,2029,1316,557,177,58,11084,2900,4111,14109,11491,10312,7458,3202,917,233,54730
RA55,0,3,6,3,0,0,0,0,0,19,0,0,4,3,4,3,0,0,0,14,0,0,10,6,3,8,3,0,0,24,0,0,6,10,6,4,0,0,0,25,0,4,43,21,20,6,0,0,0,95,0,0,27,61,42,12,0,0,0,138,0,3,28,21,20,6,0,0,0,89,0,20,127,127,105,43,8,3,3,434
RA59,0,21,97,57,33,35,18,3,0,258,0,11,51,23,31,25,9,0,0,154,0,7,47,35,35,25,5,0,0,153,0,7,45,24,25,27,3,0,0,130,0,10,76,64,60,36,14,0,0,246,0,5,39,41,31,26,3,0,0,153,24,95,268,136,176,168,111,20,8,1007,151,503,1306,910,957,977,633,98,23,5559
RA61,49,1310,5476,4792,5323,4479,1735,577,242,23977,10,501,3502,3623,3710,2812,821,204,102,15275,11,160,2373,3115,3433,2545,565,167,72,12449,6,58,1270,2236,2481,1700,321,91,49,8220,6,35,1108,2515,3059,1962,437,135,58,9315,20,56,339,1053,1485,1138,440,153,81,4762,1867,1611,3055,2758,3066,3354,3232,2323,1456,22727,21518,22216,42673,41884,45954,44895,35120,19316,8503,282083
RA62,36,462,1647,1775,2279,1992,769,210,63,9229,12,191,1021,1115,1448,1160,324,68,19,5360,3,74,651,947,1325,1019,210,39,17,4284,0,34,350,604,843,617,117,18,6,2590,0,21,322,639,841,622,161,40,5,2656,10,27,99,259,383,385,186,59,19,1414,1100,580,1063,1309,1756,2074,2088,1302,573,11844,9138,7133,14084,16750,22450,25248,20696,9637,3080,128211
RA63,3,24,102,52,81,77,33,8,3,388,0,16,56,41,48,49,20,4,0,241,0,7,27,36,58,49,12,3,0,185,0,3,30,32,47,33,3,3,0,154,0,5,39,44,56,48,10,3,0,215,0,0,8,19,26,26,11,0,3,92,46,32,70,67,110,139,152,68,21,716,282,313,788,793,1152,1419,1116,466,121,6449
RA64,0,4,26,37,54,49,16,3,0,192,0,6,25,15,29,23,14,7,3,122,0,0,23,11,26,23,5,6,3,93,0,0,11,13,8,15,5,0,0,55,0,8,11,16,18,19,5,3,0,81,0,0,3,3,14,12,4,0,0,34,24,8,21,23,24,43,37,24,12,222,84,100,273,243,345,469,356,171,59,2110
RA65,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,9,0,8,23,5,15,12,7,0,0,73
RA69,0,3,12,10,5,4,0,0,0,36,0,0,3,7,7,8,0,0,0,27,0,0,7,3,0,0,0,0,0,9,0,0,5,0,0,3,0,0,0,9,0,0,7,4,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,4,7,19,37,22,27,16,16,6,0,138,62,90,183,147,135,113,84,12,3,835
