RA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
RA63,51,112,280,260,393,361,106,13,0,1579,3,9,17,11,27,19,9,0,0,99,0,6,6,9,11,3,0,0,0,39,3,0,9,4,10,9,0,0,0,37,0,0,3,0,0,0,0,0,0,4,0,0,0,3,3,4,4,0,0,10,0,0,0,0,3,0,0,0,0,11,21,9,12,23,46,33,7,0,0,149,14,32,69,60,57,75,20,0,0,331,0,3,4,10,10,14,4,0,0,50,0,0,0,3,0,3,0,0,0,10,0,0,4,3,8,5,0,0,0,22,0,0,0,3,3,11,0,0,0,18,0,4,9,8,6,7,4,0,0,31,0,4,13,22,24,18,3,0,0,86,0,0,7,8,21,18,4,0,0,57,0,10,32,29,41,33,3,0,0,145,4,10,23,25,44,42,9,0,0,151,0,4,3,6,6,9,0,0,0,18,0,9,5,9,4,8,0,0,0,31
RA64,22,48,113,107,145,168,65,20,4,684,0,8,9,10,15,16,8,6,0,78,0,0,0,0,0,0,0,0,0,4,3,6,24,7,11,3,3,0,0,55,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,3,10,8,22,11,0,4,0,57,3,11,3,10,16,11,0,0,0,44,0,0,7,4,10,3,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,6,3,0,0,13,0,0,0,3,12,8,3,0,0,24,0,0,8,12,3,6,3,0,0,37,0,4,17,12,13,15,0,0,0,63,0,0,12,5,22,35,5,0,0,83,0,0,0,3,0,3,0,0,0,4,0,0,3,0,3,0,0,0,0,11
RA65,0,4,12,3,14,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,4,15,56,26,28,16,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,11,0,0,4,3,3,0,0,0,0,10,0,0,3,5,5,6,0,0,0,24,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RA72,1638,3702,10734,8887,7641,4946,1214,117,10,38883,12,31,44,42,75,40,19,4,0,264,3,15,64,63,58,27,0,0,0,225,50,36,115,121,104,53,7,0,0,492,5,19,99,125,82,45,3,0,0,375,23,81,376,335,244,155,27,0,0,1244,18,47,123,87,91,42,11,0,0,415,456,438,670,506,501,331,78,3,0,2986,424,417,746,443,322,169,43,6,0,2572,18,78,209,187,213,108,13,4,0,831,25,40,109,68,44,31,6,0,0,319,9,61,226,166,120,55,6,0,0,648,15,92,213,120,122,79,29,0,0,675,40,138,584,461,386,222,46,4,0,1880,17,101,314,297,296,150,41,3,0,1219,68,498,1565,1534,1390,825,129,5,0,6015,70,248,920,1111,1081,690,128,11,0,4264,108,391,1646,1181,980,726,148,8,0,5175,71,86,225,142,121,75,16,0,0,741,62,114,308,205,197,112,29,4,0,1030
RA73,480,780,2404,2046,2175,1711,449,47,0,10087,3,22,33,31,22,22,5,4,0,148,0,4,17,13,20,3,0,0,0,55,8,14,4,18,15,5,3,0,0,71,0,4,8,11,21,6,0,0,0,53,8,26,57,46,59,35,7,0,0,238,7,11,24,9,13,23,3,0,0,84,108,74,139,130,144,99,24,4,0,732,107,81,209,98,124,94,18,3,0,726,7,16,47,34,49,26,7,0,0,197,11,6,22,21,9,13,3,0,0,81,4,10,32,20,10,3,0,0,0,80,6,13,30,24,25,28,4,0,0,135,11,18,106,101,106,64,22,0,0,430,7,34,76,58,88,43,8,3,0,317,12,91,420,353,381,244,37,0,0,1548,29,67,319,335,391,324,53,4,0,1528,36,147,564,531,520,346,75,8,0,2232,18,18,50,52,50,32,7,0,0,224,20,28,101,82,103,54,10,0,0,402
RA74,217,597,1463,1273,1150,851,207,18,4,5792,28,58,76,38,45,27,7,0,0,278,3,8,32,27,16,4,0,0,0,89,0,0,0,5,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,13,14,8,3,5,0,0,46,4,3,4,3,0,0,0,0,0,13,24,47,99,94,70,54,5,0,0,401,30,63,146,50,61,38,13,0,0,405,0,0,22,20,25,11,3,0,0,83,0,0,4,9,3,0,0,0,0,15,0,8,18,8,6,0,0,0,0,36,0,0,3,10,11,3,0,0,0,32,0,9,14,17,8,11,0,0,0,57,3,25,46,43,36,18,8,0,0,176,15,53,200,171,181,120,21,0,0,756,17,56,346,277,244,194,30,4,0,1161,20,61,222,226,235,169,38,5,0,973,8,7,32,40,26,17,6,0,0,133,8,34,77,82,64,35,9,0,0,312
RA75,0,0,10,9,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,11,39,84,62,70,44,13,0,0,320,0,9,7,3,3,0,0,0,0,26,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,15,0,10,22,3,12,11,0,0,0,58,0,0,3,0,3,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,6,0,0,3,0,3,8,0,0,0,16,5,3,0,3,3,5,0,0,0,21,0,0,9,4,3,0,3,0,0,19,0,3,11,10,9,7,0,0,0,41,0,0,3,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
RA80,4986,10479,26655,24759,20981,12708,3418,387,44,104417,3,15,49,39,34,34,20,6,5,211,0,0,7,3,3,3,0,0,0,19,161,88,175,193,169,117,55,8,0,962,4,41,151,111,62,22,6,0,0,403,33,114,302,319,291,135,49,3,0,1242,28,61,109,121,123,54,19,0,0,518,1559,1705,1538,984,924,683,201,18,0,7626,1972,1556,1187,649,512,328,59,7,0,6273,28,91,256,245,234,176,35,0,0,1068,87,171,380,351,273,167,40,3,0,1476,26,164,541,401,297,195,41,3,4,1672,49,198,388,283,218,157,60,9,0,1367,118,829,2326,2000,1485,861,212,18,3,7859,52,225,689,555,574,367,86,10,0,2559,194,1573,8869,8934,7895,3543,372,14,0,31401,433,947,2857,3132,3018,2009,430,34,3,12858,401,1639,4310,3447,3329,2405,467,30,6,16033,222,282,417,356,298,205,54,6,0,1839,210,443,761,687,609,336,101,3,0,3143
RA81,10,13,40,53,48,29,11,3,0,195,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,11,3,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,8,4,3,0,0,0,22,0,0,4,0,0,0,0,0,0,6,0,3,8,10,6,9,0,0,0,40,0,0,6,11,6,3,0,0,0,26,0,0,3,5,0,0,0,0,0,16,0,3,4,3,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,4
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,18,31,20,15,9,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,10,6,0,6,0,0,0,29,0,0,3,0,0,3,0,0,0,9,0,0,6,3,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4
RA91,3,14,23,16,17,5,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,4,0,0,0,0,19,0,0,0,3,0,0,0,0,0,7,3,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RA94,30,56,148,222,256,244,119,16,3,1087,0,0,3,0,0,0,0,3,0,9,0,0,10,3,3,3,0,0,0,19,0,0,3,3,6,4,0,0,0,19,0,3,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,9,7,3,12,15,28,26,20,5,0,117,11,9,33,27,38,27,12,0,0,153,0,0,8,8,12,6,0,0,0,34,0,0,0,3,0,5,0,0,0,7,0,0,3,9,3,3,0,0,0,15,0,0,0,3,7,6,0,0,0,12,0,0,4,10,3,3,0,0,0,25,3,0,7,24,17,16,3,0,0,73,0,9,28,30,34,29,11,0,0,136,4,5,27,29,20,24,8,0,0,116,3,3,7,16,25,22,11,0,0,78,0,3,3,8,0,3,5,0,0,25,0,0,0,7,10,3,0,0,0,19
RA95,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
