RA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA23,10,22,30,13,12,20,8,40,48,3,71,77,43,140,181,34,37,69,107,47,147,78,37,119,79,36,121,76,22,97,39,5,44,53,5,56,68,0,68,31,0,30,19,0,19,15,12,25,16,0,16,81,5,86,25,33,50,787,522,1307
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,6385,8077,14459,3001,3268,6267,4585,11957,16537,4362,19361,23718,15979,43077,59057,18781,25556,44339,47337,21830,69166,42685,25354,68045,58477,27121,85606,59270,19733,79005,49208,16573,65780,50474,11879,62351,99255,17655,116910,69452,4071,73519,45379,2198,47576,32071,7042,39112,67378,2025,69401,69059,10290,79343,8870,11427,20296,751994,288489,1040479
RA31,1961,2256,4214,1357,1296,2656,1910,5413,7330,1925,8656,10580,8343,20543,28885,8553,9678,18235,25077,7595,32669,18310,8323,26630,22243,7744,29990,21083,4806,25885,15630,3696,19330,15479,2536,18018,27706,3411,31112,17528,580,18106,10398,264,10662,6479,1377,7851,11433,287,11715,25213,1979,27191,4217,5243,9461,244843,95682,340521
RA32,1530,1766,3302,955,951,1902,1297,3979,5268,1341,5861,7202,4983,12114,17092,5169,5965,11133,13109,5884,18994,10603,6525,17128,13814,6259,20077,13820,4353,18175,10754,3245,13999,10983,2377,13361,20411,3386,23796,13337,587,13922,7774,329,8101,4956,1205,6159,8731,340,9074,19237,1853,21091,3009,3650,6662,165817,70624,236442
RA33,202,204,399,101,117,221,167,427,592,134,577,715,514,1095,1610,423,463,888,1032,474,1508,859,554,1419,1145,588,1736,1135,390,1525,864,325,1194,982,278,1261,1951,595,2544,1332,57,1387,934,38,970,657,211,867,1324,65,1391,1846,152,1997,376,433,806,15988,7049,23030
RA34,171,133,303,84,70,156,130,434,564,134,472,608,487,802,1294,401,362,764,807,387,1202,748,416,1165,947,405,1350,945,298,1238,608,215,826,656,187,843,1165,272,1439,790,36,827,497,17,510,282,88,374,552,28,585,1466,96,1560,359,404,756,11226,5138,16358
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,2707,4167,6876,1548,2086,3632,2485,8952,11438,2370,13604,15975,8998,26570,35567,10080,13983,24059,25734,11983,37710,22061,13752,35811,28452,13601,42051,27113,8708,35823,21483,7148,28627,21063,5001,26068,39697,6120,45812,26582,930,27509,16389,538,16927,10142,2424,12567,20503,425,20927,29128,3237,32367,3761,5944,9698,320282,149162,469442
RA41,330,459,788,312,310,618,417,1477,1893,459,2279,2740,1845,5323,7164,1937,2614,4558,5893,2069,7964,4513,2209,6717,5769,1965,7732,5358,1102,6460,4005,734,4739,4051,525,4581,6747,616,7364,4056,84,4140,2203,39,2238,1229,286,1511,2292,27,2322,5719,273,5996,791,1150,1944,57934,23541,81479
RA42,355,481,840,307,363,671,449,1736,2185,456,2564,3015,2038,5106,7143,1717,2065,3784,5256,1833,7093,3677,1809,5488,4377,1552,5934,4156,996,5156,2699,747,3447,2811,490,3305,4570,568,5134,2782,77,2862,1508,41,1553,801,244,1053,1484,31,1514,4485,234,4724,930,1366,2296,44858,22338,67196
RA43,91,118,203,82,82,168,96,376,470,88,526,613,414,1079,1492,359,504,867,1038,445,1483,790,449,1239,1048,419,1461,998,254,1257,699,205,908,704,133,842,1236,235,1468,751,25,777,408,14,418,249,94,339,519,10,530,1170,73,1242,192,301,497,10936,5338,16277
RA44,25,47,74,7,17,31,31,139,168,22,156,180,119,287,408,92,104,204,244,100,347,209,118,328,249,134,387,220,98,315,146,74,218,171,53,222,323,77,397,174,6,185,105,0,110,54,23,75,95,3,98,352,14,369,152,138,288,2810,1598,4406
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,4896,5832,10727,2262,2503,4764,3653,8860,12509,3182,12931,16117,10600,26268,36863,11307,14300,25603,27741,11881,39621,23954,14423,38372,33117,16819,49938,32567,12950,45520,28522,11200,39723,29561,8788,38347,63440,13832,77273,45753,2180,47928,31001,1380,32381,25732,6058,31782,56697,1612,58311,57638,6174,63812,5673,7081,12757,497304,185057,682358
RA51,505,556,1058,312,279,584,428,1086,1516,447,1707,2152,1644,3630,5270,1665,1822,3485,4492,1462,5956,3380,1632,5012,4078,1574,5658,4127,1030,5159,3378,919,4295,3588,653,4238,6775,1072,7845,4577,141,4717,2837,77,2911,1934,407,2347,3514,83,3603,7542,470,8017,851,974,1820,56069,19573,75642
RA52,408,524,928,284,301,586,388,1099,1480,406,1790,2196,1398,3439,4839,1371,1660,3033,3762,1485,5246,2670,1536,4207,3647,1636,5285,3491,1091,4576,2675,936,3618,2987,802,3792,5447,1124,6573,3684,146,3833,2407,69,2479,1599,414,2013,3041,109,3148,5813,406,6218,864,1081,1946,46343,19652,65993
RA53,164,197,357,83,99,183,121,339,460,139,495,629,405,838,1244,376,422,795,842,479,1320,725,589,1312,1005,686,1688,1034,554,1590,920,503,1416,1062,447,1509,2499,850,3343,1831,89,1927,1348,61,1403,1281,419,1704,2869,115,2986,2441,203,2645,374,378,755,19504,7760,27262
RA54,72,129,206,60,79,143,150,317,470,106,346,451,413,445,859,330,251,585,603,244,846,578,310,893,600,396,993,579,349,933,485,332,819,545,296,843,1291,622,1911,865,33,900,662,25,683,499,217,713,1035,33,1064,1391,111,1503,382,333,710,10664,4855,15516
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,513,834,1347,306,545,850,710,2664,3377,784,4146,4922,2673,8681,11361,3226,4649,7875,7785,3774,11555,6496,4085,10580,8352,3914,12266,8008,2472,10477,6208,1940,8147,5889,1307,7194,10799,1403,12198,6752,216,6964,3975,112,4091,2457,541,3001,4386,81,4466,8030,954,8986,1174,2056,3234,88535,44366,132896
RA62,299,398,702,249,259,511,373,1461,1833,422,2201,2625,1883,4837,6720,1784,1931,3719,5304,1531,6840,3601,1591,5197,4283,1306,5589,3914,670,4583,2723,536,3256,2587,369,2949,4003,352,4351,2247,56,2299,1133,12,1144,615,181,791,1065,20,1083,4228,232,4458,777,1050,1829,41499,18982,60479
RA63,11,38,47,15,21,36,12,110,121,23,138,161,106,293,401,94,88,190,229,92,324,178,107,285,170,70,242,165,57,221,102,44,150,123,37,160,181,43,224,97,8,103,50,0,55,33,13,51,41,3,46,207,19,225,57,62,120,1915,1233,3152
RA64,4,3,7,3,4,11,6,20,34,3,37,35,23,84,109,15,39,56,40,34,72,47,48,92,58,48,102,66,17,82,30,17,50,42,6,54,89,14,108,45,0,47,22,3,30,15,4,21,22,0,22,74,6,79,9,27,41,626,427,1053
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,160,238,401,74,87,165,132,304,443,150,658,805,408,774,1176,409,498,902,781,553,1327,866,785,1652,1338,1073,2412,1564,1001,2566,1546,891,2433,1775,808,2585,4374,1338,5710,3452,284,3734,2801,214,3020,2395,646,3040,5203,350,5549,3642,579,4224,444,447,890,31515,11527,43043
RA73,57,97,154,56,61,123,104,158,258,65,286,358,218,301,514,186,225,410,356,270,618,365,329,696,466,398,869,538,368,903,489,313,804,556,274,827,1261,376,1637,1006,62,1068,650,46,693,486,117,605,825,51,881,1269,157,1425,183,231,420,9136,4127,13262
RA74,33,40,80,67,29,102,175,127,300,65,71,136,368,91,458,244,82,323,399,134,539,503,175,676,541,221,762,501,214,717,358,163,523,350,163,512,617,218,834,415,24,438,279,14,291,162,58,215,306,12,313,869,40,909,501,127,628,6750,2008,8752
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,493,922,1415,239,453,699,449,1375,1827,461,2210,2671,1236,3529,4763,1377,2463,3845,2871,2516,5387,3212,3149,6360,4960,4018,8981,5591,3862,9457,5224,3768,8992,5510,2657,8166,13174,5448,18619,11336,759,12092,9104,450,9555,7621,1827,9442,17526,493,18023,9100,1377,10474,680,1043,1723,100160,42319,142479
RA81,3,0,3,0,0,0,0,0,0,0,3,3,0,3,3,3,0,4,0,3,3,0,3,3,4,6,4,3,0,4,5,5,8,8,3,14,14,3,23,19,0,18,26,0,26,11,0,11,35,0,35,12,0,12,0,3,4,148,32,182
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,6,0,6,8,3,11,3,0,5,3,0,3,13,3,12,10,0,10,0,0,0,0,0,0,3,0,3,9,0,9,13,0,14,71,19,86
RA94,4,7,7,8,8,13,9,21,24,3,24,32,21,61,83,27,36,61,48,38,85,58,33,97,95,28,120,84,15,98,64,20,87,62,15,82,110,29,140,69,4,69,40,0,40,26,10,37,57,0,57,110,3,110,12,18,34,905,364,1270
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
