RA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
RA23,1356,1260,2617,430,205,631,164,305,469,41,38,78,67,42,107,705,580,1286,540,588,1124,9.5,7.2,8.3,52,46,49.1,46.8,43.5,45,26,34,57,15,34,49,77,155,236,59,121,186,306,127,437,15,21,36,25,33,54,349,179,526,1307,1234,2538,128,121,249,1028,960,1989,360,353,719
RA25,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
RA29,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
RA30,1155389,1233837,2389230,538422,333215,871636,153185,305705,458896,30612,37088,67703,57627,52251,109875,779845,728255,1508103,301113,428711,729827,7.4,7.2,7.3,67.5,59,63.1,62.5,54.8,58.5,55108,53886,108995,17425,31018,48446,157429,209471,366908,95248,132555,227798,269488,135878,405369,10152,16475,26633,17785,27933,45719,297426,180288,477714,1049737,1098597,2148329,259829,275482,535305,634737,664220,1298956,621320,659964,1281291
RA31,373191,386341,759537,150009,83536,233540,39528,88984,128517,11043,11121,22169,19793,16140,35926,220373,199776,420150,123237,158960,282198,9,8.1,8.6,59.1,51.7,55.3,53.7,47.5,50.6,6618,7057,13677,3471,6882,10346,24237,42538,66770,22160,34616,56772,106393,49546,155941,4152,7025,11177,5916,8839,14760,116464,65420,181878,346375,354957,701334,70091,75749,145840,224214,225805,450017,173581,186685,360264
RA32,267703,265964,533673,117846,69801,187646,28500,62503,91006,8911,8782,17693,13860,10990,24854,169126,152083,321206,71697,90433,162133,8.2,7.2,7.7,63.2,57.2,60.2,58,53,55.5,4668,5548,10219,2147,4746,6896,18016,32614,50635,15863,23745,39612,74544,32922,107460,2833,4530,7363,3786,5643,9432,81161,43095,124255,241877,238218,480098,52463,55426,107892,155039,149636,304678,124503,130686,255187
RA33,30040,26150,56190,14901,7962,22861,2202,5256,7458,1107,936,2044,1201,905,2110,19411,15059,34471,6473,8065,14534,6.2,6,6.1,64.6,57.6,61.3,60.6,54.1,57.6,309,369,676,143,400,544,1424,2869,4297,1318,2036,3348,7892,3041,10937,339,501,843,421,494,914,8654,4039,12694,26976,23939,50918,5041,5040,10083,18075,15786,33860,12003,11318,23327
RA34,20462,19573,40039,9494,6225,15723,1639,3238,4882,794,740,1535,1101,807,1914,13031,11015,24050,5379,6778,12150,8.4,7.3,8,63.7,56.3,60.1,58.3,52.1,55.3,164,252,413,108,292,393,813,1851,2668,890,1412,2299,4575,2220,6792,374,511,888,314,324,635,5272,3050,8320,20656,19806,40461,3529,3456,6987,14871,14010,28884,7546,7585,15136
RA35,65,81,144,23,11,32,7,11,16,4,13,10,0,0,4,30,35,68,27,32,57,0,0,5.9,46.2,43.2,47.2,52.3,43.2,40.3,0,0,3,0,0,0,0,3,5,3,7,12,11,6,18,0,3,3,0,0,0,13,12,26,52,57,102,6,17,22,33,49,84,25,21,45
RA39,6509,5179,11693,1106,640,1749,428,552,978,205,149,354,612,375,986,2360,1712,4074,2632,2514,5145,25.9,21.9,24.2,36.3,33.1,34.8,26.7,25.9,26.3,143,123,266,48,71,118,448,701,1147,327,452,779,1395,508,1898,48,67,113,95,112,202,1534,683,2221,1610,1127,2737,3598,3312,6907,1044,637,1684,4011,3681,7693
RA40,492027,524955,1016978,206092,118882,324971,67150,134054,201205,12464,15920,28380,26579,20768,47348,312286,289628,601910,155020,209915,364936,8.5,7.2,7.9,63.5,55.2,59.2,58.1,51.2,54.5,23247,22735,45982,7539,13026,20563,65634,85849,151483,38813,49762,88573,106202,54860,161061,5405,8095,13499,7817,11459,19277,119420,74409,193837,469554,493285,962847,81669,85904,167571,322441,338152,660594,207930,221297,429227
RA41,86263,89935,176195,35748,17679,53426,11032,24446,35480,2671,3000,5667,3221,2651,5870,52668,47771,100443,28434,37010,65442,6.1,5.5,5.8,61.1,53.1,57,57.3,50.2,53.7,1533,1740,3271,894,1748,2644,6131,10060,16184,5786,8847,14633,23040,11780,34820,1047,1938,2985,1723,2442,4158,25804,16157,41963,84262,86400,170659,12630,13584,26216,59079,59542,118623,33777,36548,70324
RA42,71763,70229,141991,28322,13078,41400,7386,17583,24963,2396,2305,4702,3324,2202,5528,41427,35165,76590,25361,30220,55575,8,6.3,7.2,57.7,50.1,53.9,53.1,46.9,50,517,659,1179,405,969,1377,2935,6117,9052,3218,5604,8819,18271,8458,26732,920,1484,2402,1276,1564,2837,20471,11502,31972,69032,67398,136427,9325,9729,19049,51181,49314,100495,23529,24402,47935
RA43,18083,17036,35115,7905,3503,11406,2125,4803,6932,686,627,1307,576,445,1020,11291,9373,20663,5301,6425,11730,5.1,4.7,4.9,62.4,55,58.8,59.3,52.4,55.9,184,215,402,105,323,430,947,1779,2726,859,1487,2344,4833,2120,6947,226,325,554,332,402,732,5392,2846,8240,16967,16116,33084,2858,2777,5635,11925,11172,23098,6914,6829,13740
RA44,5810,4902,10711,2271,1226,3500,575,1010,1583,233,208,443,261,162,420,3339,2608,5944,1655,1605,3262,7.8,6.2,7.1,57.5,53.2,55.5,53,49.9,51.6,50,55,107,27,72,92,249,477,721,203,378,582,1220,456,1676,73,92,164,79,90,168,1372,636,2010,5320,4603,9926,748,676,1423,3940,3326,7268,1814,1611,3427
RA45,6,0,3,6,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,4,4,0,3
RA49,1627,1016,2648,266,131,404,139,107,250,60,27,82,199,106,301,669,367,1038,587,454,1040,29.7,28.9,29,41.1,36.1,39.2,28.6,26.1,27.8,38,26,59,7,17,24,99,111,219,65,82,145,305,102,402,16,11,25,22,28,47,345,137,482,366,183,552,899,699,1592,251,122,372,958,720,1680
RA50,760820,790414,1551233,358613,199588,558200,98808,203766,302575,23756,24303,48060,44108,36516,80620,525286,464173,989461,184323,277136,461455,8.4,7.9,8.1,69,58.7,63.8,63.2,54.1,58.6,36818,33362,70185,11736,20932,32668,112290,143533,255822,64229,80882,145116,174222,77742,251966,6661,11339,17998,10862,19857,30716,191745,108936,300679,706065,726546,1432613,149816,154607,304425,437092,452589,889685,383105,394394,777495
RA51,87218,86853,174076,36933,17647,54581,9598,23704,33303,3565,2882,6448,4080,3206,7283,54174,47442,101618,25723,32658,58379,7.5,6.8,7.2,62.1,54.6,58.4,57.4,50.9,54.2,1210,1319,2526,731,1651,2379,5923,10102,16022,5444,8314,13765,25058,11433,36491,924,1918,2847,1440,2461,3907,27429,15813,43239,80299,81347,161647,14587,15540,30126,51560,51354,102915,38643,41317,79966
RA52,74140,72758,146896,32682,16776,49462,7782,17970,25752,3025,2614,5637,3174,2232,5401,46655,39595,86246,20581,26936,47513,6.8,5.6,6.3,62.9,54.4,58.7,58.7,51.3,55,1053,1037,2094,584,1407,1985,4352,7818,12171,4072,6537,10610,19653,8537,28190,903,1569,2473,1230,1869,3096,21784,11975,33758,68503,67534,136040,12733,13086,25819,45421,43895,89315,31825,32957,64780
RA53,34222,30578,64799,18351,9406,27754,2760,6855,9621,1559,1311,2869,1175,958,2129,23839,18536,42370,5944,8476,14425,4.9,5.2,5,69.7,60.6,65.4,66.2,57.5,62.1,423,537,960,252,664,915,2175,4004,6182,1865,2859,4725,9558,3446,13006,394,725,1121,552,758,1312,10509,4934,15443,28884,26047,54927,8378,8225,16603,16000,13876,29880,18642,17939,36577
RA54,33549,21189,54730,17083,6764,23848,1957,2927,4888,1692,939,2633,1230,851,2078,21963,11489,33449,5231,6578,11809,5.6,7.4,6.2,65.5,54.2,61.1,61.8,50.2,57.3,434,331,764,218,365,581,2015,2252,4267,1630,1427,3057,9346,2097,11446,406,516,919,474,443,912,10222,3053,13277,24822,18122,42943,7986,5413,13399,13774,10747,24521,17164,11118,28286
RA55,408,26,434,286,17,301,20,3,23,15,0,18,0,0,0,322,17,341,11,6,20,0,0,0,78.9,65.4,78.6,78.7,76.9,78.8,9,0,9,0,0,0,31,3,31,52,4,55,130,4,134,3,0,5,13,0,13,139,4,145,259,11,272,73,12,84,143,9,147,187,18,206
RA59,3336,2220,5559,776,364,1143,222,206,431,125,74,195,303,143,444,1428,792,2215,962,882,1845,21.2,18.1,20,42.8,35.7,39.8,33.7,29,31.8,62,54,117,16,32,48,225,302,522,151,155,308,748,217,969,28,37,65,51,63,114,829,317,1147,814,434,1248,1691,1346,3036,493,234,725,1945,1495,3440
RA61,134753,147327,282083,53782,31431,85212,18170,38588,56759,3709,4804,8512,6340,4674,11010,81996,79494,161492,44582,59131,103715,7.7,5.9,6.8,60.8,54,57.2,56.1,50.8,53.3,5287,5734,11017,2073,3760,5835,14921,21156,36080,9143,12407,21551,31651,16181,47835,1502,2828,4329,1911,3655,5566,35058,22667,57729,127702,136898,264599,22682,24656,47339,88144,93949,182092,56603,62093,118703
RA62,63525,64689,128211,22895,11193,34083,7321,15975,23297,2162,2108,4270,2859,2021,4874,35239,31294,66528,23798,28934,52734,8.1,6.5,7.3,55.5,48.4,51.9,51,45.3,48.1,1054,1173,2228,535,1065,1603,3709,6420,10129,3629,5618,9247,16951,7664,24614,736,1455,2189,1036,1812,2845,18715,10929,29644,61499,61457,122952,8462,9092,17554,45108,44126,89230,22090,23689,45786
RA63,3353,3101,6449,1093,530,1621,357,687,1049,126,132,260,208,116,329,1787,1466,3249,1274,1347,2621,11.6,7.9,10.1,53.3,47.3,50.4,47,43.5,45.4,37,46,84,17,29,46,177,272,446,187,263,451,906,342,1246,31,75,103,74,83,152,1003,503,1507,3021,2726,5750,527,549,1077,2122,1855,3977,1239,1249,2491
RA64,1094,1012,2110,489,239,732,156,246,398,44,52,100,33,25,56,716,571,1284,297,351,648,4.6,4.4,4.4,65.4,56.4,60.9,63,53.1,58.3,25,26,49,7,24,35,63,135,198,78,96,172,325,114,435,11,12,27,19,30,45,353,155,508,1020,936,1955,154,132,291,732,665,1402,379,352,736
RA65,49,18,73,31,4,40,3,0,4,3,0,3,0,0,0,38,15,50,5,6,12,0,0,0,77.6,83.3,68.5,75.5,22.2,64.4,0,0,0,0,0,0,3,4,6,4,3,10,17,3,21,0,0,0,0,0,0,19,3,22,32,16,47,11,7,22,21,13,37,25,8,29
RA69,481,350,835,86,48,139,50,44,91,12,10,18,57,38,95,204,136,345,158,168,329,27.9,27.9,27.5,42.4,38.9,41.3,30.8,29.1,29.7,12,17,31,3,5,6,36,38,77,18,38,59,91,31,120,10,8,16,7,11,13,103,40,152,112,66,176,279,258,540,89,45,133,284,258,541
RA72,57821,51481,109301,31136,20766,51904,5324,9485,14809,2427,2218,4641,1876,1584,3466,40764,34055,74817,9750,12102,21855,4.6,4.7,4.6,70.5,66.2,68.5,67.3,63.1,65.3,2189,2455,4646,775,1652,2430,6171,9019,15194,4250,4896,9149,14931,6073,21000,602,831,1432,826,1093,1921,16354,7994,24352,45097,41819,86924,15030,14342,29369,24727,23064,47789,32313,30043,62358
RA73,17827,17385,35215,8005,6308,14314,1461,2582,4049,620,708,1328,666,457,1123,10754,10056,20811,4348,4798,9142,6.2,4.5,5.4,60.3,57.8,59.1,56.6,55.2,55.9,491,702,1201,221,528,743,1453,2498,3952,1147,1372,2520,3723,1649,5369,212,328,541,251,355,608,4182,2334,6514,14690,14473,29166,3672,3882,7553,9047,8895,17940,8229,8398,16627
RA74,16158,16332,32488,4167,3305,7468,1092,1448,2533,537,526,1061,1651,1365,3016,7444,6635,14086,6484,7608,14093,22.2,20.6,21.4,46.1,40.6,43.4,35.9,32.3,34,159,249,403,98,205,306,590,963,1552,460,596,1057,1927,959,2891,350,421,767,293,258,552,2572,1639,4208,17627,17728,35357,2373,2325,4694,14003,14283,28289,4336,4272,8610
RA75,61,9,72,14,3,16,0,0,3,10,0,10,0,0,0,22,7,25,28,0,29,0,0,0,36.1,77.8,34.7,39.3,33.3,40.3,0,0,3,0,0,0,19,3,17,8,0,8,19,0,17,0,0,0,4,0,4,19,0,17,45,10,52,3,0,7,39,5,42,4,4,8
RA79,1240,1043,2281,254,149,399,36,66,103,34,41,70,48,33,76,369,280,647,465,427,889,13,11.8,11.7,29.8,26.8,28.4,26.1,24.5,25.1,19,32,52,9,21,34,65,122,184,51,68,121,251,67,322,14,11,29,19,32,45,279,112,392,370,269,639,588,591,1185,231,159,395,666,657,1326
RA80,156663,165240,321901,79411,57288,136691,20380,36528,56902,4635,6825,11457,5365,4790,10156,109782,105431,215213,37791,50559,88349,4.9,4.5,4.7,70.1,63.8,66.9,66.7,60.9,63.7,18739,16002,34743,5269,8123,13391,32272,39268,71538,13245,16416,29657,22583,12478,35065,1183,1803,2981,1756,3635,5396,25520,17918,43441,144156,149785,293941,32894,33919,66816,88161,93375,181540,81727,83763,165485
RA81,264,244,512,151,91,241,32,69,95,16,17,26,0,6,7,202,171,377,36,47,80,0,3.5,1.9,76.5,70.1,73.6,75.4,72.5,70.7,18,15,36,5,4,10,27,40,67,21,45,69,79,30,110,0,0,0,3,0,6,82,34,118,296,246,543,11,30,41,160,139,304,119,124,243
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,297,209,506,63,56,126,24,37,62,15,10,20,29,14,44,133,115,248,89,66,153,21.8,12.2,17.7,44.8,55,49,34.3,49.3,41.1,14,20,40,4,9,10,29,55,81,15,18,30,36,17,50,3,3,10,7,0,5,41,22,62,60,41,98,165,153,319,35,29,64,180,155,336
RA91,175,140,312,71,23,93,5,15,21,6,10,15,8,0,13,94,52,146,42,58,98,8.5,0,8.9,53.7,37.1,46.8,46.9,34.3,41.3,7,5,15,4,0,4,22,20,41,13,8,26,22,15,33,3,3,8,0,3,3,21,20,41,113,100,216,59,34,98,86,83,167,80,41,122
RA94,1841,1565,3402,805,493,1302,198,348,543,86,80,168,20,25,44,1106,949,2058,549,438,988,1.8,2.6,2.1,60.1,60.6,60.5,59.2,58.8,59.2,24,38,64,20,34,49,110,167,274,90,156,246,436,133,566,28,29,49,38,58,94,499,219,717,1490,1468,2956,233,217,449,1123,1113,2232,496,496,993
RA95,3,0,6,3,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,100,0,100,100,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,4,0,4,0,0,3,4,0,4,3,0,4
RA99,21,30,46,3,4,11,0,0,3,0,4,3,4,3,3,7,11,18,11,14,22,57.1,27.3,16.7,33.3,36.7,39.1,14.3,26.7,37,0,0,0,0,0,0,4,6,10,0,6,9,3,3,4,0,0,0,0,0,0,3,3,4,13,8,21,5,22,28,6,4,14,8,21,29
