RA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,7,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,3,3,3,9,0,3,25,4,19,15,51,39,45,51,18,10,262,118,322,211,484,404,597,545,274,109,3059
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,11,5,0,0,0,29
RA29,0,0,0,3,3,0,0,0,0,7,0,0,4,25,5,3,3,0,0,41,0,0,0,9,3,0,0,0,0,11,0,0,3,10,0,7,3,0,0,22,0,0,7,4,0,3,0,0,0,13,0,0,0,13,4,0,3,0,0,25,0,0,0,0,0,4,0,0,0,6,0,0,4,10,0,3,0,0,0,28,0,0,18,33,4,0,0,0,0,64,0,0,3,11,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,12,9,0,3,0,0,26,4,0,13,17,3,3,3,0,0,47,0,0,17,31,11,10,3,0,0,76,0,0,0,8,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,11,19,79,163,42,22,19,4,4,359,46,55,177,503,161,131,74,15,5,1162,379,367,1254,3135,975,816,482,121,38,7565
RA30,51,502,1030,3169,2401,1551,590,353,79,9727,249,1675,2912,10269,4845,3430,1377,358,89,25217,3,54,104,1310,485,902,611,372,335,4171,54,638,724,2868,2987,3073,3165,1873,698,16070,101,473,1229,2020,769,727,353,111,20,5797,201,2380,4768,10858,6209,3619,2091,840,254,31206,3,3,28,344,428,556,479,314,94,2257,58,606,710,3035,1281,1090,692,303,115,7893,180,459,1914,7393,1222,1456,732,156,26,13535,152,811,1166,3656,924,440,161,23,4,7342,5,6,42,211,222,191,135,68,14,886,9,41,90,499,336,139,95,37,11,1261,282,1498,1650,4149,1847,1529,1111,306,107,12492,114,616,1447,6856,3706,2947,1220,476,200,17590,23,233,304,981,869,637,664,354,141,4212,6,178,743,2351,1297,960,380,111,22,6055,1070,5829,10456,34270,13168,10207,7277,4011,1617,87902,9708,17271,23176,54629,25037,21613,17501,11236,7535,187714,187648,380141,403547,846784,391040,323496,244625,124432,55303,2957012
RA31,10,96,174,559,508,300,85,40,9,1788,139,930,822,2962,1247,861,379,66,11,7403,0,3,4,107,45,99,70,59,37,426,8,63,84,363,538,704,997,491,151,3400,13,39,52,163,122,91,40,10,3,534,22,541,766,1610,1175,645,388,186,42,5380,0,0,0,13,49,73,91,49,6,277,25,133,71,491,153,90,62,27,14,1063,11,38,188,725,25,33,15,0,0,1039,28,111,115,483,215,68,25,3,0,1041,0,0,3,3,11,9,9,3,0,38,0,3,3,41,41,17,17,4,0,134,28,232,185,540,407,408,407,125,26,2361,8,108,99,494,161,91,28,5,4,995,3,29,32,130,152,161,202,100,31,832,3,112,211,488,430,309,118,48,9,1727,157,785,997,2960,1632,1484,1395,791,279,10481,3158,6804,7541,17027,11092,11107,9628,5415,2517,74288,55703,126592,110530,216121,128979,126681,105399,52655,19169,941836
RA32,32,435,616,1369,858,515,194,52,11,4071,92,620,665,2320,1113,805,303,65,12,5988,0,0,8,143,38,89,71,24,24,390,4,48,83,394,379,485,479,212,56,2145,4,21,29,97,100,60,23,5,3,347,20,263,473,1069,609,346,176,62,13,3038,0,0,0,7,30,56,53,48,9,210,3,73,71,282,101,87,60,21,3,698,8,20,113,637,30,13,4,3,0,819,34,159,217,618,277,107,27,4,0,1456,0,0,0,4,4,4,10,3,0,29,0,3,0,23,35,15,3,3,0,83,22,147,197,625,279,308,267,78,28,1946,7,76,78,373,131,81,36,4,0,782,3,13,38,140,106,79,101,48,14,534,3,58,133,330,187,155,44,14,6,923,115,641,896,3360,1670,1501,1175,645,191,10187,3225,6418,7436,17938,10060,9086,6790,3585,1324,65859,42994,90970,82411,173898,93121,85107,60941,28349,9844,667628
RA33,3,23,15,79,37,26,11,3,0,186,7,83,84,321,157,97,29,9,0,778,0,0,0,6,0,9,6,0,0,20,0,0,8,21,17,23,36,13,0,116,0,0,0,6,0,3,0,0,0,7,0,50,37,165,66,22,23,3,4,368,0,0,0,0,3,0,4,8,0,14,3,3,0,48,10,9,3,0,0,76,0,0,4,47,0,0,0,0,0,57,3,10,7,40,13,3,3,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,9,5,46,13,29,18,3,0,130,0,3,3,21,4,0,0,0,0,24,0,0,0,7,9,7,3,0,0,20,0,8,14,61,27,6,7,0,0,124,4,15,38,198,122,109,118,66,11,684,492,885,1014,2953,1392,1234,805,326,72,9161,5363,9770,8210,20109,9954,8948,5900,2403,665,71327
RA34,4,22,23,83,74,68,27,3,0,305,5,27,14,98,32,29,10,0,0,216,0,0,0,4,0,0,0,0,0,8,0,3,3,8,11,12,13,8,0,55,0,0,0,6,0,4,0,0,0,12,0,3,9,33,18,10,7,0,0,84,0,0,0,0,0,0,0,0,0,10,0,0,0,5,3,0,0,0,0,18,0,0,5,9,0,0,0,0,0,18,3,0,8,18,8,5,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,11,20,9,18,8,0,3,61,3,13,30,60,10,3,0,0,0,124,0,0,0,4,0,5,0,0,0,8,0,3,0,14,6,3,3,0,0,30,3,9,20,108,41,30,39,7,4,262,227,444,503,1297,698,597,427,175,69,4443,4415,8274,6883,14103,6925,6249,3795,1583,502,52723
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,4,4,0,4,11,0,0,19,3,4,16,27,24,30,33,16,4,150
RA39,0,3,8,16,15,5,3,3,0,42,4,3,5,24,8,7,5,3,0,53,0,0,0,12,0,3,0,0,0,17,0,0,12,22,10,20,24,7,0,89,0,0,6,10,0,0,0,0,0,15,0,0,0,24,14,5,12,0,0,52,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,12,3,4,26,95,0,0,0,0,0,121,0,0,3,8,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,21,24,4,10,5,3,0,67,0,0,8,7,6,3,0,0,0,28,0,0,14,6,0,8,3,0,0,35,0,0,6,3,3,3,3,0,0,16,3,8,73,139,25,43,27,5,0,334,43,65,256,656,266,378,256,75,15,2011,339,489,1539,3776,1663,2373,1916,381,44,12510
RA40,0,30,37,276,215,93,32,22,8,710,112,834,1259,4190,1741,1174,502,159,44,9999,7,42,93,1037,558,1193,768,501,495,4691,14,269,353,1137,1637,2155,2060,1333,516,9475,50,218,455,809,302,272,201,48,13,2372,30,472,875,1684,1065,580,378,145,47,5280,0,0,17,244,282,378,349,305,126,1691,59,396,323,1734,481,211,153,89,21,3475,22,64,222,757,106,63,35,4,0,1287,42,153,306,1388,285,133,38,14,0,2355,0,7,13,53,51,77,72,77,18,358,5,28,28,145,97,83,51,52,22,510,81,392,401,1106,551,482,376,101,44,3537,76,360,1158,4939,2930,2696,936,384,166,13645,6,99,131,368,424,464,380,296,119,2287,11,86,172,435,228,154,33,19,0,1138,535,2845,4586,12470,4828,3725,3160,2425,1408,35988,3085,5360,7078,17166,9145,8735,7387,5250,3111,66323,72353,140955,160667,330542,163868,148655,114326,65826,33097,1230284
RA41,0,0,0,34,46,20,3,3,0,110,10,142,151,433,164,105,55,7,0,1075,0,0,0,42,17,35,25,16,21,157,0,32,16,111,188,323,358,155,63,1261,0,7,8,19,17,15,11,7,0,73,0,69,88,198,137,94,55,24,9,671,0,0,0,0,18,17,21,20,6,71,0,10,3,68,15,10,6,3,0,118,0,4,44,158,5,4,0,0,0,216,15,83,75,96,33,6,0,0,0,313,0,0,0,0,3,3,3,0,0,10,0,0,0,9,7,13,9,0,0,37,9,39,53,116,92,99,70,19,5,507,8,35,52,209,87,75,19,3,0,479,0,5,11,36,59,82,86,55,14,346,0,10,20,40,28,27,6,6,0,138,23,114,114,444,243,310,325,213,103,1888,533,1173,1309,3055,2136,2389,2082,1149,539,14351,11624,26694,23930,45817,30179,30844,26681,13258,5489,214510
RA42,0,3,0,17,22,9,0,4,0,63,23,150,92,457,148,126,43,20,4,1060,0,0,0,16,5,16,22,18,15,87,0,9,13,54,169,285,284,196,64,1075,3,0,0,13,4,8,3,0,0,29,3,59,63,155,102,44,25,12,3,470,0,0,0,7,12,16,22,28,3,79,6,9,8,61,18,8,3,0,0,113,0,0,29,121,0,0,0,0,0,153,0,10,15,54,25,13,0,0,0,116,0,0,0,0,0,3,4,0,0,11,0,0,0,9,15,10,4,9,0,41,0,12,10,46,40,50,27,16,0,194,3,8,12,92,43,7,10,3,0,172,0,4,0,13,31,42,38,20,9,171,0,10,26,54,21,16,7,4,0,140,11,51,66,265,175,207,219,168,54,1195,489,1095,1121,2719,2154,2243,2053,1151,667,13693,9411,20997,18011,36634,24391,25686,21438,11222,4615,172404
