RA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
RA23,3,3,16,7,5,4,0,37,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,7,6,16,19,15,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,11,16,18,15,4,0,59,0,3,6,10,4,0,0,22,0,0,0,0,0,0,0,0,10,15,23,26,19,4,0,88
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,5093,10199,6887,4517,5875,1820,814,35197,690,561,331,243,299,103,78,2305,210,375,228,187,234,75,35,1351,9781,19912,14877,10679,15206,5318,2558,78320,816,1606,996,604,781,205,112,5118,1161,2012,966,592,591,155,76,5548,1980,3619,1962,1194,1367,366,187,10674,11758,23530,16837,11872,16574,5683,2747,88998,13454,12826,6788,4287,4765,1474,822,44415,231,311,187,119,91,26,12,990,25441,36669,23808,16283,21430,7189,3582,134393
RA31,1737,3619,2422,1658,1995,201,88,11722,183,195,122,63,99,18,7,689,82,118,90,57,95,8,8,459,2938,6229,4701,3363,4583,584,235,22626,404,856,560,321,388,42,16,2596,475,879,451,296,222,27,8,2360,883,1738,1009,618,613,70,26,4951,3822,7962,5710,3982,5193,656,259,27578,6520,6021,3068,1899,1877,232,106,19721,128,133,95,43,43,5,3,453,10470,14123,8873,5928,7119,891,366,47754
RA32,1201,2456,1617,1031,1270,162,75,7814,127,125,74,55,99,14,4,498,68,74,76,57,62,3,3,349,2326,4763,3390,2474,3265,494,214,16938,246,621,358,259,253,20,9,1759,341,564,278,174,141,10,3,1520,586,1190,635,432,392,31,13,3284,2917,5953,4030,2905,3658,527,227,20219,4287,4073,1932,1220,1084,164,61,12817,89,105,60,56,35,0,3,350,7291,10132,6023,4182,4773,690,288,33384
RA33,87,179,113,75,75,0,0,531,9,7,0,7,7,0,0,37,4,21,8,0,9,0,0,40,200,418,278,187,204,7,3,1310,32,40,26,15,16,0,0,128,33,45,29,16,10,0,0,133,62,86,53,28,31,0,0,262,267,504,334,223,233,7,3,1568,496,393,206,122,69,5,0,1291,16,17,18,10,0,0,0,55,780,911,555,349,310,12,10,2918
RA34,85,198,107,63,57,0,0,501,16,13,8,7,0,0,0,46,9,12,11,3,0,0,0,38,224,450,249,139,129,3,0,1196,42,69,40,19,6,3,0,178,32,23,14,3,3,0,0,77,70,87,52,25,9,3,0,251,295,539,297,164,140,7,3,1443,632,548,282,149,79,3,0,1703,36,35,20,19,4,0,0,117,969,1128,602,333,230,9,3,3264
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,2083,4050,2793,1977,2735,1095,591,15326,319,204,124,81,146,63,48,988,82,114,83,54,73,37,16,446,3539,6936,5173,3898,6226,2880,1586,30243,249,596,343,263,336,142,51,1981,419,746,433,235,264,96,46,2230,665,1339,775,491,599,236,102,4209,4200,8280,5953,4397,6830,3120,1689,34457,5903,5567,2916,2032,2390,981,533,20321,124,148,81,45,42,14,9,460,10225,13989,8948,6471,9255,4107,2228,55232
RA41,318,829,616,408,545,136,47,2901,47,42,26,18,37,9,3,174,10,19,12,9,23,5,0,74,498,1294,1024,785,1160,299,116,5175,40,84,72,51,53,14,0,319,62,105,68,37,51,12,6,336,102,194,134,84,107,24,5,652,601,1487,1164,868,1263,321,122,5827,960,905,501,331,363,81,26,3164,32,23,12,12,9,0,0,86,1593,2415,1677,1210,1634,401,141,9079
RA42,267,585,450,291,409,65,7,2078,36,39,17,21,10,0,0,124,10,18,9,5,12,0,0,59,423,937,721,552,813,125,19,3595,38,110,79,50,64,12,0,345,71,127,79,41,47,0,3,378,110,243,157,86,115,12,3,721,531,1182,885,644,927,134,28,4317,1118,1026,566,366,325,51,9,3456,25,48,18,14,11,0,0,119,1675,2257,1462,1024,1265,181,34,7895
RA43,61,128,103,73,84,11,0,462,8,3,0,3,9,0,0,21,3,3,3,3,0,0,0,14,96,207,180,137,190,19,3,837,12,19,15,10,14,0,0,61,11,21,13,14,6,3,0,71,23,43,31,19,20,3,0,139,120,247,211,153,210,21,5,970,170,158,71,52,60,14,3,530,0,3,5,0,0,0,0,12,292,406,284,211,270,37,7,1514
RA44,22,47,20,20,29,0,0,141,5,7,3,3,0,0,0,12,5,3,0,3,0,0,0,7,46,79,46,46,41,0,0,259,4,9,7,0,6,0,0,31,5,3,0,0,0,0,0,8,7,12,8,0,9,4,0,38,51,94,55,47,49,4,0,297,75,81,51,34,24,3,0,266,5,11,10,3,0,0,0,35,137,179,121,80,73,5,0,602
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,2763,5856,3991,2717,3755,1357,676,21120,332,255,176,131,211,74,65,1243,116,153,93,83,121,56,29,649,4979,10372,7748,5922,9111,3720,1994,43845,410,919,600,419,575,199,86,3216,656,1267,713,400,393,108,58,3592,1064,2190,1313,817,972,306,142,6809,6047,12557,9059,6744,10082,4030,2135,50653,7876,7226,3653,2326,2588,891,540,25110,177,197,123,68,39,12,4,629,14098,19979,12829,9139,12710,4937,2683,76386
RA51,326,861,618,403,540,56,27,2828,47,58,43,23,30,3,4,200,3,9,8,13,19,3,0,56,521,1326,1098,824,1155,146,52,5124,29,118,72,67,65,12,3,359,71,181,69,38,54,5,0,421,100,300,140,105,112,17,6,778,623,1627,1237,933,1270,161,57,5908,1146,984,490,339,333,23,13,3329,10,31,15,12,8,3,0,69,1780,2646,1743,1284,1609,193,64,9308
RA52,270,611,467,296,337,27,10,2024,30,51,27,22,26,4,5,165,16,21,12,10,20,4,0,83,463,1054,868,647,817,81,27,3950,25,103,68,56,52,4,0,309,46,122,74,39,42,8,0,329,74,225,135,92,93,10,0,633,536,1278,1006,744,904,93,31,4582,1088,1008,487,297,240,23,10,3151,45,35,32,13,10,0,0,137,1668,2323,1524,1049,1154,116,37,7873
RA53,117,199,113,79,68,0,0,584,9,12,6,5,13,0,0,44,5,15,3,3,6,0,0,32,253,468,302,235,233,9,3,1509,18,36,21,16,15,3,0,110,31,42,20,14,7,4,0,116,48,77,43,29,22,3,0,219,306,550,344,268,253,7,5,1732,456,401,196,101,89,3,0,1244,18,34,16,9,4,0,0,79,779,975,554,372,349,12,5,3049
RA54,83,140,85,58,46,0,0,413,6,16,10,4,4,0,0,42,10,6,5,4,3,0,0,23,190,335,233,142,109,14,0,1023,29,52,34,27,16,0,0,160,22,48,28,11,12,0,0,121,49,100,61,41,24,0,0,278,242,431,294,176,139,14,0,1296,509,475,287,170,85,6,3,1540,41,42,24,20,3,0,0,136,790,950,612,364,228,13,4,2970
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,795,1520,987,673,951,275,84,5287,111,99,55,43,41,14,11,374,26,46,20,18,47,16,3,182,1230,2485,1771,1365,2056,658,245,9823,62,171,94,56,81,24,0,484,124,258,117,76,66,13,4,660,189,425,215,129,149,42,10,1150,1413,2912,1985,1493,2210,702,252,10964,2310,2138,1017,646,708,203,86,7110,48,52,36,21,3,5,0,158,3771,5101,3031,2160,2927,908,340,18236
RA62,224,546,368,248,334,65,12,1788,32,35,27,18,25,7,0,147,19,15,13,7,7,0,0,61,366,858,657,479,688,146,34,3222,36,76,53,35,34,16,0,248,40,96,61,43,44,7,0,286,72,166,109,83,78,18,0,533,440,1025,768,564,769,158,31,3757,901,872,467,316,337,48,7,2952,9,15,6,12,6,3,0,46,1348,1913,1238,889,1112,210,43,6751
RA63,3,23,8,11,11,0,0,64,3,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,34,20,20,23,0,0,110,0,4,6,3,0,0,0,13,0,8,0,4,0,0,0,14,0,16,3,8,0,0,0,23,9,50,28,29,26,0,0,137,52,42,25,16,9,0,0,144,4,4,3,0,0,0,0,12,63,95,55,43,33,0,0,293
RA64,6,4,3,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,11,3,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,4,11,3,0,0,32,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,3,8,11,10,8,6,0,0,48
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,171,253,156,124,142,19,8,869,30,29,14,15,20,0,0,107,12,24,10,14,11,0,0,73,473,875,574,436,616,91,43,3116,33,44,36,14,25,3,0,158,26,54,17,19,7,3,0,127,57,102,54,38,33,3,0,288,532,974,635,472,648,98,43,3401,520,447,228,158,137,21,7,1519,33,20,19,8,5,0,0,88,1088,1438,874,642,795,120,58,5010
RA73,57,107,78,35,36,7,0,322,16,9,12,3,7,0,0,45,11,10,7,8,6,0,0,40,197,336,243,155,181,22,7,1137,19,25,13,7,12,0,0,84,10,15,4,7,3,0,0,42,28,40,21,22,19,0,0,130,223,373,267,170,194,22,7,1263,280,285,139,61,57,4,3,837,11,15,12,13,0,0,0,50,514,681,418,252,251,31,10,2155
RA74,75,118,77,63,32,0,3,367,10,14,6,7,3,0,0,43,24,16,13,9,5,0,0,67,166,315,210,132,85,5,3,914,70,100,58,33,17,0,0,277,32,30,15,14,7,0,0,94,103,122,77,46,26,0,0,375,270,441,285,178,105,5,4,1283,513,570,329,236,109,8,10,1766,72,60,33,23,3,0,0,193,851,1069,640,440,218,12,12,3242
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,574,942,632,405,503,160,69,3295,111,50,38,28,54,27,14,324,12,33,16,11,24,16,6,115,1238,2270,1744,1227,1908,758,354,9496,46,92,57,39,65,21,13,329,59,105,62,29,50,16,3,325,101,199,122,66,115,32,17,659,1339,2469,1871,1302,2021,788,368,10156,1088,1029,578,324,409,190,91,3714,27,18,11,10,3,3,0,71,2458,3511,2458,1630,2440,984,460,13938
RA81,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,18,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,7,4,3,3,3,0,0,23
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,3,0,0,0,0,0,0,7,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,4,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,3,0,0,0,23,8,8,3,5,3,0,0,19,0,4,3,0,0,0,0,8,9,19,13,12,5,0,0,55
RA94,3,6,11,0,8,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,11,22,21,11,26,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,11,17,21,10,21,0,0,86,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,12,17,24,12,21,0,0,95
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
