RA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
RA23,430,190,176,260,377,529,474,243,93,2776,0,3,0,0,3,3,0,0,0,9,0,0,0,0,0,13,6,3,0,32,10,15,15,17,24,60,48,6,3,190,0,0,0,0,3,0,3,0,0,7,0,5,0,0,3,0,5,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,25,23,19,32,74,65,12,3,253,14,23,21,19,30,76,63,12,3,265,437,218,195,280,410,607,541,254,97,3040
RA25,0,0,4,3,6,8,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,3,4,0,0,18,0,9,53,74,74,49,5,3,0,274,0,0,0,3,3,3,0,0,0,18,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,62,85,87,58,14,3,0,328,0,16,62,85,87,58,14,3,0,328,0,16,66,94,91,63,14,3,3,349
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,554367,383789,411794,394089,373221,305777,230666,118707,52788,2825198,407,551,432,292,286,280,273,222,111,2842,1227,1364,2147,1888,2123,3077,3671,1665,413,17567,1610,728,1708,1893,1750,3106,6111,4196,925,22043,10923,15680,15180,9932,9018,9497,8009,4160,2208,84599,394,198,346,367,425,688,1112,556,116,4191,195,191,391,362,361,471,358,118,22,2472,163,114,169,163,257,599,1163,623,87,3331,70,106,156,82,108,94,45,9,0,667,95,65,143,127,158,296,365,182,48,1486,0,3,0,3,3,5,4,3,0,28,14673,18450,20236,14820,14202,17836,20845,11512,3817,136387,15079,19000,20675,15108,14483,18116,21115,11731,3922,139228,569446,402791,432461,409204,387701,323897,251778,130437,56715,2964431
RA31,177810,103010,96128,105286,120609,117020,97569,49875,18244,885553,245,230,162,140,129,181,156,130,56,1428,244,292,442,356,509,1204,2126,756,135,6055,162,138,238,227,369,1155,2634,1084,162,6165,4052,6532,5352,4047,4659,5564,4587,1862,743,37397,45,32,68,55,75,258,640,226,27,1415,50,26,93,75,90,165,187,39,3,726,14,19,32,28,67,214,456,132,7,971,42,53,53,32,42,35,22,3,0,284,13,15,29,37,41,96,135,34,4,406,0,0,0,0,0,0,0,0,0,5,4616,7115,6305,4849,5854,8686,10777,4134,1075,53418,4860,7347,6471,4993,5978,8870,10939,4269,1132,54850,182673,110357,102598,110280,126593,125885,108506,54139,19370,940405
RA32,130256,76231,80213,81659,86533,78695,56758,26951,9390,626681,224,157,172,130,145,124,104,98,29,1174,469,495,863,771,1060,2245,3300,1088,167,10461,745,425,916,943,1088,2799,4495,1774,256,13445,3325,5760,7402,5983,7075,7182,5347,1821,494,44381,120,101,230,200,328,708,1170,405,47,3307,116,98,196,153,270,450,475,125,20,1918,50,22,80,88,151,502,552,164,27,1637,65,100,93,70,58,55,43,7,0,506,49,29,100,66,97,184,207,95,17,851,0,0,0,0,0,0,0,0,0,7,4939,7037,9877,8285,10140,14140,15587,5482,1037,76514,5158,7189,10057,8409,10288,14259,15687,5574,1064,77688,135422,83424,90266,90070,96819,92948,72443,32523,10451,704370
RA33,14457,7403,10115,8647,9172,8168,5402,2226,598,66183,48,38,36,50,41,32,12,4,6,272,181,108,303,292,334,625,790,200,25,2854,123,66,170,182,194,417,604,166,18,1940,629,1139,2420,2460,2558,2355,1271,317,58,13211,8,28,54,33,76,154,217,39,3,617,19,27,49,42,60,54,61,10,0,320,9,4,10,14,33,67,88,12,0,246,15,14,13,14,6,17,3,3,0,79,11,9,26,18,24,29,54,17,3,200,0,0,0,0,0,0,0,0,0,0,990,1389,3044,3062,3293,3720,3096,767,104,19467,1037,1432,3079,3120,3328,3750,3108,775,115,19739,15496,8839,13194,11763,12504,11919,8511,3000,705,85924
RA34,11821,6007,6969,5950,6311,5611,3447,1479,466,48055,128,82,68,49,50,38,13,6,3,430,107,107,224,150,222,598,1048,251,21,2716,81,39,114,86,172,616,955,223,14,2306,530,823,1275,1083,1390,1635,1302,230,24,8297,19,27,31,40,73,194,312,69,6,763,8,12,43,27,41,130,137,38,0,428,11,3,12,13,30,86,123,19,0,292,15,10,19,14,14,19,5,0,0,94,7,8,17,5,14,23,41,0,0,120,0,0,0,0,0,0,0,0,0,0,773,1026,1726,1418,1951,3297,3926,818,73,15007,901,1105,1798,1459,2002,3334,3934,824,74,15435,12716,7115,8764,7411,8314,8944,7383,2307,541,63492
RA35,5,16,11,14,19,22,26,12,4,135,0,0,0,0,0,0,0,0,0,0,14,12,8,13,33,44,83,47,4,257,8,7,24,16,36,40,18,9,3,154,76,108,143,161,204,194,210,57,10,1170,6,8,0,6,12,18,13,6,0,68,7,5,4,10,7,24,27,12,0,92,8,4,8,7,10,9,0,3,0,55,3,9,17,9,0,3,0,0,0,40,0,0,0,6,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,120,151,209,217,298,333,355,140,18,1842,120,151,209,217,298,333,355,140,18,1842,128,164,213,237,318,356,379,154,20,1974
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,208480,153433,162526,152347,156910,141036,106856,62299,31427,1175306,309,318,299,236,295,314,293,273,163,2499,92,180,397,388,435,444,310,98,28,2375,112,270,493,444,533,412,276,84,24,2656,87,146,252,232,328,320,174,44,11,1590,3810,5662,5784,3699,3532,3261,2752,1782,1282,31558,50,74,185,179,219,188,118,22,4,1034,19,20,24,32,47,59,54,13,4,273,58,105,104,95,99,109,52,11,3,632,17,37,41,51,58,42,51,5,3,306,0,0,3,0,0,0,0,0,0,5,4246,6492,7274,5118,5261,4834,3791,2062,1364,40435,4551,6805,7576,5347,5556,5144,4090,2333,1527,42934,213028,160240,170097,157695,162466,146181,110946,64633,32950,1218239
RA41,37334,22468,19928,23376,28520,28609,24137,12378,5210,201967,72,54,29,45,58,64,76,32,28,471,17,27,29,40,39,52,80,21,0,302,40,62,90,66,115,170,143,45,13,744,10,26,22,23,38,76,58,16,0,272,606,1076,919,603,719,927,719,318,195,6083,13,10,23,15,26,64,27,11,3,184,4,3,5,9,7,14,19,0,0,75,9,13,9,7,16,21,16,0,0,86,3,7,3,4,3,5,13,0,0,51,0,0,0,0,0,0,0,0,0,0,701,1220,1099,773,961,1330,1077,422,211,7801,772,1275,1131,819,1024,1394,1158,455,244,8267,38106,23750,21059,24196,29541,30005,25293,12835,5451,210235
RA42,29370,16552,16485,17719,22711,23410,19132,10406,4368,160146,93,88,55,55,68,82,98,52,27,615,24,29,34,50,55,127,120,18,6,455,35,75,87,68,91,167,211,53,5,785,34,30,35,39,64,91,79,24,0,390,730,1206,1181,827,1070,1212,930,376,173,7696,20,18,43,11,33,80,62,14,10,289,0,5,5,3,5,24,47,3,3,103,5,3,8,8,17,18,8,0,0,62,0,0,13,0,0,7,8,0,0,28,0,0,0,0,0,0,0,0,0,0,844,1355,1402,1005,1340,1726,1461,487,193,9818,929,1444,1459,1063,1411,1812,1553,543,221,10434,30302,17996,17945,18780,24116,25220,20686,10944,4587,170575
RA43,7820,3789,4630,4653,5596,5690,4262,2207,1004,39643,41,20,25,11,20,13,13,10,9,167,14,26,33,30,32,99,95,12,3,344,15,10,30,28,66,139,108,5,0,408,13,11,35,34,30,50,46,3,0,222,243,366,609,544,592,672,451,159,44,3690,4,13,26,34,31,50,60,7,4,234,3,0,5,12,9,10,15,0,0,51,6,10,3,7,0,5,3,0,0,29,0,0,0,0,3,6,13,0,0,19,0,0,0,0,0,0,0,0,0,0,298,427,742,686,764,1038,796,194,55,5003,335,451,772,703,788,1052,808,200,62,5172,8156,4241,5400,5356,6379,6735,5075,2409,1070,44821
RA44,2446,1348,1684,1609,1792,1709,1083,428,161,12259,8,3,14,4,17,8,6,3,0,71,15,12,24,43,45,76,121,12,7,352,11,6,57,29,61,129,138,20,0,444,7,10,42,54,57,71,63,20,0,320,96,173,414,444,563,501,270,84,13,2561,4,6,18,20,41,52,59,8,0,202,3,0,7,3,17,10,10,3,0,59,0,5,5,4,14,9,4,0,0,56,0,0,0,3,0,8,10,0,0,22,0,0,0,0,0,0,0,0,0,0,139,216,566,606,798,865,674,137,17,4018,150,224,578,608,816,872,682,140,22,4082,2592,1575,2262,2216,2601,2579,1766,563,180,16342
RA45,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,13,13,14,3,62,0,5,7,0,0,3,10,10,0,32,0,0,0,0,0,3,10,4,0,19,0,11,20,3,7,7,3,4,0,56,0,0,0,0,4,3,3,0,0,7,0,0,0,0,0,0,0,3,0,7,5,4,3,3,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,37,9,23,33,44,36,3,211,8,21,37,9,23,33,44,36,3,211,8,21,33,15,22,33,44,36,3,219
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
