RA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA23,1307,1234,2538,57,39,94,16,11,28,33,41,72,3,3,6,7,10,12,4,0,5,0,0,5,0,3,7,0,0,0,0,0,0,62,66,130,12,7,17,9,3,7,128,121,249,143,109,247,1578,1467,3043
RA25,13,0,12,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,12,0,11,3,0,3,28,4,29
RA29,810,544,1354,300,188,486,94,89,185,1046,961,2005,103,111,216,28,24,54,57,42,106,16,15,31,10,15,28,5,11,18,0,3,3,1368,1270,2645,331,340,666,94,64,159,2095,1859,3954,1374,795,2164,4279,3200,7480
RA30,1049737,1098597,2148329,38737,41367,80106,12266,13029,25301,5438,5520,10959,166553,176369,342921,1657,1618,3275,2504,2415,4915,788,831,1626,1292,1142,2440,1000,1033,2030,34,23,59,191535,201979,393514,25149,28390,53537,4403,3745,8145,259829,275482,535305,119581,118948,238527,1429147,1493022,2922170
RA31,346375,354957,701334,16672,18314,34987,2685,2817,5500,1092,1199,2286,43746,47283,91023,394,391,787,620,620,1239,228,273,501,438,428,868,157,152,305,9,3,14,49361,53163,102524,2689,3037,5735,1361,1234,2593,70091,75749,145840,44867,39875,84736,461331,470585,931915
RA32,241877,238218,480098,13892,14874,28766,2104,2117,4216,1357,1351,2712,29030,30672,59699,483,511,995,763,793,1559,219,224,439,685,654,1340,201,195,392,4,0,4,34846,36512,71357,2765,3179,5942,970,858,1826,52463,55426,107892,38396,33368,71770,332742,327012,659754
RA33,26976,23939,50918,2010,2091,4103,219,224,443,87,92,181,2177,2059,4237,42,41,82,83,74,151,15,9,29,54,70,124,14,3,16,0,0,0,2683,2580,5265,250,292,540,97,83,175,5041,5040,10083,5334,3996,9329,37354,32978,70334
RA34,20656,19806,40461,1068,1129,2200,164,129,290,54,58,113,1729,1640,3367,37,22,61,63,59,124,7,8,18,69,67,137,9,7,14,0,5,5,2128,1997,4126,103,123,230,223,208,430,3529,3456,6987,2388,2114,4503,26573,25377,51950
RA35,52,57,102,0,0,0,3,0,5,0,0,0,4,4,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,21,0,6,3,0,0,0,6,17,22,6,17,21,66,84,152
RA39,1610,1127,2737,558,343,903,308,318,619,171,192,367,1677,1520,3196,48,57,106,161,146,306,28,35,59,54,41,100,7,14,25,3,0,3,2455,2331,4783,436,549,983,148,97,243,3598,3312,6907,1702,1098,2805,6908,5543,12454
RA40,469554,493285,962847,12413,13234,25646,1669,1789,3459,1674,1637,3311,1249,1287,2537,52471,55013,107484,711,579,1296,158,182,338,529,571,1101,255,209,465,3,8,9,58726,61270,119995,9310,10396,19699,1224,1007,2228,81669,85904,167571,43240,43056,86300,594466,622250,1216709
RA41,84262,86400,170659,3983,4391,8373,225,239,472,294,307,601,287,295,579,6754,7250,14002,165,164,329,32,42,77,137,130,264,21,21,38,0,0,0,7917,8446,16361,498,558,1051,232,193,424,12630,13584,26216,7912,7586,15496,104797,107570,212374
RA42,69032,67398,136427,4368,4672,9038,190,176,363,289,255,540,182,191,376,3521,3650,7173,144,139,286,21,25,52,112,113,230,7,7,15,0,0,0,4469,4560,9032,292,334,621,195,161,359,9325,9729,19049,8285,6914,15199,86635,84035,170670
RA43,16967,16116,33084,1448,1493,2939,76,49,130,43,48,92,96,92,184,950,849,1803,73,68,141,18,17,29,23,32,53,3,0,3,0,0,0,1284,1151,2434,78,105,181,48,32,72,2858,2777,5635,2271,1804,4075,22096,20694,42792
RA44,5320,4603,9926,211,238,450,30,23,53,27,19,48,38,18,56,334,268,602,40,23,60,3,3,4,24,31,55,0,3,5,0,0,0,492,381,876,15,18,39,20,37,57,748,676,1423,936,830,1764,7003,6109,13112
RA45,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
RA49,366,183,552,144,83,221,35,26,64,25,30,58,54,52,102,461,380,839,21,15,44,8,6,12,13,13,30,0,0,0,0,0,0,618,528,1142,102,82,185,40,14,52,899,699,1592,466,238,700,1724,1122,2847
RA50,706065,726546,1432613,27443,28220,55665,1995,2053,4043,1887,1897,3780,1840,1824,3664,771,702,1473,95647,98003,193651,231,279,511,556,535,1095,202,221,424,36,32,64,103152,105550,208701,17244,19031,36276,1974,1809,3787,149816,154607,304425,80009,75400,155410,935896,956557,1892451
RA51,80299,81347,161647,4848,5380,10226,178,143,319,209,167,374,205,182,388,61,70,123,7996,8440,16438,37,38,72,60,71,137,7,8,23,11,9,16,8755,9132,17887,761,821,1579,224,213,442,14587,15540,30126,13202,9682,22880,108088,106568,214655
RA52,68503,67534,136040,4229,4332,8554,143,157,299,126,129,254,221,219,444,98,96,197,6966,7143,14106,51,53,105,70,80,149,3,4,6,3,0,3,7678,7881,15559,589,669,1259,235,205,445,12733,13086,25819,10280,8862,19142,91522,89481,180997
RA53,28884,26047,54927,3857,3804,7660,192,167,358,164,152,312,325,310,632,97,70,168,3125,3051,6179,45,41,84,89,82,168,9,8,12,8,3,12,4052,3885,7935,363,444,802,109,93,202,8378,8225,16603,5991,4789,10778,43248,39055,82305
RA54,24822,18122,42943,1799,1745,3546,278,129,410,257,143,395,744,225,970,130,70,201,3735,2231,5970,50,22,68,124,105,228,11,9,19,3,0,4,5326,2940,8267,361,260,624,495,469,965,7986,5413,13399,6843,3367,10203,39648,26897,66546
RA55,259,11,272,0,0,0,3,0,3,3,0,3,4,0,6,0,0,0,45,7,53,0,0,0,0,0,0,0,0,0,0,0,0,62,8,69,11,0,15,0,0,0,73,12,84,71,8,80,408,26,434
RA59,814,434,1248,245,154,396,99,104,201,67,62,132,142,130,274,45,37,78,808,594,1395,15,15,22,32,17,52,4,7,13,0,0,0,1209,962,2166,189,195,387,44,36,84,1691,1346,3036,1020,617,1636,3518,2398,5915
RA61,127702,136898,264599,3910,4414,8324,776,815,1590,940,993,1927,874,929,1803,212,207,419,435,437,869,13321,14589,27914,122,124,250,75,89,165,0,3,3,16760,18175,34937,1661,1754,3411,357,305,666,22682,24656,47339,14026,14224,28247,164406,175780,340185
RA62,61499,61457,122952,2632,2781,5420,367,403,774,334,337,668,509,542,1045,117,102,216,241,268,512,3815,4186,7999,56,52,104,23,24,41,0,0,0,5462,5908,11365,233,259,486,138,145,282,8462,9092,17554,6539,6345,12884,76503,76888,153390
RA63,3021,2726,5750,193,208,401,33,32,71,43,42,83,49,53,107,17,10,26,21,25,46,127,140,270,3,8,17,0,0,0,0,0,0,305,314,617,13,18,36,13,8,23,527,549,1077,390,385,777,3939,3657,7604
RA64,1020,936,1955,64,58,117,11,3,13,18,13,28,16,14,32,4,0,4,8,4,12,28,30,59,0,0,0,0,0,0,3,3,4,84,76,159,4,3,5,4,0,4,154,132,291,105,112,216,1276,1182,2455
RA65,32,16,47,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,10,7,13,3,0,3,0,0,0,11,7,22,4,0,9,49,21,68
RA69,112,66,176,46,30,72,10,16,32,19,10,31,25,31,59,3,6,13,9,13,24,127,126,253,5,0,4,4,0,4,0,0,0,207,205,415,20,21,39,3,3,8,279,258,540,128,63,188,516,391,909
RA72,45097,41819,86924,1519,1442,2959,794,698,1489,775,697,1471,1514,1302,2814,443,423,865,813,699,1512,66,59,119,7284,7132,14415,101,90,190,4,3,4,11792,11100,22889,1463,1594,3061,263,207,464,15030,14342,29369,10733,7755,18488,70858,63916,134773
RA73,14690,14473,29166,738,784,1526,267,270,537,208,216,419,336,316,653,186,192,376,106,135,237,15,22,37,1338,1424,2760,24,26,51,0,0,0,2479,2592,5070,330,384,711,126,118,248,3672,3882,7553,4007,3253,7265,22371,21607,43975
RA74,17627,17728,35357,503,502,1004,128,147,280,129,132,262,331,301,625,87,78,163,111,100,211,12,6,13,642,584,1220,13,14,21,3,0,3,1447,1354,2805,106,130,237,310,334,646,2373,2325,4694,2243,1872,4115,22243,21927,44169
RA75,45,10,52,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,7,10,4,19,61,14,70
RA79,370,269,639,92,73,167,73,73,145,64,68,126,114,105,215,27,18,46,56,60,116,4,8,8,118,109,222,3,4,7,0,0,0,452,450,900,34,64,94,9,6,21,588,591,1185,361,290,654,1321,1151,2476
RA80,144156,149785,293941,2801,2875,5682,4627,4943,9571,1229,1255,2480,1253,1321,2571,396,424,821,515,478,996,127,146,267,228,198,434,16749,17106,33858,17,15,34,25151,25876,51032,4554,4838,9394,381,326,713,32894,33919,66816,15373,14947,30321,192418,198656,391078
RA81,296,246,543,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,19,28,0,0,0,13,26,32,0,4,4,0,0,0,11,30,41,33,35,67,342,307,655
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,60,41,98,31,14,47,20,28,43,3,3,6,10,8,18,3,3,7,0,5,6,0,0,0,0,0,0,61,61,122,0,0,0,103,110,211,21,23,45,8,5,14,165,153,319,86,35,125,312,226,538
RA91,113,100,216,0,0,0,23,21,35,9,3,9,11,0,17,0,0,0,0,3,7,0,0,0,0,0,0,11,9,16,3,0,3,54,32,89,4,0,4,6,0,6,59,34,98,41,33,72,215,168,384
RA94,1490,1468,2956,56,64,120,35,30,64,7,6,13,23,22,46,3,9,13,48,40,85,0,0,0,10,9,12,8,5,17,3,3,3,142,112,256,28,33,62,6,3,8,233,217,449,479,199,682,2201,1894,4089
RA95,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6
RA99,13,8,21,0,0,0,0,0,0,0,4,10,3,0,8,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,0,4,4,0,3,3,5,22,28,0,3,9,24,28,50
