RA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
RA23,12,0,0,0,9,6,0,0,0,7,7,0,0,0,13,0,0,7,0,8,30,3,8,0,43,19,3,9,0,30,86,13,10,0,106,44,20,14,0,81,43,27,14,0,84,50,20,6,0,77,16,25,0,0,37,25,20,3,0,51,35,27,7,0,65,12,19,3,0,32,8,5,0,0,14,6,3,0,0,17,15,4,0,0,20,37,30,10,0,82,14,3,3,0,24,454,231,95,7,789
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,4152,1403,2421,371,8337,1897,559,998,202,3665,1805,831,2872,287,5802,1185,599,3910,105,5809,9746,2241,6781,564,19330,6648,3324,12228,503,22704,32601,5973,13241,1075,52890,20840,10752,14167,1383,47136,26720,18950,15382,1698,62756,25377,24046,11517,1532,62467,16980,23885,8696,1038,50593,18822,25176,6387,931,51316,37203,51976,8776,1529,99480,23421,39932,3407,818,67578,14033,27505,1269,386,43194,8817,19775,1586,164,30340,16967,43588,1415,283,62258,19094,38225,10081,525,67925,4266,2921,2183,222,9591,290577,341666,127304,13636,773188
RA31,1314,350,553,43,2259,972,179,328,35,1515,809,277,1204,58,2350,486,163,1766,20,2436,5452,826,3094,162,9534,3281,1177,5279,130,9874,18603,2551,5280,370,26805,9577,4220,5066,499,19362,10968,7048,4592,422,23027,9855,8150,3120,347,21478,5661,7778,2064,203,15705,6151,7755,1410,176,15493,10815,14756,1654,242,27468,6140,10186,614,112,17051,3447,6177,219,50,9888,1903,3906,301,27,6135,3530,6751,259,52,10595,8052,13508,3192,167,24921,2406,1018,920,99,4450,109430,96782,40914,3230,250352
RA32,966,283,465,50,1760,586,170,261,36,1055,494,223,837,41,1593,334,132,1207,35,1703,3050,579,1934,114,5674,1742,784,3318,124,5967,8775,1619,3390,230,14012,5133,2545,3290,314,11287,6631,4292,3147,313,14382,6357,5311,2148,272,14088,3969,5174,1540,177,10861,4462,5344,1082,147,11031,8217,10387,1424,215,20244,4878,7466,493,114,12949,2755,4535,189,54,7529,1497,2930,226,22,4679,2798,5167,180,26,8170,6138,10300,2444,127,19005,1596,798,700,83,3181,70380,68055,28266,2480,169176
RA33,138,38,45,7,223,77,17,24,3,124,50,25,119,7,200,33,18,144,3,197,301,87,181,33,595,169,102,234,16,523,687,180,252,22,1137,402,293,211,21,930,526,437,220,24,1198,482,456,187,19,1144,335,389,123,9,861,416,471,93,9,990,815,972,153,17,1963,522,739,56,12,1329,381,501,23,3,914,240,368,21,4,634,468,744,27,6,1246,563,1026,228,14,1826,187,119,81,17,401,6784,6977,2420,249,16431
RA34,122,44,38,0,205,44,19,37,3,111,29,57,154,6,251,15,22,174,5,216,252,149,209,31,649,116,148,288,21,567,429,233,253,35,951,260,314,234,43,847,370,429,192,26,1009,369,426,154,29,970,188,325,84,10,612,262,313,64,10,646,510,532,79,27,1149,303,408,31,7,748,209,233,18,4,461,99,154,16,3,270,202,278,21,0,499,369,805,235,26,1437,147,128,111,21,409,4283,5023,2396,304,12006
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,1664,710,887,154,3417,907,277,486,119,1789,800,488,1509,181,2978,460,327,2013,51,2850,4977,1434,3371,309,10089,3044,1945,5943,351,11276,17041,3473,6197,550,27258,10396,5637,6361,720,23111,12680,9283,6435,797,29199,11287,10838,4728,658,27515,7090,10623,3442,399,21553,7416,10610,2684,355,21074,14637,20961,3292,566,39450,8808,15714,1275,243,26042,4905,10407,488,115,15918,2772,6512,451,65,9800,5208,13830,490,69,19595,7806,15776,5048,199,28823,1770,1020,1056,92,3941,123655,139876,56145,6003,325674
RA41,217,64,83,10,371,217,41,69,3,329,151,73,243,12,479,125,35,362,4,526,1179,176,600,35,1986,740,286,1067,35,2128,4499,528,1038,59,6127,2628,1004,959,73,4663,3056,1826,922,72,5882,2607,2147,624,65,5450,1574,2014,413,43,4035,1702,2038,303,34,4073,2717,3622,328,58,6730,1411,2448,106,20,3991,698,1363,49,15,2120,350,787,47,3,1187,688,1405,44,3,2143,1754,3051,839,24,5671,478,172,169,9,834,26799,23087,8266,571,58724
RA42,248,61,66,4,379,184,51,67,15,313,146,66,285,11,506,80,18,404,4,503,1303,208,630,44,2185,695,249,866,35,1836,3848,548,924,59,5379,1940,900,823,97,3761,2282,1413,644,65,4409,2103,1560,440,63,4165,1001,1373,293,29,2691,1286,1290,229,25,2832,1906,2382,216,32,4534,1095,1561,67,13,2736,558,886,29,3,1474,275,462,33,0,773,564,806,30,6,1410,1490,2350,591,23,4456,523,184,237,15,961,21534,16359,6881,544,45315
RA43,53,20,23,0,98,61,8,19,0,85,39,13,50,3,106,17,9,71,3,98,310,37,88,6,439,145,58,191,5,394,783,113,159,10,1063,437,193,151,16,790,560,359,130,12,1070,520,385,81,16,1000,252,362,73,3,698,325,327,46,3,704,536,630,54,7,1224,308,420,15,6,747,165,225,6,0,399,93,140,5,0,240,202,291,9,0,501,416,599,131,7,1156,105,45,46,3,200,5320,4242,1360,92,11017
RA44,23,9,10,3,34,8,3,3,0,13,13,13,32,0,58,4,10,34,0,47,102,49,34,9,189,33,36,40,3,115,162,56,41,7,269,98,86,47,11,236,114,104,43,7,266,90,88,32,4,217,52,72,19,0,137,76,69,22,0,170,142,134,19,3,303,82,82,4,3,171,43,58,3,0,105,15,25,3,0,51,49,42,0,0,89,99,187,65,3,350,66,56,48,7,172,1280,1172,481,64,2994
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,2981,1245,1884,314,6423,1351,421,765,153,2686,1331,738,2185,258,4508,807,488,2596,99,3982,6178,1572,4069,384,12202,3835,2295,6579,406,13110,19172,3726,6594,614,30111,11990,6173,6986,768,25923,15601,10817,7927,910,35261,13986,13222,5950,915,34065,9957,14215,4599,677,29443,10671,15087,3850,582,30184,23382,33851,5747,1110,64085,16304,25674,2445,599,45023,10708,17998,1024,346,30073,7598,15865,1269,167,24899,15117,37029,1218,308,53668,16548,33272,6824,444,57089,2820,1868,1247,118,6060,190318,235556,73763,9162,508791
RA51,343,67,155,18,584,198,52,80,10,335,166,69,270,10,515,137,34,363,3,540,1041,173,619,25,1857,611,214,1003,18,1843,3261,432,979,39,4712,1932,690,858,54,3536,2109,1226,853,55,4241,2038,1549,579,54,4229,1230,1750,417,25,3429,1498,1806,297,42,3639,2640,3674,439,59,6811,1707,2601,153,19,4481,1075,1640,55,7,2773,640,1170,85,4,1901,1119,2079,71,7,3281,2225,4426,788,30,7472,486,223,163,23,893,24473,23879,8207,514,57069
RA52,268,60,113,17,459,197,36,65,11,308,148,50,242,9,447,89,40,356,8,485,905,154,460,27,1549,491,213,790,25,1524,2726,401,793,56,3977,1397,630,667,78,2777,1843,1124,684,79,3732,1716,1276,468,68,3527,1060,1300,311,28,2696,1305,1401,263,30,3001,2331,2732,358,55,5476,1472,2045,120,29,3661,956,1306,63,21,2352,589,906,64,12,1568,1061,1717,73,16,2865,1923,3167,651,37,5766,474,223,201,22,923,20956,18784,6732,622,47091
RA53,99,37,53,10,189,46,14,27,3,95,30,29,98,5,158,27,15,133,8,177,220,63,166,12,462,117,69,222,10,421,509,124,241,18,894,346,214,190,22,768,447,354,219,24,1048,489,409,156,24,1079,369,436,126,12,946,464,489,129,9,1089,1017,1334,188,20,2568,792,972,63,16,1840,602,675,35,17,1327,461,745,56,11,1277,1064,1574,54,18,2716,765,1374,234,25,2394,169,122,95,13,397,8028,9060,2505,272,19863
RA54,50,9,31,0,92,43,13,39,3,96,31,33,187,17,265,10,13,159,10,190,216,190,194,33,631,76,151,180,21,432,286,212,195,33,728,192,238,172,30,632,231,247,140,20,639,237,233,102,14,589,149,223,90,13,469,229,254,55,7,547,509,627,105,17,1263,381,438,31,16,857,301,306,20,4,635,196,248,24,0,476,403,563,26,0,995,392,705,234,31,1362,135,158,164,17,477,4067,4861,2139,306,11379
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,328,94,163,21,599,196,36,94,21,346,245,77,466,29,822,110,47,735,14,915,1436,279,1140,96,2944,923,446,2095,67,3539,5102,856,2043,150,8155,3101,1483,1976,180,6737,3805,2590,1926,200,8522,3529,3103,1325,130,8090,2275,2884,982,84,6226,2302,2891,625,78,5898,4201,5601,848,113,10762,2360,3988,261,41,6647,1286,2458,94,16,3852,727,1500,120,9,2357,1303,2735,105,16,4161,2331,4084,1472,70,7955,606,247,343,38,1227,36188,35408,16801,1364,89763
RA62,206,54,62,8,328,179,33,45,7,267,153,46,205,18,416,92,29,365,0,491,1235,218,544,24,2023,773,276,846,24,1925,4028,559,830,54,5471,1958,948,739,56,3700,2148,1432,685,50,4315,1954,1541,388,43,3922,1077,1363,255,17,2711,1107,1250,202,24,2582,1664,2093,192,22,3965,873,1297,62,5,2237,380,698,16,3,1101,202,354,21,0,582,400,567,22,3,996,1384,2129,656,25,4190,465,171,149,18,808,20279,15056,6291,394,42019
RA63,15,0,0,0,10,8,4,3,0,22,5,3,4,0,17,7,0,23,0,27,76,4,27,0,112,45,15,43,0,101,181,20,25,3,235,108,37,33,0,177,92,58,19,8,175,90,66,10,4,167,47,47,3,0,106,67,44,6,0,118,92,74,11,0,182,38,50,3,0,98,26,26,0,0,56,6,23,0,0,35,25,16,0,0,39,61,105,37,3,205,33,9,12,0,53,1026,615,271,18,1927
RA64,4,0,0,0,4,3,0,0,0,3,3,3,3,0,10,0,0,0,0,0,10,3,8,0,25,12,4,4,0,15,34,6,4,0,44,27,14,8,0,45,29,21,11,0,58,38,14,7,0,61,23,14,0,0,33,25,17,0,0,42,50,31,3,0,90,26,21,0,0,48,19,12,0,0,23,6,6,0,0,16,14,6,0,0,23,27,36,10,0,69,5,0,6,0,14,350,203,65,8,630
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,120,41,72,6,245,38,23,44,3,102,38,22,97,12,169,22,19,151,3,191,209,63,220,23,514,118,94,292,10,505,440,162,318,29,953,387,258,374,31,1052,622,483,437,27,1576,678,668,382,35,1762,592,732,334,39,1693,735,868,289,32,1927,1889,2162,481,93,4623,1516,1751,214,54,3539,1140,1487,104,27,2758,806,1424,104,17,2350,1606,2815,106,26,4554,1166,1903,446,33,3550,177,162,137,11,493,12298,15144,4605,515,32561
RA73,37,8,26,3,75,36,29,35,9,109,31,53,107,10,206,6,22,69,11,105,120,93,97,23,331,75,58,103,16,255,167,104,135,16,420,149,114,138,11,415,178,149,153,15,493,201,207,140,11,554,150,226,116,10,498,227,243,81,16,570,545,625,119,19,1307,411,541,49,11,1016,265,352,23,3,641,140,276,21,3,447,290,411,25,3,722,406,648,184,18,1255,73,77,71,9,233,3507,4237,1689,214,9649
RA74,19,26,33,3,81,109,120,106,11,355,75,193,426,21,720,14,47,121,4,183,334,584,203,38,1167,93,271,179,19,564,157,341,156,31,683,141,401,149,33,731,99,312,149,27,588,105,212,97,6,421,56,152,63,4,277,97,145,41,8,291,221,229,48,8,504,189,161,14,5,373,112,120,10,6,244,66,70,4,0,143,109,149,7,3,269,142,518,206,25,885,196,367,246,23,831,2329,4425,2266,288,9315
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,418,114,157,31,721,155,43,95,13,310,133,64,297,29,527,70,56,413,10,550,636,162,581,47,1434,408,252,854,44,1553,1787,444,877,81,3185,1707,722,934,97,3463,2576,1345,1241,138,5301,2814,1793,1178,126,5914,2162,1976,1204,113,5461,2283,2241,1044,105,5675,5414,5989,1809,249,13461,4493,5882,797,138,11304,3231,5345,381,66,9020,2354,4652,423,52,7480,4763,11598,388,57,16806,2664,4991,1281,60,8994,318,241,154,16,726,38378,47920,14117,1461,101878
