RA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
RA23,..,0,26,67,88,131,141,79,15,556,..,6,20,18,22,22,15,0,0,108,..,0,0,4,8,10,5,0,0,26,210,..,..,..,..,..,..,..,..,210,..,31,..,..,..,..,..,..,..,31,..,25,15,3,8,7,0,0,0,59,..,4,3,0,0,3,0,3,0,12,..,0,5,0,0,0,0,0,0,3,..,3,4,3,6,3,4,3,0,25,..,3,18,20,45,81,66,30,19,284,6,5,7,5,8,6,17,3,0,63,216,89,98,120,186,258,253,125,38,1386,..,4,37,79,98,151,133,54,5,558,..,17,15,23,22,20,11,0,0,109,..,3,3,17,17,9,11,4,4,67,196,..,..,..,..,..,..,..,..,196,..,48,..,..,..,..,..,..,..,48,..,11,3,7,4,3,0,0,0,27,..,5,0,0,3,0,3,0,3,14,..,0,0,0,0,0,0,0,0,4
RA25,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,157,257,492,309,249,168,109,24,11,1774,157,257,492,309,249,168,109,24,11,1774,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA30,..,2699,62468,108605,107699,92752,74716,35323,8485,492743,..,13217,42240,25554,18478,10519,4960,1227,194,116387,..,395,1738,5024,7427,4518,1937,1070,734,22843,272933,..,..,..,..,..,..,..,..,272933,..,67186,..,..,..,..,..,..,..,67186,..,51711,25456,10037,5900,2501,364,13,0,95981,..,10290,7150,2710,2599,2867,2282,1332,742,29966,..,8753,8796,3495,2536,1567,718,228,51,26147,..,21068,24634,8062,6389,5436,3392,1236,268,70481,..,4776,14680,16187,18458,18209,15690,8894,4454,101343,4335,6265,6380,4051,3095,2384,1866,854,250,29487,277264,186373,193528,183717,172582,140757,105928,50175,15175,1325499,..,5778,82853,118233,111194,90677,65508,24690,4035,502968,..,19818,43857,24413,17608,9233,3469,676,92,119162,..,4175,16267,28240,28893,13347,6151,4443,2946,104465,258444,..,..,..,..,..,..,..,..,258444,..,68461,..,..,..,..,..,..,..,68461,..,36528,16019,4877,3448,2192,500,14,0,63586,..,8906,5091,1795,3288,6068,5910,4355,2607,38017,..,8527,6113,1636,1363,935,407,131,51,19171
RA31,..,972,15519,26964,32301,34804,32089,15355,3211,161211,..,4570,9711,6683,6299,4292,2316,569,81,34527,..,149,774,1769,2366,1320,613,462,238,7698,86204,..,..,..,..,..,..,..,..,86204,..,16855,..,..,..,..,..,..,..,16855,..,17219,6393,3258,2347,921,130,0,0,30269,..,2324,1259,637,853,1073,872,555,277,7856,..,1803,1422,845,757,519,302,94,28,5771,..,2865,2934,1466,1918,1943,1447,567,96,13233,..,1621,3926,4437,6922,8461,7684,4395,1757,39196,1613,2389,2045,1443,1360,1410,1283,486,121,12143,87822,50763,43990,47502,55126,54745,46728,22483,5806,414970,..,1955,21135,31214,35898,36070,28497,10624,1430,166829,..,6777,10211,6916,6462,3978,1755,369,34,36503,..,2147,6493,9139,7949,3211,1812,1598,878,33220,82245,..,..,..,..,..,..,..,..,82245,..,16679,..,..,..,..,..,..,..,16679,..,10977,3309,1380,1172,706,146,12,0,17689,..,1705,645,344,864,1628,1713,1328,803,9030,..,1796,754,338,400,286,155,54,27,3800
RA32,..,581,11430,19357,21924,21803,17474,7809,1553,101920,..,3637,8693,5817,4949,3275,1442,338,37,28200,..,109,560,1342,1708,1024,502,268,141,5658,62504,..,..,..,..,..,..,..,..,62504,..,11259,..,..,..,..,..,..,..,11259,..,11080,4150,1990,1351,550,69,8,0,19189,..,1866,1091,546,636,737,553,363,157,5935,..,1301,1126,549,511,338,189,74,16,4101,..,2855,3072,1361,1416,1499,866,299,45,11420,..,1488,3671,4003,5922,7094,5916,2785,932,31817,1250,1595,1455,1025,1011,991,720,279,73,8398,63750,35774,35241,35985,39432,37305,27743,12216,2956,290404,..,1257,15879,22722,23835,21846,14851,5126,647,106163,..,5408,9432,6096,4944,2845,998,174,20,29918,..,1346,4498,6453,5368,2344,1128,945,522,22604,58681,..,..,..,..,..,..,..,..,58681,..,11268,..,..,..,..,..,..,..,11268,..,6843,1989,808,631,396,76,0,0,10743,..,1541,636,288,605,1117,1064,718,426,6389,..,1187,681,240,254,160,73,34,10,2643
RA33,..,71,1361,1969,2181,2077,1539,632,93,9934,..,400,1066,669,527,427,161,39,3,3286,..,18,38,122,181,89,64,32,14,562,6710,..,..,..,..,..,..,..,..,6710,..,709,..,..,..,..,..,..,..,709,..,1150,459,209,125,55,8,0,0,2008,..,261,127,100,123,111,63,32,12,831,..,99,89,45,51,42,22,5,0,358,..,206,221,114,126,127,89,24,9,905,..,209,475,422,750,904,779,333,83,3954,161,188,192,145,153,181,100,35,14,1173,6872,3309,4029,3806,4225,4017,2833,1118,235,30436,..,147,1804,2187,2225,2021,1256,392,37,10067,..,594,1134,635,554,358,113,21,4,3404,..,196,383,461,410,189,108,78,39,1859,6366,..,..,..,..,..,..,..,..,6366,..,703,..,..,..,..,..,..,..,703,..,637,199,79,60,25,9,0,0,1009,..,215,82,45,93,110,98,55,20,724,..,94,43,18,19,16,10,0,0,193
RA34,..,60,682,1119,1365,1424,881,365,59,5946,..,361,943,670,563,317,104,17,5,2977,..,18,55,80,109,88,52,21,11,429,5740,..,..,..,..,..,..,..,..,5740,..,383,..,..,..,..,..,..,..,383,..,1065,392,154,86,30,4,0,0,1719,..,393,216,170,138,133,79,45,9,1180,..,101,71,37,37,33,19,0,0,300,..,116,147,55,61,85,39,15,5,521,..,136,289,336,504,630,541,245,57,2735,188,215,171,128,130,126,88,26,16,1079,5925,2849,2954,2752,2986,2858,1803,731,159,23018,..,81,943,1239,1458,1350,723,196,23,6020,..,508,1039,681,529,228,79,17,6,3078,..,254,510,455,376,176,99,65,32,1969,5412,..,..,..,..,..,..,..,..,5412,..,440,..,..,..,..,..,..,..,440,..,659,233,71,69,22,4,0,0,1047,..,341,141,111,135,140,125,55,21,1065,..,66,45,13,12,6,4,3,0,150
RA35,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA39,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,206,357,560,418,346,380,335,77,3,2677,206,357,560,418,346,380,335,77,3,2677,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA40,..,974,25335,42457,43592,41390,34444,18635,5167,211993,..,3880,14627,9006,7458,4895,2113,536,102,42621,..,148,700,2138,3505,2344,825,537,364,10572,103320,..,..,..,..,..,..,..,..,103320,..,31154,..,..,..,..,..,..,..,31154,..,21083,13403,4657,3067,1261,152,3,0,43626,..,4198,2825,1059,1025,1100,711,389,250,11568,..,2637,2451,953,693,436,168,37,8,7397,..,7544,8517,2758,2508,1917,1050,357,107,24746,..,2243,7773,8653,11293,11133,8289,4968,2875,57228,1626,2360,2745,1695,1385,986,774,360,143,12077,104951,76229,78380,73375,74531,65466,48529,25815,9024,556302,..,2348,34206,44997,44952,41279,31546,13715,2487,215526,..,5956,15375,8829,7413,4421,1600,333,61,43987,..,1579,6742,11231,12951,6773,2677,2232,1396,45574,98167,..,..,..,..,..,..,..,..,98167,..,31478,..,..,..,..,..,..,..,31478,..,14385,7948,1945,1555,909,191,8,0,26948,..,3619,1956,636,1101,2183,1713,1354,852,13408,..,2469,1622,397,308,177,79,32,9,5091
RA41,..,196,3350,6287,7986,8841,8324,4077,966,40022,..,723,2098,1575,1681,1241,583,147,31,8078,..,18,123,372,587,352,121,74,46,1676,18369,..,..,..,..,..,..,..,..,18369,..,4494,..,..,..,..,..,..,..,4494,..,4006,1619,596,383,151,26,0,0,6788,..,392,235,138,139,152,116,74,37,1278,..,290,249,125,112,76,37,10,3,901,..,500,504,243,260,293,212,71,17,2104,..,364,974,1239,1935,2307,1842,1061,486,10210,291,444,383,287,264,278,279,114,36,2380,18663,11430,9535,10866,13346,13689,11533,5623,1622,96304,..,377,4548,7151,8682,8938,7626,2923,481,40709,..,1165,2157,1680,1754,1099,457,86,21,8426,..,273,1039,1844,1898,777,312,262,176,6585,17524,..,..,..,..,..,..,..,..,17524,..,4783,..,..,..,..,..,..,..,4783,..,2570,822,235,193,152,34,0,0,4009,..,300,135,41,114,231,274,186,135,1411,..,277,132,57,40,50,17,3,3,585
RA42,..,105,2416,4306,5859,7011,6328,3138,716,29879,..,726,1840,1248,1285,892,432,115,16,6549,..,23,138,348,500,265,123,75,46,1529,14519,..,..,..,..,..,..,..,..,14519,..,2920,..,..,..,..,..,..,..,2920,..,2939,1147,526,423,160,25,0,0,5227,..,379,206,90,139,157,104,41,43,1160,..,214,131,76,89,50,24,9,0,602,..,409,454,268,330,313,152,73,19,2012,..,464,1122,1161,2119,2473,1938,1069,459,10805,362,448,359,293,296,347,308,125,26,2576,14879,8629,7814,8330,11045,11670,9439,4642,1328,77779,..,247,3253,5022,6393,7211,5657,2315,295,30392,..,1146,1864,1309,1266,806,317,78,18,6803,..,314,1109,1377,1315,526,292,258,158,5350,13565,..,..,..,..,..,..,..,..,13565,..,2911,..,..,..,..,..,..,..,2911,..,1578,493,172,165,98,22,3,0,2529,..,266,91,37,138,175,169,126,64,1058,..,172,72,29,37,26,7,3,3,349
RA43,..,27,720,1193,1484,1710,1419,695,167,7420,..,177,566,359,321,209,102,25,3,1753,..,3,32,69,105,59,18,19,7,307,3828,..,..,..,..,..,..,..,..,3828,..,636,..,..,..,..,..,..,..,636,..,590,197,72,68,36,7,0,0,977,..,79,25,17,32,27,20,3,4,215,..,45,33,12,25,12,5,0,0,137,..,133,114,44,54,70,22,7,3,458,..,126,338,309,523,631,450,235,113,2721,132,100,120,76,105,126,98,30,10,795,3957,1920,2141,2157,2719,2879,2147,1023,307,19251,..,51,1000,1357,1580,1652,1324,475,86,7522,..,285,579,346,299,220,73,16,4,1821,..,61,181,294,282,95,53,47,41,1052,3544,..,..,..,..,..,..,..,..,3544,..,623,..,..,..,..,..,..,..,623,..,307,81,35,23,17,7,0,0,473,..,65,16,7,20,28,26,21,18,211,..,37,16,7,10,9,0,3,0,86
RA44,..,45,200,312,329,391,288,110,23,1706,..,75,175,124,145,92,27,8,0,654,..,0,7,23,33,23,8,3,3,107,1147,..,..,..,..,..,..,..,..,1147,..,126,..,..,..,..,..,..,..,126,..,201,88,28,20,3,0,0,0,347,..,107,61,32,39,21,13,0,4,280,..,11,12,10,9,7,3,0,0,49,..,13,16,6,18,19,15,3,0,86,..,38,89,108,177,247,222,101,20,999,27,30,44,31,32,42,26,8,3,237,1180,653,698,676,791,838,603,233,52,5723,..,71,267,336,361,386,248,57,9,1726,..,102,183,142,136,84,13,7,3,674,..,30,89,102,89,37,15,10,6,378,1148,..,..,..,..,..,..,..,..,1148,..,126,..,..,..,..,..,..,..,126,..,121,44,11,16,8,0,0,0,200,..,78,25,33,39,32,24,6,5,243,..,8,5,3,3,4,0,0,0,22
RA45,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA49,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,58,129,207,136,103,87,56,9,0,795,58,129,207,136,103,87,56,9,0,795,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA50,..,1565,44198,73596,72789,61500,47345,23438,5783,330216,..,6608,27680,14794,11224,6553,2871,720,129,70569,..,191,870,2596,4432,2898,1215,614,360,13174,176358,..,..,..,..,..,..,..,..,176358,..,47593,..,..,..,..,..,..,..,47593,..,33950,18224,5914,3401,1381,178,10,0,63061,..,7497,5606,1643,1462,1510,996,623,350,19691,..,4170,5676,1897,1184,655,226,66,20,13904,..,9487,15044,4800,3408,2537,1417,528,134,37349,..,3361,12077,11457,12920,12750,10106,5777,2840,71290,2247,3163,3782,2184,1637,1236,969,516,172,15909,178613,117585,133159,118879,112454,91010,65332,32299,9786,859110,..,4071,61325,81083,75418,61014,40873,16870,2663,343319,..,10895,29842,14754,11015,5764,2073,446,65,74861,..,2268,9245,15392,17313,8836,3474,2491,1568,60590,167332,..,..,..,..,..,..,..,..,167332,..,48207,..,..,..,..,..,..,..,48207,..,23545,11064,2633,1713,1097,247,11,0,40317,..,6144,3679,1045,1744,3311,2959,2200,1310,22383,..,3696,3547,788,544,363,123,51,23,9126
RA51,..,146,3138,6720,7920,7939,6800,2982,670,36310,..,777,2351,1815,1720,1160,474,105,19,8421,..,28,111,389,521,273,119,59,52,1562,20201,..,..,..,..,..,..,..,..,20201,..,3892,..,..,..,..,..,..,..,3892,..,3922,1317,550,363,119,20,3,0,6303,..,456,268,105,122,153,139,78,43,1372,..,348,310,146,119,66,43,12,3,1053,..,431,739,305,309,302,180,65,11,2350,..,307,959,1113,1593,1863,1546,798,292,8473,368,437,444,309,284,301,241,83,22,2486,20570,10749,9630,11457,12957,12185,9567,4192,1111,92422,..,323,4868,7984,8726,8226,5941,2069,286,38420,..,1229,2710,1974,1751,1038,347,82,10,9145,..,330,1224,1942,1781,701,307,220,134,6646,19127,..,..,..,..,..,..,..,..,19127,..,4049,..,..,..,..,..,..,..,4049,..,2443,701,249,162,114,22,0,0,3693,..,334,115,46,147,239,245,226,127,1476,..,350,203,69,52,39,17,11,8,745
RA52,..,141,2928,5151,6223,6511,5354,2628,605,29538,..,912,2213,1585,1458,1035,452,138,20,7807,..,23,101,270,481,263,107,69,29,1345,16719,..,..,..,..,..,..,..,..,16719,..,2690,..,..,..,..,..,..,..,2690,..,3201,1087,489,344,124,24,3,0,5278,..,509,283,137,135,175,137,64,46,1489,..,272,220,123,92,68,29,19,0,822,..,608,596,273,331,292,178,50,14,2338,..,418,1077,1034,1821,2130,1682,819,339,9322,318,417,393,280,281,335,278,118,34,2449,17040,9192,8891,9340,11163,10929,8248,3909,1081,79793,..,278,4123,6027,6786,6650,4644,1806,261,30572,..,1377,2414,1664,1517,927,335,89,8,8319,..,310,1035,1433,1420,553,264,222,148,5384,16089,..,..,..,..,..,..,..,..,16089,..,2710,..,..,..,..,..,..,..,2710,..,1925,536,194,126,104,12,3,0,2898,..,406,131,61,142,218,231,150,94,1434,..,245,112,54,51,26,13,4,0,512
RA53,..,56,1874,2942,2747,2305,1294,524,115,11847,..,426,1599,981,790,454,138,25,0,4405,..,13,56,127,201,95,43,18,14,564,8463,..,..,..,..,..,..,..,..,8463,..,1018,..,..,..,..,..,..,..,1018,..,1133,404,156,82,32,0,0,0,1816,..,286,146,69,86,74,52,32,5,746,..,112,165,81,55,52,14,4,0,474,..,215,363,175,198,118,46,20,3,1139,..,252,635,598,826,936,556,255,77,4142,180,169,222,164,176,172,119,34,11,1256,8641,3679,5456,5295,5166,4236,2264,896,231,35858,..,164,2556,3145,2670,2094,1024,362,54,12062,..,695,1709,967,759,374,85,18,0,4597,..,144,464,548,428,192,99,56,16,1944,7951,..,..,..,..,..,..,..,..,7951,..,876,..,..,..,..,..,..,..,876,..,673,183,58,32,15,0,0,0,964,..,182,85,44,76,113,61,46,24,626,..,110,104,32,36,23,0,4,3,315
RA54,..,117,953,1417,1217,1089,628,181,26,5627,..,307,950,646,526,344,117,22,3,2914,..,18,49,97,120,87,36,18,0,436,5586,..,..,..,..,..,..,..,..,5586,..,423,..,..,..,..,..,..,..,423,..,736,328,125,53,10,0,0,0,1254,..,449,238,154,122,98,73,24,10,1170,..,71,73,37,32,34,28,5,0,282,..,114,164,81,94,85,42,10,10,604,..,128,349,354,554,659,460,126,26,2654,207,126,272,232,193,148,58,18,3,1251,5793,2484,3375,3147,2918,2561,1438,405,84,22200,..,184,1248,1497,1215,955,484,100,11,5684,..,450,1071,644,492,280,55,20,0,3008,..,172,463,435,323,182,74,46,11,1707,5175,..,..,..,..,..,..,..,..,5175,..,411,..,..,..,..,..,..,..,411,..,541,180,64,29,16,0,0,0,835,..,388,157,127,170,167,91,55,20,1174,..,59,64,21,16,7,12,3,0,180
RA55,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,88,141,268,188,178,141,98,17,6,1114,88,141,268,188,178,141,98,17,6,1114,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA61,..,293,5527,9676,11291,11893,9853,4995,1257,54795,..,1574,4660,3052,2658,1683,755,185,32,14600,..,49,262,676,1068,562,241,139,86,3080,29615,..,..,..,..,..,..,..,..,29615,..,7668,..,..,..,..,..,..,..,7668,..,5523,2704,1099,740,347,38,0,0,10446,..,920,497,217,251,288,210,140,44,2563,..,621,460,192,163,98,58,16,7,1606,..,2085,1991,601,532,521,331,120,27,6211,..,816,2098,2281,3064,3343,2570,1579,823,16569,562,821,821,456,434,392,351,184,38,4063,30182,20369,19021,18252,20192,19123,14419,7358,2315,151225,..,544,7205,10958,11920,11876,8794,3560,604,55466,..,2341,4768,3125,2564,1446,525,105,15,14894,..,797,2549,3586,3611,1573,719,557,332,13719,28241,..,..,..,..,..,..,..,..,28241,..,7257,..,..,..,..,..,..,..,7257,..,3680,1406,510,391,249,54,3,0,6292,..,706,307,115,242,488,461,374,225,2922,..,557,342,81,90,71,25,12,3,1186
