RA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
RA73,6,15,85,70,15,134,19,132,11,480,35,79,267,97,37,56,48,128,33,780,248,464,623,408,97,87,166,247,70,2404,320,365,450,346,126,59,154,167,66,2046,395,389,418,281,138,63,217,199,77,2175,303,311,318,167,120,65,214,166,45,1711,91,83,71,40,23,11,52,56,17,449,13,7,8,0,0,0,8,5,4,47,0,0,0,0,0,0,0,0,0,0,1420,1716,2234,1398,553,477,867,1107,314,10087,10,13,18,101,62,172,3,38,11,421,33,103,43,162,175,93,13,66,24,696,198,744,107,465,485,150,26,125,50,2346,210,699,76,359,407,109,15,111,48,2041,315,621,81,359,515,123,22,155,39,2223,215,432,35,249,355,93,9,109,21,1517,41,67,18,41,79,25,9,25,9,317,7,5,0,7,3,4,0,4,0,33,0,3,0,0,0,0,0,0,0,3,1020,2693,382,1736,2078,769,96,634,193,9601
RA74,5,13,20,33,3,22,7,89,23,217,26,79,86,101,11,20,43,194,37,597,140,262,261,213,54,49,129,259,90,1463,158,236,224,191,59,27,133,183,63,1273,178,184,175,166,57,21,134,169,58,1150,183,164,112,94,33,21,83,109,40,851,51,37,26,17,15,3,20,31,7,207,4,3,7,3,0,0,3,3,0,18,0,0,0,0,0,0,0,0,0,4,751,974,915,816,243,166,552,1050,324,5792,4,25,8,35,27,32,0,33,25,181,19,67,23,141,80,49,4,68,23,471,106,372,61,369,220,104,22,116,62,1417,100,321,41,289,193,94,8,94,42,1173,136,313,43,273,155,62,11,82,44,1114,116,250,24,140,106,35,6,49,22,734,15,50,4,35,17,7,3,14,6,156,0,3,0,3,3,0,0,0,4,18,0,0,0,0,0,0,0,0,0,3,494,1401,203,1288,796,368,60,447,214,5269
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,10,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
RA79,0,0,8,0,0,3,0,0,0,11,0,0,11,6,0,0,0,17,0,39,7,15,17,11,0,6,8,21,0,84,3,17,12,4,0,3,9,7,4,62,3,12,18,0,3,3,16,14,0,70,0,0,7,3,3,0,12,7,0,44,0,0,3,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,88,28,10,15,51,62,7,320,0,0,3,3,0,0,0,0,0,8,4,3,3,10,3,3,0,8,0,34,3,35,7,24,0,3,0,12,0,80,7,10,0,3,6,0,0,4,0,39,7,12,4,10,5,3,3,9,0,39,4,9,7,3,10,5,0,6,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,68,23,54,26,17,11,39,5,252
RA80,295,168,676,964,175,1303,189,1143,78,4986,942,1500,2213,1838,985,1299,391,1108,203,10479,3516,8835,5053,2073,2763,1134,874,1695,708,26655,5223,8476,3475,1521,2542,761,808,1214,749,24759,5336,6265,2747,1171,2292,631,980,947,611,20981,2827,3906,1598,627,1435,420,817,751,332,12708,570,1164,386,186,373,175,251,216,97,3418,75,137,37,19,37,24,20,23,24,387,8,12,5,0,0,3,0,3,9,44,18794,30457,16187,8392,10600,5743,4321,7094,2816,104417,164,217,197,1820,452,2367,21,425,64,5728,565,1902,515,2714,2348,1823,40,335,172,10406,2972,10415,936,2947,5891,1380,64,646,594,25850,4270,8580,725,2162,5427,880,53,581,598,23273,3921,6422,612,2060,5645,849,86,624,514,20738,1744,3757,323,1254,3472,671,68,490,253,12025,232,770,71,240,682,187,18,111,65,2388,18,61,3,19,58,19,0,9,12,205,5,8,0,0,7,0,0,0,10,31,13885,32130,3374,13211,23986,8182,356,3213,2301,100641
RA81,0,0,3,0,0,0,0,3,0,10,0,4,9,3,0,0,0,3,0,13,3,9,16,3,3,0,0,6,0,40,15,11,13,5,3,3,0,3,3,53,17,8,9,4,0,0,0,7,0,48,11,3,3,3,0,0,4,3,0,29,3,3,0,3,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,28,56,15,13,8,6,20,3,195,0,0,0,4,0,3,0,0,0,9,0,0,3,3,3,0,0,0,0,11,3,11,3,8,9,0,0,0,0,40,13,17,3,5,13,0,0,0,0,46,5,6,0,5,7,0,0,0,0,34,3,8,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,5,32,38,9,0,0,3,170
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,3,3,3,4,3,0,3,0,5,0,18,3,10,3,3,0,0,7,4,0,31,0,6,3,4,4,0,0,5,0,20,0,0,6,0,0,0,0,4,3,15,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,13,9,5,10,4,14,9,102,0,0,0,0,0,0,0,0,0,4,0,6,0,8,4,0,0,3,0,19,3,9,0,3,3,4,0,0,0,27,0,5,3,7,3,0,0,0,0,22,3,3,0,3,0,0,0,0,0,13,3,6,0,0,4,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,3,27,20,6,0,3,0,101
RA91,0,0,0,0,0,0,0,0,0,3,6,3,5,3,0,0,0,0,0,14,8,3,0,8,0,0,0,0,3,23,0,3,3,3,0,0,0,0,0,16,3,4,3,0,0,0,0,3,0,17,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,13,15,0,0,4,3,3,84,0,0,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,11,0,6,0,4,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,16,8,3,0,3,0,48
RA94,0,0,4,8,0,3,3,8,0,30,0,0,13,6,0,0,9,18,3,56,14,13,41,22,12,0,19,27,3,148,46,17,60,16,6,7,24,31,10,222,44,11,85,23,15,0,25,30,6,256,45,25,76,12,6,8,29,33,4,244,18,16,30,4,4,3,33,17,3,119,4,0,5,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,3,173,88,315,91,51,29,148,162,33,1087,0,0,0,14,0,7,0,0,0,36,0,5,3,14,12,3,0,3,0,41,18,19,10,41,24,13,0,19,0,148,34,32,14,35,49,11,6,18,4,193,36,30,19,40,53,16,0,27,5,227,26,35,3,26,41,22,3,35,3,192,10,8,3,7,10,23,0,16,6,83,3,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,127,134,49,172,189,100,11,128,15,927
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
