RA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
RA73,3,12,0,3,4,15,24,29,71,634,234,61,934,54,37,95,1026,624,40,1689
RA74,4,46,11,7,19,60,104,86,246,364,222,65,648,171,62,239,890,1265,119,2266
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,8,51,0,0,0,51,68,32,154,6164,2683,424,9267,261,212,472,9738,4293,88,14117
RA81,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,12,6,0,18
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,3,3,12,3,4,3,10,0,0,0,15,19,3,37
RA94,0,0,0,0,0,0,0,0,0,53,26,9,82,0,3,3,85,25,0,108
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
