RA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA44,29,16,21,3,0,0,107,3,16,19,23,19,5,0,0,92,54,224,161,106,120,53,10,0,721,31,110,112,127,127,60,7,3,582,142,337,342,331,309,149,51,14,1676,30,49,42,15,21,6,0,0,164,18,27,30,31,42,17,5,0,168,182,414,419,386,368,168,55,11,2010,5,11,11,8,8,13,8,0,59,310,336,299,366,323,217,112,64,2025,581,1149,1050,1030,991,517,194,84,5595
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA49,14,7,15,4,0,0,59,0,8,3,6,7,0,0,0,24,31,92,38,20,19,16,0,0,219,14,27,22,40,16,23,3,0,145,34,97,50,70,79,57,11,5,402,11,6,4,4,0,0,0,0,25,3,9,3,12,15,3,0,0,47,50,115,57,88,91,66,11,5,482,6,9,0,3,3,5,0,0,27,84,122,129,152,93,54,15,6,651,185,393,264,317,247,159,30,10,1595
RA50,20101,14168,9277,4885,1466,323,70185,792,7006,8151,7744,5803,2409,621,139,32668,20659,78071,62420,42880,28610,15800,5776,1606,255822,10086,29879,30525,29598,23357,14244,5774,1650,145116,28188,57725,47638,47486,36329,21746,10162,2692,251966,5671,3858,2908,2388,1775,988,301,112,17998,2258,4466,5797,6256,5479,4054,1796,615,30716,36115,66048,56342,56126,43580,26784,12265,3411,300679,981,2529,2376,2340,2171,1988,1030,412,13824,18209,25812,20554,19456,17759,16349,14082,9470,141688,87786,228346,200480,172322,130564,82459,41019,17012,959984
RA51,595,574,506,374,87,12,2526,38,343,592,589,514,236,57,5,2379,569,3227,4073,3177,2678,1594,584,121,16022,541,1938,2583,3112,2931,1853,651,162,13765,3660,7020,7394,7462,5924,3482,1257,297,36491,935,553,467,390,315,136,39,10,2847,291,469,712,823,795,577,182,49,3907,4881,8036,8575,8677,7039,4198,1484,358,43239,57,161,196,196,211,225,136,34,1206,3024,3364,3513,3515,3326,3110,2083,981,22914,9127,17439,20120,19828,17192,11589,5088,1674,102060
RA52,524,440,415,239,68,13,2094,37,327,459,448,461,202,38,5,1985,513,2816,2938,2388,1896,1124,413,91,12171,468,1494,1967,2315,2356,1394,491,124,10610,3048,5821,5193,5676,4745,2559,946,207,28190,836,499,368,328,256,147,44,0,2473,253,353,589,585,637,464,161,42,3096,4136,6668,6145,6588,5637,3169,1156,254,33758,66,119,136,146,182,177,102,36,973,2417,2621,2578,2994,3116,2681,1900,862,19163,7646,14433,14746,15314,14066,8988,4169,1386,80747
RA53,298,185,139,48,9,0,960,19,252,277,191,137,30,6,0,915,314,2122,1743,1049,606,260,69,21,6182,177,1111,1192,1036,779,307,102,16,4725,1246,3612,3035,2464,1783,640,186,40,13006,328,298,218,157,91,32,10,3,1121,112,257,320,260,221,95,32,13,1312,1676,4168,3574,2880,2096,769,228,52,15443,26,66,69,76,60,40,12,4,357,1412,2228,1883,1869,1481,909,481,209,10470,3630,10231,9041,7281,5293,2349,916,304,39043
RA54,212,150,91,41,4,0,764,23,148,147,118,116,21,0,0,581,234,1577,1098,688,474,159,26,8,4267,126,726,769,706,512,178,35,7,3057,891,3528,2723,2331,1428,438,94,12,11446,236,289,175,123,78,21,0,0,919,80,211,201,186,160,57,15,3,912,1203,4026,3094,2636,1668,512,108,17,13277,14,62,48,52,47,27,6,0,257,1571,3081,2429,2134,1458,683,227,69,11640,3179,9878,7798,6486,4374,1620,407,103,33846
RA55,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,10,8,5,0,0,3,0,31,0,13,20,17,9,0,0,0,55,0,41,39,32,11,0,0,0,134,0,3,3,0,0,0,0,0,5,0,4,3,3,0,0,0,0,13,6,49,46,34,10,0,0,0,145,0,0,0,0,0,0,0,0,0,7,29,20,24,9,0,0,0,87,11,106,100,83,31,4,3,0,338
RA59,24,17,15,12,0,0,117,0,15,5,6,16,6,3,0,48,58,227,89,47,63,35,10,0,522,20,73,35,51,77,42,3,0,308,78,227,166,169,202,103,17,3,969,20,16,13,9,12,5,0,0,65,7,29,11,15,29,19,0,0,114,108,273,191,197,236,123,14,3,1147,10,9,5,3,5,7,4,0,43,177,385,315,357,222,142,26,5,1633,374,1033,673,680,633,368,58,13,3820
