RA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
RA55,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,28,3,47,9,3,34,54,144,10,250
RA59,8,28,5,5,0,57,12,5,30,9,22,0,86,0,0,10,3,4,0,20,0,0,4,0,29,0,29,3,3,17,4,42,16,86,69,20,301,133,590,58,1169
RA61,1007,5778,1275,1921,247,12864,1629,1146,6148,3178,5445,644,18199,191,100,625,256,642,64,1878,177,85,501,497,2789,133,4192,123,33,422,265,1223,477,2539,8198,4402,26399,13990,39965,3883,96844
RA62,291,1759,535,854,108,3975,349,276,1557,1348,2216,279,6026,45,20,103,101,246,24,534,22,17,97,167,1233,55,1595,24,8,116,124,691,285,1255,1481,1073,6832,5567,19482,2250,36693
RA63,3,68,13,40,3,138,8,4,30,44,43,3,131,0,0,6,3,20,3,35,0,0,5,0,42,0,54,0,0,3,6,19,12,40,42,33,296,257,917,111,1661
RA64,3,29,3,13,5,60,3,5,22,19,29,3,75,0,0,0,0,0,0,10,0,0,0,0,20,3,22,4,0,3,0,12,9,24,34,21,142,113,377,65,746
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,23,0,30
RA69,0,4,0,3,0,8,0,0,6,9,3,3,26,0,0,4,0,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,3,10,12,3,40,30,58,7,149
RA72,616,1868,542,865,103,4832,669,384,2323,937,1098,172,5585,80,28,235,170,310,39,859,82,32,236,215,1082,79,1729,85,33,302,229,924,361,1941,3985,2146,12790,7523,20076,2201,48723
RA73,186,687,181,352,52,1702,272,204,894,468,531,114,2483,22,14,79,24,98,21,265,41,19,112,76,347,31,627,16,12,76,46,199,101,456,1025,665,3401,2143,5260,755,13247
RA74,115,441,116,270,86,1158,75,59,256,139,317,100,940,13,3,39,20,49,15,141,9,11,40,31,258,75,421,12,7,42,26,133,159,366,375,280,1392,886,2915,729,6579
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,0,4,0,6,3,18
RA79,6,9,0,9,0,24,4,6,21,7,5,0,46,0,0,4,0,3,0,10,0,0,0,0,0,0,7,0,0,3,0,13,5,23,31,16,90,52,175,24,387
RA80,1839,6627,1539,1683,220,16753,2768,1220,7107,2946,3103,488,17631,340,162,891,318,506,57,2270,429,150,986,717,2109,122,4519,431,89,929,445,888,480,3264,27587,10445,54164,21753,31879,3785,149626
RA81,0,13,0,12,0,37,3,0,10,3,4,0,19,3,0,7,3,11,0,15,0,0,0,0,7,0,8,0,0,0,3,3,0,11,36,11,57,59,105,4,275
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,7,0,3,0,14,3,0,5,4,8,0,18,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,4,22,5,50,16,33,5,139
RA91,0,0,3,4,0,11,3,0,0,0,3,0,6,0,0,8,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,4,28,19,29,3,96
RA94,18,50,12,21,11,126,5,5,28,18,18,3,73,0,0,13,8,24,3,43,0,0,4,6,33,0,41,0,0,3,8,18,16,48,53,46,224,202,603,123,1244
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
RA99,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8
