RA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA23,0,0,0,8,6,4,4,0,0,22,0,3,0,7,6,17,3,3,0,43,27,52,124,202,276,331,131,25,5,1179
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
RA29,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
RA30,2497,6056,13456,11604,10865,7100,1885,182,4,53656,3027,6380,14004,13775,12721,8052,2524,548,153,61181,79804,141896,322263,315309,297571,191956,44701,4243,495,1398230
RA31,1067,1925,3382,3273,3319,2464,622,74,8,16130,1054,1444,2865,3248,3612,2649,945,316,65,16193,25544,33063,70599,79586,90722,66722,15598,2097,294,384225
RA32,759,1380,2713,2444,2255,1550,493,44,4,11644,743,1056,2205,2367,2530,1871,717,209,45,11741,17838,26437,59963,62837,66377,48364,12308,1957,265,296351
RA33,91,128,263,217,167,128,50,3,0,1051,68,118,202,245,242,245,80,35,4,1249,1494,2802,7261,6587,6957,5228,1645,344,44,32366
RA34,71,120,214,165,150,131,34,3,0,884,54,97,187,145,146,155,65,21,5,881,1068,1992,4776,4354,4692,3887,1118,222,27,22137
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,9,8,11,19,3,0,0,60
RA39,0,16,35,20,17,14,0,0,0,99,4,39,79,56,45,22,11,3,0,257,103,480,1010,470,509,430,76,6,0,3087
RA40,708,2329,5083,4500,4773,3463,993,119,8,21987,739,1741,4082,3761,3809,2673,895,253,80,18030,26584,52881,124253,119012,122158,87572,19809,2022,276,554564
RA41,197,390,747,738,791,657,180,26,0,3723,191,240,505,602,764,584,228,59,17,3197,5395,7690,15639,18666,23060,18424,4861,721,116,94566
RA42,134,280,467,427,561,458,121,20,3,2468,162,179,352,399,536,435,193,80,24,2363,3850,5438,12020,13380,17127,14363,4041,702,145,71067
RA43,37,73,143,154,148,96,28,8,3,692,47,47,101,101,122,120,44,33,8,618,1040,1385,3758,3863,4582,3778,1020,180,35,19648
RA44,8,27,39,50,40,27,13,0,0,209,7,16,44,28,58,54,16,6,0,234,185,429,1080,1107,1245,1103,319,51,4,5529
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
RA49,4,0,0,7,5,0,0,0,0,23,0,6,15,8,9,8,3,0,0,46,23,88,242,125,131,102,24,3,0,734
RA50,1607,4228,9585,7384,7139,4852,1288,154,14,36256,1856,4189,10273,9293,8994,5552,1781,398,71,42406,45592,87432,220530,199259,192241,129043,31203,3193,345,908835
RA51,264,419,705,793,800,568,142,17,0,3700,242,348,683,851,951,728,242,68,14,4127,5630,6987,16423,20325,22987,17009,4310,574,79,94331
RA52,246,400,668,679,691,481,130,18,0,3310,238,284,546,596,740,596,237,83,11,3347,4560,5947,14479,16208,19139,15153,4498,765,88,80846
RA53,87,183,426,322,250,162,38,11,0,1479,103,177,413,393,401,259,86,33,6,1862,1569,2897,9786,9244,8712,6121,1561,288,53,40239
RA54,63,119,324,237,188,104,28,7,0,1072,42,112,280,267,261,195,51,9,3,1215,717,2129,8705,7436,6781,4531,958,113,10,31369
RA55,0,0,0,0,0,0,0,0,0,0,0,3,16,20,15,10,0,0,0,60,0,19,100,98,82,35,4,0,0,334
RA59,0,0,12,9,7,3,0,0,0,44,3,12,41,28,24,23,4,0,0,126,26,202,598,332,308,266,40,0,0,1773
RA61,245,642,1252,1205,1232,922,258,38,3,5789,265,441,956,946,1005,729,278,87,26,4721,8352,13855,30425,31512,34439,25682,5504,624,90,150484
RA62,114,256,445,391,513,384,101,11,0,2206,176,192,376,432,572,484,182,58,16,2488,3442,4619,9605,11796,15545,12967,3115,490,75,61651
RA63,0,15,11,17,17,18,0,0,0,79,12,3,5,15,31,18,9,7,3,104,102,209,515,506,722,666,171,23,3,2922
RA64,3,4,12,5,5,4,4,0,0,30,5,7,7,9,9,13,3,0,0,46,27,85,210,195,285,293,100,30,4,1229
RA65,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,21,3,14,9,0,0,0,47
RA69,0,3,4,0,0,0,0,0,0,6,0,0,8,3,8,0,0,0,0,18,12,22,86,47,46,23,0,0,0,247
RA72,158,273,626,499,477,271,68,8,0,2378,187,330,802,694,661,381,108,17,6,3191,3203,6740,19584,16319,14271,9000,2053,172,21,71357
RA73,38,87,243,195,209,142,32,0,0,944,47,78,185,172,171,116,38,10,0,822,909,1474,4753,4086,4400,3227,760,77,4,19691
RA74,33,104,219,207,171,96,25,3,0,852,51,90,175,128,113,83,19,7,0,664,402,1066,2886,2449,2268,1589,364,36,9,11064
RA75,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,9,0,0,8,9,9,0,0,0,0,28
RA79,0,0,0,0,0,0,0,0,0,9,0,4,12,6,4,9,0,0,0,36,18,75,169,97,111,89,11,0,0,574
RA80,333,794,1503,1298,1159,739,239,21,5,6092,301,625,1388,1201,971,562,212,47,25,5336,10713,20885,52503,48033,41720,24740,5805,593,78,205053
RA81,0,3,0,3,3,0,0,0,0,11,3,0,3,3,7,0,0,0,0,14,23,25,80,103,75,45,12,7,0,369
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,4,0,0,0,11,10,39,57,41,28,26,3,0,0,202
RA91,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,11,19,32,31,29,8,0,0,0,135
RA94,0,0,7,8,19,13,4,0,0,57,3,11,7,19,32,23,15,0,0,102,63,93,298,414,481,438,198,27,4,2013
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11
