RA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
RA23,0,0,0,0,57,57,0,0,0,0,51,50,28,0,3,0,76,106,79,3,0,0,59,136,110,11,21,0,60,212,181,15,52,11,56,306,179,16,56,7,38,295,90,7,14,21,12,147,31,3,0,15,4,50,696,59,145,53,402,1356,0,0,0,0,67,67,4,0,0,0,38,40,40,0,0,0,49,88,88,5,10,0,47,148,112,13,32,3,35,201,181,10,45,17,27,283,164,9,35,38,10,255,70,3,10,48,0,128,5,0,0,47,4,59,668,35,127,161,273,1260,0,0,0,0,121,121,3,0,0,0,83,90,69,0,3,0,121,199,162,5,11,0,106,286,227,27,53,3,103,404,365,26,96,34,84,597,342,29,84,51,41,545,159,12,19,70,10,274,37,3,4,60,7,109,1363,92,276,211,677,2617
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,9,25
RA29,0,0,4,0,175,180,10,0,0,0,438,447,124,48,14,3,864,1052,119,110,71,3,518,813,101,102,122,7,303,628,142,57,139,8,115,460,134,37,67,14,34,283,30,5,11,7,17,72,3,0,0,4,3,9,653,351,422,46,2462,3942,0,0,0,0,173,178,20,5,4,0,420,453,134,40,19,3,603,795,98,50,59,7,271,479,80,52,89,5,113,347,164,26,100,22,40,352,108,19,44,19,14,204,26,0,8,15,3,49,3,0,3,17,3,28,623,196,328,91,1647,2883,0,0,4,0,350,357,27,5,9,3,852,898,259,87,32,7,1463,1848,209,159,125,7,782,1295,177,157,206,15,421,975,306,85,238,33,161,816,238,50,113,34,49,482,53,5,16,21,17,121,8,0,3,20,3,38,1273,544,752,140,4106,6825
RA30,215,36,44,38,95178,95504,3530,230,124,69,103266,107224,72270,3840,3550,180,133476,213307,120021,8478,12805,473,59017,200790,119025,9965,23595,1180,35519,189288,103528,7219,24648,2624,17077,155096,83796,4474,17068,5027,7089,117461,40236,1529,5589,6842,2607,56804,10989,338,1116,6616,864,19928,553606,36116,88531,23046,454095,1155389,326,43,28,43,92476,92917,6857,527,196,84,100242,107900,92324,6322,5668,392,117139,221846,127374,11642,19038,1338,51446,210843,121032,12420,34917,3780,29602,201754,101243,8406,35837,9194,13715,168401,73374,4383,24254,19551,5603,127169,28628,1125,7919,27461,2496,67632,5869,203,1977,26031,1303,35376,557030,45080,129844,87866,414030,1233837,540,78,68,81,187651,188422,10384,758,314,152,203514,215122,164591,10164,9224,567,250614,435151,247394,20122,31841,1814,110457,411637,240064,22391,58515,4956,65121,391040,204770,15627,60488,11814,30797,323496,157171,8859,41321,24577,12694,244625,68864,2655,13506,34302,5107,124432,16855,541,3094,32641,2168,55303,1110633,81193,218376,110903,868119,2389230
RA31,51,12,9,14,30254,30341,1206,122,27,12,24999,26368,18432,1392,972,62,30224,51079,31332,2701,3651,137,16800,54624,37505,3714,8320,465,12865,62869,40639,3130,10466,1173,6948,62354,37087,2121,7870,2497,3157,52733,17639,718,2599,3206,1215,25369,4140,129,415,2390,377,7455,188032,14039,34331,9954,126831,373191,78,8,9,24,28568,28694,2125,228,57,28,22696,25134,23159,2130,1496,153,25931,52869,33880,3687,5452,513,14016,57552,39739,4328,11132,1417,9487,66106,41138,3141,11864,3789,4394,64331,32873,1650,8151,8222,1767,52664,12397,405,2528,11184,767,27286,2024,78,538,8684,386,11715,187408,15662,41228,34016,108024,386341,131,20,22,39,58827,59029,3336,343,86,39,47691,51504,41587,3527,2469,217,56151,103947,65216,6387,9100,645,30819,112172,77243,8048,19452,1879,22356,128979,81772,6271,22333,4963,11340,126681,69952,3767,16022,10726,4928,105399,30037,1127,5121,14390,1985,52655,6164,210,955,11077,765,19169,375440,29701,75563,43971,234857,759537
RA32,47,7,9,11,21388,21466,779,59,35,13,20125,21008,14270,826,705,47,27052,42898,23248,1924,2812,110,14456,42550,26479,2555,6059,364,11098,46559,26028,2312,7695,847,6481,43362,20759,1520,5376,1556,2624,31829,9211,511,1659,1826,957,14156,2036,74,256,1268,247,3873,122849,9783,24598,6040,104423,267703,68,14,7,8,19946,20048,1429,146,34,21,18254,19887,18086,1385,1169,112,23200,43947,25296,2560,4012,335,12293,44501,27247,2891,7654,996,7781,46565,25565,2102,7756,2517,3807,41740,17509,989,4664,4732,1217,29115,6134,277,1353,6020,403,14188,917,43,286,4534,190,5971,122258,10416,26925,19272,87090,265964,121,26,13,22,41337,41515,2208,204,69,35,38379,40900,32356,2215,1875,157,50252,86851,48547,4488,6822,446,26750,87046,53726,5450,13714,1362,18883,93121,51593,4412,15450,3361,10282,85107,38267,2506,10042,6284,3843,60941,15346,783,3014,7842,1363,28349,2958,116,540,5800,435,9844,245111,20202,51526,25317,191518,533673
RA33,3,0,0,0,2011,2014,100,6,0,3,2187,2289,1831,108,105,14,3541,5597,2630,205,298,13,1785,4927,2862,311,671,56,1426,5328,2780,269,855,89,934,4934,1960,193,602,228,368,3357,783,59,176,178,105,1300,135,9,25,88,36,285,13087,1168,2730,665,12385,30040,5,0,0,0,1703,1710,181,13,3,8,1993,2200,2163,92,77,12,2886,5231,2589,177,291,35,1265,4357,2738,243,632,74,938,4628,2489,192,622,255,446,4009,1575,85,291,474,117,2540,487,14,76,491,31,1096,54,3,17,299,13,378,12284,807,2014,1644,9395,26150,10,0,0,0,3714,3727,277,21,3,9,4178,4487,3995,198,182,26,6425,10827,5226,377,583,46,3050,9287,5601,552,1307,133,2364,9954,5274,459,1485,350,1379,8948,3538,278,894,703,491,5900,1273,71,252,670,129,2403,183,9,44,381,46,665,25379,1976,4747,2313,21778,56190
RA34,16,0,4,0,1643,1664,77,3,4,3,1746,1830,902,35,40,8,2689,3683,1507,85,135,10,1546,3280,1819,158,330,29,1174,3515,1936,153,482,100,705,3371,1188,120,345,159,274,2082,453,39,90,144,112,841,82,0,11,78,27,201,7980,599,1441,533,9916,20462,6,3,0,0,1501,1510,93,0,3,8,1776,1878,1142,59,49,14,2674,3933,1512,104,129,25,1433,3207,1795,151,336,71,1055,3408,1725,119,372,207,444,2873,942,66,188,382,128,1712,261,15,50,369,61,741,35,0,8,242,24,299,7508,514,1140,1314,9097,19573,26,3,4,0,3141,3176,167,8,8,9,3515,3706,2050,88,90,21,5364,7617,3018,189,265,34,2979,6482,3613,309,669,109,2234,6925,3663,274,853,305,1149,6249,2125,186,538,543,403,3795,713,49,139,508,172,1583,121,3,15,316,46,502,15487,1113,2578,1846,19012,40039
RA35,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,4,3,0,3,0,3,7,10,0,3,0,0,10,7,0,0,0,3,7,4,0,5,3,0,13,5,0,0,0,0,7,0,0,0,0,0,0,30,0,11,0,21,65,0,0,0,0,5,5,0,0,0,0,4,4,5,0,0,0,3,6,0,0,0,0,3,3,10,0,3,0,0,7,9,0,8,3,0,19,6,0,3,11,0,16,3,0,0,0,0,7,0,0,0,0,0,0,33,3,17,18,17,81,0,0,0,0,11,11,0,0,0,0,11,11,4,0,0,0,7,11,4,0,3,0,4,14,14,0,3,0,0,24,17,0,13,3,3,30,13,0,9,11,0,33,7,0,3,3,0,16,0,0,0,0,0,4,60,3,27,17,38,144
RA39,0,0,0,0,209,212,0,5,0,0,554,559,121,51,26,7,1097,1288,162,133,85,5,583,964,230,129,212,7,392,975,546,120,274,31,186,1147,607,88,290,61,79,1120,127,20,40,17,18,225,5,0,3,5,0,19,1793,546,932,134,3106,6509,0,0,0,0,201,203,4,0,0,0,564,576,143,24,16,0,814,1005,147,43,54,7,253,514,296,66,140,18,177,688,779,58,256,35,97,1224,562,19,142,50,24,798,82,3,13,37,11,153,0,0,0,18,0,18,2015,218,626,174,2148,5179,0,0,0,0,410,408,4,6,0,0,1119,1133,264,74,38,9,1905,2293,312,178,145,20,832,1485,524,195,348,18,575,1663,1322,185,531,62,280,2373,1164,105,432,111,99,1916,215,23,54,60,28,381,8,0,3,29,0,44,3804,762,1561,304,5254,11693
RA40,111,10,28,21,38008,38172,1325,75,44,28,42085,43560,29069,1338,1309,72,53025,84811,46710,3006,4658,166,24431,78963,47578,4079,9926,544,18349,80476,45477,3147,11607,1258,9658,71153,38624,1767,7495,2416,3472,53782,21300,600,2468,3711,1082,29159,6687,179,524,4174,391,11948,236874,14198,38064,12400,190496,492027,149,11,23,20,36456,36661,2787,163,59,37,39220,42267,37510,2260,2153,182,44753,86855,48005,4186,6908,553,20258,79911,48183,4929,14208,1703,14372,83392,45462,3462,16422,4396,7766,77507,35541,1710,10982,9428,2887,60549,15975,514,3811,15312,1057,36666,3544,118,1074,15751,654,21144,237149,17354,55642,47381,167426,524955,264,23,53,37,74459,74835,4111,238,109,65,81303,85827,66581,3593,3461,257,97778,171668,94714,7191,11561,720,44688,158874,95757,9013,24133,2245,32723,163868,90937,6602,28031,5654,17427,148655,74160,3482,18475,11846,6364,114326,37277,1112,6279,19021,2137,65826,10227,297,1598,19925,1050,33097,474023,31555,93703,59782,357924,1016978
