LGA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA55670,100,41,28,24,19,21,29,36,6,304
LGA55740,720,1531,300,397,458,321,62,218,59,4059
LGA55810,21,21,23,9,15,7,10,25,11,150
LGA55880,137,19,23,14,12,3,27,24,11,273
LGA55950,109,23,30,22,20,17,27,32,3,276
LGA56090,2086,3447,3019,1840,2422,1531,1278,1470,308,17390
LGA56160,14,4,3,8,3,0,5,8,0,52
LGA56230,683,679,1298,656,649,600,903,805,140,6418
LGA56300,131,61,73,52,32,43,47,89,14,544
LGA56370,162,31,45,27,34,22,21,50,9,409
LGA56460,309,352,344,257,216,171,149,272,33,2093
LGA56580,1684,4452,438,811,1098,686,118,336,154,9772
LGA56620,41,75,10,76,19,15,4,34,8,284
LGA56730,520,554,716,517,574,366,445,584,67,4337
LGA56790,326,146,146,142,111,95,134,243,31,1370
LGA56860,29,10,12,9,14,4,19,15,0,110
LGA56930,157,290,34,62,69,47,4,22,17,697
LGA57000,126,25,64,14,20,4,78,41,3,385
LGA57080,1791,3988,1142,1249,1331,728,268,813,203,11512
LGA57140,136,31,47,35,42,20,44,51,7,417
LGA57210,503,221,269,198,227,152,175,358,20,2120
LGA57280,646,912,1781,563,797,433,981,762,165,7051
LGA57350,120,34,36,35,27,21,32,54,0,369
LGA57420,218,56,125,48,67,33,118,100,10,775
LGA57490,4983,7344,11213,7088,6876,5311,5079,5957,981,54837
LGA57630,13,0,6,0,3,0,4,7,0,40
LGA57700,1311,1545,2704,1353,1838,1137,1522,1260,204,12871
LGA57770,73,47,70,49,40,31,25,70,9,419
LGA57840,3205,7277,1991,1946,2729,1643,584,1089,295,20757
LGA57910,12941,27643,13929,10834,13895,9295,4688,8645,1560,103428
LGA57980,1367,4246,580,788,916,633,119,429,125,9207
LGA58050,6363,8916,11070,7519,9370,6287,6055,6692,1086,63340
LGA58190,57,12,14,12,18,9,18,39,0,169
LGA58260,84,22,30,34,13,12,29,30,3,264
LGA58330,258,260,333,191,225,132,227,185,42,1846
LGA58400,54,6,13,16,5,6,11,18,3,135
LGA58470,23,5,13,15,5,0,5,16,0,72
LGA58510,2084,5023,2383,1884,2204,1359,800,1494,255,17489
LGA58540,193,22,47,22,34,21,53,63,3,453
LGA58570,2807,7158,1954,1731,2156,1261,443,1026,250,18784
LGA58610,184,75,98,74,69,58,84,96,6,745
LGA58680,75,10,33,6,15,3,32,27,3,209
LGA58760,8797,13625,16794,10508,12678,9127,6335,9679,1549,89092
LGA58820,173,135,367,190,146,105,264,218,31,1626
LGA58890,201,24,31,14,35,13,25,48,14,411
LGA59030,53,13,33,9,13,4,26,17,0,169
LGA59100,136,23,35,22,28,13,36,48,10,353
LGA59170,208,58,47,39,43,16,46,60,10,519
LGA59250,27,48,88,21,17,5,107,51,6,371
LGA59310,193,71,104,45,71,47,68,68,16,672
LGA59320,90,21,23,8,13,9,20,26,0,207
LGA59330,67,16,13,13,26,5,25,22,3,191
LGA59340,456,610,468,447,413,184,227,346,70,3231
LGA59350,31,24,38,9,16,0,54,18,0,194
LGA59360,149,33,121,27,45,17,138,64,8,605
LGA59370,257,184,192,156,162,120,122,181,21,1401
LGA59499,104,235,349,162,114,90,276,386,58,1773
LGA59799,11,78,87,3,10,0,35,100,9,334
LGA60210,330,236,264,254,197,179,155,280,32,1933
LGA60410,595,561,1087,961,958,774,603,973,123,6636
LGA60610,746,1120,1094,976,1010,886,651,1047,141,7664
LGA60810,1036,1388,1428,1093,1008,883,689,1173,133,8839
LGA61010,193,60,123,77,58,44,75,175,14,823
LGA61210,759,280,409,311,308,250,342,875,73,3595
LGA61410,2947,5292,3394,3091,3997,2459,941,2051,408,24581
LGA61510,317,379,629,631,438,390,436,573,80,3864
LGA61610,930,1350,1448,1283,1155,1106,797,1425,162,9650
LGA61810,521,222,325,227,221,246,273,481,50,2561
LGA62010,131,56,64,34,29,27,12,68,10,433
LGA62210,195,233,366,252,212,212,292,374,51,2185
LGA62410,308,171,244,173,158,160,100,306,29,1648
LGA62610,1560,2572,2964,2733,3055,2189,1362,2430,386,19256
LGA62810,3268,8917,2165,2883,3057,1856,410,1331,373,24259
LGA63010,888,1010,997,711,776,491,422,967,119,6381
LGA63210,351,293,398,300,221,202,241,375,63,2445
LGA63410,206,68,96,54,70,46,60,189,13,797
LGA63610,2125,4244,2172,1896,2397,1452,508,1278,261,16335
LGA63810,630,624,742,514,461,501,329,599,83,4487
LGA64010,2924,5599,3601,3504,3409,3134,1827,3112,429,27538
LGA64210,1328,1243,1212,996,1079,784,706,981,138,8464
LGA64610,893,657,845,551,618,553,483,792,101,5496
LGA64810,707,836,1044,813,959,674,428,730,126,6323
LGA65010,419,224,419,287,271,237,251,409,67,2599
LGA65210,146,105,103,120,72,40,39,146,4,797
LGA65410,639,764,822,633,605,519,499,757,115,5342
LGA65610,174,150,252,168,119,120,221,264,43,1515
LGA65810,1188,2049,1488,1193,1243,972,623,959,145,9856
LGA69499,17,49,38,33,27,14,20,54,3,247
LGA69799,3,14,9,9,0,0,3,15,0,47
LGA70200,1520,3054,1548,2037,1778,880,522,982,283,12608
LGA70420,246,367,204,367,200,85,55,302,66,1897
LGA70540,0,7,3,0,0,0,0,0,0,12
LGA70620,114,145,54,175,69,34,52,133,32,792
LGA70700,70,63,61,57,63,23,52,59,16,455
LGA71000,5494,9899,6255,5144,5816,3119,1940,3573,832,42081
LGA71300,123,416,107,307,105,75,76,144,123,1480
LGA72200,513,762,702,671,545,249,228,371,80,4120
LGA72300,1445,1394,2859,1243,1652,685,1025,1190,260,11746
LGA72330,117,233,74,295,91,54,35,185,52,1144
LGA72800,1813,2389,3194,2459,2890,1388,1274,1518,380,17296
LGA73600,165,314,128,241,113,70,94,214,112,1437
LGA74050,46,125,44,100,44,25,17,72,47,524
LGA74550,121,135,75,110,44,24,43,142,57,743
LGA74560,33,57,35,25,31,17,18,17,0,228
LGA74660,134,373,163,237,144,76,76,152,97,1451
LGA74680,28,130,28,101,38,31,15,63,22,452
LGA79399,502,672,550,537,446,165,303,400,65,3636
LGA79499,41,108,104,84,34,32,63,104,15,574
LGA79799,0,4,8,0,0,0,0,13,0,28
LGA89399,32758,62658,19620,21657,34637,13941,4684,10337,5123,205419
LGA89499,21,57,14,34,28,12,8,20,6,202
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,340,236,379,298,249,130,160,295,51,2151
LGA99499,0,3,0,4,0,0,3,0,0,11
LGA99799,0,3,0,0,0,0,0,4,0,6
