LGA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA14700,3632,8073,1187,1390,2456,1441,280,528,311,19292
LGA14750,738,632,650,382,511,357,442,902,99,4705
LGA14850,2110,3651,2366,2291,2309,1934,1007,2261,251,18168
LGA14870,736,952,1363,1006,1031,654,972,942,142,7798
LGA14900,8374,14232,12213,8382,13467,7719,8754,8705,2063,83905
LGA14920,632,342,342,316,283,209,373,459,58,3013
LGA14950,391,164,144,122,130,69,110,130,30,1294
LGA15050,3313,5766,5987,3873,4586,3547,3408,3696,516,34692
LGA15240,3654,4832,4396,3808,3319,3516,1976,4007,515,30032
LGA15270,1410,1274,1671,946,979,882,1219,1163,137,9689
LGA15300,1152,762,642,554,665,422,520,701,103,5521
LGA15350,3360,5530,622,1018,1686,1085,100,293,300,13999
LGA15520,1205,701,627,478,503,414,323,661,78,4994
LGA15560,508,157,177,143,182,87,155,276,32,1716
LGA15650,650,717,1347,607,684,533,1201,870,115,6732
LGA15700,774,988,925,907,659,538,429,892,121,6229
LGA15750,1009,774,801,492,604,468,691,704,115,5657
LGA15800,499,277,289,222,242,154,206,393,40,2325
LGA15850,599,330,340,271,266,182,270,289,39,2592
LGA15900,7321,19901,9424,8998,9555,6715,3781,6305,1034,73034
LGA15950,8633,17713,2080,2402,5105,2673,362,790,691,40445
LGA15990,24082,37083,14705,12242,17481,11805,3554,6623,2109,129685
LGA16100,417,268,321,209,225,159,319,268,56,2241
LGA16150,1945,3772,2609,2056,2331,1732,1225,1881,256,17805
LGA16200,1016,854,864,617,652,524,601,609,110,5840
LGA16260,13515,33768,11004,8816,16428,8960,5070,6926,2099,106593
LGA16350,9598,14073,14049,9950,16844,9081,10287,9165,1806,94859
LGA16380,3339,5827,4372,3816,3917,3239,1618,3080,444,29655
LGA16400,3000,4065,4868,3494,3549,2844,2272,3044,465,27602
LGA16490,4735,5883,3924,3026,5384,2308,1346,2114,675,29389
LGA16550,10580,23755,6230,6665,9253,5570,1888,3223,1110,68276
LGA16610,954,989,1093,1000,920,779,697,1673,160,8265
LGA16650,6145,11934,6300,5303,7906,5350,3303,5467,1120,52827
LGA16700,8172,19137,5715,4771,8707,5017,1609,3095,1017,57245
LGA16900,2681,4211,5190,3884,3982,3330,2673,3177,470,29606
LGA16950,4209,6125,6250,5026,4139,3901,1971,4097,614,36330
LGA17000,1186,1325,1922,1224,1179,860,1873,1073,174,10822
LGA17040,1867,1355,1393,1202,1137,931,636,1166,174,9860
LGA17080,1036,733,831,581,578,428,728,963,106,5991
LGA17100,2272,6250,2031,1686,2729,1815,808,1541,498,19618
LGA17150,16977,27083,15188,11832,18813,10692,4339,6066,1781,112765
LGA17200,19929,44228,9300,11980,13028,8894,1742,5997,2154,117252
LGA17310,3399,4559,3740,2747,3113,2557,1786,3678,418,25997
LGA17350,558,354,350,255,271,231,171,299,30,2514
LGA17400,566,262,270,233,232,179,182,370,59,2361
LGA17420,14079,23235,8348,6226,13014,7702,2427,3772,1378,80179
LGA17550,3954,6168,5595,4917,4356,3927,2029,4179,603,35731
LGA17620,1030,768,1060,482,589,447,823,1005,90,6298
LGA17640,943,452,482,378,381,195,229,401,63,3528
LGA17650,499,423,373,267,328,204,127,368,43,2633
LGA17750,3634,5877,4667,3868,3657,3061,1627,3072,374,29834
LGA17850,489,156,147,95,128,89,81,211,13,1414
LGA17900,490,283,178,289,192,108,178,283,49,2060
LGA17950,366,140,130,96,110,64,88,142,21,1149
LGA18020,890,469,341,373,280,216,218,476,65,3335
LGA18050,7178,14175,2648,3182,3803,2891,513,1375,659,36426
LGA18100,481,176,164,110,129,89,98,176,14,1437
LGA18200,626,367,356,270,289,232,213,379,56,2786
LGA18230,2868,3882,3170,2811,2873,2380,1330,2460,366,22142
LGA18250,6927,14478,2286,2659,4481,2936,523,1321,701,36309
LGA18350,2993,4169,3294,2233,2323,2002,1189,2112,333,20644
LGA18400,3043,3592,4392,2450,3538,2057,2263,2266,451,24054
LGA18450,9244,20486,13055,10922,12000,7934,5465,7774,1374,88251
LGA18500,6398,11893,1174,1829,3176,2218,241,544,549,28005
LGA18710,1594,1676,1049,863,1207,526,353,643,168,8076
LGA19399,256,41,44,42,35,18,11,119,20,599
LGA19499,274,649,480,430,261,224,339,582,103,3331
LGA19799,3,22,18,16,21,17,10,18,5,130
LGA20110,984,801,865,642,506,506,379,713,90,5488
LGA20260,867,623,555,745,393,388,259,794,84,4708
LGA20570,4848,9735,6440,5615,5618,4795,2345,4621,696,44716
LGA20660,8016,17774,7159,5933,8735,5146,1838,3416,889,58915
LGA20740,1808,1913,2146,1545,1266,1445,641,1553,218,12537
LGA20830,3223,3534,3504,2292,2388,1751,1468,2740,354,21255
LGA20910,10287,15500,3187,3941,5867,4428,636,1441,695,45993
LGA21010,904,860,880,651,616,488,404,746,100,5659
LGA21110,15439,32381,4814,6688,10399,7498,999,2727,1324,82260
LGA21180,6665,11582,11083,8477,10989,8019,9408,11826,1977,80034
LGA21270,740,350,261,218,216,176,165,326,41,2486
LGA21370,2838,2109,2320,1756,1551,1586,1174,2374,236,15950
LGA21450,5304,6540,8196,4760,6320,4603,3708,4813,707,44955
LGA21610,14126,20726,22514,14972,20139,14243,13115,15651,2426,137913
LGA21670,538,491,725,557,403,491,300,774,73,4352
LGA21750,1626,1171,1310,1128,868,821,695,1745,177,9545
LGA21830,2023,822,843,629,530,526,520,1141,129,7164
LGA21890,8774,21580,7757,7345,9128,6326,2846,5408,1142,70311
LGA22110,2566,2506,2502,2189,1857,1696,1040,2351,298,17003
LGA22170,6944,10387,10913,7481,8893,7080,4375,6279,1055,63406
LGA22250,1095,499,567,409,430,378,321,648,53,4404
LGA22310,11481,24063,6149,6276,9382,6395,1526,3249,1123,69634
LGA22410,1304,1112,1203,886,797,675,1023,1153,155,8311
LGA22490,1420,1567,1864,1100,1218,889,826,1129,192,10196
LGA22620,5349,9794,7064,5904,6033,5100,2947,5758,729,48675
LGA22670,4651,8157,9360,6428,6899,5710,7285,10350,1465,60306
LGA22750,11089,21526,15528,13400,12657,10838,6204,10666,1672,103580
LGA22830,3911,4613,3685,2821,3176,2774,1806,3759,440,26976
LGA22910,1077,1213,1005,772,681,452,303,749,97,6346
LGA22980,577,303,257,225,208,136,176,375,40,2298
LGA23110,6022,10360,5186,3945,6062,3623,2757,3245,771,41978
LGA23190,1468,1568,1305,1041,1059,1021,533,992,125,9111
LGA23270,7668,11438,12484,9752,11953,8510,8603,8972,1638,81025
LGA23350,1240,1428,1070,826,798,569,498,935,125,7492
LGA23430,10367,18034,9927,7185,11292,7763,3240,5126,1155,74103
LGA23670,9282,16184,11764,7813,12170,8410,4239,6274,1215,77348
LGA23810,2778,4490,5237,3505,3999,3102,2307,3498,575,29490
LGA23940,992,304,251,226,238,155,198,420,52,2838
LGA24130,3181,4833,3485,2449,2827,1730,1071,1839,315,21741
LGA24210,8860,15032,5527,4705,7580,5885,1347,2977,908,52818
LGA24250,683,573,639,411,368,372,193,471,65,3781
LGA24330,5586,11966,4170,4334,5309,3712,2110,3698,764,41648
LGA24410,6849,12994,8162,5837,8287,5669,2249,4110,783,54940
LGA24600,9407,25656,4725,7298,7328,5216,894,3521,1118,65156
LGA24650,6158,8877,8883,6622,9504,6369,6414,6031,1176,60028
LGA24780,3288,3564,3038,2572,2523,2538,1573,3026,396,22501
LGA24850,2159,2314,3215,2268,2495,1706,1745,2180,320,18406
LGA24900,2206,1404,1650,1221,1120,1029,888,2064,229,11806
LGA24970,11025,24446,8366,7195,11435,8117,2895,5522,1369,80373
LGA25060,8640,16926,5876,5508,8884,5528,2072,3320,1008,57761
LGA25150,1859,2320,2415,1611,2065,1263,1394,1424,268,14632
LGA25250,9805,25026,9261,8202,10822,6811,3384,5712,1332,80352
LGA25340,9546,12711,11944,7988,8110,7278,2746,6108,1062,67498
LGA25430,1081,1798,1042,869,728,583,344,993,117,7558
LGA25490,2134,1076,938,700,656,525,513,1051,140,7730
LGA25620,997,818,1091,733,661,415,393,727,126,5954
LGA25710,5059,8451,4689,3375,4836,3014,932,1812,412,32575
LGA25810,922,580,572,689,432,409,327,847,85,4859
LGA25900,11226,21832,4434,4884,7081,4568,798,1938,948,57705
LGA25990,615,298,360,290,269,180,230,369,55,2664
LGA26080,173,336,120,96,124,77,32,70,28,1046
LGA26170,2549,1637,1837,1197,1245,1052,892,1591,185,12184
LGA26260,1610,1134,1006,754,759,663,399,833,101,7250
LGA26350,10659,22518,3429,4551,6971,5092,602,1722,976,56530
LGA26430,960,621,616,440,397,305,271,684,74,4369
LGA26490,2327,3539,2090,1535,1556,1272,455,1079,232,14079
LGA26610,1597,1207,1131,876,916,840,562,1259,186,8568
LGA26670,715,381,370,235,253,166,180,321,48,2673
LGA26700,1910,2249,1767,1510,1413,1238,870,1480,184,12616
LGA26730,1598,2944,2215,1798,1786,1915,896,2221,218,15601
LGA26810,2976,2805,2915,2042,1833,1524,1259,2283,306,17944
LGA26890,716,226,159,154,126,80,104,279,23,1860
LGA26980,10401,23731,7587,7246,10375,7324,2118,4795,1133,74705
LGA27070,8625,14359,13626,10081,13106,9794,7841,9506,1614,88550
LGA27170,1915,2959,3023,2395,2293,1884,1376,2039,303,18199
LGA27260,10544,18253,12536,10985,15013,9591,10435,9230,1826,98411
LGA27350,8520,21759,3517,4481,5543,3676,745,1697,843,50781
LGA27450,9521,13241,13842,8471,10010,6875,4093,7154,1199,74415
LGA27630,750,337,277,330,219,164,175,325,49,2626
LGA29399,93,44,44,76,23,36,42,73,11,440
LGA29499,178,405,297,277,182,134,200,307,57,2033
LGA29799,0,4,7,0,0,0,0,3,0,23
LGA30250,19,36,37,55,18,8,13,35,13,231
LGA30300,544,262,222,189,220,160,176,355,30,2149
LGA30370,1455,711,1150,485,688,472,1016,1107,101,7185
LGA30410,402,162,136,127,148,68,119,255,23,1447
LGA30450,47,10,23,6,22,0,24,35,4,167
LGA30760,261,84,100,90,78,72,67,158,23,932
LGA30900,51,13,16,14,18,4,21,71,3,218
LGA31000,74499,170408,60094,57786,83218,50309,23423,41841,8880,570455
LGA31750,63,10,30,12,33,6,30,36,12,220
LGA31820,4007,5104,4791,3971,3996,3561,2882,5139,525,33970
LGA31900,1309,847,1168,719,859,612,908,1297,124,7841
LGA31950,32,14,17,6,24,7,7,31,3,147
LGA32080,7928,13932,10827,9952,9542,7770,4085,7136,1232,72405
LGA32250,122,99,113,112,89,25,56,165,26,813
LGA32260,1847,1317,1680,1176,1220,989,1140,2499,209,12084
LGA32270,2016,1485,2374,896,1429,991,2470,1599,205,13460
LGA32310,704,639,647,505,440,378,506,689,72,4579
LGA32330,8,14,9,47,20,0,6,26,0,127
LGA32450,193,204,229,107,190,67,280,220,25,1520
LGA32500,248,305,223,198,164,99,139,291,37,1707
LGA32600,31,6,11,15,10,3,11,23,3,110
LGA32750,33,14,21,21,22,12,8,38,0,164
LGA32770,21,38,24,82,32,15,10,43,12,279
LGA32810,840,667,886,837,561,533,271,805,106,5509
LGA33100,114,31,35,26,33,6,30,88,5,360
LGA33200,256,54,70,55,72,40,81,147,10,795
LGA33220,3182,5164,4737,4790,3965,3595,2321,4028,492,32271
LGA33360,2580,3681,5789,2481,2918,2293,3366,3498,466,27074
LGA33430,32304,47673,38843,31490,35396,31582,13244,25481,4535,260548
LGA33610,1011,566,608,450,538,388,484,739,65,4855
LGA33620,2239,2191,2764,2008,1959,1775,1575,2677,309,17499
LGA33800,704,558,738,496,499,373,554,588,60,4562
LGA33830,15,30,19,45,26,3,31,43,15,230
LGA33960,7596,12254,12705,10747,12294,8118,8383,10654,1534,84285
LGA33980,1291,1063,2067,606,869,467,2364,1112,135,9972
LGA34420,25,24,35,63,15,9,9,31,11,227
LGA34530,1812,2384,2804,1752,1943,1395,1570,1521,246,15425
LGA34570,10,35,19,39,11,4,12,45,21,189
LGA34580,2010,1855,2366,1668,1813,1338,1615,2855,245,15762
LGA34590,12127,17417,21527,14291,19730,12840,14597,17001,2417,131955
LGA34710,370,305,254,206,244,155,122,251,41,1938
LGA34770,5523,7538,10525,4659,6338,4875,6802,5563,894,52732
LGA34800,158,43,53,25,39,17,55,87,12,490
LGA34830,12,13,10,8,14,4,4,7,0,82
LGA34860,1452,794,841,541,762,454,587,823,93,6356
LGA34880,1374,1097,1136,1010,935,693,578,1321,146,8284
LGA35010,20505,31158,29278,23030,28947,19409,13599,20435,3131,189495
LGA35250,22,56,45,87,27,16,14,42,5,314
LGA35300,708,1439,2026,882,958,651,1437,836,170,9108
LGA35600,402,280,241,218,201,143,123,406,33,2046
LGA35670,5,20,32,22,10,3,35,22,4,153
LGA35740,2935,4148,3407,2792,2509,2503,956,2404,347,22007
LGA35760,1081,370,402,388,384,272,384,962,95,4334
LGA35780,89,112,96,161,101,57,57,109,18,804
LGA35790,30,85,49,155,55,16,22,73,15,487
LGA35800,247,82,72,70,71,31,43,92,16,720
LGA36070,33,31,22,49,14,13,13,30,5,212
LGA36150,115,41,51,43,47,18,51,78,15,452
LGA36250,8723,12036,11172,7656,11209,7051,4418,6871,1034,70168
LGA36300,116,42,45,26,40,21,39,88,16,434
LGA36370,3101,5517,5657,4249,4510,3404,3093,4335,464,34314
LGA36510,2564,2428,2725,1873,2058,1361,1299,2380,245,16926
LGA36580,1287,1022,1382,1036,1028,740,960,1650,158,9270
LGA36630,1797,1514,1610,1373,1155,1033,1053,1906,214,11656
LGA36660,2247,1730,1867,1501,1511,1309,1179,2510,241,14094
LGA36720,15113,24815,20976,15682,16740,14425,6546,13400,1946,129641
LGA36820,1513,1486,1324,1148,1084,899,727,1326,154,9654
LGA36910,8856,13270,10756,7914,9501,6435,4886,8661,910,71188
LGA36950,161,300,171,228,216,67,37,157,45,1379
LGA36960,72,207,113,170,128,64,14,159,46,974
LGA37010,8364,16269,13093,12719,11662,8349,6504,8261,1244,86449
LGA37300,150,300,542,176,195,93,517,162,25,2152
LGA37310,2815,1653,2322,1182,1615,1173,1460,1971,231,14418
LGA37340,2127,1761,2651,1719,1547,1436,1748,2460,240,15681
LGA37400,172,45,73,50,47,28,48,86,11,572
LGA37550,20,23,15,60,22,10,9,35,11,193
LGA37570,7,9,7,17,9,0,7,14,0,64
LGA37600,21,60,35,93,42,8,10,50,25,343
LGA39499,264,446,392,349,226,182,300,825,97,3087
LGA39799,13,8,9,0,7,7,0,6,4,60
LGA40070,1379,3517,674,1140,1094,718,151,471,133,9275
LGA40120,3151,5599,2527,2003,2380,1447,713,1456,244,19510
LGA40220,1489,1490,1607,1334,1181,904,653,1273,143,10077
LGA40250,72,173,19,134,28,18,8,52,15,512
LGA40310,1665,1742,1683,1124,1315,870,761,1879,138,11167
LGA40430,265,115,94,85,77,40,77,137,23,911
LGA40520,611,598,569,514,456,399,324,783,58,4311
LGA40700,3320,7955,1327,1814,2552,1709,297,861,283,20125
LGA40910,2629,5739,2871,2519,3474,2494,888,1973,368,22950
LGA41010,289,199,173,215,160,122,116,213,35,1531
LGA41060,6126,11279,6681,6036,7994,5239,2898,4687,785,51718
LGA41140,863,612,557,384,464,330,270,620,51,4148
LGA41190,288,76,111,61,72,44,60,120,18,846
LGA41330,89,84,71,123,72,55,55,70,23,643
LGA41560,609,645,752,633,531,575,388,733,87,4960
LGA41750,201,44,40,34,41,22,25,85,3,496
LGA41830,118,106,98,92,54,48,65,88,12,688
LGA41960,135,52,77,55,45,35,68,67,9,533
LGA42030,984,1468,1538,1314,1328,1021,775,1246,176,9847
LGA42110,469,154,216,136,145,97,143,293,40,1695
LGA42250,743,477,551,340,470,325,387,521,53,3867
LGA42600,2544,4691,1773,2115,2480,1607,451,1031,227,16922
LGA42750,546,251,263,251,191,197,90,351,29,2166
LGA43080,222,42,40,35,23,18,22,60,8,478
LGA43220,211,44,44,37,52,38,35,57,9,526
LGA43360,287,89,120,91,81,105,47,202,16,1050
LGA43650,1119,986,1124,847,913,634,561,1013,109,7309
LGA43710,556,332,383,255,289,174,169,325,51,2536
LGA43790,996,584,615,534,525,395,353,904,82,4989
LGA43920,575,341,703,430,499,344,512,628,85,4106
LGA44000,3,5,0,0,0,0,0,3,0,8
LGA44060,4319,9467,5787,5729,6283,4230,1784,3687,581,41862
LGA44210,634,273,509,336,291,258,303,623,53,3287
LGA44340,4215,10464,3108,3372,4068,2621,681,2026,362,30924
LGA44550,2141,3228,2465,2015,2135,1680,845,1673,212,16379
LGA44620,1105,1682,1684,1469,1353,1450,1132,1583,158,11612
LGA44830,391,170,131,124,122,47,95,153,23,1252
LGA45040,944,761,1128,1016,856,901,664,2055,156,8470
LGA45090,965,443,542,306,399,392,243,899,50,4236
LGA45120,540,278,270,171,167,145,159,237,20,1993
LGA45290,2318,6064,1505,1825,2223,1402,364,1022,244,16962
LGA45340,7439,11972,12529,10262,10896,8247,4398,8091,1073,74900
LGA45400,133,59,54,49,23,22,10,45,3,398
LGA45540,96,44,50,72,40,40,39,102,19,493
LGA45680,2890,3205,4948,4508,4041,3542,3686,5203,616,32648
LGA45890,5114,10796,7019,6659,7108,4737,3483,6445,911,52263
LGA46090,457,783,721,906,655,555,501,633,103,5306
LGA46300,683,964,936,735,719,735,350,907,98,6127
LGA46450,690,894,967,871,699,719,731,823,108,6507
LGA46510,1496,3253,1101,990,1501,933,377,797,140,10598
