SUA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
1010,0,0,0,7,4,821,16,9,0,0,0,3,3,0,35,888,243,3,0,0,0,0,0,0,0,20,264,57,0,0,0,0,0,0,0,0,9,62,14,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,8,79,16,0,0,0,0,0,0,0,0,11,20,330,6,0,0,0,0,0,0,0,40,373,4191,404,490,108,104,90,50,91,41,188,5751,981,277,699,97,183,180,217,162,91,102,2993,113,43,111,24,59,87,90,124,106,70,825,11,8,10,0,3,0,0,4,4,4,46,1104,324,815,126,245,270,312,291,206,174,3869,20,3,0,0,0,0,0,0,0,28,55,5314,728,1308,235,342,363,360,380,247,386,9671
1011,0,0,0,0,0,127,0,0,0,0,0,0,0,0,10,141,40,0,0,0,0,0,0,0,0,0,42,11,0,0,0,0,0,0,0,0,3,14,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,3,66,773,89,116,36,40,28,32,30,15,30,1176,229,132,596,103,95,114,93,94,75,38,1570,32,4,19,0,16,12,12,33,27,11,158,3,0,3,0,3,0,0,0,0,0,5,268,137,616,105,111,123,104,126,100,54,1733,0,0,0,0,0,0,0,0,0,0,7,1043,227,733,136,152,148,133,155,109,79,2917
1012,0,0,0,3,3,370,3,3,0,0,0,0,0,0,23,400,125,0,0,0,0,0,0,0,0,11,138,14,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,6,10,137,0,0,0,0,0,0,0,0,21,158,1343,81,53,10,14,8,3,12,3,79,1602,224,28,55,11,14,21,9,13,6,23,398,17,9,3,0,5,0,0,4,4,0,43,3,0,0,0,0,0,0,0,0,0,5,246,34,59,13,17,21,11,16,10,25,445,4,0,0,0,0,0,0,0,0,10,17,1588,118,103,26,35,26,10,21,16,112,2059
1013,0,0,0,0,3,154,0,4,0,0,0,0,0,0,15,174,39,0,0,0,0,0,0,0,0,9,50,13,0,0,0,0,0,0,0,0,4,17,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,18,80,841,57,107,15,16,17,22,26,3,52,1160,201,53,192,32,34,27,55,56,31,26,706,31,17,20,3,0,3,8,13,33,16,145,3,0,0,0,0,0,0,3,0,3,15,232,74,210,32,32,29,60,77,57,45,861,3,0,0,0,0,0,0,0,0,122,131,1079,130,317,53,48,50,83,99,59,221,2143
1014,0,0,0,0,0,99,0,0,0,0,0,0,0,0,5,103,38,0,0,0,0,0,0,0,0,4,36,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,7,47,548,29,39,14,20,4,8,6,0,33,703,90,26,71,8,19,9,20,8,6,6,271,6,0,16,0,0,0,0,3,0,0,26,3,0,0,0,0,0,0,0,0,0,3,97,31,86,11,19,11,20,13,8,7,303,5,0,0,0,0,0,0,0,0,26,32,652,64,126,21,38,16,27,22,10,65,1043
1015,0,0,0,3,3,315,7,0,0,0,0,0,0,0,35,363,21,0,0,0,0,0,0,0,0,5,30,76,0,0,0,0,0,0,0,0,15,92,72,0,0,0,0,0,0,0,0,16,94,0,0,0,0,0,0,0,0,0,0,0,151,0,3,0,0,0,0,0,0,37,185,0,0,0,0,0,0,0,0,0,0,0,171,0,3,0,0,0,0,0,0,39,216,499,118,100,42,29,20,31,35,23,59,966,791,270,499,85,122,140,117,110,53,98,2275,299,63,80,20,37,56,56,79,60,128,874,14,11,7,0,0,0,0,0,0,4,35,1100,338,588,110,157,192,171,186,120,228,3188,3,0,0,0,0,0,0,0,0,7,14,1604,460,693,152,193,210,199,222,137,293,4162
1016,0,0,0,3,3,89,0,0,0,0,0,0,0,0,6,100,25,0,0,0,0,0,0,0,0,10,29,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,3,32,0,0,0,0,0,0,0,0,14,44,471,21,19,9,6,0,3,5,5,31,575,82,21,27,7,9,16,11,13,17,9,196,9,0,4,0,0,0,3,9,4,3,35,0,0,0,0,0,0,0,0,0,0,0,85,17,32,8,9,17,17,20,19,16,237,6,0,0,0,0,0,0,0,0,41,49,564,37,52,15,13,15,21,19,28,89,856
1017,0,0,0,0,0,185,8,0,0,0,0,0,0,0,8,200,65,0,0,0,0,0,0,0,0,5,71,23,0,0,0,0,0,0,0,0,3,23,9,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,5,35,4,0,0,0,0,0,0,0,9,47,0,0,0,0,0,0,0,0,0,0,0,95,4,0,0,0,0,0,0,0,9,115,1197,115,113,25,12,20,16,19,6,39,1573,304,93,141,25,24,44,20,41,24,16,748,26,14,16,9,0,5,5,7,20,8,113,4,4,0,3,0,0,0,0,0,4,11,339,103,163,38,26,48,34,54,41,25,868,5,0,0,0,0,0,0,0,0,3,9,1539,224,275,63,41,69,49,66,48,73,2440
1018,0,0,0,3,3,143,0,0,0,0,0,0,0,0,4,147,41,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,3,50,634,35,44,5,13,0,3,13,3,21,767,144,41,52,8,8,3,14,18,3,16,301,18,7,13,6,0,0,3,5,0,4,57,3,0,0,0,0,0,0,0,4,0,12,166,50,61,11,10,3,14,22,12,16,368,5,0,0,0,0,0,0,0,0,130,134,802,84,109,18,23,3,19,28,9,174,1269
1019,0,0,0,4,6,415,4,6,0,0,0,0,4,0,31,458,121,0,0,0,0,0,0,0,0,34,154,26,0,0,0,0,0,0,0,0,3,29,5,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,3,5,27,0,0,0,0,0,0,0,0,7,40,6,0,0,0,0,0,0,0,0,3,9,155,0,0,0,0,0,0,0,0,42,200,1831,133,128,29,20,24,27,6,9,121,2322,372,61,109,33,29,22,26,18,8,29,698,26,4,9,3,0,11,5,4,12,5,77,3,0,3,0,0,0,0,0,0,4,16,400,68,115,37,29,29,34,17,16,36,786,4,0,0,0,0,0,0,0,0,7,14,2242,199,241,64,50,51,54,31,27,165,3122
1020,0,0,0,0,0,87,0,3,0,0,0,0,0,0,4,100,32,0,0,0,0,0,0,0,0,3,29,10,0,0,0,0,0,0,0,0,3,11,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,5,48,392,43,54,12,8,4,5,0,0,32,548,82,22,49,5,27,13,3,5,3,19,235,6,3,8,0,3,3,0,3,0,4,42,0,0,0,0,0,0,0,0,0,0,0,89,25,59,10,31,18,4,11,3,24,274,3,0,0,0,0,0,0,0,0,3,8,482,68,111,21,40,23,10,18,5,55,834
1021,0,0,0,3,3,33,0,0,0,0,0,0,0,0,7,38,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,320,42,78,27,16,22,9,13,0,17,534,71,38,108,16,31,23,24,16,9,9,345,13,3,0,0,0,0,0,3,3,3,31,0,0,0,0,0,0,0,0,0,0,3,78,39,115,19,35,26,26,21,13,19,387,0,0,0,0,0,0,0,0,0,92,97,398,82,193,44,48,49,26,26,22,125,1017
1022,0,0,0,4,5,520,4,7,0,3,0,0,3,3,18,571,116,3,0,0,0,0,0,0,0,8,129,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,133,3,0,0,0,0,0,0,0,13,143,2233,223,295,64,52,48,38,23,19,106,3092,472,56,115,14,15,16,30,25,5,27,768,26,9,14,0,0,5,0,3,4,16,75,14,0,0,0,0,0,0,0,0,0,13,504,59,133,16,15,20,33,22,11,46,862,7,0,0,0,0,0,0,0,0,7,14,2745,280,421,78,65,67,65,48,30,158,3963
1023,0,0,0,81,105,3576,34,24,9,4,8,11,3,3,242,3920,823,10,5,0,0,0,0,0,0,92,930,383,4,0,0,0,0,0,0,0,40,420,180,6,0,0,0,0,0,0,0,29,214,3,0,0,0,0,0,0,0,0,0,7,564,8,3,0,0,0,0,0,0,65,640,34,0,0,0,0,0,0,0,0,112,147,1416,15,10,0,0,0,0,4,0,275,1716,19473,2256,2495,589,610,418,434,453,252,934,27912,6267,1744,3162,652,895,849,946,972,598,485,16581,1090,154,270,63,104,146,260,273,282,259,2907,56,16,16,7,10,3,4,8,4,18,145,7416,1925,3451,723,1006,996,1214,1256,882,763,19629,85,4,4,0,0,0,3,0,0,385,481,26965,4183,5947,1310,1613,1416,1651,1715,1130,2085,48023
1024,0,0,0,5,8,503,6,3,0,0,0,0,0,0,15,535,124,0,0,0,0,0,0,0,0,19,141,19,0,0,0,0,0,0,0,0,5,22,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,5,29,3,0,0,0,0,0,0,0,0,0,3,151,0,0,0,0,0,0,0,0,21,172,2326,174,184,23,27,30,23,31,14,114,2940,443,98,158,24,42,56,64,42,17,40,984,45,9,22,9,13,8,14,15,14,5,146,4,0,0,0,0,0,0,0,0,0,7,494,103,178,32,51,65,75,57,30,49,1136,10,0,0,0,0,0,0,0,0,152,164,2825,282,358,59,80,94,95,89,42,310,4238
1025,0,0,0,0,0,249,0,3,0,3,0,0,0,0,16,280,75,0,0,0,0,0,0,0,0,10,83,31,0,0,0,0,0,0,0,0,8,36,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,45,0,0,0,0,0,0,0,0,6,55,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,16,137,1308,142,168,28,50,58,27,18,22,68,1897,400,179,399,105,159,83,61,58,33,37,1524,61,19,40,5,15,13,15,15,21,18,219,9,0,8,0,0,0,0,0,0,3,22,467,198,444,110,175,98,76,76,52,61,1757,9,0,0,0,0,0,0,0,0,0,8,1782,342,619,139,219,152,106,98,71,132,3665
