SUA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
3002,347,7,11,0,3,369,239,10,4,0,0,253,196,4,0,0,0,202,401,7,13,0,0,422,533,22,10,3,0,564,1648,36,30,0,5,1716,1581,18,31,0,3,1627,1133,7,18,0,0,1164,344,3,4,0,0,348,211,0,3,0,0,218,113,3,0,0,0,118,287,5,9,0,0,298,7021,121,133,7,14,7296
3003,609,28,50,0,3,694,280,19,43,0,0,337,266,25,35,0,0,321,532,67,91,3,6,698,722,99,178,4,7,1000,2373,248,282,4,5,2909,3237,119,237,3,12,3605,3860,76,134,0,6,4081,1356,6,48,0,3,1408,892,13,31,4,3,948,471,9,21,0,3,505,564,28,39,3,0,638,15153,732,1195,23,42,17145
3004,21,0,0,0,0,21,12,3,0,0,0,12,18,0,0,0,0,20,35,0,0,0,0,44,57,0,0,0,3,60,178,5,7,0,0,189,243,15,11,0,0,262,451,14,5,0,0,467,229,0,3,0,0,239,154,0,0,0,0,158,55,0,0,0,0,60,51,0,3,0,0,54,1503,43,28,5,8,1592
3005,172,0,0,0,0,174,71,3,9,0,0,86,71,0,0,0,0,69,117,7,4,0,0,122,217,4,5,0,0,230,620,21,16,0,0,661,949,14,17,4,0,987,1462,24,8,3,0,1500,819,8,9,3,3,838,531,0,7,0,0,543,223,0,0,0,0,227,198,3,0,0,0,196,5447,95,81,5,6,5629
3006,2483,551,357,9,0,3397,981,269,139,0,3,1390,749,251,125,0,3,1130,1412,470,271,15,8,2184,1991,657,381,9,11,3050,5945,2180,1252,15,16,9409,7900,2751,1305,14,29,11997,14951,2110,1210,24,31,18328,8279,632,381,9,22,9322,5873,394,324,13,9,6615,3339,206,215,0,16,3782,2586,436,287,4,7,3321,56491,10917,6258,119,160,73938
3007,101,3,0,3,0,107,99,3,0,0,0,104,59,0,0,0,0,59,130,0,0,0,0,128,209,5,0,0,0,218,552,6,3,3,0,558,479,3,0,0,0,482,305,4,0,0,0,310,75,3,0,3,0,82,42,0,0,0,0,42,22,0,0,0,0,26,66,0,0,0,0,71,2137,24,7,11,8,2181
3008,250,13,7,0,3,270,138,16,0,0,0,161,136,9,0,0,0,142,241,11,3,0,0,259,283,19,3,3,0,309,866,53,12,4,11,950,1091,32,5,0,0,1136,869,19,4,4,3,894,281,0,3,0,0,279,167,0,3,0,0,164,78,0,0,0,0,81,171,11,3,3,0,184,4566,185,45,24,23,4841
3009,35,0,0,0,0,40,28,3,0,0,0,31,28,0,0,0,0,30,59,4,0,0,0,61,101,3,0,0,0,108,251,3,3,0,0,256,216,0,0,0,3,219,158,0,0,0,0,160,39,0,0,0,0,39,18,0,0,0,0,17,14,0,0,0,0,14,42,0,0,0,0,42,980,16,6,4,4,1011
3010,353,9,5,0,0,372,124,8,0,0,0,135,114,11,4,3,0,125,229,16,4,0,0,260,372,29,16,0,0,419,1111,78,26,3,0,1223,1527,100,21,0,3,1648,2501,60,32,0,4,2592,1352,23,17,0,4,1398,844,15,9,3,0,871,345,4,10,3,0,363,359,11,3,0,0,373,9230,361,144,11,21,9772
3011,131,0,0,0,0,130,99,3,0,0,0,102,118,0,0,0,0,126,206,3,0,0,0,205,285,3,0,0,0,295,784,4,4,0,0,789,503,4,0,0,3,507,316,0,0,0,0,315,88,0,0,0,0,88,55,0,0,0,0,57,29,0,0,0,0,27,123,3,0,0,0,122,2727,19,12,3,8,2773
