SUA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
1010,2233,39,0,0,38,6,2280,75,257,15,0,281,0,350,0,22,51,0,68,0,72,0,0,0,3,3,0,6,81,285,65,3,354,0,429,3,3,0,0,3,11,15,2315,328,65,8,397,13,2731,2441,54,0,0,54,9,2497,77,226,12,0,237,0,314,3,23,39,0,61,0,64,0,0,0,3,4,0,3,79,244,53,4,302,0,386,4,0,0,0,0,3,9,2524,303,53,3,362,6,2891,1367,17,0,0,17,0,1384,35,103,7,0,113,0,148,0,14,20,0,29,0,29,0,0,0,0,0,0,0,35,113,27,0,143,0,177,0,0,0,0,0,3,3,1401,135,27,0,161,3,1565,876,15,0,0,15,3,896,30,58,3,0,60,0,83,0,8,22,0,30,0,30,0,0,0,0,0,0,0,30,61,22,0,82,0,114,0,0,0,0,0,3,3,904,76,22,0,102,6,1009,1122,8,0,0
1011,1509,21,0,0,21,3,1536,37,152,0,0,160,0,189,0,9,3,0,12,0,18,0,0,0,0,0,0,0,36,166,6,0,169,0,205,8,0,0,0,0,0,8,1548,187,6,0,193,3,1745,1443,12,0,0,12,0,1456,22,119,3,0,123,0,143,0,9,0,0,7,0,7,0,0,0,0,0,0,0,22,129,3,0,132,0,158,4,0,0,0,0,0,4,1473,137,3,0,140,0,1618,780,3,0,0,3,0,785,25,51,0,0,50,0,74,0,3,0,0,7,0,7,0,0,0,0,0,0,0,25,53,4,0,55,0,81,0,0,0,0,0,0,0,802,57,4,0,62,0,865,478,10,0,0,10,0,484,12,31,0,0,34,0,47,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,36,3,0,40,0,51,0,0,0,0,0,0,0,485,44,3,0,45,0,538,601,3,0,0
1012,453,8,0,0,8,3,462,10,20,0,0,20,0,33,0,0,3,0,3,0,3,0,0,0,0,0,0,0,10,20,3,0,21,0,35,0,0,0,0,0,0,0,466,26,3,0,26,3,498,436,3,0,0,3,4,448,11,14,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,15,0,25,0,0,0,0,0,0,3,444,18,0,0,22,6,476,292,0,0,0,0,0,294,3,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,0,8,0,0,0,0,0,0,0,298,7,0,0,7,0,308,199,0,0,0,0,0,205,0,3,0,0,3,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,5,0,0,0,0,0,0,0,206,3,0,0,3,0,210,284,4,0,0
1013,848,15,0,0,18,0,864,23,60,3,0,64,0,88,0,16,3,0,17,0,17,0,0,0,0,0,0,0,23,70,4,0,81,0,101,3,0,0,0,0,0,3,875,86,11,0,96,0,973,877,9,0,0,13,0,887,19,40,3,0,51,0,67,0,3,3,0,7,0,7,0,0,0,0,0,0,0,19,45,7,0,53,0,76,0,0,0,0,0,0,3,891,58,7,3,69,0,962,468,5,0,0,7,0,477,9,10,0,0,15,0,27,0,8,0,0,8,0,8,0,0,0,0,0,0,0,9,15,0,0,15,0,31,0,0,0,0,0,0,3,485,22,4,0,24,0,510,279,3,0,0,3,0,283,3,12,0,0,11,0,16,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,12,0,0,16,0,19,0,0,0,0,0,0,0,286,12,4,0,19,0,305,364,3,0,0
1014,659,5,0,0,5,0,662,14,17,3,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,3,0,15,0,31,5,0,0,0,0,3,7,676,26,3,0,23,3,700,675,14,0,0,14,0,690,14,23,0,0,24,0,41,0,3,0,0,3,0,3,0,0,0,0,0,0,0,14,21,0,0,26,0,45,3,0,0,0,0,0,3,695,38,0,0,37,3,739,392,3,0,0,3,0,395,3,13,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,13,0,11,0,0,0,0,0,0,0,397,11,0,0,11,0,408,236,3,0,0,3,0,242,0,6,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,5,0,0,0,0,0,0,0,236,12,0,0,12,0,248,332,3,0,0
1015,668,42,0,0,42,0,708,28,208,15,0,219,0,251,3,25,10,0,42,0,42,0,3,0,3,12,0,12,28,237,28,8,267,0,298,0,0,0,0,0,4,4,698,272,28,8,311,4,1009,615,45,3,0,48,0,664,31,173,9,0,179,0,213,0,23,24,0,44,0,44,0,3,0,3,10,0,10,31,197,35,3,232,0,268,0,0,0,0,0,0,0,645,243,39,3,280,0,925,334,27,0,0,27,0,358,26,108,12,0,120,0,144,0,12,6,3,26,0,26,0,0,0,3,3,0,3,26,117,18,3,143,0,171,0,0,0,0,0,0,3,361,146,18,3,171,3,530,212,15,0,0,15,0,228,10,55,5,0,66,0,74,0,10,14,0,21,0,21,0,0,0,0,0,0,4,8,70,16,0,85,0,101,0,0,0,0,0,0,0,224,85,16,0,107,0,330,274,12,0,0
1016,392,6,0,0,6,0,405,8,16,0,0,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,20,0,34,3,0,0,0,0,0,3,405,28,0,0,28,0,437,491,12,0,0,12,0,502,6,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,5,0,13,0,0,0,0,0,0,3,499,12,0,0,16,0,513,275,3,0,0,3,0,276,3,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,7,0,0,0,0,0,3,3,274,8,0,0,8,3,286,190,0,0,0,0,0,189,3,5,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,11,0,0,0,0,0,0,0,192,5,0,0,5,0,199,258,0,0,0
1017,894,20,3,0,22,0,920,30,71,3,0,68,0,103,0,3,5,0,5,0,12,0,0,0,0,0,0,0,32,70,10,0,80,0,111,5,0,0,0,0,3,8,933,90,14,0,100,3,1038,923,17,0,0,20,0,944,21,52,6,0,54,0,78,0,3,4,0,8,0,6,0,3,0,0,3,0,3,27,53,6,0,62,0,87,7,0,0,0,0,0,4,957,73,6,0,84,3,1041,559,9,0,0,4,0,564,17,21,0,0,21,0,38,0,0,3,0,3,0,3,0,0,0,0,0,0,0,24,21,3,0,21,0,47,0,0,0,0,0,0,0,578,29,4,0,32,3,610,348,3,0,0,3,0,351,9,3,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,13,0,16,0,0,0,0,0,0,0,361,8,3,0,15,0,374,420,6,0,0
1018,439,7,0,0,6,0,443,7,21,0,0,24,0,26,3,0,0,0,3,0,3,0,0,0,0,0,0,0,10,25,0,0,25,0,31,0,0,0,0,0,3,3,442,25,0,0,28,3,476,390,3,0,0,8,0,393,12,16,0,0,18,0,28,0,0,6,0,6,0,4,0,0,0,0,0,0,0,11,16,3,0,28,0,40,0,0,0,0,0,4,4,401,22,6,3,31,7,436,205,3,0,0,6,0,207,3,10,0,0,10,0,9,0,0,3,0,4,0,6,0,0,0,0,0,0,0,5,10,3,0,11,0,13,0,0,0,0,0,7,7,213,13,3,0,19,7,233,153,0,0,0,0,0,156,13,3,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,3,0,12,0,0,0,0,0,0,0,163,10,0,0,10,0,168,207,3,0,0
1019,817,25,0,0,25,0,847,31,27,5,0,33,0,66,0,7,9,0,13,0,10,3,0,0,0,0,0,3,35,36,11,0,48,0,80,3,0,0,0,0,5,3,853,59,11,0,70,5,927,837,12,0,0,12,0,851,24,39,0,0,37,0,64,0,3,0,0,3,0,3,0,0,0,0,0,0,0,26,43,0,0,42,0,69,0,0,0,0,0,4,9,867,53,0,0,50,7,924,514,3,0,0,3,0,514,11,23,0,0,23,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,0,0,23,0,32,0,0,0,0,0,0,0,523,25,0,0,25,0,554,379,3,0,0,3,0,381,8,13,0,0,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,11,0,20,0,0,0,0,0,4,4,383,12,0,0,12,3,401,450,4,0,0
1020,656,3,0,0,3,0,662,7,20,3,0,22,0,31,0,0,3,0,3,0,3,0,0,0,0,0,0,0,7,20,3,0,27,0,38,0,0,0,0,0,0,3,667,26,3,0,28,0,697,596,3,0,0,3,0,602,5,15,0,0,15,0,18,0,0,3,0,4,0,4,0,0,0,0,0,0,0,5,10,3,0,12,0,20,0,0,0,0,0,3,3,609,17,3,0,14,3,628,291,0,0,0,0,0,293,6,10,0,0,13,0,19,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,12,3,0,17,0,18,0,0,0,0,0,6,6,294,16,3,0,14,6,319,157,0,0,0,0,0,164,3,5,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,10,0,8,0,0,0,0,0,0,0,163,8,3,0,9,0,173,173,0,0,0
1021,576,3,0,0,3,0,574,19,37,0,0,37,0,50,0,3,0,0,3,0,3,0,0,0,0,0,0,0,19,37,0,0,37,0,57,0,0,0,0,0,6,6,592,45,0,0,45,6,639,543,4,0,0,4,0,548,16,38,0,0,38,0,51,0,3,0,0,3,0,3,0,0,0,0,0,0,0,20,42,0,0,42,0,57,0,0,0,0,0,3,3,563,46,0,0,46,3,612,303,0,0,0,0,0,304,3,17,0,0,17,0,22,0,4,0,0,4,0,4,0,0,0,0,0,0,0,3,22,0,0,22,0,21,0,0,0,0,0,0,0,305,20,0,0,20,0,324,182,3,0,0,3,0,183,3,8,0,0,8,0,9,0,6,0,0,6,0,6,0,0,0,0,0,0,0,3,12,0,0,12,0,13,0,0,0,0,0,0,0,188,16,0,0,16,0,199,191,0,0,0
1022,717,21,0,0,16,4,742,30,29,0,0,29,0,67,0,3,3,0,6,0,6,0,0,0,0,0,0,0,30,37,3,0,40,0,72,0,0,0,0,0,3,3,748,49,3,0,55,5,812,873,15,0,0,15,0,881,37,39,0,0,39,0,82,0,3,0,0,3,0,3,0,0,0,0,0,0,0,37,44,0,0,44,0,82,0,0,0,0,0,0,3,912,58,0,0,60,3,967,520,9,0,0,9,0,529,14,17,0,0,17,0,31,0,0,0,0,3,0,3,0,0,0,0,0,0,0,14,17,0,0,20,0,30,3,0,0,0,0,0,3,530,26,0,0,25,0,559,348,9,0,0,9,0,356,12,16,0,0,18,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,14,0,29,3,0,0,0,0,4,9,361,19,0,0,22,4,389,458,3,0,3
1023,18927,426,4,8,431,27,19386,572,1158,55,5,1216,3,1796,18,144,46,3,191,0,215,6,8,0,0,8,0,18,604,1310,105,11,1420,3,2029,21,0,0,0,0,26,41,19551,1737,102,15,1859,48,21455,18277,353,4,0,357,29,18663,531,1117,43,0,1157,0,1691,12,80,61,3,143,0,159,4,12,0,0,12,0,11,547,1202,105,3,1310,0,1858,22,0,0,0,0,23,48,18847,1558,105,8,1674,52,20570,10034,177,3,0,177,15,10232,258,473,18,0,495,0,749,10,38,22,0,66,0,72,0,13,3,0,13,0,12,266,521,45,3,568,0,834,20,0,0,0,0,13,36,10313,698,51,3,754,34,11095,6356,92,3,4,97,12,6463,162,255,15,0,275,0,432,3,16,25,0,42,0,45,0,4,0,0,4,0,3,165,280,42,0,317,0,486,6,0,0,0,0,5,13,6530,375,48,4,418,13,6964,8427,125,0,3
1024,1335,8,0,0,8,5,1350,47,79,0,0,79,0,121,0,8,3,0,10,0,10,0,0,0,0,0,0,0,47,78,3,0,81,0,126,3,3,0,0,3,3,5,1382,94,3,0,95,10,1489,1380,10,0,0,10,7,1397,40,55,0,0,56,0,87,0,9,3,0,12,0,15,0,0,0,0,0,0,0,35,62,3,0,65,0,104,0,0,0,0,0,0,4,1423,73,3,0,78,7,1498,750,11,0,0,11,4,765,18,21,0,0,25,0,39,0,7,4,0,5,0,10,0,0,0,0,0,0,0,17,28,6,0,29,0,49,0,0,0,0,0,0,0,770,39,6,0,43,4,816,460,5,0,0,5,3,469,15,13,3,0,11,0,24,0,0,4,0,4,0,4,0,0,0,0,0,0,0,15,13,4,0,13,0,30,0,0,0,0,0,0,0,469,13,4,0,22,4,499,583,4,0,0
1025,1776,34,0,3,39,0,1816,38,158,3,0,158,0,198,0,11,8,0,14,0,14,0,0,0,0,0,0,0,38,166,12,0,177,0,218,0,3,0,0,3,0,3,1816,198,13,4,215,0,2040,1736,17,0,0,18,0,1753,40,118,6,0,121,0,164,0,9,8,0,14,0,14,0,0,0,0,4,0,4,40,126,8,0,141,0,181,0,0,0,0,0,4,3,1779,143,11,3,161,4,1939,850,14,3,0,17,3,871,15,56,3,0,58,0,76,0,0,6,0,4,0,4,0,0,0,0,0,0,0,15,60,8,0,61,0,84,4,0,0,0,0,7,5,869,73,11,0,81,8,962,522,3,0,0,3,5,525,9,27,3,0,29,0,36,0,9,3,0,11,0,11,0,0,0,0,0,0,0,11,32,3,0,41,0,49,0,0,0,0,0,0,0,535,41,3,0,39,3,576,685,16,0,0
1026,439,7,0,0,7,0,449,5,28,0,0,28,0,32,0,3,0,0,3,0,3,3,0,0,0,0,0,3,4,34,0,0,34,0,34,0,0,0,0,0,0,0,447,43,0,0,43,0,489,496,9,0,0,9,0,504,6,23,0,0,23,0,28,0,3,4,0,4,0,4,0,0,0,0,0,0,0,6,23,4,0,24,0,38,0,0,0,0,0,0,0,501,32,4,0,38,0,534,248,0,0,0,0,0,255,0,7,0,0,7,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,12,0,0,12,0,10,0,0,0,0,0,0,0,251,13,0,0,13,0,267,153,3,0,0,3,0,152,3,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,8,0,0,0,0,0,0,0,157,6,0,0,6,0,163,222,3,0,0
1027,1486,31,0,0,31,3,1513,50,80,3,0,82,0,130,0,3,10,0,11,0,10,0,0,0,0,0,0,0,48,87,8,0,91,0,142,3,0,0,0,0,0,3,1534,117,7,0,121,3,1666,1663,34,0,0,34,0,1697,41,71,6,0,76,0,117,0,4,3,0,7,0,7,0,0,0,0,0,0,0,45,78,5,0,82,0,130,3,0,0,0,0,0,3,1708,112,5,0,121,0,1829,974,19,0,0,19,3,997,26,44,0,0,49,0,73,0,0,0,0,4,0,4,0,0,0,0,0,0,0,26,46,3,0,51,0,76,0,0,0,0,0,4,3,1005,71,3,0,73,9,1078,580,4,0,3,10,0,587,18,27,0,0,33,0,47,0,3,0,0,4,0,4,0,0,0,0,0,0,0,18,32,6,0,34,0,52,0,0,0,0,0,0,0,593,35,6,3,41,0,632,848,8,0,0
1028,778,6,0,0,9,0,789,18,31,0,0,33,3,53,3,3,0,0,6,0,10,0,0,0,0,0,0,0,21,36,3,0,42,3,61,0,0,0,0,0,5,5,801,44,3,0,43,8,853,743,10,0,0,13,3,756,16,30,3,0,36,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,3,0,31,0,54,0,0,0,0,0,5,5,757,40,3,0,41,9,811,394,8,0,0,8,0,404,10,18,0,0,17,0,25,0,3,0,0,3,0,3,0,0,0,0,0,0,0,10,20,0,0,19,0,25,0,0,0,0,0,0,0,406,25,0,0,28,3,431,300,3,0,0,3,0,302,9,6,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,6,0,18,0,0,0,0,0,0,0,309,12,0,0,12,0,315,365,0,0,0
1029,539,8,0,0,8,0,549,25,15,0,0,19,0,42,0,3,0,0,3,0,3,0,0,0,0,0,0,0,25,20,0,0,18,0,45,0,0,0,0,0,0,0,561,25,0,0,24,4,592,603,7,0,0,7,0,617,16,18,0,0,19,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,17,0,32,0,0,0,0,0,0,0,621,24,0,0,25,0,646,352,4,0,0,4,0,353,16,10,0,0,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,10,0,28,0,0,0,0,0,0,3,363,19,0,0,19,0,383,198,4,0,0,4,0,198,3,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,11,0,0,0,0,0,0,3,204,12,0,0,12,0,214,274,3,0,0
1030,106033,8628,112,78,8827,140,114997,13483,86069,4479,402,90951,52,104485,203,8559,5099,83,13743,18,13960,79,464,46,212,722,3,804,13768,95089,9629,697,105416,70,119256,170,153,14,7,174,270,616,119969,103874,9756,789,114415,483,234873,109081,7021,117,81,7215,149,116441,10996,75448,4302,391,80147,52,91193,252,7561,5533,64,13160,4,13422,76,365,51,195,604,10,696,11324,83376,9885,657,93911,65,105306,154,105,17,11,131,259,548,120566,90500,10017,742,101261,474,222295,60867,3442,48,37,3527,65,64461,5073,36768,2423,192,39389,23,44483,123,4069,3589,31,7690,8,7822,44,225,27,103,351,3,401,5244,41062,6041,325,47431,29,52702,78,45,8,3,63,123,259,66184,44550,6099,364,51017,221,117419,37855,1960,29,14,1999,42,39904,3016,22400,1651,121,24177,23,27208,83,2655,2668,24,5351,9,5438,24,125,29,63,215,0,243,3125,25178,4354,216,29740,27,32893,44,31,6,3,38,70,158,41026,27166,4385,226,31782,144,72948,49667,2398,33,29
1031,1624,25,0,0,25,0,1646,26,107,0,0,106,0,132,0,9,3,0,16,0,13,0,0,0,0,0,3,7,24,120,3,0,123,3,147,0,0,0,0,0,3,4,1651,141,3,0,142,6,1799,1543,22,0,0,22,3,1570,9,90,3,0,92,0,106,0,10,3,0,13,0,13,0,0,0,0,0,0,0,9,99,9,0,104,0,116,3,0,0,0,0,4,6,1559,120,9,0,124,7,1692,866,9,0,0,9,0,868,8,43,3,0,50,0,56,0,0,3,0,3,0,3,0,0,0,0,0,0,0,8,49,4,0,54,0,59,0,0,0,0,0,0,0,875,50,4,0,58,3,934,530,4,0,0,4,0,541,3,16,0,0,16,0,22,0,3,3,0,7,0,7,0,0,0,0,3,0,3,3,20,3,0,22,0,27,0,0,0,0,0,0,0,539,28,3,0,26,3,572,659,6,0,0
1032,802,12,0,0,17,7,827,8,33,0,0,33,0,46,0,4,3,0,3,0,5,0,0,0,0,0,0,0,8,40,3,0,40,0,53,0,0,0,0,0,5,7,815,48,3,0,58,14,884,812,7,0,0,7,6,826,23,41,0,0,43,0,64,0,3,0,0,4,0,3,0,0,0,3,3,0,3,25,41,0,3,43,0,68,0,0,0,0,0,3,3,833,48,0,3,53,8,897,521,5,0,0,5,3,531,12,20,0,0,20,0,34,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,22,0,0,23,0,32,0,0,0,0,0,0,3,536,26,0,0,30,4,565,327,10,0,0,10,0,335,8,4,0,0,4,0,12,0,0,0,0,4,0,4,0,0,0,0,0,0,0,8,8,0,0,10,0,14,3,0,0,0,0,3,5,334,15,0,0,17,3,353,457,7,0,0
1033,459,14,0,0,14,3,483,13,17,0,0,19,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,19,0,30,0,0,0,0,0,6,5,475,31,0,0,30,4,517,498,9,0,0,9,0,515,11,5,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,8,0,16,5,0,0,0,0,3,12,517,20,0,0,21,6,540,281,5,0,0,5,3,293,3,9,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,14,0,0,0,0,0,4,3,291,11,0,0,16,6,310,191,3,0,0,3,0,191,7,10,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,10,0,18,0,0,0,0,0,0,0,197,10,0,0,10,0,211,241,5,0,0
1034,2180,39,0,0,39,0,2215,43,257,4,0,266,0,310,0,27,30,0,60,0,60,0,3,0,0,3,0,5,43,291,41,0,330,0,375,0,0,0,0,0,0,0,2226,330,41,0,363,4,2592,2181,26,0,0,26,4,2210,32,264,12,0,277,0,306,0,14,23,0,44,0,45,0,0,0,0,0,0,3,37,283,36,0,317,0,355,4,0,0,0,0,0,8,2221,310,36,0,344,3,2569,1204,6,0,0,6,3,1216,11,120,8,0,132,0,142,0,4,17,0,16,0,16,0,0,0,0,0,0,0,11,127,19,0,149,0,159,5,3,0,0,3,0,7,1225,138,19,0,154,3,1380,855,7,0,0,7,0,862,5,64,0,0,64,0,69,0,9,7,0,16,0,16,0,0,0,0,0,0,0,5,70,7,0,75,0,83,3,0,0,0,0,0,4,863,75,7,0,85,3,951,1025,3,0,0
