SUA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
1010,88,152,165,253,540,704,385,973,29,3288,221,471,555,744,988,998,455,761,35,5234,91,248,228,370,922,829,378,595,57,3716,135,675,554,806,574,260,160,215,65,3449,136,399,492,624,1031,486,204,202,35,3622,109,858,435,449,486,273,168,211,29,3019,56,137,125,172,276,204,164,284,25,1448,100,852,521,518,549,425,159,272,75,3471,22,40,34,34,71,58,26,40,138,459,969,3831,3112,3970,5449,4242,2085,3551,495,27704
1011,52,57,59,96,293,358,255,618,12,1798,142,152,261,282,658,693,322,515,30,3053,60,88,87,130,601,565,346,470,34,2381,98,305,241,368,543,286,122,141,37,2155,67,175,219,314,729,407,150,145,11,2217,65,437,212,245,415,203,145,173,27,1919,33,52,52,49,201,208,119,257,15,990,39,352,221,228,397,323,98,171,37,1866,9,15,10,11,37,45,21,27,85,274,567,1640,1361,1729,3867,3095,1578,2527,291,16647
1012,24,19,31,45,101,136,83,190,5,651,50,96,123,159,164,209,93,147,9,1059,40,61,73,102,200,191,84,122,13,883,50,147,153,223,120,68,27,46,15,843,31,89,91,143,178,93,34,29,10,692,39,258,129,128,139,71,40,58,19,879,8,26,30,32,47,46,25,52,9,279,42,230,136,99,99,82,31,66,23,797,9,7,8,4,12,10,8,10,64,124,295,936,784,937,1056,900,426,726,156,6214
1013,26,26,41,62,186,196,135,285,8,968,73,83,150,194,315,286,114,204,9,1426,27,53,57,98,369,327,186,239,17,1366,90,160,231,278,399,221,70,104,23,1573,46,101,132,168,375,181,75,87,8,1170,46,257,178,160,164,103,58,72,16,1051,20,41,39,59,204,104,84,221,17,799,28,220,147,156,257,161,69,96,34,1175,12,15,7,7,34,27,7,19,50,168,371,958,969,1187,2306,1603,796,1326,186,9708
1014,15,27,28,44,98,109,72,179,8,581,43,70,107,136,214,199,103,128,9,1007,17,57,45,81,246,194,82,147,9,883,55,150,160,232,182,86,73,81,11,1021,33,89,115,127,295,124,54,46,3,891,27,206,105,123,116,67,43,42,13,752,21,26,36,38,95,69,47,121,5,455,28,218,93,108,138,93,56,60,13,812,11,7,6,5,13,15,3,8,29,106,246,851,692,903,1397,948,529,819,104,6499
1015,30,33,38,59,185,222,168,334,15,1075,53,53,110,122,242,281,144,199,8,1199,26,49,43,52,341,291,162,219,19,1190,25,119,127,169,174,69,61,51,20,801,38,107,139,146,279,158,60,56,10,986,34,242,127,117,141,90,69,54,18,896,12,36,39,39,143,109,75,98,10,559,35,181,160,200,486,355,96,84,38,1641,15,6,7,9,26,25,7,7,39,148,259,820,782,901,2020,1592,851,1107,173,8499
1016,5,19,24,27,66,47,57,122,8,379,27,46,58,76,136,120,35,82,9,595,13,38,41,56,160,123,60,89,16,588,48,104,120,190,119,65,39,37,20,742,17,59,72,99,154,49,34,21,6,516,22,142,91,97,87,29,21,26,15,524,17,27,44,34,92,38,41,63,10,364,29,146,95,107,142,70,28,36,16,670,3,6,6,9,14,7,0,7,45,93,186,578,553,685,964,552,330,474,148,4467
1017,22,43,52,82,182,202,127,283,7,992,67,198,217,347,494,411,164,280,19,2195,30,77,102,151,451,356,162,211,14,1558,55,290,243,390,295,117,66,96,29,1575,40,168,179,231,492,209,91,83,9,1512,49,383,189,204,219,114,90,86,13,1345,15,53,48,77,145,86,84,121,4,639,60,322,205,262,291,196,81,71,30,1529,7,12,6,9,20,22,8,7,69,160,353,1550,1236,1755,2589,1719,870,1234,196,11502
1018,13,19,16,18,57,79,45,109,3,352,27,58,60,62,127,106,47,85,3,568,20,38,36,58,202,206,108,109,13,795,26,108,100,129,99,45,23,30,13,577,35,71,96,99,179,74,27,35,6,621,31,114,55,58,80,32,14,31,8,415,24,16,21,31,115,149,88,90,6,536,25,143,91,71,75,91,31,36,15,569,5,8,5,5,8,16,4,10,28,87,195,569,482,540,942,800,383,537,80,4523
1019,18,33,49,59,146,193,104,276,8,876,70,164,205,195,323,380,131,214,15,1694,35,93,106,124,364,418,175,271,27,1614,46,169,175,211,179,114,56,53,18,1026,42,170,194,197,299,191,63,65,12,1226,35,216,138,128,124,87,38,64,13,837,28,50,60,66,142,128,88,154,14,727,58,222,158,139,189,148,59,89,30,1091,8,12,10,4,33,19,8,14,54,161,341,1127,1080,1128,1794,1680,721,1191,192,9259
