SUA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
1011,16,122,0,22,19,0,0,0,0,182,3,49,0,3,9,3,0,0,0,64,137,1116,19,151,122,47,3,44,9,1651,0,4,0,4,3,3,0,0,0,16,44,100,4,79,71,17,3,10,3,333,79,107,19,240,152,36,4,25,16,671,118,98,174,450,471,168,8,91,14,1597,11,5,10,33,64,49,0,27,3,217,24,8,4,59,105,35,3,11,4,242,4,15,0,11,25,13,0,3,0,73,11,33,0,33,33,27,0,26,14,167,493,1862,237,1107,1086,405,26,248,65,5533,0,12,0,0,0,0,0,0,0,20,3,48,0,0,0,0,0,0,0,60,89,258,10,35,43,32,3,43,6,513,0,15,0,0,3,0,0,0,0,25,30,183,3,27,24,0,0,0,0,271,13,62,0,5,7,3,0,0,0,97,295,1611,86,222,167,88,24,114,13,2609,0,4,0,9,0,3,0,0,0,22
1012,4,39,0,11,7,0,0,0,0,66,0,16,0,0,0,0,0,0,0,16,36,325,3,36,31,17,0,3,9,454,0,0,0,0,0,0,0,0,0,0,13,52,3,35,44,16,0,3,0,174,22,42,11,84,40,21,3,9,3,236,35,66,73,205,145,99,6,44,3,669,9,13,9,13,22,21,0,12,0,94,13,11,6,44,35,23,0,12,0,137,0,4,0,4,12,3,0,3,0,34,5,16,0,18,17,29,3,13,4,103,145,632,111,453,356,226,9,92,22,2060,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,18,81,0,0,6,0,3,0,0,116,0,5,0,0,0,0,0,0,0,5,10,59,3,14,7,0,0,0,0,93,3,17,0,3,0,0,0,0,0,21,75,508,26,51,41,27,3,8,8,750,0,0,0,0,0,0,0,0,0,4
1013,4,57,0,6,3,0,0,0,0,79,4,17,0,3,0,0,0,0,0,24,43,420,13,67,55,16,0,10,3,637,0,0,0,0,3,0,0,0,0,6,35,83,8,50,42,6,3,3,3,225,52,72,18,142,97,38,0,16,3,436,71,60,91,320,213,86,11,53,11,921,0,0,3,28,32,20,3,11,0,108,14,13,4,36,63,15,0,12,3,164,3,4,0,3,11,4,0,0,0,23,5,20,5,28,27,11,4,17,3,126,257,863,155,699,553,211,19,124,34,2908,3,4,0,0,0,0,0,0,0,10,0,29,0,0,0,0,0,0,3,40,44,145,6,17,11,8,0,3,3,244,0,4,0,0,3,0,0,0,0,8,13,83,0,15,6,3,0,0,3,116,10,25,0,13,3,0,0,0,0,49,105,624,47,116,82,40,10,29,6,1060,3,0,3,4,3,0,0,0,0,11
1014,6,37,0,4,0,0,0,0,0,49,0,16,0,0,3,0,0,0,0,16,31,309,5,37,50,17,0,7,0,459,0,3,0,0,0,0,0,0,0,5,11,54,3,33,20,3,0,0,0,130,26,27,8,95,52,21,0,10,0,234,36,70,69,264,201,71,3,41,4,767,3,3,0,18,22,17,0,10,0,80,10,15,3,26,31,22,0,17,3,126,0,0,0,4,10,3,0,3,0,23,3,13,4,14,18,18,0,9,4,88,141,590,95,487,418,183,12,96,18,2036,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,18,20,70,3,4,9,0,0,0,3,111,0,0,0,0,0,0,0,0,0,0,10,47,0,6,3,0,0,0,0,71,8,17,0,0,5,0,0,0,0,26,68,497,16,54,75,20,7,16,5,756,0,3,0,0,0,0,0,0,0,5
1015,7,47,0,9,3,0,0,4,0,74,3,10,0,0,0,0,0,0,0,17,49,415,17,35,58,10,0,43,7,632,0,0,0,3,0,0,0,0,0,3,18,38,5,31,31,14,0,7,7,156,34,53,4,99,62,16,0,28,0,286,45,44,88,185,188,70,3,53,3,681,0,3,0,13,27,10,0,16,0,80,9,3,3,32,42,21,3,11,0,128,0,7,0,3,6,3,0,12,0,38,4,13,0,18,27,11,3,35,12,128,175,696,127,441,449,169,16,222,30,2320,0,4,0,0,0,0,0,0,0,4,4,15,0,0,0,0,3,0,0,22,41,85,10,6,6,3,5,20,3,171,0,5,0,0,0,0,0,0,0,7,13,66,0,15,3,0,0,6,0,100,4,13,0,0,0,0,0,0,0,20,134,633,39,56,66,12,13,96,16,1073,0,0,0,3,0,0,3,0,0,6
1016,3,21,0,4,0,0,0,0,0,24,0,7,0,0,0,0,0,0,0,18,24,192,4,26,24,4,0,8,0,277,0,0,0,0,0,0,0,0,0,3,14,28,3,21,13,3,0,0,0,84,7,43,4,55,37,13,0,5,4,170,38,44,35,208,123,42,12,34,6,537,5,5,3,14,24,16,3,6,0,70,3,3,3,35,24,17,0,4,0,101,0,3,0,0,3,0,0,0,0,11,0,5,9,12,16,10,0,5,5,69,100,389,69,385,269,102,17,67,13,1409,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,39,0,0,4,0,0,0,0,59,0,7,0,0,3,0,0,0,0,4,3,31,0,4,0,0,0,0,0,44,3,13,0,0,0,0,0,0,0,15,50,270,10,38,29,8,9,13,0,416,0,0,0,0,0,0,0,0,0,4
1017,11,99,3,21,13,0,0,0,0,150,3,23,3,0,0,0,0,0,0,36,77,769,23,141,145,32,4,33,10,1230,0,0,0,0,0,0,0,0,0,4,17,78,8,60,46,18,3,8,3,238,38,64,23,149,100,24,0,14,0,413,54,76,109,357,298,128,12,85,12,1125,3,6,5,30,38,32,6,21,3,160,9,10,3,41,77,31,5,22,3,205,3,7,4,3,18,6,0,5,0,52,3,16,7,14,30,17,3,15,10,101,245,1295,200,833,787,300,30,203,40,3930,0,12,0,0,0,0,0,0,0,10,9,80,3,4,0,0,0,0,0,93,31,196,6,21,11,3,0,9,3,279,0,10,0,3,0,0,0,0,0,7,17,144,4,20,15,3,0,0,0,212,8,40,4,3,3,0,0,3,0,57,178,1174,83,209,188,66,10,56,11,1977,0,0,0,0,0,0,0,0,0,3
1018,5,35,0,4,4,0,0,0,0,42,0,5,0,0,0,0,0,0,0,5,20,177,3,19,39,10,3,6,6,284,0,0,0,0,0,0,0,0,0,0,7,33,0,21,18,9,4,5,3,101,12,20,6,45,42,6,0,3,0,148,19,28,52,137,116,39,3,34,5,442,4,4,4,14,16,6,0,6,0,60,0,6,6,15,23,5,0,5,0,64,0,3,0,0,7,3,0,4,0,22,6,10,3,9,13,6,0,7,3,52,80,351,86,270,281,90,12,77,18,1262,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,16,49,0,4,3,3,0,5,0,81,0,0,0,0,0,0,0,0,0,0,7,38,5,4,4,3,0,0,0,61,0,6,0,0,3,0,0,0,0,13,35,268,23,30,54,15,5,7,3,433,0,0,0,0,0,0,0,0,0,3
1019,12,52,5,11,9,3,0,0,0,85,4,28,0,0,0,0,0,0,0,35,55,502,16,50,87,14,0,8,8,745,0,0,0,3,0,5,0,3,0,15,21,83,14,40,60,16,6,0,8,247,37,74,13,120,112,29,4,17,3,406,57,67,113,268,217,86,19,61,6,895,4,3,6,15,27,15,3,14,0,94,19,14,4,40,60,20,3,11,0,173,5,9,0,8,18,9,0,3,0,45,0,11,6,15,26,16,4,8,7,98,230,991,186,577,638,215,37,139,35,3044,0,3,0,0,0,0,0,0,0,4,10,54,0,0,0,0,0,0,0,68,50,209,14,3,22,7,0,5,5,309,0,7,0,0,3,0,0,0,0,8,21,73,5,11,11,3,0,3,0,123,14,35,3,0,0,0,0,3,0,54,126,777,48,88,106,37,0,35,11,1228,0,0,3,3,0,5,0,3,0,18
1020,0,31,3,7,3,0,0,0,0,53,0,0,0,0,0,0,0,0,0,3,45,284,6,29,27,16,0,11,3,420,0,0,0,4,0,0,0,0,0,5,19,28,4,26,18,4,4,4,0,113,13,20,12,50,42,20,3,8,0,169,39,34,66,130,100,56,12,31,4,464,3,3,0,14,24,11,0,3,0,60,8,3,0,22,24,4,0,0,0,71,0,0,0,3,5,4,0,3,0,21,13,6,3,8,16,17,0,3,7,70,152,474,102,295,273,129,25,61,11,1518,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,17,62,0,4,4,0,0,3,0,97,0,0,0,0,0,0,0,0,0,0,3,48,3,6,9,0,0,0,0,74,6,4,0,0,3,0,3,0,0,16,92,422,35,42,41,24,12,9,3,685,0,0,0,4,0,0,0,0,0,5
1021,3,24,0,4,0,0,0,0,0,30,0,3,0,0,0,0,0,0,0,6,21,192,8,24,22,5,4,9,3,288,0,0,0,0,0,0,0,0,0,3,5,27,4,22,13,7,0,0,0,87,12,19,6,42,31,16,3,4,0,134,29,29,49,111,125,47,38,27,0,465,3,0,6,7,15,10,0,7,0,56,5,6,3,9,25,6,3,6,0,60,0,3,0,3,6,0,0,4,0,15,3,0,3,8,9,10,0,8,0,44,88,340,85,247,256,100,50,70,4,1240,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,15,58,8,3,5,3,0,3,0,97,0,0,0,0,0,0,0,0,0,0,9,30,0,4,0,0,3,0,0,45,0,8,0,0,0,0,0,0,0,7,37,290,28,36,30,12,13,10,3,457,0,0,0,0,0,0,0,0,0,3
1022,7,48,0,12,13,0,0,0,0,79,6,13,0,0,9,0,0,0,0,33,95,461,17,85,97,43,0,20,0,818,0,0,0,0,5,0,0,0,0,4,33,99,9,76,67,18,0,10,3,311,45,59,18,113,104,39,3,15,7,399,78,72,119,296,230,129,6,58,9,997,16,5,3,24,27,17,3,9,0,107,13,20,5,26,36,28,0,10,0,146,3,5,0,7,10,3,0,3,0,29,10,19,5,24,24,17,0,17,3,116,337,914,188,663,629,296,20,145,30,3224,0,9,0,0,0,0,0,0,0,9,14,39,0,0,6,0,0,0,0,54,75,160,9,10,19,4,3,10,7,299,0,12,0,0,0,0,0,0,0,8,21,71,7,13,10,0,0,0,0,126,8,15,0,3,4,0,0,0,0,42,203,741,65,120,128,58,13,38,7,1375,0,3,0,0,5,0,0,0,0,9
1023,169,1248,14,195,175,28,3,9,14,1857,86,474,4,33,81,5,0,3,3,691,1696,13597,358,1598,2229,687,50,228,143,20585,6,14,4,54,29,12,4,3,3,123,537,1541,160,875,1163,280,17,107,42,4715,709,1323,403,2370,2039,591,46,215,56,7755,1048,1318,2261,4894,4898,1771,288,966,165,17600,142,98,77,332,699,415,51,218,5,2035,188,208,131,605,1158,347,54,218,23,2939,55,184,40,134,278,64,17,50,12,831,109,293,68,373,387,216,28,207,147,1833,5377,23893,3590,11653,13476,4495,560,2259,658,65955,30,148,3,7,7,0,0,3,0,208,163,1770,24,24,43,10,3,3,17,2047,1446,4481,169,230,495,140,39,85,49,7133,66,225,3,10,23,5,3,0,3,341,345,1846,62,240,217,37,16,28,21,2815,179,648,20,61,104,17,6,9,7,1042,4094,22113,1220,2357,2996,1116,309,550,276,35037,7,29,18,60,30,18,4,9,4,183
1024,17,104,5,27,14,3,0,0,0,170,5,24,3,3,4,0,0,0,0,42,91,622,13,93,93,38,0,27,10,989,0,0,0,3,0,0,0,0,0,4,40,98,8,86,70,8,0,14,0,326,58,81,24,201,132,39,8,23,5,551,86,124,158,464,343,149,11,89,10,1439,15,8,3,41,49,30,0,19,0,160,9,15,19,75,75,34,0,16,0,239,3,10,3,14,17,7,0,4,0,57,18,17,7,49,37,45,0,26,19,213,380,1245,243,1056,841,357,27,208,50,4400,0,6,0,0,3,0,0,0,0,13,3,24,0,0,0,0,0,0,0,31,55,220,11,23,13,3,3,3,3,340,0,19,0,0,0,0,0,0,0,19,20,150,9,22,14,3,3,0,0,234,10,33,3,3,7,0,0,0,0,57,189,974,72,158,116,53,9,59,12,1640,0,4,0,3,0,0,0,0,0,7
1025,31,118,3,27,16,3,0,0,0,199,8,49,0,3,10,0,0,0,3,68,169,1256,40,137,171,40,3,20,13,1848,0,0,0,4,3,0,0,0,0,8,48,144,15,86,109,27,0,6,3,441,58,101,20,223,181,40,5,22,0,643,103,109,168,436,417,167,21,88,17,1530,6,3,5,20,54,43,3,18,0,160,12,16,19,54,114,31,3,22,0,272,3,24,0,10,21,7,3,5,0,74,7,23,10,42,32,27,3,36,12,187,500,2130,282,1054,1160,388,45,222,49,5836,0,11,0,0,0,0,0,0,0,15,17,96,8,3,3,0,0,3,0,132,93,411,12,21,39,15,8,11,11,615,6,18,0,0,0,0,0,0,0,31,45,171,3,29,18,4,5,0,0,285,18,70,0,5,11,0,0,0,3,108,347,1930,112,199,227,87,28,58,22,3005,0,7,0,5,3,0,0,0,0,14
1026,3,25,0,3,3,0,0,0,0,39,0,6,0,0,0,0,0,0,0,8,27,227,7,17,24,5,0,8,4,319,0,0,0,0,0,0,0,0,0,3,14,26,0,17,14,3,0,0,0,83,14,21,9,40,41,3,4,3,0,136,30,41,50,140,108,39,12,20,7,458,7,3,3,13,23,11,0,4,0,65,3,7,0,19,26,9,0,7,3,76,3,4,0,3,4,0,0,0,0,14,4,12,3,15,17,16,0,5,8,75,120,401,76,275,270,94,15,53,21,1323,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,21,39,7,0,4,0,0,0,0,78,4,0,0,0,3,0,0,0,0,7,4,40,0,3,3,3,0,0,0,49,8,11,3,0,0,0,0,0,0,25,67,337,25,35,39,11,3,4,7,518,0,0,0,0,0,0,0,0,0,3
1027,11,129,3,26,16,6,0,0,0,189,8,44,0,0,7,0,0,0,0,59,134,1156,31,126,157,41,0,18,15,1678,3,0,0,6,0,0,0,0,0,10,68,168,14,102,147,32,0,10,3,541,88,128,33,250,213,77,4,27,13,817,115,134,203,456,478,183,10,95,5,1679,7,7,9,37,67,47,3,19,0,196,35,24,15,80,116,53,0,17,0,339,8,9,4,10,35,9,0,3,0,77,11,24,8,38,34,35,3,29,12,188,516,2103,318,1138,1280,481,20,223,49,6135,0,14,0,0,0,0,0,0,0,21,12,91,0,0,4,0,0,0,0,105,113,383,13,23,27,6,0,3,4,575,0,20,0,0,0,0,0,0,0,20,26,193,10,25,15,6,3,0,3,289,14,61,3,8,7,0,0,0,0,98,317,1981,78,189,221,75,20,36,21,2939,3,4,0,3,0,0,0,0,0,13
1028,3,37,0,5,3,0,0,0,0,60,3,8,0,0,5,0,0,0,0,13,40,285,7,37,44,12,0,6,5,443,0,0,0,0,0,0,0,0,0,9,10,48,3,17,34,7,3,3,0,120,12,29,10,69,48,18,8,10,0,203,43,37,66,199,194,82,43,48,5,710,9,0,0,28,35,16,13,4,0,100,11,5,3,19,36,15,6,5,4,102,0,5,0,0,9,6,3,3,0,28,10,8,3,16,12,5,3,11,3,66,156,517,91,387,427,166,86,90,19,1945,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,12,46,90,3,0,4,4,4,4,0,150,0,4,0,0,0,0,0,0,0,4,9,52,0,6,6,0,5,0,0,79,7,17,0,0,4,0,0,0,0,27,121,455,44,49,59,14,13,11,4,776,0,3,0,0,0,0,0,0,0,9
1029,7,32,0,13,9,0,0,0,0,59,5,16,0,3,3,0,0,0,0,27,49,280,4,44,50,18,0,0,6,450,0,0,0,0,0,0,0,0,0,0,21,52,3,35,27,11,0,3,0,156,27,43,3,103,49,16,0,5,4,253,45,63,82,196,140,55,0,44,8,636,3,3,7,24,26,19,0,3,0,81,11,12,4,40,26,13,0,5,0,113,0,0,3,3,8,3,0,3,0,22,4,13,4,9,9,8,4,5,5,65,190,593,115,463,346,152,8,73,30,1966,0,0,0,0,0,0,0,0,0,3,8,17,0,3,0,0,0,0,0,28,34,104,8,9,0,0,0,0,0,162,0,5,0,0,0,0,0,0,0,12,12,53,0,13,6,0,0,0,0,85,5,24,0,3,3,0,0,0,0,32,100,427,21,51,55,21,3,9,14,700,0,0,0,0,0,0,0,0,0,3
1030,2906,13210,255,1998,2531,495,35,163,185,21782,973,3422,58,231,607,105,3,25,41,5470,38255,149165,6838,23364,44349,16717,1342,6134,3559,289723,132,188,41,338,247,119,19,51,30,1169,7121,14135,2004,7947,14293,4456,479,1642,661,52746,8931,11886,3632,17937,20434,7103,604,2328,982,73833,7022,7392,10884,22875,24648,8961,1555,4027,1270,88630,994,823,501,1771,4819,1887,292,900,139,12129,2371,2195,991,4713,10167,3023,429,1352,357,25594,1180,2772,488,1314,3731,1134,164,664,256,11708,1296,2984,686,2620,4180,1874,333,1438,1967,17383,88218,274112,28048,89944,143846,50118,5555,19899,10774,710507,620,2015,49,80,296,79,20,23,32,3213,3149,20787,364,324,776,183,100,107,224,26020,39494,106195,5732,7186,21385,8491,2715,3338,2707,197240,1359,3793,154,254,708,271,103,116,120,6886,5980,20838,836,2555,3556,879,311,409,332,35693,1959,4891,222,418,948,204,62,69,103,8882,92487,276384,24246,35805,65972,31124,10274,16139,7785,560205,261,317,217,431,311,202,92,134,57,2013
1031,12,124,0,20,8,3,0,0,0,178,11,52,0,0,3,0,0,0,0,67,120,1088,23,97,128,38,0,46,9,1538,0,6,0,4,3,3,0,0,0,17,40,151,7,72,79,22,3,9,3,388,68,121,18,235,155,55,0,24,6,685,100,131,193,469,409,184,27,110,12,1632,14,6,3,34,79,48,9,33,0,223,19,19,15,77,106,37,7,29,0,307,7,10,7,13,18,10,0,21,0,85,16,31,3,44,49,29,0,40,18,233,435,1933,272,1076,1052,429,48,318,52,5624,0,11,0,0,0,0,0,0,0,11,3,69,0,0,0,0,0,0,0,75,69,281,8,10,15,11,0,13,0,416,0,11,0,0,0,0,0,0,0,17,26,192,10,22,12,0,3,0,0,267,13,65,3,0,7,0,0,3,0,88,263,1635,62,157,157,60,14,102,16,2468,0,6,0,3,3,3,0,0,0,24
1032,5,42,0,12,7,4,0,0,0,75,0,18,0,0,0,0,0,0,0,23,38,383,9,30,26,12,0,9,3,510,0,3,0,6,0,0,0,0,0,6,19,71,5,45,35,14,0,9,3,196,28,68,11,149,69,27,8,11,4,370,67,80,106,309,188,121,6,64,9,954,11,3,12,15,29,33,4,15,0,120,13,11,12,48,47,24,0,13,3,169,3,6,0,10,8,4,0,3,0,42,7,13,5,30,21,24,0,17,7,126,209,765,152,650,436,271,22,143,30,2676,0,6,0,0,0,0,0,0,0,4,0,21,0,0,0,0,0,0,0,23,18,81,0,8,6,3,0,0,0,123,3,7,0,0,0,0,0,0,0,8,9,63,0,12,8,4,0,0,0,93,6,26,0,0,4,0,0,0,0,39,74,604,13,47,46,21,0,14,3,828,0,3,0,6,0,0,0,0,0,13
1033,9,52,0,10,8,0,0,0,0,78,0,11,0,0,0,0,0,0,0,8,39,232,11,40,39,18,0,5,3,382,4,0,0,3,0,0,0,0,0,4,15,52,0,35,33,11,0,3,3,154,22,28,10,56,47,21,0,9,3,195,34,33,51,150,107,54,3,30,3,464,13,4,3,11,28,17,0,6,0,76,11,9,4,26,26,15,3,6,0,105,3,6,0,3,7,3,0,0,0,22,7,11,3,22,15,10,0,3,9,83,160,495,78,354,320,150,6,76,16,1654,0,0,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,0,12,20,90,5,6,3,0,0,0,0,123,0,0,0,0,0,0,0,0,0,5,12,81,0,15,5,0,0,0,0,114,0,12,0,0,0,0,0,0,0,12,73,399,20,63,47,23,4,20,4,641,4,0,0,3,0,0,0,0,0,4
1034,28,176,4,24,24,3,0,0,0,259,15,72,0,0,14,0,0,0,0,103,228,1777,67,196,255,73,0,51,11,2666,0,0,0,3,3,3,0,0,0,15,60,156,18,118,102,24,3,14,7,499,108,166,26,317,214,50,3,31,9,927,154,141,266,667,673,258,33,118,19,2336,15,10,5,48,93,51,8,38,3,271,26,25,13,93,155,46,6,24,0,391,4,22,7,8,32,14,0,8,0,101,23,37,8,46,49,30,3,31,12,235,729,2988,435,1540,1648,550,58,312,68,8332,3,20,0,0,0,0,0,0,0,22,30,252,9,3,3,3,0,0,0,311,127,473,22,34,43,7,4,17,5,731,6,23,3,0,0,0,0,0,0,30,60,271,5,35,26,3,3,0,0,405,30,98,3,4,15,0,0,0,0,153,514,2644,208,306,337,144,24,121,31,4328,4,7,3,8,3,3,0,0,0,28
