SUA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
3005,11,52,422,5647,5821,748,124,207,13032,0,54,186,150,11,3,0,7,421,3,17,204,293,20,0,0,11,555,3,78,395,447,36,0,0,20,971,8,117,547,166,9,0,0,45,883,10,22,70,27,0,0,0,3,130,3,5,188,26,0,0,0,4,231,0,0,0,0,0,0,0,0,0,14,143,804,222,10,0,0,53,1249,15,57,30,12,3,0,0,11,128,0,3,7,7,6,0,0,0,28,38,339,1655,6329,5875,755,126,287,15404
3006,143,836,7184,48745,58007,11402,2478,2533,131332,81,721,8386,8743,423,41,25,735,19153,43,740,6404,18012,2081,168,48,620,28116,126,1459,14788,26755,2501,209,77,1350,47267,200,1813,5349,1704,206,37,26,423,9749,62,2492,9549,1851,68,10,16,541,14590,239,4126,10379,3353,196,17,19,537,18869,3,24,13,4,0,0,0,3,50,500,8453,25294,6911,469,59,55,1509,43257,240,1051,831,185,55,14,9,164,2545,20,155,317,223,115,23,12,289,1151,1021,11955,48423,82822,61145,11704,2640,5844,225556
3007,7,66,656,3516,2216,317,62,169,7007,0,20,248,67,8,0,0,16,359,3,33,98,51,4,0,0,15,205,7,53,341,122,6,0,0,29,558,4,140,104,15,0,0,0,11,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,148,104,15,0,0,0,11,283,8,23,11,16,6,3,0,10,74,0,7,5,4,7,0,0,5,32,30,294,1120,3669,2240,320,65,226,7965
3008,16,113,1574,7174,6259,747,163,348,16397,16,101,746,452,28,4,0,50,1393,18,155,392,427,22,0,0,31,1048,28,257,1136,877,57,4,0,82,2442,3,42,252,88,7,0,0,29,427,0,19,113,32,0,0,0,0,168,0,16,126,65,0,0,0,10,211,0,0,0,0,0,0,0,0,0,0,75,490,185,7,0,0,40,806,71,221,88,42,10,3,0,40,476,3,16,42,47,16,3,4,71,200,123,681,3335,8327,6347,753,171,583,20325
3009,3,29,265,1537,1279,137,31,75,3353,0,9,142,34,9,0,0,8,206,0,0,5,0,0,0,0,0,5,0,9,151,34,9,0,0,8,211,0,46,180,30,4,0,0,10,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,49,180,30,4,0,0,13,273,11,12,3,7,3,0,0,3,37,0,0,0,4,5,0,0,0,16,12,98,600,1606,1299,139,28,107,3896
3010,21,150,1568,10526,8815,1170,171,425,22850,12,294,1209,564,60,3,4,96,2240,9,169,437,354,48,11,0,39,1060,21,465,1644,917,111,11,3,127,3304,14,216,694,285,18,0,0,65,1299,0,3,26,14,6,0,0,7,46,0,48,62,163,17,3,0,8,292,0,0,0,3,0,0,0,0,3,11,263,782,464,35,3,3,71,1636,38,114,43,24,7,0,0,49,283,10,30,27,40,19,0,5,50,188,100,1029,4066,11966,8985,1193,183,732,28255
3011,10,95,1431,4643,2086,382,73,221,8936,5,173,283,59,0,0,0,31,553,0,37,59,21,0,0,0,7,123,5,205,342,78,3,0,0,42,678,0,51,224,39,3,0,0,29,344,0,8,0,0,0,0,0,0,4,0,3,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,63,224,45,3,0,0,28,358,24,64,26,10,4,0,0,13,158,0,7,4,9,10,0,0,9,39,47,434,2028,4782,2108,383,73,308,10166
3012,7,47,323,2713,1172,186,41,116,4610,8,188,402,142,15,6,0,25,786,0,16,64,33,5,0,0,3,124,8,211,465,176,21,6,0,23,908,0,91,185,35,6,0,0,18,338,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,196,35,6,0,0,21,349,3,28,6,15,8,3,0,9,67,0,4,13,17,6,3,0,17,57,20,377,1005,2955,1215,190,38,188,5992
3013,31,213,2564,11039,7567,1283,249,500,23447,3,142,880,314,37,4,0,63,1439,6,145,205,121,14,3,0,35,522,4,287,1083,439,49,4,0,95,1964,13,173,585,190,15,0,0,43,1023,0,5,16,10,0,0,0,3,35,0,0,51,24,3,0,0,4,81,0,0,7,4,0,0,0,0,13,13,181,658,229,19,0,0,49,1151,26,58,18,26,8,4,0,14,159,0,3,31,30,19,4,5,38,135,74,741,4360,11765,7665,1298,259,699,26863
3014,129,864,5514,34552,33267,5888,1099,1408,82727,31,411,4644,3054,100,9,9,325,8585,40,396,2573,3388,326,22,11,163,6921,72,806,7217,6443,432,34,19,491,15509,104,940,3063,1377,117,11,10,205,5831,14,276,1659,824,30,3,5,72,2883,17,557,2807,1792,132,5,7,183,5496,0,22,5,0,0,0,0,5,36,144,1800,7534,3995,280,22,18,464,14252,180,553,485,100,40,10,4,100,1476,18,143,130,172,70,17,16,91,653,541,4163,20876,45267,34082,5966,1158,2555,114615
