SUA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
3016,..,14451,14451,18748,2277,21029,9662,535,10202,8954,189,9143,3912,59,3969,1930,23,1951,43206,17537,60746
3017,..,1694,1694,2006,124,2127,723,19,734,682,3,684,342,0,341,208,0,208,3950,1840,5794
3018,..,1682,1682,2327,174,2500,937,18,952,887,3,893,397,0,399,154,0,154,4697,1881,6577
4000,..,28015,28015,36753,1817,38574,12049,200,12249,11774,56,11827,5641,25,5667,2356,26,2379,68571,30131,98701
4001,..,133768,133768,150049,13612,163661,73488,3669,77159,72069,1364,73429,26145,436,26584,11245,258,11503,332992,153106,486101
4002,..,3466,3466,3682,236,3920,1444,27,1472,1481,7,1489,544,4,551,267,0,267,7415,3748,11159
4003,..,2057,2057,2264,179,2443,925,30,954,759,13,771,340,5,348,182,10,191,4467,2296,6771
4004,..,1533,1533,1555,125,1680,714,6,720,579,11,587,246,0,246,140,0,140,3230,1677,4908
4005,..,1736,1736,1986,157,2143,766,25,789,741,3,747,313,0,313,112,0,112,3918,1924,5841
4006,..,1958,1958,1836,104,1940,721,8,730,606,3,607,274,0,274,119,0,119,3556,2076,5631
4007,..,3589,3589,4803,199,5003,1012,10,1020,858,5,869,337,0,337,130,4,128,7140,3812,10945
4008,..,2992,2992,2778,199,2973,1158,20,1182,1015,0,1020,416,0,422,153,0,153,5531,3213,8742
5000,..,23861,23861,32081,1826,33904,11974,301,12270,12029,78,12103,5989,28,6018,3450,36,3485,65524,26123,91646
5001,..,3464,3464,4272,275,4553,1562,47,1610,1574,11,1588,706,3,707,337,0,337,8459,3798,12261
5002,..,1126,1126,1296,166,1461,670,54,726,682,20,698,316,5,325,163,4,163,3126,1370,4497
5003,..,6046,6046,8653,584,9240,3980,100,4079,4088,28,4116,1620,14,1632,678,4,678,19009,6788,25798
5004,..,2935,2935,4680,271,4951,1861,55,1909,1985,18,2003,828,0,828,298,7,297,9651,3285,12940
5005,..,1155,1155,1422,99,1519,600,9,610,568,4,575,250,0,250,124,0,124,2968,1267,4239
5006,..,3317,3317,4401,327,4728,1948,50,2006,1950,10,1959,848,0,848,407,0,407,9551,3704,13261
5007,..,2428,2428,2788,298,3089,1551,67,1618,1611,26,1637,746,9,754,393,3,401,7088,2833,9924
5008,..,966,966,1297,141,1444,803,37,843,950,9,960,433,3,435,201,3,202,3684,1162,4845
5009,..,157232,157232,207807,18556,226365,108883,5397,114280,112855,2180,115036,44753,810,45563,20397,448,20837,494693,184626,679322
5010,..,941,941,1214,113,1325,643,32,670,665,8,675,326,4,324,187,0,187,3031,1094,4124
5011,..,732,732,1267,82,1349,682,17,695,713,0,716,288,0,291,149,0,150,3100,841,3935
6000,..,16455,16455,21950,1201,23153,7465,78,7543,6764,26,6791,2862,5,2867,1398,5,1405,40440,17771,58214
6001,..,3516,3516,3691,204,3892,1421,29,1452,1202,9,1212,463,6,474,213,0,210,6997,3760,10759
6002,..,3671,3671,3922,289,4216,1605,21,1625,1364,11,1374,545,0,550,239,3,241,7681,4000,11679
6003,..,22937,22937,25029,2209,27241,11475,655,12131,10381,241,10623,3936,74,4011,1685,45,1728,52499,26160,78662
6004,..,10174,10174,10231,918,11151,4555,232,4781,4124,81,4199,1538,33,1569,695,15,706,21137,11445,32582
6005,..,1760,1760,2062,103,2166,735,3,741,642,5,643,256,0,256,123,0,123,3815,1870,5685
7000,..,3793,3793,4146,441,4586,2223,84,2306,2451,45,2498,1527,10,1540,3156,3,3157,13514,4372,17882
7001,..,2156,2156,2225,290,2518,1245,103,1341,1136,33,1178,531,3,536,326,9,335,5468,2590,8059
7002,..,8277,8277,11255,1650,12896,6595,517,7114,6225,169,6389,2763,59,2821,1584,38,1617,28416,10702,39116
8000,..,52,52,83,3,87,56,0,56,47,0,47,34,0,34,15,0,15,232,60,291
8001,..,39474,39474,46240,4686,50924,24574,1736,26307,25273,590,25865,9401,188,9591,3851,119,3964,109343,46789,156131
9000,..,369,369,463,12,479,201,0,200,160,0,160,93,0,90,66,0,66,980,383,1360
