SUA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
3004,112,106,219,414,378,792,241,258,493,59,58,125,716,690,1404,264,266,529,204,151,354,34,23,58,504,437,942,10,12,19,3,9,17,27,37,66,41,100,142,0,0,0,81,156,234,16,26,46,11,23,34,5,17,26,45,122,164,0,0,0,79,190,271,3,15,21,27,57,82,0,0,3,34,72,106,889,824,1711,2423,2469,4890
3005,305,273,580,1630,1570,3202,429,418,851,155,145,293,2213,2129,4344,1314,1276,2588,195,189,386,74,63,144,1589,1526,3110,23,29,56,13,53,69,104,118,225,88,275,367,4,4,9,232,480,717,78,140,226,46,107,154,45,98,140,163,348,511,0,0,0,335,696,1035,34,41,75,74,186,257,4,3,7,110,229,345,1687,1557,3245,6477,6897,13381
3006,4434,4063,8491,16820,15710,32533,3511,3524,7039,4627,4614,9246,24965,23857,48820,11409,10770,22182,2697,2684,5381,4979,4998,9976,19083,18453,37539,888,1108,1996,784,1586,2371,1369,1002,2364,1639,2909,4547,44,52,95,4717,6652,11375,6258,7960,14215,2476,3237,5709,687,1083,1774,1838,3726,5564,65,69,129,11318,16076,27397,787,1052,1839,1102,2243,3345,30,32,56,1918,3322,5246,24141,25317,49451,90573,97747,188321
3007,130,110,242,740,686,1427,105,98,203,93,86,177,941,871,1803,529,486,1015,100,93,191,97,105,204,719,687,1413,11,28,37,30,39,64,29,40,71,34,114,145,0,0,0,108,217,321,38,81,119,23,63,91,18,21,39,33,112,146,0,0,0,116,280,393,29,30,57,29,67,92,0,0,0,58,99,159,811,956,1774,2881,3219,6100
3008,294,240,534,1362,1335,2701,334,368,706,325,274,599,2025,1981,4003,986,929,1917,267,275,542,311,271,578,1559,1471,3033,37,51,85,39,90,130,66,86,159,88,211,299,9,4,14,243,447,687,61,177,236,74,169,241,20,52,72,119,326,449,0,0,0,277,732,1006,64,87,142,64,132,203,0,4,3,129,224,347,2084,2218,4301,6606,7315,13918
3009,65,67,129,325,299,623,62,57,121,115,112,229,510,465,978,264,229,494,58,57,119,23,22,48,354,313,660,14,16,31,4,16,21,30,36,65,30,76,104,3,3,5,76,143,220,4,18,21,12,21,36,4,9,10,25,61,83,0,0,0,49,111,157,11,4,13,18,24,42,0,0,4,24,30,61,357,345,699,1427,1474,2902
3010,506,440,942,2338,2184,4527,918,976,1891,352,322,670,3611,3476,7084,1544,1502,3049,815,800,1611,306,300,606,2663,2607,5271,53,58,116,43,79,127,157,151,313,155,368,522,8,5,14,421,668,1086,247,437,682,96,273,366,97,189,286,312,599,910,5,6,9,752,1502,2256,54,58,111,127,272,397,0,11,11,183,338,518,3610,2665,6272,11734,11691,23426
3011,134,127,260,827,749,1580,114,112,227,116,115,231,1065,972,2036,613,603,1220,163,149,309,106,98,201,878,849,1731,27,25,56,18,47,62,52,52,104,32,110,143,0,4,4,128,245,370,33,77,108,22,79,101,16,26,38,51,115,165,0,0,0,120,291,404,25,39,63,53,64,119,0,0,3,79,106,185,1612,1069,2688,4011,3669,7679
3012,138,128,269,642,608,1254,185,215,402,16,14,29,848,843,1685,308,308,612,228,211,441,8,11,21,549,528,1073,10,9,21,13,11,28,36,31,70,61,132,197,0,0,0,124,189,317,12,33,49,15,37,49,4,30,35,95,175,275,0,0,0,133,275,403,12,14,23,26,71,94,0,0,0,38,80,115,1207,1039,2250,3028,3083,6116
3013,365,402,763,2264,1956,4217,950,886,1843,401,463,865,3616,3303,6924,1108,1011,2124,1036,990,2030,576,727,1295,2715,2729,5446,61,66,130,45,86,130,169,178,350,197,367,566,4,4,7,477,708,1184,379,603,984,176,314,487,129,227,360,308,588,895,4,9,9,996,1740,2733,74,82,158,117,292,410,3,0,4,190,381,571,3841,3042,6885,12201,12300,24508
