SUA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
2018,48,31,83,74,54,123,3,0,3,3,0,7,19,22,37,6382,5623,12007,417,416,831,76,3,79,32,3,34,64,9,74,64,17,83,190,181,377,7370,6364,13728,3,8,7,0,0,0,0,0,0,10,8,16,6,5,17,7,0,7,20,23,41,0,0,0,0,0,0,4,6,8,8,9,15,4,4,8,12,19,33,54,26,81,90,64,156,10,5,16,0,4,4,0,0,0,11,6,18,140,221,363,770,1163,1933,104,78,184,8486,7893,16376
2019,3,0,3,14,12,29,3,0,3,0,0,0,9,6,12,2912,2597,5512,185,207,394,37,0,37,16,6,16,89,37,133,21,8,27,168,206,372,3463,3090,6554,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,23,58,45,21,68,0,0,4,0,0,0,0,0,0,0,0,4,78,160,239,295,599,895,57,55,111,3936,3930,7862
2020,143,99,246,29,11,39,0,0,3,4,0,3,17,7,24,5733,4801,10528,351,339,689,145,5,149,40,15,46,24,8,33,45,27,76,221,175,397,6748,5482,12233,13,5,19,0,0,0,5,4,6,34,23,57,11,4,13,6,4,9,72,42,111,0,0,0,0,0,0,4,3,7,0,3,7,0,0,0,3,6,12,54,23,78,134,70,199,28,17,44,0,0,0,0,0,0,34,17,49,430,456,885,562,1052,1613,70,85,153,7973,7162,15136
2021,3,5,6,39,23,67,0,0,0,4,4,9,22,16,35,5829,5279,11111,510,525,1035,80,0,80,44,4,48,108,30,141,54,19,74,375,291,671,7078,6202,13282,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,0,5,3,5,7,3,0,3,13,6,20,55,29,79,64,32,99,0,0,3,0,0,4,3,0,3,3,4,8,196,294,487,631,1120,1749,72,77,151,8046,7730,15780
3000,198,176,372,3148,1105,4258,157,74,231,16,9,29,142,130,268,101908,87372,189275,8563,8679,17246,4726,191,4918,1800,293,2094,1262,556,1820,2665,1154,3824,10167,9127,19297,134764,108867,243629,31,34,68,0,0,0,0,0,0,184,163,345,15,32,41,13,4,20,236,237,471,37,10,49,0,0,0,286,83,374,62,72,139,54,15,73,437,190,623,1494,608,2105,2165,1032,3198,60,55,118,176,41,221,139,53,193,378,147,526,13493,14205,27694,14437,17578,32018,2550,2113,4664,167783,143953,311736
3001,18557,20496,39055,22130,27686,49819,1148,1197,2349,83,50,136,1137,761,1902,348639,289148,637794,21605,30450,52060,8531,188,8712,9566,986,10556,9302,2561,11868,4099,1913,6015,15179,14842,30018,459993,390288,850280,3202,3287,6493,27,39,65,3,7,7,4889,5229,10115,864,1263,2124,686,191,882,9676,10014,19691,282,303,589,3,9,15,1652,2292,3945,673,1517,2187,414,319,734,3021,4436,7455,4967,2735,7709,17666,17188,34852,1495,1553,3049,392,384,777,301,121,422,2190,2061,4253,19044,27665,46710,38823,60912,99733,4151,3427,7575,541859,501544,1043400
3002,3,5,9,178,73,248,8,4,9,0,0,0,24,20,38,9409,8875,18283,835,1067,1903,251,0,258,265,11,276,184,34,220,83,40,126,316,280,595,11557,10412,21964,0,0,0,0,0,0,0,0,0,4,4,13,0,0,0,0,0,0,8,8,13,0,0,0,0,0,0,10,3,17,0,3,8,3,3,4,14,11,28,90,58,147,107,77,180,0,0,0,0,0,0,6,3,4,7,3,11,336,576,909,914,1470,2389,124,130,247,13045,12658,25702
3003,11,12,27,571,617,1182,31,16,52,8,3,6,109,105,215,23073,22753,45829,1656,2517,4170,405,12,413,549,96,648,924,382,1305,603,180,785,1108,1047,2159,29051,27736,56788,0,0,0,0,0,0,0,0,0,8,14,18,0,3,3,0,0,0,14,11,28,3,3,5,0,0,0,20,12,35,40,62,107,34,24,58,97,107,201,331,194,532,444,316,762,5,0,5,26,21,44,31,14,40,60,35,93,1009,1472,2476,2615,3621,6238,345,287,632,33517,33459,66979
3004,0,0,0,240,17,259,0,0,0,0,0,0,3,5,6,2368,2049,4414,229,217,446,44,0,44,28,5,31,35,9,50,23,11,31,108,109,220,3086,2421,5502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,42,5,0,5,0,0,0,47,0,45,23,10,28,63,7,77,0,0,0,0,0,0,3,0,6,0,0,5,52,156,211,372,362,731,50,39,90,3626,2991,6615
3005,5,0,5,277,27,306,112,11,124,0,0,3,31,16,48,7148,6110,13255,522,539,1060,72,0,76,318,15,332,113,21,140,65,33,99,209,249,459,8873,7043,15908,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,4,0,5,106,19,124,0,0,0,16,0,16,0,0,3,3,0,3,129,23,147,373,91,461,500,116,613,0,0,3,446,86,531,8,4,10,455,88,545,110,388,497,1034,987,2020,97,51,146,11063,8674,19736
