SUA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
1010,86,31,47,0,162,35,16,21,0,72,44,21,78,5,148,25,6,132,0,169,405,56,228,12,696,230,65,413,20,724,1322,172,477,22,2001,775,294,471,29,1565,868,544,417,35,1855,832,644,294,28,1799,450,602,167,6,1231,439,553,117,9,1128,708,1026,153,11,1901,399,677,40,3,1116,197,413,11,0,624,99,271,15,0,378,201,363,18,3,589,480,827,313,8,1625,151,59,98,3,304,7738,6642,3514,194,18086
1011,34,5,20,3,67,14,0,10,3,30,11,8,52,4,78,10,3,82,0,101,129,13,120,11,272,68,29,218,5,318,425,66,217,21,732,235,125,245,20,626,330,236,237,19,826,345,290,156,19,807,213,303,86,10,608,245,326,77,9,657,420,574,98,16,1110,261,463,33,3,762,155,284,9,0,456,63,175,8,0,247,155,241,11,0,409,246,512,162,8,926,73,34,66,6,176,3437,3692,1903,167,9199
1012,50,9,11,0,62,36,0,10,0,45,18,4,24,0,46,19,0,39,0,60,215,19,90,3,333,92,20,106,3,223,765,65,162,10,1007,320,72,150,16,562,385,138,125,18,663,259,149,79,5,495,113,115,45,0,270,136,105,27,0,272,172,163,31,9,377,93,118,10,3,225,41,52,0,0,102,33,45,4,0,79,61,61,7,0,129,178,188,97,3,467,101,18,32,0,149,3097,1344,1046,77,5554
1013,23,3,11,0,42,19,0,9,0,37,6,4,36,3,49,12,5,45,0,65,100,15,89,3,209,34,24,122,8,189,321,34,142,7,503,188,99,141,13,437,247,146,127,11,529,241,176,111,10,547,119,179,61,5,368,155,168,48,9,379,257,387,57,3,702,144,283,22,0,452,74,173,10,0,262,45,90,7,3,142,71,155,5,3,229,157,269,87,7,521,57,24,32,0,116,2256,2239,1171,91,5756
1014,10,4,15,0,32,11,3,9,0,18,14,6,41,0,66,6,3,50,0,65,111,17,74,9,210,54,22,174,5,252,403,60,150,11,624,198,93,162,20,475,223,161,127,13,517,201,169,72,8,449,97,171,31,0,298,102,148,35,4,285,165,219,28,3,409,63,162,11,0,240,41,78,6,0,124,21,42,8,0,72,34,58,5,0,102,106,204,81,9,403,48,13,28,0,90,1919,1620,1109,82,4733
1015,47,9,4,0,62,16,8,3,0,31,6,10,14,5,36,6,0,25,0,32,95,29,41,10,175,43,21,96,4,158,226,62,77,10,375,115,108,94,9,319,151,156,71,5,388,161,214,63,9,443,113,205,52,7,376,116,167,26,3,315,206,313,34,6,563,95,215,23,3,338,73,129,3,3,209,39,67,4,0,115,57,125,9,3,190,102,269,59,4,434,57,34,33,3,127,1720,2138,749,77,4681
1016,15,0,3,0,19,14,3,8,3,26,12,6,33,0,50,9,3,52,4,61,79,16,69,4,164,63,12,158,4,235,308,53,126,7,500,143,77,127,6,345,159,128,101,6,393,131,117,65,7,322,68,125,48,3,236,68,105,20,4,199,90,160,31,3,278,35,102,11,0,145,21,47,3,0,68,7,13,5,0,26,13,29,0,0,41,68,124,98,7,293,45,15,43,4,107,1335,1130,1006,60,3529
1017,24,5,10,0,43,14,0,18,0,33,17,0,48,3,72,9,6,59,0,80,115,25,138,3,279,83,28,241,9,361,413,68,241,21,740,232,109,212,21,573,305,240,204,26,780,289,274,136,14,707,170,248,116,11,544,199,225,52,4,482,266,412,74,7,764,111,243,19,0,372,60,122,4,0,188,29,74,11,0,116,53,101,4,0,158,158,228,140,14,534,46,17,32,3,107,2591,2435,1769,126,6923
1018,9,3,10,0,23,12,4,7,3,28,5,6,27,0,41,5,0,44,0,51,62,14,47,0,126,50,17,96,3,165,233,44,107,7,390,128,41,74,9,257,165,79,62,0,314,95,84,45,3,224,47,88,27,0,168,61,88,23,3,175,128,141,37,4,308,52,124,7,3,185,51,68,3,0,125,17,54,0,0,76,30,113,3,0,150,77,135,52,0,266,36,21,17,0,74,1258,1130,688,44,3126
1019,19,16,15,0,46,15,6,10,0,35,18,3,34,3,57,13,0,35,0,49,147,13,79,3,234,82,34,104,3,225,508,56,117,7,686,337,107,110,12,563,336,161,135,16,642,257,189,93,8,555,130,211,70,3,415,152,199,35,6,389,272,395,52,3,722,168,285,27,0,482,67,176,7,0,249,50,98,5,0,158,77,178,3,0,260,165,325,110,9,605,63,31,21,0,117,2873,2495,1051,79,6495
1020,11,4,0,0,14,9,0,7,0,15,4,4,16,3,29,4,4,28,0,39,49,6,42,3,100,15,9,61,0,90,154,30,68,3,260,77,40,67,7,188,108,93,39,3,251,112,88,34,3,248,58,80,18,0,161,64,91,17,0,175,118,190,31,4,350,80,144,5,3,232,55,101,0,0,150,27,91,3,0,126,78,141,3,0,218,68,152,43,5,268,20,6,9,0,44,1128,1275,505,42,2952
1021,19,6,17,0,38,10,0,13,0,25,10,4,26,0,38,9,0,38,0,50,46,13,58,0,120,22,17,96,3,136,117,36,81,7,237,86,42,64,0,192,83,73,48,4,212,93,84,33,3,210,62,86,24,0,170,66,87,17,4,175,121,225,38,3,383,92,162,4,3,269,56,107,11,0,171,37,61,3,0,101,52,125,5,0,184,82,138,50,0,268,23,13,32,0,66,1081,1275,654,36,3040
1022,42,11,12,0,64,39,3,11,0,51,22,10,29,3,59,10,6,33,0,48,207,17,70,0,296,90,24,106,3,218,593,47,122,5,766,357,87,150,7,600,460,162,138,12,773,384,175,101,12,675,183,192,67,4,443,181,192,45,3,422,308,383,51,9,748,163,280,19,3,465,89,173,10,0,270,54,94,8,0,150,117,189,10,0,319,245,418,100,6,768,103,23,16,0,138,3638,2483,1079,64,7267
1023,462,121,275,28,892,293,57,143,24,516,267,115,559,34,982,195,65,842,21,1117,1945,272,1440,113,3763,1134,391,2491,101,4125,7077,899,2752,204,10932,3700,1574,2647,279,8199,4632,2789,2739,246,10406,4189,3707,1928,217,10040,2629,3759,1406,130,7926,2770,3998,1070,105,7939,5469,8123,1311,150,15061,3401,6710,502,71,10690,1946,4408,157,51,6568,1031,2755,194,13,3997,1939,5608,187,16,7745,2931,5986,1916,84,10915,802,427,450,49,1734,46833,51775,23007,1925,123540
1024,45,6,20,0,73,24,7,17,3,51,29,10,65,3,103,13,7,106,3,133,162,29,144,7,345,107,50,224,13,390,683,113,235,18,1044,296,163,242,18,714,423,262,199,22,912,371,354,136,11,865,201,301,79,12,585,210,294,61,3,563,348,505,84,10,943,192,353,23,6,568,82,197,3,0,284,50,108,7,0,161,83,206,13,0,300,254,447,174,9,881,79,30,58,3,170,3642,3430,1888,135,9093
1025,36,5,27,5,83,39,3,18,0,57,19,4,53,3,87,11,3,70,0,88,172,21,109,0,308,96,39,233,6,371,470,71,242,10,796,252,120,199,9,587,371,253,205,18,841,345,302,137,16,801,216,306,86,10,617,253,340,70,0,665,434,669,115,6,1222,272,504,41,6,823,152,339,17,3,503,81,192,18,0,295,185,408,9,0,601,220,476,164,7,871,78,24,59,3,163,3693,4084,1876,116,9771
1026,15,3,8,0,27,7,0,5,0,12,10,0,15,0,25,4,0,39,0,40,55,4,48,3,113,22,6,80,0,109,153,26,80,3,264,88,52,48,0,192,110,62,49,3,222,91,88,46,3,225,63,92,22,0,181,63,108,20,0,194,113,162,23,5,299,58,134,3,3,201,32,87,0,0,121,22,31,5,0,61,44,65,3,0,112,99,164,41,0,307,29,11,18,0,63,1068,1105,551,29,2753
1027,54,10,29,0,92,24,3,14,0,41,33,6,33,0,77,20,4,74,0,96,273,13,112,3,405,169,37,258,3,469,1103,88,278,15,1482,582,169,284,20,1053,701,322,256,19,1299,633,369,167,17,1193,280,341,115,3,745,336,312,94,9,748,504,683,93,6,1290,312,489,31,5,830,150,292,11,0,452,90,167,16,0,274,194,324,13,0,532,336,424,168,5,945,121,42,56,3,218,5916,4093,2109,131,12248
1028,13,3,11,0,26,11,0,3,3,20,3,5,18,0,29,5,0,31,0,42,52,8,49,3,109,30,19,89,0,138,134,27,74,4,244,84,39,73,12,205,116,95,83,7,297,109,111,44,8,278,76,117,25,3,222,80,124,41,5,250,195,325,38,7,563,107,259,13,4,392,86,151,6,3,246,42,123,13,0,177,119,276,10,0,397,124,239,59,0,420,21,23,13,0,68,1421,1951,699,56,4135
1029,36,3,14,3,58,25,3,0,0,31,11,7,26,0,47,16,0,26,0,47,170,16,67,0,259,83,14,94,3,192,561,53,143,3,759,276,88,121,12,490,291,160,104,12,564,237,178,54,0,471,117,149,44,0,308,104,132,26,0,273,153,229,23,0,412,79,130,10,0,221,45,84,0,0,132,26,33,4,0,69,55,54,9,4,116,170,200,86,0,456,73,19,31,0,119,2542,1545,892,47,5024
1030,10502,3375,4650,845,19373,3551,1079,1660,310,6601,2851,2112,4797,430,10184,1853,1578,5054,242,8728,14216,5106,8344,747,28412,7866,7723,12451,786,28826,34810,12524,14134,1428,62904,21105,18859,15472,1863,57303,28443,29009,17586,2257,77302,26902,32843,14325,2111,76183,19087,32844,11572,1519,65018,20833,34485,9516,1438,66278,45216,75366,14838,2691,138111,32039,59315,7028,1553,99935,21894,45242,3203,812,71143,16379,38749,4193,460,59778,40302,107243,4172,850,152564,24619,61950,15114,936,102626,5723,5207,3291,389,14606,378196,574604,171402,21677,1145884
1031,33,11,19,0,64,15,3,15,0,35,18,9,56,4,81,8,5,92,0,105,156,31,162,4,355,109,24,285,0,420,575,71,294,23,965,357,144,271,19,790,419,298,245,33,1002,421,335,172,20,952,257,323,108,7,695,267,329,105,18,716,487,675,86,8,1256,264,428,26,9,726,112,268,8,9,388,68,143,17,0,222,135,241,20,0,395,263,511,187,12,968,86,47,68,3,202,4055,3882,2237,170,10340
1032,24,16,16,0,58,23,3,18,0,54,16,3,70,3,94,13,0,74,0,86,168,35,126,10,342,103,31,214,11,368,665,91,219,16,984,280,165,202,21,671,324,239,155,18,733,314,267,94,10,688,146,241,58,4,452,148,180,44,3,385,182,283,34,5,499,90,169,11,0,266,39,77,0,0,115,19,34,7,0,58,40,62,3,0,110,171,259,127,3,569,82,34,64,3,188,2867,2193,1557,110,6723
1033,38,3,12,0,47,15,0,5,0,20,17,3,21,0,45,13,3,33,0,50,152,12,44,0,203,83,19,86,0,190,478,45,95,11,629,226,80,105,6,419,274,160,76,11,521,235,143,46,6,422,100,126,17,0,242,79,100,16,0,196,154,170,27,3,348,69,118,4,0,192,37,55,3,0,95,12,25,0,0,42,41,46,0,0,92,146,178,66,9,394,68,15,17,0,100,2228,1309,670,44,4252
1034,56,15,25,3,95,37,5,16,3,64,21,10,72,0,104,16,3,100,0,120,199,39,170,9,415,105,42,286,4,447,614,91,264,27,994,395,167,295,30,882,499,319,279,31,1125,537,397,212,24,1173,314,457,154,15,941,374,467,122,16,985,673,971,126,22,1794,391,743,45,18,1194,232,470,20,6,730,103,295,20,0,412,204,475,16,5,702,416,672,193,5,1289,111,59,82,5,256,5294,5693,2508,236,13726
1035,415,106,176,23,724,264,39,107,21,431,194,82,348,33,651,123,49,439,11,624,1322,259,814,48,2436,771,316,1338,61,2485,4479,632,1486,120,6708,2159,1012,1477,156,4803,2701,1780,1487,149,6116,2359,2248,1081,100,5796,1405,2340,823,65,4637,1538,2590,650,59,4837,2912,5355,886,96,9247,1853,4292,362,57,6562,1127,2875,147,26,4175,640,1904,107,8,2666,1114,3836,136,14,5094,1753,3886,1219,53,6909,555,249,273,21,1097,27688,33842,13360,1121,76007
2000,1183,329,300,34,1846,917,178,222,22,1345,692,279,747,25,1743,383,138,1099,20,1637,4519,667,1875,109,7165,2459,948,2948,92,6452,13296,1893,2993,233,18415,7630,3300,2869,295,14087,9203,5820,2569,245,17841,7986,6612,1770,205,16566,4257,6037,1114,102,11514,4873,5965,798,106,11741,7859,10124,885,129,18999,4143,6783,345,62,11337,2181,3635,112,16,5942,1115,2117,167,4,3406,2465,3906,178,29,6571,5551,9966,2530,105,18156,2311,894,676,67,3946,83018,69594,24208,1901,178719
2001,37,4,15,0,60,15,3,9,0,25,12,5,23,0,44,4,0,32,0,39,73,16,62,0,150,38,21,91,3,150,269,45,120,10,437,130,94,113,3,334,187,174,98,4,457,177,183,84,7,453,101,216,59,4,383,109,214,50,3,381,261,432,61,3,759,156,325,21,0,500,74,218,4,0,300,46,127,3,0,181,50,226,3,0,289,105,268,76,3,450,45,24,17,4,90,1889,2597,934,57,5478
2002,18,4,6,0,26,14,3,6,0,23,10,0,19,0,30,7,3,36,0,45,84,8,55,6,156,40,12,83,0,134,283,34,104,8,425,181,80,85,9,362,202,139,66,5,411,167,152,42,6,367,98,141,31,3,280,90,109,24,3,222,151,185,22,3,357,75,104,11,0,190,32,55,0,0,91,11,33,3,0,51,30,58,6,0,91,110,193,70,4,378,53,14,17,3,87,1661,1328,685,53,3729
2003,97,28,58,5,192,64,19,17,8,108,57,30,120,4,209,45,17,192,0,251,388,58,387,30,862,254,107,597,27,988,1448,237,638,40,2358,822,425,577,42,1862,975,709,504,54,2247,915,906,367,42,2234,613,923,252,31,1822,605,858,178,19,1655,1139,1677,191,35,3045,603,1115,65,12,1794,304,715,24,9,1049,166,376,38,3,588,338,819,30,4,1187,551,1130,425,21,2123,206,102,117,9,437,9599,10255,4775,395,25022
2004,79,21,49,4,157,69,4,37,11,127,46,11,128,9,199,20,8,193,3,222,368,92,294,23,777,229,93,583,21,933,1363,219,633,58,2264,835,445,602,42,1925,1032,705,532,66,2342,997,920,377,40,2329,563,888,262,31,1738,567,851,158,24,1608,1076,1565,196,32,2874,581,1107,63,13,1768,320,618,13,5,960,135,369,27,0,529,277,586,25,3,893,562,1024,427,19,2030,214,83,96,10,404,9344,9617,4696,423,24078
2005,10,5,4,0,14,11,3,3,0,15,9,4,19,5,37,5,0,32,0,37,65,3,37,0,107,32,17,90,0,135,181,21,61,3,270,104,53,63,9,231,161,97,44,7,314,124,139,45,4,313,80,114,20,4,213,81,135,20,4,234,144,211,25,6,387,51,115,0,0,171,33,66,3,0,100,10,30,0,0,41,21,45,3,4,75,72,120,52,0,246,33,19,17,3,67,1221,1180,547,56,3008
2006,34,8,8,0,46,14,4,4,0,18,15,4,23,0,37,9,5,30,0,45,127,7,53,4,192,60,16,99,0,175,426,34,92,11,555,193,79,96,12,377,282,146,104,4,532,251,189,58,3,506,138,178,42,6,367,160,187,29,0,371,267,314,27,3,604,131,235,13,0,381,67,146,0,0,217,25,59,3,0,90,49,130,6,0,182,139,273,82,3,492,82,19,28,3,130,2460,2024,793,49,5327
2007,309,84,152,20,562,172,54,95,5,329,162,79,294,18,549,94,46,367,14,519,1124,190,706,39,2058,597,281,1205,37,2118,3299,567,1203,83,5150,2101,904,1228,105,4337,2484,1632,1272,120,5511,2243,2052,886,119,5302,1341,2216,636,58,4251,1496,2338,465,63,4365,2952,4592,599,85,8230,1814,3255,190,34,5301,917,2057,76,20,3065,527,1281,99,6,1912,1035,2579,89,8,3710,1570,3273,968,48,5864,565,298,251,19,1131,24812,27779,10773,898,64269
2008,31,7,4,3,46,16,5,4,0,24,3,8,13,3,21,8,6,15,0,24,64,8,22,0,87,45,17,34,0,90,164,29,51,0,251,164,36,60,3,274,198,102,68,3,371,181,136,37,3,357,122,182,43,0,347,110,200,36,0,351,226,435,54,3,712,181,377,19,0,579,125,269,15,0,406,76,252,4,0,329,146,461,10,0,614,130,379,66,3,575,42,24,12,0,77,2029,2924,570,31,5550
2009,14,0,9,0,28,13,6,3,3,26,10,0,10,0,31,9,0,37,0,42,72,11,56,3,140,39,22,95,3,162,246,36,99,3,383,181,77,91,10,363,205,126,82,9,432,198,171,55,14,442,105,163,38,4,307,129,162,17,3,312,203,267,18,7,495,111,139,7,3,265,54,89,0,0,139,26,41,4,0,65,55,79,5,0,140,112,231,50,0,392,47,14,20,0,75,1830,1629,715,69,4246
2010,9334,3475,4836,1140,18786,3646,1257,1859,449,7216,2938,2259,5054,588,10842,1767,1541,5454,261,9022,15568,5074,8514,898,30056,8475,7322,13708,896,30395,40508,12435,14924,1635,69502,24756,20094,16886,2146,63889,31517,32192,18229,2599,84540,29965,36699,14072,2302,83039,20348,36650,11084,1532,69613,22713,37587,8544,1474,70317,48006,77833,12240,2421,140502,32649,58090,5156,1311,97206,19805,39382,2252,695,62135,13444,30196,2655,328,46623,28122,75703,2591,536,106954,24419,59103,16042,931,100496,7584,5720,3567,425,17301,385580,542609,167682,22566,1118439
2011,74,55,87,3,218,30,20,32,0,89,39,28,107,10,177,10,14,161,0,186,199,75,238,18,522,117,113,420,16,659,674,221,387,19,1300,343,340,398,18,1105,454,611,365,30,1471,463,718,271,26,1477,312,704,165,15,1198,345,665,140,24,1171,629,1185,175,25,2015,310,724,70,10,1105,169,378,29,0,581,76,230,22,0,326,91,308,16,3,420,295,739,274,13,1315,123,109,89,8,329,4756,7233,3447,238,15679
2012,76,26,23,3,130,60,18,23,0,101,31,21,80,5,138,26,9,125,0,159,250,57,207,13,520,138,86,287,12,524,907,144,308,27,1381,431,265,310,27,1027,557,404,227,24,1207,535,473,159,20,1186,270,431,109,8,819,340,436,67,4,846,552,728,72,10,1360,264,479,24,4,775,148,277,3,3,431,61,140,8,0,211,111,257,16,0,384,361,714,214,16,1305,177,71,95,9,354,5310,5027,2347,175,12858
