SUA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
1014,1919,3820,31,174,200,944,74,364,828,3350,1138,4832,53,222,95,319,335,1029,490,1570,1620,6404,13,54,67,239,54,206,522,1439,651,1937,36,109,77,165,344,724,458,991,1109,2932,82,179,4733,13329
1015,1720,3424,47,293,212,993,76,357,1200,4811,1545,6458,82,325,114,355,400,1305,591,1982,2138,8443,10,60,48,168,41,161,315,923,420,1311,22,66,44,98,262,581,326,736,749,2051,77,175,4681,14082
1016,1335,2686,29,167,135,624,40,216,558,2258,765,3260,39,170,86,274,238,750,363,1196,1130,4459,23,111,66,285,51,194,463,1417,603,2011,28,100,56,107,315,690,397,900,1006,2911,60,133,3529,10188
1017,2591,5147,28,172,246,1184,75,311,1331,5308,1679,6972,101,412,170,556,489,1543,757,2507,2435,9480,25,110,123,441,59,196,757,2054,956,2794,78,247,186,405,549,1143,809,1794,1769,4586,126,266,6923,19482
1018,1258,2502,25,130,107,479,37,150,581,2280,741,3046,36,143,79,258,277,876,392,1282,1130,4327,11,48,49,170,27,95,289,785,368,1097,15,51,49,111,251,528,321,691,688,1788,44,90,3126,8710
1019,2873,5707,53,298,245,1126,119,548,1198,4713,1613,6686,139,575,203,691,539,1693,882,2960,2495,9643,19,71,65,251,31,116,418,1156,537,1593,37,123,93,211,385,838,515,1169,1051,2760,79,155,6495,18261
1020,1128,2228,10,59,100,443,40,195,834,3318,990,4012,26,113,68,209,195,597,291,916,1275,4926,7,35,31,105,23,74,242,654,304,876,14,46,37,80,150,310,199,441,505,1313,42,88,2952,8560
1021,1081,2127,17,117,115,538,35,178,787,3144,963,3973,47,187,72,221,200,605,313,1016,1275,4991,12,42,34,131,26,108,356,1011,433,1285,16,42,38,91,169,356,226,487,654,1777,36,72,3040,8964
1022,3638,7170,42,227,277,1271,80,363,1234,4795,1630,6655,116,498,197,631,538,1650,850,2776,2483,9431,14,52,67,246,49,158,417,1136,549,1590,45,133,88,177,406,860,533,1169,1079,2766,64,140,7267,19505
1023,46833,92859,789,4374,4906,22549,1601,7159,27613,107457,34914,141532,2570,10532,3987,13327,10302,32276,16858,56139,51775,197677,316,1439,1502,5285,818,2918,9073,24934,11713,34576,821,2596,2113,4628,8361,17810,11298,25037,23007,59607,1925,3968,123540,354108
1024,3642,7218,69,398,334,1539,115,526,1896,7488,2411,9944,145,594,217,717,656,2059,1017,3367,3430,13317,27,132,127,465,94,329,826,2326,1073,3253,60,181,150,315,603,1308,813,1808,1888,5057,135,275,9093,25865
1025,3693,7316,75,412,385,1775,118,525,2457,9802,3032,12515,162,653,282,906,616,1913,1059,3472,4084,15988,28,126,147,537,75,280,843,2341,1092,3281,56,159,154,337,573,1204,776,1703,1876,4989,116,249,9771,28540
1026,1068,2098,31,173,110,513,38,188,597,2424,774,3301,52,230,72,233,202,628,332,1082,1105,4388,8,47,46,170,19,77,246,684,323,983,9,31,39,94,174,373,227,499,551,1478,29,57,2753,8020
1027,5916,11733,61,313,483,2223,105,448,2301,9098,2943,12085,136,552,343,1093,670,2038,1145,3681,4093,15766,15,76,151,531,53,189,901,2368,1126,3173,57,184,225,491,699,1473,986,2140,2109,5313,131,273,12248,33087
1028,1421,2787,22,127,201,939,55,247,1067,4226,1349,5541,112,444,131,424,360,1130,604,2001,1951,7543,12,48,46,178,29,107,308,875,401,1216,24,80,62,136,213,460,297,681,699,1889,56,127,4135,12342
1029,2542,5034,34,173,145,702,63,297,819,3191,1067,4367,62,262,103,326,320,967,482,1549,1545,5921,10,63,52,179,36,128,352,1018,453,1388,22,73,73,170,338,711,434,952,892,2335,47,90,5024,13379
1030,378196,757134,9153,52979,53808,253001,12628,59206,306380,1186574,381974,1551764,34328,146818,51099,178711,107209,350628,192630,676152,574604,2227914,2259,10798,11033,40108,5230,19010,55316,150649,73839,220564,8664,28482,19662,45414,69231,153824,97563,227723,171402,448288,21677,46702,1145884,3480039
1031,4055,8047,67,365,389,1819,121,587,2212,8750,2796,11521,138,555,246,759,709,2131,1085,3441,3882,14962,34,137,136,539,84,340,1087,3095,1340,4112,68,214,156,323,670,1456,893,1992,2237,6106,170,358,10340,29480
1032,2867,5717,56,301,213,1012,95,464,1092,4406,1454,6183,90,358,170,557,476,1472,736,2387,2193,8575,22,108,115,416,71,264,653,1900,860,2691,39,125,138,302,520,1135,695,1561,1557,4255,110,235,6723,18783
1033,2228,4393,24,145,104,489,54,257,683,2735,873,3628,59,245,99,307,273,854,438,1407,1309,5037,7,34,50,158,24,95,257,698,342,988,14,47,70,136,244,500,329,685,670,1671,44,93,4252,11198
1034,5294,10414,109,614,643,3038,191,884,3227,12845,4168,17379,207,850,412,1319,895,2799,1520,4969,5693,22354,33,154,207,764,112,414,1086,3037,1434,4358,80,249,206,436,779,1672,1070,2360,2508,6715,236,489,13726,39975
1035,27688,55012,590,3272,3094,14342,973,4409,17147,67352,21797,89376,2026,8472,2817,9634,7203,23000,12044,41102,33842,130477,172,790,918,3272,475,1724,4769,12872,6333,18656,584,1843,1329,2960,5118,11027,7022,15829,13360,34489,1121,2330,76007,222309
2000,83018,163754,1309,7184,7466,34818,1900,8485,36072,144730,46743,195217,3364,13768,5870,18946,13616,42119,22854,74832,69594,270052,302,1333,1778,6358,778,2733,9404,25537,12261,35960,867,2684,2448,5232,8632,18054,11944,25971,24208,61925,1901,3941,178719,499668
2001,1889,3790,42,234,252,1173,79,376,1362,5418,1738,7208,141,602,221,765,493,1604,862,2972,2597,10184,10,39,71,261,33,114,368,1046,477,1458,40,139,87,198,333,719,463,1048,934,2510,57,111,5478,16596
2002,1661,3275,12,78,137,649,31,142,752,2931,936,3792,57,236,93,306,239,734,389,1283,1328,5074,10,42,67,217,22,83,272,759,366,1098,35,111,62,136,221,465,318,711,685,1814,53,106,3729,10267
2003,9599,18987,138,800,1082,5021,219,999,5864,23021,7307,29849,500,2083,839,2725,1614,5068,2951,9880,10255,39730,60,279,344,1245,189,655,1999,5399,2590,7578,210,669,499,1103,1477,3131,2186,4901,4775,12481,395,818,25022,72010
2004,9344,18515,169,934,964,4543,234,1081,5435,21432,6805,28000,420,1725,796,2641,1597,4983,2816,9344,9617,37342,58,292,387,1393,161,554,1975,5307,2582,7536,205,627,463,1005,1450,3061,2115,4697,4696,12235,423,871,24078,68963
2005,1221,2433,24,112,124,602,35,149,630,2582,814,3438,51,206,85,269,236,723,366,1196,1180,4637,14,68,36,123,18,59,233,655,302,908,23,69,46,89,181,387,248,542,547,1452,56,119,3008,8637
2006,2460,4870,32,179,226,1052,60,262,1110,4420,1426,5907,94,361,164,556,336,1030,598,1951,2024,7865,17,47,55,211,24,89,339,898,431,1248,34,94,75,154,251,545,359,789,793,2039,49,96,5327,14867
2007,24812,49080,367,2039,2667,12256,523,2400,15476,60252,19036,76944,1489,6121,2513,8493,4745,14763,8744,29378,27779,106319,142,645,811,2879,327,1149,4042,10771,5319,15443,500,1580,1223,2682,3737,7955,5456,12223,10773,27669,898,1867,64269,184937
2008,2029,3995,49,267,320,1454,52,244,1574,6354,2000,8318,152,614,292,992,483,1513,925,3125,2924,11446,12,63,57,180,12,43,170,468,251,760,48,143,70,162,206,419,321,725,570,1482,31,61,5550,16981
2009,1830,3610,28,151,144,648,43,170,949,3752,1157,4721,77,326,126,379,266,817,472,1523,1629,6249,4,30,53,187,21,72,345,927,419,1216,18,54,62,143,211,440,295,635,715,1850,69,136,4246,11841
2010,385580,768878,7439,42500,51493,239913,10004,45651,295138,1133958,364075,1462021,32433,137310,50961,179244,95142,307297,178536,623853,542609,2085874,2046,9828,11770,41859,4357,15609,54130,144055,72297,211341,9060,29168,20805,47800,65522,143536,95385,220500,167682,431844,22566,47957,1118439,3334552
2011,4756,9561,168,1026,631,3158,239,1126,4112,16247,5148,21558,330,1422,384,1299,1371,4473,2086,7194,7233,28750,72,396,238,939,140,547,1476,4340,1935,6223,162,539,237,550,1118,2494,1510,3578,3447,9806,238,498,15679,48614
2012,5310,10523,115,631,570,2646,166,743,2671,10625,3520,14641,242,953,397,1271,870,2685,1506,4910,5027,19553,41,195,183,636,83,278,1027,2874,1330,3990,85,274,197,433,731,1570,1020,2282,2347,6266,175,373,12858,36724
2013,1712,3388,31,164,149,670,47,203,700,2738,929,3784,71,283,120,410,355,1100,551,1796,1476,5574,19,83,67,244,29,105,427,1143,546,1585,41,136,74,147,337,691,449,981,1000,2562,53,119,4240,11645
2014,1212,2401,16,76,99,454,25,97,560,2149,694,2784,39,160,93,296,184,566,322,1026,1012,3808,5,24,30,101,17,63,203,545,263,727,13,33,65,151,178,379,256,556,518,1288,31,64,2774,7563
2015,1505,2938,24,122,157,700,32,140,880,3432,1093,4393,51,199,128,407,221,679,403,1280,1494,5675,10,35,61,213,20,84,267,743,356,1066,22,67,89,186,193,400,302,651,653,1714,54,109,3707,10429
2016,4683,9319,117,673,624,3072,135,650,2828,11165,3701,15561,229,971,410,1338,851,2692,1489,5003,5190,20557,42,200,209,763,82,287,995,2770,1322,4021,91,296,232,502,736,1592,1061,2390,2378,6408,159,341,12416,36632
2017,1091,2164,13,69,127,591,28,135,578,2253,738,3047,48,203,81,253,172,545,302,1003,1042,4047,3,18,44,154,13,42,205,579,262,798,22,61,40,91,125,263,186,414,455,1211,50,103,2630,7533
2018,4099,8101,54,286,361,1658,84,382,2155,8474,2650,10805,180,730,311,1007,737,2322,1233,4058,3883,14863,22,102,152,590,94,329,944,2586,1215,3607,66,202,199,432,615,1282,883,1916,2094,5525,135,281,10212,28765
2019,2050,4050,29,158,172,786,53,237,1024,4021,1275,5204,75,292,141,467,277,845,494,1601,1769,6812,12,67,68,231,31,110,394,1052,502,1463,30,101,81,180,291,622,406,900,909,2357,77,156,4802,13370
2020,3878,7703,77,439,395,1872,108,496,2032,8193,2614,10993,187,813,339,1125,677,2151,1201,4085,3815,15081,31,151,92,338,45,150,589,1619,756,2260,68,228,161,364,466,984,705,1578,1460,3834,106,218,9265,26842
2021,3490,6915,64,350,347,1577,92,403,1870,7480,2375,9807,206,857,265,865,627,1969,1096,3689,3466,13502,26,103,115,423,43,165,594,1596,778,2286,66,202,163,342,447,963,672,1515,1452,3799,122,247,8535,24470
3000,86384,170293,1524,8608,7120,33175,3137,14773,41573,166541,53352,223099,2586,10393,4596,14132,14041,43415,21228,67939,74582,291035,419,2027,1864,6812,1344,5312,13145,37825,16778,51979,698,2241,1907,4054,9011,19446,11620,25740,28393,77712,2505,5395,191862,544442
3001,208422,415027,4377,25445,24854,116405,7190,33371,144898,562258,181322,737485,12471,52247,22157,75286,42803,135864,77433,263404,258753,1000884,1329,6384,6521,23614,3394,12290,37635,102012,48881,144297,3738,12051,9411,21175,30944,67142,44102,100368,92977,244666,10864,22892,571021,1683471
3002,8565,16982,133,773,639,2957,247,1110,3426,13521,4440,18353,246,988,464,1481,1162,3585,1875,6054,6315,24409,41,204,246,890,178,641,1562,4389,2028,6126,99,306,231,507,1130,2425,1457,3244,3482,9363,276,567,18643,51323
3003,13852,27146,262,1509,1420,6540,489,2272,8769,33532,10936,43857,492,1994,1052,3275,2060,6310,3609,11572,14544,55432,95,451,485,1776,315,1220,3461,9470,4362,12917,217,690,682,1445,1997,4291,2898,6423,7259,19343,568,1193,36229,103115
3004,1082,2101,27,129,174,794,35,175,1163,4585,1401,5681,53,214,72,217,180,550,312,982,1714,6668,3,20,34,142,19,73,211,561,275,792,9,35,32,69,96,188,136,284,406,1076,37,78,3242,9919
3005,4246,8271,89,468,538,2424,176,782,3324,12818,4121,16494,179,710,321,942,714,2147,1210,3796,5335,20287,19,73,130,462,69,231,871,2337,1082,3107,37,123,131,274,483,1015,657,1412,1741,4519,138,289,11458,33365
3006,65636,130449,1015,5652,6176,28190,2114,9495,37539,144181,46845,187522,3119,12906,5634,18672,11788,36960,20540,68535,67382,256056,347,1591,1922,6681,961,3306,11229,29499,14456,41075,1081,3397,2950,6490,9861,21108,13894,31003,28357,72078,2345,4880,163712,463463
3007,2180,4336,48,268,197,911,82,351,1039,4180,1362,5713,55,226,111,367,332,1027,497,1613,1859,7330,12,63,92,353,39,143,611,1648,764,2205,29,90,107,240,386,830,524,1158,1290,3364,82,171,5404,15202
3008,7289,14457,82,443,433,1985,162,732,2349,9222,3023,12374,130,546,304,961,865,2673,1304,4177,4325,16554,38,172,206,785,123,472,1158,3173,1525,4603,73,239,212,461,784,1643,1066,2347,2591,6951,158,329,14368,38288
3009,1114,2225,13,74,102,507,34,175,596,2392,747,3146,27,117,50,143,146,449,218,708,972,3856,10,28,39,156,24,88,294,844,366,1119,8,27,27,60,149,302,187,394,545,1512,49,97,2677,7684
3010,7949,15350,158,880,809,3676,303,1355,5148,19596,6431,25500,343,1358,631,1944,1434,4354,2407,7659,8840,33157,39,195,249,854,160,583,1669,4560,2120,6193,102,324,237,503,956,2013,1297,2839,3416,9027,292,595,20496,58129
3011,3157,6281,44,247,214,1040,105,489,1265,5021,1634,6797,109,463,155,495,433,1368,698,2326,2333,9125,20,100,106,372,59,192,613,1761,797,2420,43,134,96,202,464,995,596,1328,1397,3752,114,239,6997,19402
3012,1537,3040,35,198,168,771,96,456,1309,5097,1600,6527,50,204,85,258,243,774,376,1239,1985,7759,14,63,48,179,48,208,378,1087,485,1540,24,84,47,90,217,481,292,651,770,2186,61,136,4351,13127
3013,7120,13943,148,855,760,3531,293,1298,4682,18253,5874,23941,350,1397,528,1675,1433,4476,2307,7546,8186,31484,55,275,256,994,150,531,1764,5005,2228,6807,127,384,249,541,1199,2533,1578,3462,3802,10265,338,711,19449,56402
3014,37501,74029,460,2504,3256,14653,972,4276,18263,70737,22950,92169,1305,5279,2650,8494,5630,17365,9584,31133,32535,123304,132,578,955,3218,469,1616,5364,14217,6921,19637,426,1331,1403,3058,4345,9142,6174,13536,13098,33171,922,1920,84064,232426
3015,13785,27230,292,1670,1472,7066,408,1881,7902,31684,10077,42301,528,2159,1004,3208,2269,6997,3798,12364,13875,54665,85,442,469,1721,223,812,2408,6688,3190,9671,202,636,488,1040,1693,3560,2377,5239,5568,14909,502,1046,33734,97846
3016,16539,32267,307,1735,1901,8828,592,2683,10816,41697,13612,54939,742,3039,1492,4866,2752,8475,4988,16380,18601,71320,115,550,658,2387,334,1216,3777,10484,4887,14635,273,859,767,1644,2248,4804,3289,7308,8173,21944,771,1613,44082,127147
3017,1687,3344,35,214,174,850,48,215,785,3157,1049,4442,57,240,96,303,246,778,402,1324,1453,5763,11,54,68,244,47,178,385,1074,506,1550,14,48,39,88,240,518,292,649,797,2200,73,149,4012,11453
3018,2134,4141,31,177,184,797,65,288,1025,3936,1299,5199,67,256,161,477,357,1046,576,1774,1875,6979,6,26,57,204,30,108,333,908,421,1251,15,56,67,146,198,404,284,605,707,1859,52,103,4768,13075
4000,33763,66466,461,2549,2731,12433,743,3285,14389,57522,18317,75791,1183,4779,2050,6529,4791,14735,8024,26043,26345,101836,125,582,703,2441,299,1085,3609,9806,4735,13915,282,861,841,1777,2836,5943,3951,8582,8690,22501,697,1480,69497,192277
4001,128565,254482,1927,10916,13809,63557,3075,13713,78143,298745,96951,386931,8450,35139,14241,48838,26318,82957,49005,166938,145961,553873,660,3012,4078,14266,1631,5703,21380,55915,27751,78895,2776,8709,6893,15381,20522,43710,30193,67805,57939,146701,6125,12910,338597,967966
4002,3084,6064,47,270,308,1457,95,418,1681,6666,2127,8806,138,559,221,687,483,1504,835,2746,2964,11556,19,65,101,355,46,159,636,1717,800,2290,37,120,136,281,372,780,539,1181,1346,3474,89,183,7478,21278
4003,1984,3929,20,122,159,724,62,295,829,3247,1069,4391,65,269,137,462,319,1004,523,1729,1592,6120,15,80,60,224,32,115,412,1155,517,1569,29,81,75,174,276,592,380,852,903,2421,67,150,4542,12618
4004,1313,2568,23,108,108,506,45,202,684,2624,858,3439,31,134,82,237,233,702,349,1073,1204,4510,5,16,40,147,37,125,343,1039,423,1339,17,57,51,107,224,482,289,643,713,1977,63,136,3296,9198
4005,1727,3367,22,123,160,719,41,171,932,3610,1156,4631,51,199,111,330,211,637,368,1166,1527,5795,6,22,52,173,25,79,291,813,365,1085,22,68,68,159,191,399,284,624,655,1712,52,111,3953,10983
4006,1480,2932,16,98,160,739,59,277,590,2310,833,3421,69,282,85,265,284,862,440,1411,1266,4838,25,111,65,236,38,130,309,851,431,1325,24,76,77,170,247,514,348,759,779,2083,54,109,3582,9953
4007,4423,8734,34,172,177,813,58,228,969,3750,1233,4958,62,248,136,413,378,1148,577,1813,1809,6772,8,42,69,235,30,112,388,1013,497,1400,25,73,80,163,309,636,413,875,912,2275,58,126,7197,17905
4008,2250,4436,31,191,237,1087,68,282,1115,4264,1452,5823,73,286,172,538,378,1173,625,1999,2071,7815,20,79,85,313,50,175,592,1613,745,2180,34,96,100,194,325,701,452,995,1194,3175,64,135,5589,15559
5000,30114,58932,488,2709,2449,11032,1082,5041,16175,63997,20193,82778,951,3747,1520,4570,4469,13620,6941,21932,27134,104711,113,528,616,2236,500,2036,4337,12342,5566,17144,202,625,614,1288,2773,5978,3593,7888,9159,25032,858,1931,67262,190608
5001,3843,7542,83,469,347,1620,129,617,1846,7271,2399,9981,120,474,206,659,572,1795,899,2927,3302,12908,23,101,104,358,61,244,536,1489,727,2194,42,127,108,240,454,972,607,1334,1333,3521,114,240,8596,24212
5002,1212,2327,17,101,113,523,49,200,952,3674,1129,4499,30,113,63,180,149,462,238,759,1372,5258,5,23,48,162,34,120,315,889,400,1201,5,19,38,69,142,305,179,385,577,1583,54,114,3210,9289
5003,7690,14976,129,694,835,3752,292,1321,4829,18594,6087,24349,310,1229,592,1850,1310,3964,2202,7053,8295,31400,46,207,258,891,132,493,1419,3793,1850,5383,101,305,303,646,874,1824,1279,2775,3125,8160,198,418,19311,54957
5004,4271,8321,74,372,384,1707,114,481,2490,9593,3055,12157,141,529,297,927,591,1747,1021,3204,4084,15362,19,72,110,393,37,131,595,1610,768,2201,47,139,154,321,366,761,563,1222,1329,3422,77,159,9764,27272
5005,1276,2483,28,152,143,651,35,164,672,2631,878,3596,58,221,87,271,217,639,360,1129,1241,4719,6,17,32,120,24,76,203,573,267,793,10,39,38,79,140,287,182,404,452,1194,41,86,3004,8479
5006,3904,7578,78,418,391,1787,133,605,2219,8616,2822,11434,157,629,265,828,696,2084,1121,3536,3940,14971,38,179,138,521,89,330,774,2215,1034,3249,52,156,136,286,512,1065,697,1509,1725,4762,153,323,9732,27640
5007,2515,4894,62,358,300,1374,174,805,2302,8918,2838,11451,119,509,163,517,476,1490,763,2517,3605,13972,13,59,56,202,46,191,490,1398,605,1853,34,101,65,134,298,641,394,881,995,2729,109,232,7224,21833
5008,1249,2454,21,132,166,771,52,252,1477,5805,1723,6954,48,196,103,314,175,541,326,1044,2048,7995,6,36,21,86,21,76,218,625,269,822,10,22,26,53,92,205,132,277,402,1104,48,106,3747,11659
5009,189450,371963,3539,19928,22462,103336,5724,25605,130592,497621,162314,646489,12652,52087,20583,69957,38567,120172,71805,242216,234121,888704,948,4510,5223,18310,2213,7934,28082,75250,36471,106004,3576,11379,8116,18222,25238,53722,36922,83322,73391,189322,9137,19411,506098,1469408
5010,1154,2254,28,140,94,464,57,278,1104,4285,1287,5164,32,135,64,186,143,459,237,782,1522,5946,5,15,25,87,14,53,201,552,240,711,4,17,20,35,98,224,124,277,366,986,51,111,3094,9299
5011,1163,2269,29,158,123,530,68,299,923,3508,1143,4487,50,193,78,247,204,639,336,1077,1475,5563,9,32,43,145,23,69,239,670,307,923,12,38,44,103,126,274,187,408,492,1330,24,45,3154,9208
6000,19933,39267,267,1485,1563,7167,524,2361,7828,30822,10184,41833,631,2518,1198,3773,2948,9067,4775,15357,14965,57185,63,277,433,1509,210,728,2434,6534,3139,9052,153,449,484,1006,1945,4039,2578,5494,5725,14545,372,759,40988,111754
6001,3059,6035,40,214,290,1359,65,302,1346,5171,1742,7048,111,451,202,633,450,1396,767,2478,2505,9528,25,93,114,394,34,123,630,1659,807,2266,54,166,153,333,399,834,599,1331,1409,3600,79,163,7050,19328
6002,3284,6485,60,314,276,1273,98,442,1484,5771,1912,7800,120,486,222,696,544,1643,887,2826,2796,10628,15,86,126,426,57,193,746,2035,940,2737,48,141,150,323,464,976,654,1434,1602,4174,87,171,7770,21455
6003,21288,42026,313,1747,2104,9664,510,2291,11749,45171,14677,58873,919,3748,2047,6761,3534,10920,6499,21428,21180,80302,109,476,787,2683,300,1044,4281,11159,5477,15366,376,1161,1144,2459,2996,6313,4510,9940,9982,25299,838,1751,53293,149381
6004,8515,16804,144,781,889,4121,223,973,4642,17995,5904,23868,401,1632,745,2445,1427,4413,2572,8486,8477,32355,40,203,309,1097,123,446,1702,4476,2182,6223,149,444,435,944,1269,2693,1849,4077,4028,10299,369,771,21386,60233
