SUA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
1010,72,0,0,0,72,18,0,85,2043,306,18,20,2388,40,29,68,2454,196,3,2653,3102,570,42,54,3775,52,13,65,3843,176,3,4024,275,32,43,0,352,5,0,12,362,13,0,370,34,0,0,31,61,7,0,7,71,3,4,73,5454,912,110,104,6580,104,44,154,6730,388,9,7120,46,22,0,3,71,26,6,35,104,3,0,103,128,23,10,0,153,27,13,44,194,19,0,210,169,46,10,3,223,55,18,78,300,16,0,314,5621,958,117,106,6799,164,67,231,7026,404,9,7437,1465,274,30,41,1809,75,22,101,1907,431,8,2353,4,0,0,8,20,0,0,0,20,0,37,59,7089,1234,145,156,8623,245,89,328,8958,834,61,9847
1011,29,0,0,0,29,3,0,28,1594,122,9,8,1730,26,3,27,1757,95,5,1851,1899,191,19,13,2125,10,8,21,2145,39,0,2179,223,22,25,0,262,3,4,9,274,0,0,272,12,0,0,15,29,0,0,0,29,4,0,40,3725,340,52,31,4148,38,12,53,4205,140,7,4347,35,14,3,0,50,7,0,7,49,0,0,49,46,0,0,5,51,0,0,0,51,0,0,51,74,15,3,5,99,7,0,7,102,0,0,101,3799,355,56,41,4244,42,12,62,4303,141,7,4451,795,76,27,16,914,55,0,55,968,138,0,1108,17,0,0,0,17,0,0,0,17,0,9,19,4614,427,81,55,5169,99,18,114,5289,282,16,5582
1012,7,0,0,0,7,0,0,8,343,71,10,5,428,3,0,3,429,50,3,482,561,107,14,8,683,15,3,22,705,55,0,762,48,8,7,0,63,0,0,0,63,3,0,65,10,0,0,11,22,0,0,0,22,0,0,22,949,192,24,25,1189,24,3,25,1213,105,3,1328,3,10,0,0,14,4,0,4,16,8,0,22,22,3,0,0,22,3,0,3,26,0,0,31,25,12,0,0,33,11,0,11,45,7,0,56,973,203,24,25,1224,32,3,35,1259,112,3,1381,237,77,7,15,335,23,3,21,361,119,0,475,7,0,0,0,7,0,0,0,7,0,0,6,1216,279,26,42,1566,51,4,59,1627,232,5,1864
1013,23,0,0,0,23,3,0,26,748,84,8,18,857,13,6,23,880,37,0,913,1009,131,13,12,1171,16,7,22,1195,41,0,1237,104,17,9,3,135,3,0,3,140,7,0,146,14,8,0,14,35,0,0,0,35,3,0,34,1878,237,37,45,2190,33,11,49,2240,87,0,2329,18,8,0,0,26,3,3,7,37,5,0,45,54,9,3,0,66,3,3,8,71,3,0,75,74,15,3,0,91,7,10,17,109,13,0,118,1950,252,37,45,2285,47,21,63,2353,102,0,2454,520,94,17,18,648,26,3,35,680,114,4,798,5,0,0,0,5,0,0,0,5,0,5,8,2472,344,58,66,2938,69,23,97,3034,214,6,3253
1014,7,0,0,0,7,4,0,9,502,63,12,3,579,7,3,11,587,30,0,623,700,139,11,4,857,15,5,21,882,34,3,920,61,23,10,0,92,0,0,0,92,7,0,101,3,6,0,0,9,0,0,0,9,0,0,11,1264,227,33,5,1527,27,8,39,1569,78,3,1645,20,3,0,0,22,16,3,18,43,10,0,54,48,4,3,3,53,15,3,16,68,3,0,76,69,3,3,3,78,28,10,34,110,17,0,130,1332,232,36,9,1605,54,17,76,1684,89,3,1775,433,77,4,9,526,12,11,22,549,167,0,718,3,3,0,0,9,0,0,0,9,0,0,7,1768,321,40,21,2142,68,28,97,2244,263,3,2505
1015,15,0,0,0,14,0,0,19,628,79,14,4,725,12,3,19,738,48,5,797,1199,83,10,6,1290,13,16,27,1319,60,0,1380,83,3,17,0,103,0,0,0,103,0,0,103,20,0,3,7,32,0,0,0,32,0,0,31,1926,163,38,21,2150,30,19,51,2196,108,8,2310,20,4,0,0,20,16,0,12,36,3,0,41,30,0,0,0,34,10,0,11,36,0,0,36,43,6,0,0,52,23,3,21,73,3,0,79,1970,164,38,21,2198,49,18,69,2269,109,8,2387,571,59,13,16,662,41,0,38,702,173,4,877,5,3,0,4,18,0,0,0,18,5,3,23,2551,226,57,45,2875,86,21,113,2990,286,14,3284
1016,7,0,0,0,7,0,0,11,320,85,4,3,408,4,4,9,415,26,0,441,428,85,19,7,532,5,0,5,540,59,3,604,35,9,11,3,62,0,0,0,57,0,0,57,4,3,0,8,13,0,0,0,13,0,0,16,787,175,31,19,1020,11,4,13,1029,80,10,1126,5,6,0,0,14,3,0,3,12,4,0,18,22,3,0,0,25,3,0,3,32,4,0,33,33,7,0,0,40,3,0,3,41,7,0,51,816,188,31,19,1057,13,4,22,1075,92,10,1176,263,54,5,19,348,27,3,29,379,184,0,570,0,0,0,0,0,0,0,0,0,0,12,12,1081,241,38,41,1405,39,11,48,1452,274,23,1752
1017,18,0,0,0,23,3,0,25,821,125,4,6,951,10,7,22,971,52,0,1028,1151,203,8,9,1380,15,4,22,1398,72,4,1474,87,12,15,3,114,4,0,7,121,3,0,123,7,3,0,10,20,0,3,3,27,0,0,27,2063,342,31,27,2466,31,18,50,2515,124,7,2643,16,12,0,0,27,12,0,12,42,0,0,42,48,14,0,0,61,10,0,10,75,7,0,75,62,30,0,0,89,21,0,21,114,7,0,114,2130,372,31,27,2559,50,16,70,2625,127,7,2761,517,162,9,11,697,28,20,43,741,154,0,902,0,0,0,0,0,0,0,0,4,4,7,14,2646,534,38,42,3253,79,42,120,3374,286,18,3675
1018,8,0,0,0,8,4,0,13,290,22,0,3,308,3,0,3,312,22,0,332,538,46,7,3,598,11,0,11,608,27,0,641,64,11,9,10,92,4,0,4,93,0,0,93,10,4,0,3,13,0,0,0,13,0,0,13,900,77,21,18,1011,17,0,18,1033,52,0,1083,0,0,0,0,0,5,0,5,6,3,3,15,23,5,6,0,36,0,0,0,36,6,0,41,30,7,6,0,40,5,0,5,47,11,3,55,930,85,23,18,1050,22,0,22,1079,62,3,1138,232,35,8,13,293,51,0,50,345,101,4,448,0,0,0,0,0,0,0,0,0,0,8,8,1162,122,32,30,1344,70,3,69,1419,160,15,1591
1019,65,0,0,0,67,8,0,73,729,90,8,3,833,12,3,14,846,68,3,911,1174,133,21,11,1338,29,0,30,1365,47,3,1417,81,14,6,7,107,0,0,0,110,11,0,117,19,3,0,16,42,0,0,0,42,0,0,42,2000,241,30,41,2317,40,5,43,2356,124,8,2491,6,0,0,3,9,5,0,5,22,6,0,27,43,12,0,0,60,14,0,14,73,0,0,73,54,13,0,3,74,20,0,20,95,6,0,93,2051,257,30,44,2388,62,5,64,2450,130,8,2585,597,102,17,20,739,41,4,45,782,148,6,931,4,4,0,0,11,0,0,0,11,0,12,16,2656,366,47,64,3136,102,5,103,3240,270,19,3533
1020,6,0,0,0,6,0,0,6,376,25,6,4,404,6,0,6,414,9,0,421,733,60,11,11,823,13,0,13,831,11,0,850,55,5,11,0,74,0,0,0,74,0,0,70,9,3,0,15,23,0,0,0,23,0,0,23,1176,86,31,27,1324,20,0,17,1338,26,0,1368,22,0,0,0,22,6,0,6,27,0,0,28,34,3,0,0,33,4,0,4,40,0,0,40,54,3,0,0,59,9,0,9,62,0,0,68,1230,91,31,27,1375,26,0,31,1408,29,0,1434,424,59,19,10,510,14,0,14,533,62,0,593,4,0,0,0,4,0,0,0,4,0,3,5,1657,148,48,34,1895,45,0,48,1936,86,3,2033
1021,6,0,0,0,6,0,0,6,332,20,9,7,368,14,3,15,383,23,0,400,660,58,5,8,726,8,0,8,734,10,0,752,54,11,10,0,71,0,0,0,72,3,0,80,10,0,0,9,19,0,0,0,19,4,3,22,1050,87,21,23,1182,22,3,25,1211,44,3,1249,18,4,0,0,23,7,0,7,34,5,0,37,38,3,0,8,44,0,0,0,44,0,0,44,56,8,0,8,69,7,0,7,74,5,0,84,1105,93,21,25,1251,31,3,33,1282,51,3,1332,449,41,22,9,521,51,3,50,570,110,0,686,5,3,0,0,5,0,0,0,5,0,12,24,1564,137,39,38,1780,84,6,84,1861,161,14,2041
1022,42,0,0,0,42,10,0,50,731,97,17,4,849,10,5,13,864,52,0,913,1182,174,19,7,1383,6,8,17,1402,63,0,1461,70,3,28,0,102,0,0,0,102,8,0,113,9,0,0,15,23,0,0,0,25,5,0,34,1998,276,63,25,2365,20,14,33,2398,123,0,2521,17,4,0,0,21,0,0,0,21,4,0,18,68,10,0,0,76,3,0,3,75,10,0,82,84,13,0,0,92,3,0,3,97,11,0,104,2080,293,66,25,2459,19,14,32,2493,132,0,2627,513,116,10,19,658,32,6,41,699,82,0,781,4,0,0,0,5,0,0,0,6,5,7,19,2593,408,75,47,3125,50,24,77,3197,223,6,3424
1023,1250,31,13,40,1298,197,7,1500,14867,1702,222,89,16886,380,84,461,17343,1096,21,18461,27231,2931,382,213,30755,426,71,500,31257,993,22,32275,2476,257,327,24,3089,50,18,62,3149,81,5,3239,259,24,3,235,522,10,0,10,532,26,15,578,44835,4921,934,562,51249,864,174,1037,52285,2200,62,54548,423,107,3,17,548,106,12,115,664,58,0,723,1092,154,18,20,1286,105,34,137,1420,108,8,1538,1517,264,21,34,1835,209,44,253,2083,170,11,2263,46353,5177,958,597,53082,1071,214,1289,54368,2372,68,56814,11576,1499,341,274,13692,624,141,767,14463,2488,40,16993,68,22,4,44,134,0,0,0,134,31,104,269,58001,6698,1301,915,66914,1700,357,2058,68966,4892,216,74076
1024,42,0,0,0,42,10,0,47,929,138,27,3,1097,19,10,29,1123,64,0,1185,1689,188,30,11,1914,18,13,33,1950,83,5,2036,132,10,21,0,164,9,0,9,168,20,3,191,7,0,3,34,38,0,0,0,39,7,0,44,2754,331,79,50,3215,48,19,70,3280,174,12,3460,24,10,0,0,34,5,0,5,36,3,0,40,58,18,0,6,78,0,0,0,78,24,0,105,81,29,0,5,113,5,0,5,118,25,0,142,2836,359,79,50,3327,53,19,76,3396,200,12,3604,953,142,25,23,1138,61,0,69,1209,287,4,1498,3,0,0,0,3,3,0,3,10,0,18,27,3787,498,104,75,4469,116,27,144,4616,489,31,5129
1025,29,3,0,3,32,9,0,37,1572,163,22,19,1769,50,13,62,1833,75,11,1917,2220,196,32,20,2469,18,0,20,2489,92,9,2587,211,21,35,3,267,3,0,3,272,0,0,275,26,3,0,28,60,0,0,0,60,0,0,60,4026,383,83,69,4571,68,12,80,4649,162,17,4829,50,9,0,0,56,3,0,3,62,9,0,72,98,3,3,0,110,10,3,12,119,4,0,124,149,12,3,0,161,13,3,14,178,15,0,196,4179,395,87,69,4733,80,13,101,4828,179,17,5025,951,150,26,33,1155,50,5,62,1211,216,0,1428,0,3,0,5,13,0,0,0,13,0,3,16,5128,550,115,105,5897,131,21,160,6057,390,25,6470
1026,7,0,0,0,5,0,0,7,383,38,4,3,427,6,7,17,442,19,0,466,612,44,4,5,664,3,0,3,671,14,0,681,59,0,3,0,60,0,0,0,60,0,0,60,3,0,0,15,23,0,0,0,23,0,0,23,1060,88,7,23,1180,11,7,15,1195,31,0,1228,6,6,0,0,12,3,0,3,17,0,0,17,18,3,0,0,19,0,3,6,25,0,0,30,24,9,0,0,37,7,3,12,47,0,0,49,1080,100,7,23,1215,17,7,25,1242,38,0,1271,298,30,10,0,339,30,4,32,372,79,4,458,0,0,0,4,9,0,0,0,9,0,0,6,1381,127,22,33,1560,45,20,58,1621,115,3,1742
