SUA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
1018,35,71,105,1207,1319,2524,0,0,0,96,109,206,77,65,145,1446,1611,3051,0,0,0,22,22,43,35,59,89,3,10,21,7,4,15,0,0,6,22,27,48,33,38,70,252,290,548,20,30,51,10,14,28,375,454,829,101,103,209,0,0,5,3707,4168,7870,31,21,47,13,21,31,5,8,11,0,3,3,4,4,12,15,31,42,19,41,56,1594,1373,2968,10,5,20,15,12,27,1619,1395,3014,1054,632,1680,6475,6345,12818
1019,65,97,163,2288,2664,4951,0,0,0,206,287,490,3,4,6,1968,2165,4139,3,6,10,38,27,67,71,103,177,12,19,33,15,24,39,8,7,13,54,71,126,75,107,180,279,285,560,64,94,163,1240,1375,2617,422,524,950,334,399,732,63,78,139,7146,8242,15390,19,10,26,47,30,80,5,7,14,0,4,4,4,6,14,16,37,53,23,47,70,3219,2696,5917,32,21,53,14,36,52,3270,2749,6019,989,931,1912,11567,12110,23679
1020,29,42,66,1383,1606,2991,0,0,0,87,82,174,0,0,0,1585,1732,3316,0,0,0,21,20,43,32,33,67,16,12,22,12,12,25,3,3,3,11,6,14,78,78,156,190,230,424,14,12,28,3,3,7,180,215,395,68,103,173,7,4,11,3676,4166,7840,11,8,21,3,5,11,3,0,4,0,0,3,7,9,19,7,17,28,20,29,46,1413,1180,2596,8,3,13,3,3,10,1429,1188,2609,555,566,1126,5722,6003,11728
1021,21,33,60,1621,1747,3365,0,0,0,74,84,165,0,0,0,1460,1500,2958,4,0,4,11,12,22,24,36,58,9,5,20,8,3,16,0,3,7,16,14,34,30,36,70,167,168,331,11,15,25,16,21,34,173,209,377,112,111,225,3,11,14,3737,3976,7712,26,24,58,23,20,39,4,3,9,0,0,0,8,3,12,7,15,30,17,24,45,1537,1305,2841,13,11,29,9,7,17,1559,1323,2885,793,482,1270,6183,5889,12075
1022,99,150,248,2930,3438,6368,0,0,0,179,193,371,0,0,0,2788,3114,5898,5,14,23,91,93,181,43,50,90,15,12,22,40,40,76,6,6,12,33,35,71,225,284,505,481,544,1022,27,42,73,15,18,36,599,706,1302,248,312,559,7,8,13,7725,8898,16623,22,31,53,23,13,35,16,12,22,0,3,8,3,0,7,20,36,53,30,38,69,3721,3270,6995,32,27,63,23,27,51,3784,3328,7110,1273,1323,2588,12961,13785,26748
1023,1703,2417,4114,45131,51886,97018,0,0,0,4229,4695,8928,192,185,375,48851,54663,103515,145,204,347,2171,2157,4332,579,746,1330,456,529,983,394,483,877,77,78,149,1089,1192,2285,2410,2731,5138,6401,7135,13538,936,1168,2105,781,937,1723,10385,13665,24050,4986,5728,10716,255,285,536,129473,148459,277930,1122,1055,2176,1480,1188,2663,106,102,209,69,56,125,224,205,433,463,672,1135,759,936,1692,72452,63022,135471,942,770,1714,306,455,767,73703,64249,137951,18863,17449,36316,227212,235842,463052
1024,127,191,321,3681,4203,7886,0,0,0,288,304,590,3,0,5,3334,3716,7050,49,55,108,81,72,153,79,109,194,26,40,64,45,46,90,9,8,18,45,48,86,199,247,449,644,736,1381,75,78,144,19,14,38,575,708,1280,462,456,921,12,12,24,9607,10858,20466,82,59,143,48,48,101,12,13,23,17,7,20,10,17,26,40,94,136,69,115,183,5356,4860,10216,56,55,109,37,37,68,5449,4950,10398,2432,1730,4158,17823,17970,35795
1025,99,134,233,3580,4306,7889,0,0,0,211,232,449,119,132,256,5556,6090,11651,18,16,39,93,73,165,43,58,98,18,20,40,35,50,79,12,9,24,189,197,385,196,247,445,468,522,991,52,51,97,32,50,82,1095,1353,2447,462,509,972,7,8,14,12199,13927,26124,129,137,267,77,66,148,7,4,8,5,3,10,32,34,62,36,67,104,76,104,178,4484,3961,8445,40,33,76,16,15,28,4543,4011,8548,1640,1583,3227,18777,19961,38741
1026,29,20,45,1320,1528,2850,0,0,0,152,152,303,30,29,56,1523,1635,3164,0,0,0,4,3,8,4,15,13,3,3,10,26,26,53,8,14,19,7,13,15,56,68,123,190,222,409,14,19,36,14,13,30,310,400,717,87,100,180,0,0,0,3739,4247,7988,11,11,23,13,7,22,0,0,0,0,0,0,3,0,4,3,13,11,7,10,21,955,816,1772,4,6,10,3,3,4,960,825,1785,538,547,1088,5298,5676,10977
1027,136,201,339,4620,5813,10433,3,0,5,202,230,436,0,0,0,5043,6093,11134,17,25,40,65,78,142,69,103,176,34,32,65,59,75,127,10,13,24,99,98,196,289,332,620,712,871,1587,95,136,232,139,175,306,811,1079,1892,583,756,1336,16,25,36,12863,15938,28797,85,79,173,24,24,43,16,25,42,9,10,19,13,14,31,42,74,115,66,94,164,6272,5532,11811,51,60,112,38,68,102,6361,5664,12023,1912,1886,3800,21473,23907,45379
1028,41,68,113,2292,2378,4675,0,0,0,99,115,218,67,64,129,1987,2034,4022,0,0,3,5,12,18,14,18,35,7,8,10,18,17,34,0,3,4,43,48,93,43,53,95,203,165,370,11,12,21,18,8,31,336,383,720,148,151,299,27,24,50,5315,5498,10816,16,20,32,33,20,52,0,5,10,0,0,0,3,0,3,13,25,31,17,25,35,2063,1667,3724,28,22,51,12,8,16,2093,1696,3791,657,583,1245,8177,7916,16089
1029,63,86,144,2150,2529,4683,0,0,0,106,126,233,0,0,0,1734,2045,3772,0,3,5,104,88,192,67,81,150,18,16,34,34,49,88,0,5,6,23,40,65,56,71,125,224,247,472,24,31,56,6,9,15,228,292,516,170,207,379,4,8,7,4949,5839,10783,15,12,23,18,11,29,0,9,15,4,10,9,0,3,3,26,33,54,29,40,64,2919,2652,5574,28,21,48,14,25,39,2963,2700,5655,770,701,1472,8801,9393,18197
1030,79783,102717,182503,228942,264641,493580,5304,5589,10894,25110,28528,53642,1386,1458,2838,534028,584998,1119028,1889,2153,4050,79511,83384,162900,4434,5829,10267,5606,5969,11580,3956,4784,8741,12614,12828,25440,9540,10747,20283,22565,26462,49024,40048,45563,85613,2139,2872,5014,4469,5384,9849,38066,47042,85111,47025,53050,100074,1915,2137,4053,1068556,1193416,2261974,88780,80169,168946,132923,119288,252214,16783,18018,34795,191,228,416,14477,12253,26733,10528,11590,22115,25198,24071,49260,570987,514590,1085579,6237,4937,11177,2423,3397,5821,579650,522928,1102572,201736,192807,394543,2193398,2253408,4446805
1031,99,144,240,5330,6285,11608,0,0,0,200,266,468,67,73,134,4772,5520,10290,9,14,23,34,28,65,77,108,184,20,22,38,27,39,69,5,7,8,44,61,106,277,300,576,731,862,1593,75,81,158,44,50,89,765,962,1727,342,405,744,8,16,31,12819,15097,27912,112,100,209,87,69,159,3,4,4,15,10,29,29,26,63,29,45,74,78,88,160,4541,3731,8280,56,47,104,26,24,51,4624,3805,8433,2001,1889,3887,19809,21197,41006
1032,72,104,180,3449,3928,7375,0,0,0,325,374,700,7,3,9,2078,2442,4523,26,44,72,41,31,71,67,92,162,42,47,91,15,16,34,10,9,24,33,41,74,108,139,247,509,571,1081,104,141,242,42,55,93,647,829,1477,295,379,677,3,3,11,7789,9152,16943,40,28,64,35,19,52,5,7,11,3,3,11,4,0,3,29,44,77,42,44,85,3175,2876,6049,31,22,51,18,17,37,3228,2915,6139,1164,1219,2382,12367,13485,25852
1033,68,125,192,1715,2027,3743,0,0,0,131,175,309,0,0,0,1568,1808,3372,4,8,9,35,39,70,31,41,68,3,9,10,28,25,55,0,0,0,19,34,46,37,36,76,198,233,430,16,11,24,9,9,15,307,399,711,132,150,283,8,5,15,4234,5013,9246,15,16,33,12,8,14,4,3,10,3,0,3,8,3,9,14,23,35,27,25,50,2319,1985,4307,19,17,34,14,21,33,2353,2028,4381,660,691,1350,7368,7905,15278
1034,167,175,337,4852,5629,10480,0,0,0,330,346,684,94,98,189,8022,8974,16996,46,40,87,84,72,155,59,80,134,26,42,68,262,346,605,77,76,160,105,108,216,252,300,549,1190,1406,2593,59,63,118,67,58,127,1051,1338,2388,440,515,950,12,7,17,17019,19503,36527,227,177,400,301,240,544,3,9,16,6,15,22,38,30,67,36,64,98,78,104,186,6333,5704,12039,75,63,141,35,34,71,6447,5805,12248,2140,2024,4168,26380,28035,54411
1035,1328,1873,3201,23472,27548,51016,9,8,19,1193,1362,2557,148,139,286,35404,39177,74576,153,181,332,5676,5635,11314,549,747,1302,207,234,439,521,668,1193,141,141,281,340,429,766,1285,1592,2872,3229,3810,7042,372,460,826,159,206,368,4366,5529,9897,3990,4201,8189,71,123,193,81289,92185,173478,807,622,1433,2749,2527,5270,73,59,137,35,31,70,70,58,125,316,473,783,416,559,976,41973,35698,77669,473,383,852,193,307,505,42637,36392,79031,11384,10775,22156,140690,144995,285678
2000,2002,2792,4796,46953,53717,100669,3,3,5,3615,4045,7656,298,280,576,70258,73997,144257,616,762,1373,1763,1531,3287,809,1039,1843,358,408,767,2938,3266,6206,76,61,134,829,888,1715,2118,2420,4544,11854,12211,24064,809,1064,1877,517,673,1187,22448,26753,49202,6367,6996,13358,208,253,457,172836,190355,363194,723,601,1321,886,713,1598,152,177,335,30,33,66,359,286,643,816,1276,2092,1207,1598,2806,125093,109990,235078,985,810,1788,469,726,1193,126543,111520,238063,41119,35841,76961,345471,343603,689078
2001,50,86,138,1067,1360,2430,0,0,0,96,122,221,3,3,8,2714,2997,5708,4,10,10,127,95,218,33,45,74,15,19,30,59,82,137,0,0,0,25,28,58,59,69,129,172,235,407,15,9,27,17,23,45,360,504,862,204,229,434,7,5,14,4963,5831,10796,69,51,119,31,18,45,3,3,4,7,5,8,54,36,94,15,42,60,76,86,161,3831,3439,7271,35,35,68,13,19,37,3883,3495,7374,875,833,1711,9944,10407,20345
2002,34,53,85,1119,1416,2538,0,0,0,97,95,190,63,67,130,1274,1537,2808,7,9,16,12,3,18,26,34,58,7,7,14,13,21,36,3,0,7,11,10,23,67,101,166,179,235,412,24,49,77,20,24,42,300,440,741,136,150,287,3,3,4,3364,4207,7571,41,31,68,13,14,20,0,3,3,0,0,0,7,7,13,7,29,40,15,37,57,2562,2491,5052,14,28,38,8,11,12,2587,2524,5113,853,953,1809,6905,7819,14728
2003,316,429,749,4682,5916,10600,0,0,0,412,476,891,102,90,191,11273,13086,24352,389,553,945,183,205,386,107,158,263,55,71,127,232,295,531,21,17,37,102,128,225,295,343,640,1234,1505,2748,164,216,381,60,94,151,2869,3897,6769,832,970,1798,24,21,47,23048,28038,51087,333,278,615,247,176,427,17,25,41,7,5,14,108,104,218,121,169,299,238,284,527,18952,17935,36883,179,147,329,56,99,159,19185,18182,37372,4542,4527,9062,47944,51943,99885
2004,427,549,977,5397,6736,12133,0,0,0,919,1037,1959,74,72,142,9649,11162,20808,64,88,148,149,139,289,116,141,255,80,93,170,155,175,331,41,39,78,74,80,158,422,534,956,894,1090,1987,87,133,223,92,105,195,2742,3678,6424,967,1117,2079,14,16,31,21935,26433,48365,243,233,478,237,214,450,21,20,40,5,7,14,104,82,189,94,168,268,210,259,471,17617,16467,34087,149,136,286,39,90,128,17806,16692,34500,4584,4514,9101,45463,48916,94378
2005,30,28,57,593,736,1330,0,0,0,51,57,105,0,0,0,1679,1766,3445,0,3,6,19,17,37,21,22,42,3,3,8,12,23,37,6,0,5,10,13,24,22,28,54,292,311,604,19,20,37,5,7,12,376,582,960,84,101,187,3,4,12,3184,3712,6896,11,10,19,77,21,101,0,3,5,0,0,0,5,3,13,4,7,10,6,12,22,2065,1890,3946,20,16,32,15,5,14,2093,1902,3996,589,559,1153,5995,6258,12250
2006,51,61,110,1630,1956,3590,0,0,0,76,116,193,4,0,4,2454,2750,5207,17,33,48,20,22,40,11,21,31,9,9,21,57,53,108,3,4,9,9,23,32,80,75,150,317,416,734,21,45,59,5,3,14,667,969,1631,161,170,333,4,5,12,5542,6672,12216,24,18,44,11,4,18,0,3,3,0,3,3,6,4,14,6,12,17,14,16,29,3198,2860,6060,21,22,42,10,8,17,3229,2883,6116,944,945,1885,9816,10611,20424
2007,1048,1393,2447,11692,14904,26598,0,0,0,2186,2499,4690,87,80,166,29118,33215,62330,168,220,389,1799,1842,3640,304,398,696,130,158,285,854,1096,1955,49,42,95,253,350,600,724,828,1554,3108,3685,6791,256,333,589,114,151,267,5321,7443,12766,2812,3398,6211,87,114,197,59068,70751,129816,1013,703,1714,1426,1122,2553,57,56,118,10,7,19,386,333,720,274,345,622,675,684,1362,44155,41005,85158,435,306,746,183,265,451,44775,41578,86359,12009,11086,23102,120081,127382,247459
2008,48,73,121,1243,1462,2699,0,0,0,61,73,140,0,0,0,2681,2699,5382,32,37,62,73,77,148,18,24,36,10,13,20,45,55,103,0,0,3,18,22,39,45,54,104,228,234,464,3,10,14,23,21,41,418,578,995,179,204,386,3,3,9,5079,5561,10644,13,8,24,23,22,44,7,4,15,0,0,0,6,9,17,13,18,26,18,27,39,3895,3588,7486,35,40,80,17,17,32,3945,3651,7595,878,857,1731,10017,10202,20218
2009,27,41,69,749,967,1720,0,0,0,45,33,81,0,0,0,1362,1477,2835,112,151,264,25,15,43,4,3,8,0,12,17,630,732,1363,8,3,11,12,7,19,115,126,239,165,182,351,26,46,66,11,20,32,1049,1399,2451,120,157,272,5,5,11,4432,5346,9773,39,37,76,43,32,74,5,4,5,0,3,3,8,10,15,17,13,28,22,23,51,2557,2284,4838,11,11,26,4,14,20,2578,2309,4881,660,653,1316,7806,8448,16250
