SUA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
1010,0,0,0,0,5,6,3,0,5,21,3,0,9,23,6,13,11,0,0,62,13,50,72,538,126,114,72,30,15,1032,0,0,0,15,9,5,8,0,4,43,0,12,18,7,0,0,0,0,0,40,0,0,0,4,0,3,0,0,0,13,0,14,5,60,18,21,22,7,5,154,0,3,3,10,5,15,47,29,19,132,3,11,8,22,4,7,3,4,0,65,0,6,11,38,6,0,0,0,0,57,0,0,0,0,3,5,0,0,3,19,24,22,4,26,16,15,10,0,0,116,0,0,0,0,0,9,23,7,4,40,0,0,0,0,4,5,0,0,0,13,0,38,62,146,39,9,4,3,0,297,0,0,3,3,0,0,0,0,0,11,0,0,3,11,15,45,77,48,19,214,8,45,56,234,174,209,155,64,22,963,0,3,0,14,3,10,16,20,3,64,3,24,21,11,9,8,0,0,0,65
1011,0,0,0,3,3,6,7,8,0,30,0,0,3,5,3,3,0,0,0,23,10,31,15,252,29,12,5,4,0,357,0,0,3,15,0,4,4,0,0,25,0,0,0,23,0,3,0,0,0,26,0,0,0,6,0,0,0,0,0,8,0,9,0,18,4,4,6,3,3,37,0,0,0,4,0,6,6,7,6,33,0,3,0,3,0,0,0,0,0,9,0,0,9,40,0,0,0,0,0,45,0,0,0,5,4,5,7,3,0,22,0,0,3,11,10,4,0,0,0,30,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,13,14,179,3,0,0,0,0,203,0,0,0,6,0,6,9,11,5,42,0,19,24,81,50,42,44,15,3,277,0,6,4,4,3,7,4,0,0,25,9,9,11,40,3,3,0,0,0,70
1012,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,3,0,0,0,7,0,0,3,16,0,0,3,4,3,40,0,3,0,3,3,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,3,0,6,8,7,12,0,36,0,0,0,7,0,3,16,17,7,54,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,5,0,3,0,21,0,0,0,0,0,8,18,7,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,4,12,35,18,8,80,0,4,0,32,26,56,56,26,14,208,0,0,0,0,0,3,6,0,0,12,0,0,0,3,0,0,0,0,0,3
1013,0,0,0,0,0,0,5,10,4,19,0,0,0,3,0,3,0,0,0,11,3,9,6,94,3,5,3,0,0,132,0,0,3,8,3,3,0,0,0,22,4,0,3,13,0,3,0,0,0,20,0,0,0,10,0,0,0,0,0,11,0,6,0,13,3,3,4,0,0,29,0,3,0,0,0,8,8,12,3,37,0,0,0,3,0,0,0,0,0,4,0,0,19,42,0,0,0,0,0,64,0,0,3,11,5,4,0,3,0,23,0,0,0,6,4,5,3,0,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,3,28,3,0,0,0,0,33,0,0,0,3,3,4,15,17,7,46,5,3,22,72,42,53,30,9,5,232,0,3,0,3,0,0,10,3,0,20,3,0,6,13,0,0,0,0,0,24
1014,0,0,0,0,0,0,0,3,0,10,0,0,0,3,10,4,0,0,0,18,0,3,0,36,4,0,3,0,0,44,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,4,3,0,0,7,0,0,0,0,0,0,3,0,0,5,0,3,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,6,20,4,7,40,0,7,4,34,17,25,24,9,6,130,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,5
1015,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,16,10,57,68,513,122,90,26,14,0,902,0,0,0,4,0,0,0,0,0,6,0,4,3,7,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,4,0,3,0,9,3,3,0,0,0,20,0,0,6,20,27,79,224,282,193,842,0,0,0,0,0,0,0,0,0,4,0,0,6,14,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,9,0,0,22,36,4,4,0,0,0,72,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,10,0,0,0,6,3,0,0,0,0,7,0,0,0,0,0,3,6,0,0,16,11,59,87,126,35,18,13,3,0,347,0,0,0,0,0,0,0,0,0,0,0,24,9,65,20,0,0,0,0,117
1016,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,26,0,3,5,3,0,38,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,4,3,8,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,12,8,0,22,0,0,3,25,20,24,14,3,0,90,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
1017,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,4,0,0,14,0,3,4,48,6,12,4,6,0,89,0,0,3,24,0,0,3,0,0,32,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,4,3,3,0,32,0,0,3,8,4,9,17,45,36,125,0,0,3,8,4,4,0,0,0,26,0,0,4,14,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,4,13,8,0,3,0,31,0,0,0,0,0,3,3,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15,23,7,3,55,0,12,23,56,76,85,30,5,3,292,0,0,0,0,3,4,3,3,3,20,0,4,0,14,0,4,0,0,0,22
1018,0,0,0,0,0,3,3,3,0,8,0,0,0,5,9,4,0,0,0,16,0,0,0,31,3,0,0,4,0,44,0,3,0,3,7,3,3,0,0,13,0,0,3,3,3,0,0,0,0,5,0,0,0,14,0,0,0,0,0,11,0,0,0,6,4,0,5,6,0,17,0,0,0,0,3,14,5,7,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,3,8,5,0,0,0,18,0,0,3,5,11,3,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,5,32,0,8,9,35,21,28,24,11,0,136,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3
1019,0,0,0,0,0,3,3,0,3,6,0,0,0,4,3,7,0,0,0,12,0,3,3,27,10,6,8,4,7,64,0,0,0,8,0,0,4,0,0,19,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,7,4,13,10,8,3,46,0,0,0,0,0,8,17,9,5,48,0,0,3,0,6,0,0,0,0,12,0,0,0,15,3,3,3,0,0,23,0,0,0,0,3,4,0,3,0,14,0,0,0,3,3,3,3,3,0,17,0,0,0,0,0,5,19,4,0,27,0,0,0,3,0,3,9,0,0,17,0,0,7,14,3,0,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,12,33,26,17,92,0,14,43,125,99,95,100,62,37,577,0,0,0,0,4,0,4,0,0,18,0,0,0,12,0,0,0,0,0,11
1020,0,0,0,0,0,3,0,3,6,12,0,0,0,0,0,0,0,0,0,3,0,0,0,25,5,3,0,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,15,0,0,0,0,3,3,0,0,3,13,0,0,0,4,0,0,0,0,0,6,0,3,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,0,22,0,4,4,40,29,20,15,10,3,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,0,0,0,0,0,4,0,0,0,4,0,0,3,4,0,4,0,0,0,12,5,8,0,46,10,5,5,0,0,77,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,0,0,0,3,16,0,0,0,0,0,0,3,3,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,11,3,3,0,0,0,13,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,5,3,0,12,0,13,13,63,38,31,10,3,0,169,0,0,0,0,3,0,0,3,0,6,0,0,0,3,0,0,0,0,0,3
1022,0,0,0,0,9,6,10,11,0,44,0,3,0,10,5,5,0,3,0,26,3,0,0,26,4,0,6,5,0,49,0,0,0,9,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,6,0,13,20,8,19,14,3,79,0,0,0,0,7,10,33,20,4,78,0,6,0,12,3,0,3,3,0,20,3,7,8,15,4,0,0,0,0,30,0,0,0,0,5,4,0,3,0,12,0,4,0,14,11,15,3,0,0,43,0,0,0,0,0,12,21,8,0,48,0,0,0,3,9,5,3,3,3,36,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,21,0,3,0,5,3,6,50,29,3,99,4,12,13,86,65,67,94,36,6,385,0,0,0,3,4,6,12,4,5,32,0,0,0,3,0,0,0,0,0,5
