SUA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
1010,25,19,184,284,68,703,43,412,27,1770,124,205,463,413,203,366,86,367,41,2256,557,1063,857,647,559,419,234,693,85,5118,750,1302,773,601,858,459,273,576,101,5701,923,1279,761,793,971,532,351,696,92,6397,690,1113,579,621,772,433,346,606,70,5233,190,237,105,75,173,104,104,116,28,1121,13,15,8,8,13,8,7,19,15,95,6,0,0,0,0,0,0,3,4,16,3288,5234,3716,3449,3622,3019,1448,3471,459,27704
1011,19,15,151,174,45,427,18,212,16,1080,69,167,378,303,145,238,59,207,22,1592,349,875,668,532,409,375,202,428,74,3908,424,763,440,401,462,286,181,323,46,3335,477,629,387,415,590,281,248,333,47,3398,340,488,268,264,483,222,204,293,32,2592,106,99,84,46,72,75,74,61,21,638,21,12,14,8,12,6,12,11,8,105,3,0,0,3,0,0,0,0,3,11,1798,3053,2381,2155,2217,1919,990,1866,274,16647
1012,4,3,46,48,14,210,4,93,10,425,31,35,85,79,13,82,14,58,12,418,93,188,174,152,84,105,38,113,10,959,124,211,191,158,131,125,51,114,18,1122,141,251,192,213,192,171,76,190,25,1454,181,287,164,157,209,139,81,174,29,1418,66,71,30,39,46,45,14,41,9,371,3,6,0,3,3,0,3,7,6,42,0,0,0,0,0,0,0,0,4,7,651,1059,883,843,692,879,279,797,124,6214
1013,10,10,90,102,30,249,15,125,10,640,50,62,222,174,72,139,42,135,18,909,201,309,379,330,239,191,136,205,37,2031,221,294,235,335,248,172,184,210,26,1935,247,324,262,352,311,153,189,264,34,2125,183,348,143,246,210,106,176,192,35,1646,46,64,35,36,51,40,54,33,10,371,10,10,3,3,6,3,6,4,3,48,0,3,0,0,0,0,0,0,0,4,968,1426,1366,1573,1170,1051,799,1175,168,9708
1014,3,7,35,48,19,158,3,107,8,392,24,40,114,113,51,98,36,76,6,566,84,203,218,174,140,113,85,140,13,1177,130,250,189,215,203,135,101,142,26,1377,154,230,168,257,241,114,104,151,22,1436,129,228,122,188,178,117,89,158,16,1211,34,38,29,28,46,17,37,39,13,280,22,6,4,0,4,3,3,3,0,46,6,0,0,0,0,0,0,0,3,12,581,1007,883,1021,891,752,455,812,106,6499
1015,6,10,92,70,21,226,14,115,8,561,63,66,161,85,63,103,30,229,10,805,201,356,320,212,195,152,100,464,36,2034,241,300,214,145,203,137,123,282,28,1675,269,259,207,177,245,147,122,295,33,1746,201,171,161,112,202,110,115,191,17,1271,71,42,37,20,51,24,46,51,16,348,19,0,0,0,3,0,3,8,4,42,3,0,3,0,0,0,0,0,0,8,1075,1199,1190,801,986,896,559,1641,148,8499
1016,5,8,26,37,11,126,6,89,7,320,20,18,70,69,31,61,20,76,7,373,40,124,137,120,86,86,59,127,21,800,93,132,100,147,109,75,70,108,18,850,107,144,133,161,144,80,104,145,15,1022,71,131,94,169,104,65,80,102,13,843,28,37,26,27,28,25,27,18,9,225,9,0,0,4,0,7,0,3,4,23,4,0,0,0,0,0,0,0,0,6,379,595,588,742,516,524,364,670,93,4467
1017,16,8,81,77,26,297,18,172,14,712,53,84,196,210,109,209,52,193,17,1119,175,451,374,321,248,248,115,267,34,2228,221,577,324,299,296,188,129,236,27,2301,261,499,311,348,429,215,152,322,37,2580,191,468,236,256,321,153,128,278,18,2035,57,97,41,54,67,32,44,53,9,466,15,8,3,0,10,7,3,4,3,52,0,0,0,0,0,0,0,0,3,9,992,2195,1558,1575,1512,1345,639,1529,160,11502
1018,0,3,52,47,13,74,8,86,5,290,16,33,102,70,43,43,23,70,8,410,58,124,199,98,119,94,112,81,22,906,67,109,154,119,130,71,116,92,10,856,102,137,155,125,159,72,135,108,18,1010,90,139,111,101,123,52,121,106,11,851,14,28,19,27,26,13,18,23,3,170,9,3,0,0,3,0,0,3,3,19,0,0,0,0,0,0,0,0,4,4,352,568,795,577,621,415,536,569,87,4523
1019,4,13,99,90,18,165,16,114,11,542,28,68,207,163,81,114,45,166,12,880,129,351,349,190,192,121,149,212,20,1701,204,377,331,199,243,122,147,174,37,1835,256,400,347,205,366,165,182,223,40,2179,196,367,230,151,255,119,160,160,29,1658,64,109,35,23,68,35,27,43,13,413,6,13,3,3,3,0,5,0,3,46,0,0,0,0,0,0,0,0,0,6,876,1694,1614,1026,1226,837,727,1091,161,9259
