SUA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
2002,9,35,26,31,41,42,21,50,8,257,15,21,14,24,35,42,5,25,51,230,285,718,658,831,1012,857,471,775,120,5729
2003,51,236,151,204,299,226,157,177,15,1520,70,179,90,114,219,220,71,148,331,1440,1741,6126,4752,5482,8033,7305,4156,5479,772,43841
2004,65,217,151,198,317,248,167,194,16,1571,57,165,99,130,242,220,86,168,278,1450,1814,5725,4404,5330,8101,6715,3870,4923,710,41593
2005,0,26,17,20,43,28,17,29,0,176,4,31,16,21,38,28,7,18,70,239,205,747,566,688,1089,721,500,657,128,5312
2006,13,51,36,40,86,75,24,47,0,373,20,29,23,20,58,53,23,49,102,379,395,1100,890,1095,1579,1443,861,1323,186,8863
2007,103,607,414,481,772,728,322,470,49,3941,165,484,303,349,593,720,245,488,896,4243,4399,15566,12579,13355,19304,20103,9798,14167,1958,111234
2008,4,48,41,37,47,57,37,72,4,340,8,51,33,32,47,81,28,61,59,407,384,1268,1096,1091,1426,1824,968,1652,155,9860
2009,12,42,29,44,68,75,31,39,10,346,6,27,25,23,46,30,7,32,66,271,312,974,760,922,1438,1253,670,897,147,7364
2010,1707,9567,8010,8179,15203,13579,6656,9021,824,72734,2804,9758,8132,7768,17875,18473,6032,10558,19095,100488,61717,238761,212122,220080,393418,415480,190036,272063,38591,2042271
2011,19,99,81,100,197,227,100,145,14,989,39,112,73,104,293,265,83,116,278,1354,885,2524,2177,2766,5595,5156,2269,2955,550,24867
2012,18,79,62,73,188,176,51,100,18,763,48,89,67,84,145,143,47,94,208,920,767,2523,1934,2557,4188,3553,1763,2921,476,20681
2013,6,30,22,31,58,49,13,33,0,242,8,21,15,13,43,37,12,26,81,271,255,869,702,768,1237,970,494,641,152,6085
2014,0,28,19,20,36,28,21,18,4,175,14,26,7,18,26,20,11,21,49,188,240,630,500,552,681,702,445,580,120,4446
2015,6,30,25,34,37,46,21,22,3,231,0,21,17,15,36,32,13,34,55,219,263,803,653,727,1020,1053,582,938,115,6155
2016,25,102,91,91,221,181,91,98,14,904,38,80,63,73,144,138,57,99,225,921,789,2400,1938,2565,4117,3769,1932,2536,456,20507
2017,3,22,14,15,50,36,24,19,3,190,10,22,11,16,18,29,13,26,36,178,190,576,406,550,905,882,418,630,108,4666
2018,12,96,53,56,129,129,46,92,8,616,27,49,40,38,83,81,36,68,159,580,710,2139,1676,1934,3217,2634,1580,2171,315,16376
2019,6,30,27,26,57,74,16,55,4,296,11,40,16,21,42,57,17,38,72,316,335,980,858,1087,1456,1360,659,953,166,7862
2020,13,99,73,87,154,125,70,118,6,747,38,60,51,41,68,102,44,82,137,633,613,1997,1591,1747,2513,2516,1464,2394,292,15136
2021,18,117,53,59,113,104,30,64,3,567,19,56,38,40,98,83,35,51,124,544,679,2319,1658,2074,2844,2579,1431,1900,300,15780
3000,351,1586,1054,1335,2116,2058,1096,2142,187,11927,675,1394,916,1192,1693,1894,807,2281,3299,14168,12629,32974,26993,36478,48389,44968,28472,73076,7760,311736
3001,948,4820,3946,4749,8326,7185,3910,5355,393,39640,1237,4109,3270,3515,7967,8054,2815,5754,7969,44686,33661,112268,99270,117754,213321,194579,99961,155383,17197,1043400
3002,25,116,98,123,222,155,103,139,14,998,51,106,74,85,178,136,86,119,208,1038,873,2984,2515,3674,5138,3750,2324,3962,487,25702
3003,61,285,270,331,604,513,282,421,30,2789,93,266,198,216,355,380,164,353,570,2596,2365,6517,5925,9163,14168,11293,6325,10006,1219,66979
3004,3,43,28,34,59,52,54,91,4,370,13,25,21,25,33,29,17,30,47,231,249,713,492,617,1042,890,803,1688,121,6615
3005,18,114,72,73,172,103,70,99,6,725,38,61,45,54,93,122,63,165,135,772,767,2021,1604,1948,3085,3002,2707,4290,309,19736
3006,273,1555,1236,1530,1990,2016,995,1594,134,11327,414,1444,1088,1345,2028,2404,848,1929,2493,14000,8631,34066,29734,39083,53067,49505,24213,43517,5252,287079
3007,13,44,35,37,83,50,40,66,6,361,24,33,21,42,43,44,19,39,80,348,311,915,744,1132,1412,987,649,1175,143,7464
3008,25,100,77,107,143,96,58,89,5,698,33,81,52,68,98,76,25,81,165,688,641,2275,1784,2519,3256,2324,1222,2339,326,16694
3009,3,27,11,17,27,36,23,29,0,179,5,15,12,12,14,12,9,23,41,153,167,505,380,565,825,605,382,718,79,4233
3010,44,183,128,157,414,267,211,404,20,1827,47,118,83,111,276,200,100,216,305,1450,1313,3697,2882,3998,6976,5405,4008,7431,701,36408
3011,11,62,36,48,71,49,36,45,5,366,15,44,20,28,64,43,21,48,68,362,315,1077,870,1231,1890,1168,717,1195,180,8648
3012,11,31,26,25,57,80,33,74,0,348,7,21,9,21,32,57,23,48,83,311,390,583,416,728,1310,1423,1790,2121,184,8941
3013,47,169,116,171,363,284,126,245,6,1527,45,110,51,77,195,172,81,144,212,1094,1313,3619,2828,3874,7683,5483,3045,5188,516,33555
3014,136,852,612,787,880,940,459,656,50,5377,190,715,477,604,768,883,336,893,1036,5893,4612,17992,14797,19553,22355,21182,11248,21007,2214,134972
3015,71,327,234,260,463,437,274,408,17,2496,63,205,115,146,304,297,154,308,362,1966,2065,6491,5322,7101,11752,9109,5842,9671,844,58198
3016,77,345,248,337,658,543,307,446,30,2991,90,235,153,207,453,429,151,336,555,2609,3119,8603,6515,9035,16941,13698,8308,13277,1293,80793
3017,4,36,22,28,44,47,21,37,3,245,6,23,8,19,37,28,11,20,61,219,223,780,580,752,1189,917,508,950,125,6031
3018,13,46,21,42,56,50,34,54,0,320,6,26,16,22,27,32,11,30,47,222,330,895,680,963,1386,1152,785,1490,130,7818
4000,129,569,349,473,732,752,374,642,51,4077,242,461,278,357,502,512,220,540,935,4042,5287,14260,11747,14786,17607,17209,10134,21967,2337,115337
4001,643,3060,2358,2942,5120,3823,2193,2576,218,22935,672,2147,1388,1735,3369,2649,1081,1921,3787,18754,21007,73964,59866,75797,125694,90795,53308,68381,8723,577526
4002,21,77,52,58,130,74,69,71,3,546,21,45,30,24,77,65,31,52,90,427,485,1632,1278,1711,2534,1829,1348,1937,199,12949
4003,3,47,22,31,62,51,22,28,0,263,12,28,24,20,50,42,5,19,53,247,270,861,651,905,1495,1259,571,728,129,6870
4004,4,14,15,18,51,43,22,22,3,189,6,17,8,13,14,11,5,12,48,140,244,548,484,637,1217,721,404,806,118,5182
4005,8,41,33,45,51,59,26,36,6,302,11,24,11,27,30,32,20,24,58,236,279,948,735,1003,1272,938,681,886,131,6873
4006,9,24,17,18,43,29,18,15,3,182,3,20,5,9,26,10,6,12,35,137,192,692,582,676,894,711,627,635,103,5115
4007,15,69,28,46,49,51,24,48,0,331,16,48,26,17,10,21,5,27,72,248,398,1416,1077,1372,1169,892,531,952,154,7958
4008,10,55,30,35,62,30,22,29,0,275,5,22,17,16,41,36,24,29,62,252,369,972,866,952,1665,1096,892,1321,157,8282
5000,175,567,417,456,618,824,382,864,72,4379,360,568,355,389,509,770,328,1184,1134,5593,6967,13025,10692,12444,14586,17809,12107,37272,2807,127710
5001,18,102,59,82,136,113,56,93,13,667,26,78,45,60,64,85,30,72,118,585,666,2035,1486,1920,2514,2141,1375,1951,253,14330
5002,3,26,20,31,57,50,27,57,9,292,13,27,14,32,46,51,18,58,78,340,325,511,458,758,1388,1252,682,1247,153,6774
5003,34,199,117,173,236,228,154,207,31,1377,69,145,85,90,168,217,86,188,219,1272,1430,4003,3170,3809,5368,4922,3523,5371,534,32139
5004,27,100,68,71,80,103,51,73,7,576,20,81,57,55,74,82,44,86,113,616,816,2330,1829,2166,2242,2313,1382,2671,281,16037
5005,13,23,24,37,56,55,43,34,3,296,13,22,13,18,30,38,19,37,40,239,298,698,465,661,811,839,574,985,103,5425
5006,19,84,66,76,129,155,60,131,4,722,31,75,42,55,90,111,50,122,140,713,799,1840,1448,1927,2725,2727,1514,2903,287,16177
5007,29,58,47,51,98,117,92,255,9,740,17,50,27,39,57,90,50,133,137,591,567,1238,896,1219,1938,2291,1844,4445,332,14768
5008,15,26,25,23,43,44,39,109,0,316,25,39,18,27,54,65,56,156,59,501,405,567,437,606,1023,1272,1231,2370,133,8040
5009,944,5010,3778,4072,7059,6683,3324,4801,345,36010,1427,4505,3220,3099,6488,8076,2977,5726,6655,42177,32941,111068,93119,97006,164490,169125,84367,137644,14861,904615
5010,9,15,8,17,40,24,33,119,8,267,17,19,12,18,28,26,25,75,62,284,382,419,339,461,846,865,816,2511,155,6797
5011,8,31,29,24,42,32,15,28,3,214,7,22,12,7,41,34,16,32,57,241,239,534,484,542,855,851,377,922,110,4917
6000,83,301,257,261,404,405,169,262,30,2170,154,287,170,236,327,346,134,272,611,2546,3003,7916,6991,8062,10329,9241,5189,9268,1416,61417
6001,15,52,47,57,101,77,35,52,0,433,22,50,28,25,44,60,25,36,76,364,440,1407,1144,1329,2076,1516,889,1360,186,10348
6002,9,77,47,64,117,80,45,64,8,507,19,55,33,51,61,55,28,43,94,442,517,1593,1284,1569,2175,1773,1046,1443,204,11605
6003,83,496,377,461,711,527,295,373,31,3345,121,321,225,258,412,383,128,245,564,2660,3697,12081,9996,12147,19385,14432,7897,10118,1294,91048
6004,38,201,166,163,294,238,128,158,18,1413,55,131,85,96,196,153,68,111,253,1152,1488,4905,4067,4916,7569,5644,3142,4183,560,36473
6005,10,36,23,31,56,41,26,30,0,256,15,30,18,9,48,31,11,13,34,210,265,790,647,753,1043,854,580,673,93,5693
7000,57,156,142,169,341,313,83,204,74,1539,96,99,52,75,182,184,59,194,512,1436,1238,1725,1616,2210,5130,4659,2206,5615,974,25367
7001,17,46,28,38,168,114,59,81,0,543,23,13,19,30,97,81,37,61,101,464,531,788,673,1079,3261,2567,1379,2089,239,12608
7002,55,178,148,186,474,438,224,369,35,2096,108,171,133,167,424,473,193,549,610,2816,2742,4224,4033,5151,13852,12216,6740,14388,1391,64731
8000,0,4,3,6,0,9,0,6,0,21,0,4,0,3,4,3,3,0,8,31,45,83,54,77,121,139,65,127,16,726
8001,170,885,672,739,1421,1168,712,944,76,6785,203,649,398,428,928,1038,394,641,1382,6054,9155,22169,17822,21773,51407,45413,23571,29805,3344,224464
9000,5,5,7,4,8,9,3,8,3,58,4,13,7,10,16,16,4,12,24,110,122,213,149,209,501,331,236,341,69,2170
