SUA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
3011,8936,22329,553,765,123,199,678,960,344,499,4,7,11,14,0,0,358,519,113,171,28,59,8,14,5,14,158,264,39,66,10166,24140,1088,..,11253,24140
3012,4610,13354,786,1448,124,220,908,1670,338,655,4,10,0,0,0,0,349,663,44,109,0,4,0,4,16,52,67,169,57,121,5992,15976,1238,..,7230,15976
3013,23447,62620,1439,2381,522,825,1964,3203,1023,1702,35,60,81,139,13,22,1151,1921,88,150,32,59,7,15,27,84,159,308,135,275,26863,68336,3715,..,30572,68336
3014,82727,226385,8585,14236,6921,14043,15509,28275,5831,10203,2883,5280,5496,10295,36,57,14252,25829,749,1174,605,864,62,130,61,145,1476,2317,653,1307,114615,284117,16953,..,131571,284117
3015,38291,103374,5007,8121,1359,2388,6363,10505,2318,3900,58,76,73,116,3,6,2453,4095,71,112,11,31,10,22,91,267,187,430,288,537,47572,118939,5018,..,52594,118939
3016,48750,135484,4056,6527,2682,4835,6739,11362,1906,3149,1347,2274,1452,2647,8,20,4719,8083,223,387,98,176,13,37,29,83,365,682,178,344,60746,155954,7472,..,68213,155954
3017,5008,12803,541,798,42,88,585,888,119,184,0,0,0,0,0,0,119,184,31,42,9,7,5,15,3,22,47,80,30,79,5794,14029,735,..,6530,14029
3018,5332,13945,291,446,108,189,399,637,538,797,61,97,68,124,0,0,667,1019,81,133,42,64,4,5,3,8,130,213,47,88,6577,15901,1237,..,7810,15901
4000,92241,222513,2868,4419,65,130,2936,4547,1426,1993,25,36,3,5,5,10,1462,2040,582,879,266,444,152,249,340,732,1337,2309,729,1561,98701,232974,32273,..,130977,232974
4001,362021,957614,62089,116360,20886,46874,82979,163227,28587,48589,3974,6963,5622,9853,93,173,38273,65578,473,748,302,461,61,117,516,1215,1352,2539,1470,3221,486101,1192180,46884,..,532978,1192180
4002,8740,22051,1372,2559,42,71,1409,2627,910,1368,0,0,16,23,0,0,924,1393,15,31,8,17,4,9,11,16,39,76,50,98,11159,26244,1484,..,12646,26244
4003,5802,14397,811,1415,15,37,823,1450,44,67,0,0,0,0,0,0,44,67,19,25,16,23,7,6,3,7,47,71,52,113,6771,16100,852,..,7621,16100
4004,3892,9615,608,1267,33,90,640,1357,286,435,0,0,0,0,0,0,286,435,29,46,12,13,0,3,9,26,48,87,34,76,4908,11571,924,..,5836,11571
4005,4787,11833,599,1105,75,176,678,1275,298,406,0,4,0,0,0,0,302,404,24,37,9,9,6,19,8,8,44,83,32,65,5841,13664,1005,..,6847,13664
4006,4671,11044,778,1295,16,35,786,1331,112,137,0,0,0,0,0,0,112,137,22,40,0,0,0,0,4,3,27,47,28,73,5631,12634,844,..,6472,12634
4007,9772,20887,690,983,142,268,833,1252,183,243,12,26,13,16,3,3,214,291,14,26,67,86,0,3,7,23,93,144,36,70,10945,22641,6205,..,17151,22641
4008,4870,12174,3409,6981,14,23,3417,7004,363,499,21,30,0,0,3,6,392,538,18,30,3,16,0,6,8,18,34,71,27,51,8742,19837,1773,..,10511,19837
5000,84246,216201,2830,5045,166,320,2998,5370,1141,1829,28,49,0,9,15,18,1188,1901,1369,2397,169,292,369,815,390,828,2299,4332,908,2027,91646,229829,28029,..,119673,229829
5001,10959,27424,932,1311,87,145,1020,1448,39,63,0,0,0,0,8,16,46,78,93,126,72,108,8,20,13,25,182,282,64,138,12261,29372,2220,..,14473,29372
5002,3353,9896,219,430,152,330,377,763,311,632,5,5,0,0,0,4,316,644,292,531,3,3,23,37,27,76,347,649,104,204,4497,12153,677,..,5171,12153
5003,21871,58312,2347,4102,391,756,2734,4855,744,1076,82,150,37,66,0,0,866,1293,127,186,124,177,3,11,9,16,264,390,57,137,25798,64984,3522,..,29314,64984
