SUA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
1010,6017,5849,2460,132,14463,3583,599,18638,418,193,300,16,925,963,67,1956,342,193,206,10,747,516,85,1354,760,383,500,24,1674,1483,154,3310,323,173,313,21,827,1116,136,2087,54,43,34,3,136,159,26,320,88,22,23,3,124,151,14,301,0,0,0,0,3,6,3,9,460,237,367,23,1097,1441,184,2714,53,6,4,0,66,126,3,199,82,19,19,3,124,204,16,342,15,0,5,0,18,22,0,44,12,9,3,0,24,10,0,38,159,31,26,8,227,371,25,621,74,42,19,0,137,109,19,266,7475,6549,3375,193,17596,6981,975,25549
1011,2883,3465,1625,142,8115,2148,334,10597,170,89,108,13,383,483,48,912,13,3,3,3,17,30,3,55,181,89,115,14,399,514,54,964,242,79,62,9,398,719,48,1157,0,0,0,0,3,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,79,62,9,399,730,49,1172,6,4,0,0,7,15,3,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,11,23,10,0,44,13,3,56,14,27,12,0,51,30,3,88,13,12,3,0,29,21,0,52,3341,3672,1819,165,9000,3440,442,12879
1012,2208,1157,643,48,4057,1361,133,5549,476,70,138,11,699,748,43,1494,61,22,40,3,122,85,6,218,537,98,173,11,819,839,50,1710,81,28,89,3,204,373,31,600,60,12,41,3,113,173,18,304,125,25,52,4,203,181,18,405,0,0,0,0,0,0,0,0,263,62,175,14,520,726,64,1304,9,3,0,0,12,27,0,41,24,7,3,0,27,42,5,74,0,0,0,0,0,0,0,0,7,4,9,0,18,19,5,39,34,8,15,0,57,87,9,153,21,7,6,0,41,32,0,73,3071,1333,1012,76,5490,3047,256,8794
1013,2009,2115,1008,83,5215,1861,172,7248,121,61,70,9,261,445,21,731,13,14,21,0,56,64,9,124,139,74,95,9,314,511,31,852,33,21,21,3,72,204,14,283,4,3,3,0,11,55,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,34,20,24,3,83,254,15,353,4,3,0,0,3,19,0,27,5,3,0,0,9,17,0,21,0,0,0,0,0,0,0,0,10,6,3,0,14,25,0,33,12,10,4,0,25,62,0,87,11,8,3,0,17,16,0,37,2210,2224,1135,88,5661,2698,220,8575
1014,1659,1552,928,65,4215,1464,175,5848,83,13,14,4,112,258,6,377,36,22,56,3,112,106,12,230,117,31,70,3,221,363,17,609,64,16,57,4,140,359,17,522,0,0,4,3,10,21,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,16,62,11,149,383,17,549,4,3,3,0,10,33,0,47,0,0,0,0,0,20,3,24,0,0,0,0,3,9,0,10,3,3,7,0,12,4,0,18,12,5,7,3,31,59,0,93,16,4,6,0,31,15,0,48,1870,1615,1070,86,4642,2282,219,7143
1015,1403,1893,597,67,3952,1027,145,5129,74,46,40,0,158,206,16,385,0,3,3,0,7,0,0,13,75,47,40,3,163,213,23,397,154,149,73,11,391,338,48,783,3,0,0,0,3,9,4,20,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,162,153,71,11,401,354,56,805,3,0,3,0,9,24,3,33,4,0,3,0,3,7,0,10,0,3,0,0,5,9,0,6,3,7,3,0,14,4,3,23,14,5,4,0,25,39,4,76,3,15,5,0,23,5,3,36,1653,2108,723,77,4571,1633,232,6436
1016,1227,1086,905,57,3276,1100,145,4520,18,7,12,0,39,106,3,146,3,5,6,0,10,25,0,36,19,11,19,3,50,128,3,185,10,14,24,3,51,142,5,197,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,10,14,24,3,49,152,8,205,5,0,0,0,5,23,0,25,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,4,3,0,3,12,4,22,7,3,3,0,15,37,4,52,18,9,5,0,28,16,0,44,1278,1117,961,60,3420,1444,155,5015
1017,2172,2285,1374,100,5931,2030,426,8390,169,54,143,5,371,652,40,1071,64,28,79,9,175,250,32,459,240,82,220,17,552,899,71,1525,76,35,84,13,207,373,49,634,11,0,14,0,29,58,6,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,40,96,13,236,432,58,726,8,3,13,0,20,101,0,127,8,0,4,0,10,28,3,41,0,0,0,0,0,3,0,3,3,0,3,0,7,4,0,14,14,6,15,0,37,133,3,175,12,6,3,3,27,27,0,53,2528,2420,1712,131,6785,3529,560,10869
1018,1131,1075,589,38,2837,1359,103,4300,61,24,50,3,136,284,15,427,12,5,14,0,34,43,6,84,77,33,61,3,167,329,15,507,12,13,11,0,39,66,0,108,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,10,0,37,85,0,126,0,0,0,0,3,10,0,11,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,4,3,4,0,9,4,3,18,3,3,4,0,10,17,3,35,4,4,0,0,5,11,0,12,1229,1126,666,46,3063,1800,122,4985
1019,2399,2387,930,70,5790,1617,211,7614,247,24,25,0,299,342,8,647,18,17,10,0,44,16,6,63,264,35,35,0,339,355,14,714,19,17,22,5,60,42,3,99,0,0,0,0,0,7,0,5,0,3,0,0,11,3,0,12,0,0,0,0,0,6,0,6,21,14,25,5,72,51,3,124,0,3,3,0,9,22,0,30,29,7,3,0,45,65,4,111,3,0,0,0,7,0,0,7,0,3,0,0,3,0,0,3,39,13,10,0,57,90,3,152,12,10,3,0,17,12,0,36,2742,2453,1008,75,6277,2128,226,8632
1020,1034,1227,436,32,2736,840,110,3683,38,23,34,8,94,165,19,268,0,0,3,0,6,9,0,17,38,21,31,8,97,175,19,290,24,16,19,0,57,114,3,181,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,19,0,57,125,3,187,3,0,5,0,8,22,0,22,5,0,0,0,5,27,0,31,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,5,3,6,0,14,46,0,62,9,4,0,0,14,9,0,21,1112,1269,489,46,2913,1198,134,4244
1021,981,1223,569,29,2804,882,129,3811,57,33,47,0,133,222,12,367,12,6,17,0,45,99,13,148,72,44,65,0,180,318,24,517,4,3,0,0,10,13,0,23,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,7,17,0,28,0,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,7,5,0,14,0,5,0,0,10,11,0,21,1059,1273,631,32,3003,1237,155,4395
1022,2456,2052,635,46,5183,1386,146,6715,332,92,128,9,556,584,22,1164,460,264,205,8,939,352,56,1339,789,355,337,13,1492,933,79,2503,59,10,26,0,93,167,8,271,56,11,16,0,79,80,6,164,107,16,26,3,153,157,16,328,0,0,0,0,0,3,0,3,220,39,68,9,329,408,24,764,15,0,3,0,22,23,0,46,45,8,5,0,55,65,8,131,0,0,0,0,3,0,0,3,7,3,0,0,10,5,0,16,68,8,7,0,90,99,8,192,25,12,5,0,43,37,3,78,3557,2469,1053,63,7133,2861,260,10257
1023,38247,48656,18485,1554,106947,27190,4718,138858,2559,945,1544,145,5188,6388,535,12116,1966,1058,1081,94,4208,3194,716,8119,4527,2007,2626,242,9399,9581,1258,20232,959,306,563,73,1895,4062,388,6349,460,124,193,35,809,1365,225,2397,750,167,119,11,1051,1063,166,2279,41,17,13,5,82,107,14,204,2214,619,884,121,3835,6599,797,11230,41,11,14,0,74,120,10,203,80,8,26,0,125,337,14,466,14,8,7,0,28,19,0,43,69,50,52,3,176,140,24,346,208,80,104,4,394,614,45,1059,180,83,62,8,324,484,49,857,45372,51441,22167,1924,120900,44470,6868,172235
1024,3214,3287,1625,113,8234,2363,287,10881,181,68,113,17,370,672,55,1095,18,7,25,0,54,136,5,192,199,71,134,21,427,805,59,1292,49,23,39,3,114,206,15,337,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,49,22,41,4,117,213,15,350,12,7,8,0,25,30,3,58,26,3,0,0,27,64,0,98,0,0,0,0,0,0,0,0,0,3,0,0,8,8,0,12,36,10,14,0,54,108,3,170,30,14,14,0,48,71,3,126,3520,3404,1829,131,8886,3558,368,12808
1025,3313,3927,1619,102,8967,2747,363,12074,196,83,123,4,404,743,55,1210,21,17,18,4,59,123,13,198,218,104,142,9,468,867,72,1401,64,23,37,3,126,351,19,488,4,4,0,0,6,27,3,39,6,0,0,0,6,8,0,17,0,0,0,0,0,3,0,3,77,24,37,3,142,385,20,545,0,0,0,0,0,14,0,14,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,9,0,3,0,0,8,20,0,33,12,15,3,0,28,90,3,126,3620,4066,1808,117,9607,4117,456,14179
1026,975,1061,501,26,2560,865,61,3491,28,12,13,0,50,62,8,120,0,0,0,0,0,13,0,13,28,12,13,0,50,83,8,138,30,11,16,0,58,199,8,265,0,0,3,0,3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,22,0,61,204,7,273,0,3,0,0,4,6,0,6,0,0,3,0,3,0,0,5,0,0,0,0,0,3,0,6,0,0,0,0,3,3,0,9,4,3,4,0,9,14,0,26,10,7,0,0,13,18,0,30,1043,1097,539,29,2705,1180,75,3958
1027,4164,3670,1335,80,9247,2331,325,11906,616,145,266,20,1056,1098,93,2246,264,101,146,12,522,319,36,879,886,251,414,31,1576,1423,132,3125,256,51,133,13,456,865,66,1391,99,23,66,9,199,286,39,524,308,53,70,3,437,465,71,973,0,0,0,0,0,0,0,0,661,127,276,21,1088,1620,172,2881,5,0,0,0,7,15,0,25,53,3,11,0,72,136,8,213,4,0,0,0,4,3,0,5,8,5,3,0,16,11,0,21,72,10,14,0,92,169,10,269,23,13,11,0,48,30,4,79,5797,4073,2044,133,12048,5566,644,18260
1028,1251,1856,554,50,3710,886,94,4691,66,55,61,3,188,171,20,378,23,9,29,0,65,108,9,182,91,63,89,8,251,277,32,558,29,19,33,6,82,166,11,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,33,6,86,166,11,262,10,0,0,0,10,22,0,40,0,0,0,0,3,0,0,3,3,0,4,0,8,6,0,10,0,0,0,0,0,0,0,3,15,0,0,0,22,31,3,57,5,5,3,0,13,20,0,32,1391,1944,683,56,4077,1380,144,5596
1029,2340,1485,798,40,4666,1745,179,6585,81,18,21,0,115,142,6,268,29,10,7,3,47,47,3,96,106,27,30,0,166,190,15,372,22,4,23,3,55,136,3,198,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,18,3,54,138,8,201,9,0,0,0,12,12,0,22,3,0,0,0,9,22,0,31,3,0,0,0,3,3,0,7,0,0,0,0,0,3,0,4,12,5,3,0,22,44,0,63,5,4,0,0,8,4,0,15,2487,1528,849,44,4911,2126,199,7236
1030,180095,401124,96796,10316,688327,107402,18302,814030,15653,21386,8225,967,46236,22675,3509,72419,29924,51878,18559,1899,102258,29107,7758,139120,45577,73264,26782,2865,148493,51778,11264,211538,19543,17645,8306,1412,46913,34544,6560,88013,38546,31256,14509,2706,87012,50739,13299,151047,62025,38159,13794,4106,118090,66060,21910,206060,389,357,175,23,949,629,141,1727,120505,87420,36783,8257,252964,151973,41913,446851,88,37,19,7,155,286,19,457,147,62,71,10,290,477,23,789,42,72,31,3,154,158,15,324,1393,1486,686,135,3694,1793,792,6274,1669,1656,812,153,4296,2709,845,7848,1341,1520,492,89,3441,2515,452,6403,349186,564988,161668,21680,1097514,316378,72771,1486674
1031,3577,3681,1822,137,9207,2850,410,12468,208,73,142,17,447,897,70,1415,55,22,34,0,113,210,27,346,263,94,180,23,558,1105,96,1761,38,23,38,3,101,207,14,325,4,3,3,0,6,11,0,24,4,0,0,0,8,13,0,13,0,0,0,0,0,0,0,0,40,27,37,4,114,233,14,363,3,0,0,0,3,13,0,22,11,3,0,0,14,17,0,33,3,0,0,0,3,0,0,3,52,40,113,8,204,58,10,277,64,43,113,8,230,92,10,332,21,14,13,0,52,39,9,100,3969,3860,2168,174,10165,4323,535,15027
1032,2534,2103,1339,90,6070,2048,261,8377,128,31,71,8,240,549,19,810,15,3,12,0,24,25,3,55,141,36,79,8,262,576,25,867,73,25,60,10,162,461,29,656,3,0,0,0,9,28,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,25,61,8,171,487,29,692,3,0,3,0,14,23,0,40,7,0,7,0,7,11,0,21,0,0,0,0,4,3,0,8,5,3,3,0,13,9,0,21,16,10,16,0,41,40,3,82,20,8,4,0,37,28,0,67,2792,2177,1499,113,6578,3181,316,10084
1033,1998,1245,557,32,3833,1320,142,5293,63,8,22,3,100,171,3,273,59,12,37,0,115,130,11,253,126,25,59,3,211,299,9,520,24,15,20,3,60,79,3,138,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,24,15,22,3,57,85,3,144,0,0,3,0,7,8,0,15,31,4,3,5,46,91,3,140,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,5,40,9,5,5,57,96,3,159,6,7,4,0,23,6,0,27,2192,1294,651,49,4182,1810,160,6154
