SUA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1021,982,29,7,11,3,1033,1324,27,6,0,0,1358,966,309,10,0,6,1297,184,87,3,0,0,268,191,20,3,0,0,212,20,16,0,0,0,37,27,3,0,0,0,33,24,6,0,0,0,35,1409,442,15,0,5,1879,7,3,0,0,0,9,87,16,0,0,5,113,3811,517,28,14,21,4395
1022,3182,946,224,141,30,4525,2103,377,61,15,12,2572,810,669,294,4,8,1789,17,60,62,0,0,139,295,145,62,3,11,513,6,58,4,0,0,79,106,60,9,10,8,196,24,6,6,6,0,46,1265,1003,436,23,27,2754,18,93,15,0,3,133,145,85,23,14,7,274,6715,2503,764,192,78,10257
1023,49597,4988,1450,366,210,56604,54942,2776,1115,80,90,59002,18364,6509,4453,188,160,29669,4157,2760,2193,19,23,9147,6620,1378,965,62,57,9086,260,393,235,5,20,900,860,189,105,170,26,1354,446,104,70,9,4,636,30706,11324,8019,445,294,50787,672,470,181,9,67,1392,2945,682,467,162,186,4444,138858,20232,11230,1059,857,172235
1024,3846,223,28,100,47,4232,3719,88,34,6,10,3855,1389,494,158,3,7,2055,675,263,54,0,3,997,541,64,29,3,15,656,93,63,13,0,8,174,242,9,3,36,10,299,44,13,3,0,0,61,2982,899,269,48,43,4239,58,26,5,0,14,100,282,52,15,15,11,376,10881,1292,350,170,126,12808
1025,3974,226,60,13,8,4276,4413,97,31,3,13,4554,2162,651,266,4,13,3096,489,212,104,0,0,804,548,82,28,0,3,669,27,37,13,0,11,96,55,3,6,3,5,75,32,15,3,0,3,54,3323,1004,415,7,40,4787,39,19,7,3,7,78,336,59,28,9,56,482,12074,1401,545,33,126,14179
1026,1251,27,24,8,6,1322,1203,7,5,0,3,1224,398,58,133,6,3,595,138,14,45,0,0,197,309,11,27,0,4,353,9,5,16,0,3,34,26,3,7,7,3,50,24,0,0,0,0,30,906,101,223,12,11,1250,19,0,9,0,3,32,116,4,14,0,4,134,3491,138,273,26,30,3958
1027,5218,1019,679,184,26,7120,3864,446,259,11,18,4599,1648,814,1039,9,12,3520,218,267,267,0,3,754,478,192,220,10,14,908,41,64,32,0,0,136,59,33,39,35,3,165,36,12,36,0,3,88,2478,1382,1628,54,29,5573,97,142,166,5,0,412,240,139,148,16,14,555,11906,3125,2881,269,79,18260
1028,1424,74,31,25,6,1557,1929,82,23,0,5,2046,721,301,143,0,8,1167,239,39,38,0,0,312,148,24,8,0,4,191,3,4,0,0,0,10,90,7,3,22,3,126,19,5,3,0,0,25,1219,380,196,24,16,1838,26,5,3,0,0,37,94,15,8,3,5,126,4691,558,262,57,32,5596
1029,3025,108,41,31,3,3207,1865,31,13,0,3,1910,948,97,75,3,0,1128,19,17,11,0,0,50,311,22,22,4,0,362,17,4,0,0,0,21,85,0,0,22,0,104,30,3,0,0,0,36,1409,152,113,28,6,1705,75,65,3,0,0,141,214,13,40,5,3,268,6585,372,201,63,15,7236
1030,308040,50888,64071,1437,778,425214,331697,68744,88850,1058,1023,491363,91677,47858,204882,3078,1725,349223,19403,18622,25908,39,125,64088,30901,11270,33899,1058,795,77920,1790,2581,5012,40,117,9548,4671,2013,3490,495,249,10907,2992,939,2266,95,99,6381,151426,83279,275458,4812,3100,518068,4119,2730,5168,57,167,12236,18750,5897,13311,486,1342,39795,814030,211538,446851,7848,6403,1486674
1031,4226,224,23,66,15,4561,4216,91,10,41,17,4381,2237,937,202,74,22,3469,374,182,78,100,5,746,770,116,17,10,8,929,43,37,6,3,0,87,113,20,4,17,7,161,67,16,0,3,0,96,3606,1315,306,207,48,5479,79,18,3,0,3,102,347,108,19,16,7,498,12468,1761,363,332,100,15027
1032,3518,249,68,17,18,3866,2503,50,25,7,10,2594,1183,281,340,5,9,1816,362,69,131,3,3,568,419,51,48,4,10,531,51,59,41,0,0,149,31,17,8,26,6,84,37,6,9,3,0,50,2082,477,568,46,22,3194,38,30,4,0,3,76,238,49,33,13,13,347,8377,867,692,82,67,10084
1033,2695,163,30,120,9,3009,1382,32,9,9,11,1441,557,143,54,3,3,759,93,65,23,0,0,186,314,48,12,3,0,383,27,25,6,0,0,57,19,0,0,15,3,36,27,6,0,0,0,35,1035,283,105,21,11,1451,29,15,3,0,0,48,161,25,0,15,3,200,5293,520,144,159,27,6154
1034,5220,194,239,39,8,5697,6201,76,126,32,16,6449,2577,385,1224,50,12,4248,790,36,191,0,0,1013,909,65,118,11,7,1112,41,22,60,0,0,123,272,18,18,15,3,319,67,4,22,3,0,92,4650,534,1626,84,22,6904,86,65,45,3,3,199,414,46,89,9,6,573,16576,913,2125,161,49,19823
1035,29963,3236,2336,447,151,36138,28567,2527,1869,67,84,33109,6811,3522,5795,127,85,16329,3268,2002,1685,9,7,6972,2868,867,1053,63,38,4885,123,183,159,10,7,480,241,88,120,90,13,547,221,70,105,10,6,423,13532,6728,8912,303,155,29632,282,308,265,13,67,934,1675,446,502,66,144,2828,74022,13245,13881,898,601,102649
2000,104927,1541,1020,1418,651,109555,84823,467,320,449,510,86573,17563,1515,1559,155,116,20906,2565,798,720,3,15,4102,14578,479,492,233,175,15968,429,276,196,0,15,924,3209,121,126,397,95,3954,2214,73,88,40,41,2464,40562,3269,3178,838,463,48311,1796,141,161,54,38,2190,6958,354,324,239,211,8081,239070,5768,5002,2995,1876,254709
2001,1950,139,3,17,4,2115,2972,157,4,3,5,3140,680,229,3,4,0,919,151,30,34,0,0,210,252,46,23,0,0,323,9,62,3,0,0,70,17,3,0,9,0,32,23,6,0,0,0,32,1133,379,58,13,0,1590,47,6,0,0,0,62,144,36,0,0,14,190,6261,715,73,29,17,7099
2002,1947,56,14,10,3,2028,1602,15,3,3,4,1626,710,128,51,0,3,897,192,79,19,0,0,288,272,16,6,3,4,294,60,4,10,0,0,77,23,4,0,3,3,34,24,0,0,0,0,29,1280,234,85,9,13,1620,55,4,0,0,0,55,180,12,3,4,52,253,5058,319,107,24,77,5587
2003,10650,1167,170,28,28,12049,11489,828,74,36,37,12456,5151,2156,601,15,30,7951,923,455,102,0,9,1495,1460,312,94,8,14,1883,138,101,63,0,8,311,113,47,18,6,11,194,119,37,11,0,0,172,7906,3114,886,31,67,12001,189,78,10,3,8,281,761,178,49,7,23,1021,30992,5362,1185,102,168,37811
