SUA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
5006,3,5,0,357,72,7,9,78,10,46,11,9,8,37,493,766,3,0,3,9,0,0,0,0,3,3,11,40,717,141,38,1126,142,705,68,151,64,276,513,3940
5007,3,8,0,571,51,3,6,38,11,35,7,8,3,19,322,497,6,0,3,3,3,0,0,0,4,0,17,40,821,50,42,1025,143,862,41,96,58,127,337,3605
5008,5,0,0,561,32,3,3,33,0,19,0,7,7,13,131,253,5,0,0,3,0,0,0,0,3,3,10,26,431,37,23,593,70,555,22,55,49,66,149,2048
5009,303,668,27,36887,3130,629,223,3795,380,2442,207,909,340,1625,19344,33026,211,57,122,290,66,151,37,44,90,221,573,1851,41093,8883,1804,68952,7138,50836,2567,12273,3332,16946,20297,234121
5010,5,0,0,423,30,3,3,14,3,18,0,3,4,3,99,181,0,0,0,3,0,3,0,0,0,4,4,19,350,28,28,375,63,408,19,32,48,55,108,1522
5011,0,3,0,99,14,7,0,27,0,18,6,3,5,9,221,309,3,0,5,0,0,3,0,0,0,0,0,10,192,60,14,410,44,304,24,65,35,96,226,1475
6000,6,16,5,543,284,81,20,421,32,186,10,87,45,174,775,2120,17,0,18,12,4,14,4,6,10,30,49,160,2463,837,181,4596,450,2411,234,1017,268,1592,911,14965
6001,0,3,0,122,27,11,0,43,7,24,0,10,7,28,156,312,3,0,0,4,3,0,0,0,0,8,14,27,413,115,16,771,78,419,38,171,40,279,172,2505
6002,0,3,0,98,44,10,3,60,8,33,5,10,3,33,142,354,0,0,0,7,0,0,0,0,0,4,3,18,483,125,28,887,94,463,34,173,37,324,157,2796
6003,7,32,6,1963,355,72,15,445,26,174,20,90,29,157,1044,2430,13,3,9,14,3,3,0,5,8,34,39,133,4143,1170,169,7255,805,3047,282,1178,226,1767,1139,21180
6004,3,13,4,538,152,27,4,169,12,75,9,38,7,55,409,952,5,3,3,13,3,4,3,0,8,17,17,76,1500,404,62,2931,285,1364,119,475,108,779,467,8477
6005,0,0,0,61,25,4,0,26,3,13,7,11,0,6,82,181,0,0,0,3,0,0,0,0,0,0,4,14,229,57,11,469,53,203,23,89,12,117,92,1363
7000,3,3,0,546,160,22,8,52,17,73,4,62,28,259,318,1013,23,11,13,12,0,24,4,28,9,152,154,433,1551,222,120,949,181,1107,62,514,142,2366,532,7760
7001,3,0,4,310,87,3,0,40,7,17,0,5,3,17,208,386,3,0,3,0,0,5,0,0,0,4,19,38,925,67,20,568,116,373,23,46,21,125,235,2530
7002,17,21,3,2520,321,26,13,124,31,137,8,32,24,62,895,1682,20,0,24,11,3,12,0,3,9,11,45,135,4458,319,170,2875,618,2724,130,414,216,631,972,13528
8000,0,0,0,33,4,0,0,5,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,32,4,3,48,9,14,0,3,0,5,5,131
8001,43,152,26,12458,1008,84,43,607,115,377,24,112,53,261,2812,5495,58,3,22,35,10,18,4,3,7,20,82,264,16096,1818,556,14539,2710,8096,580,1811,475,2678,3025,52370
9000,0,0,0,33,15,0,3,5,0,3,0,0,0,6,22,68,0,0,0,0,0,0,3,0,0,0,3,7,119,20,10,102,13,74,5,16,9,27,34,430
