SUA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
3007,23,3,145,50,24,41,13,60,4,367,0,0,0,3,0,0,0,0,0,3,7,10,3,7,8,5,3,7,3,48,11,5,20,9,0,18,8,29,24,124,393,903,912,694,495,330,257,404,67,4452
3008,93,23,307,151,66,115,26,105,3,883,0,0,3,3,0,0,0,4,0,12,13,32,18,17,7,6,16,16,4,121,22,32,46,43,22,30,22,45,45,307,1023,2911,1868,1897,1000,781,389,783,132,10781
3009,18,3,39,34,15,22,4,30,0,165,0,0,0,0,0,0,3,0,0,4,3,5,6,3,0,4,7,3,0,31,4,8,11,5,4,12,11,21,10,89,282,632,469,376,253,152,135,253,30,2578
3010,137,41,460,194,154,162,116,133,9,1397,3,7,3,0,0,7,0,8,0,26,19,44,44,23,25,10,48,20,9,251,45,29,134,53,36,58,79,95,100,636,2296,5416,5951,2285,2239,1149,1754,1385,336,22815
3011,34,13,131,67,31,25,14,49,0,366,0,0,0,0,0,0,0,0,0,3,10,9,10,15,3,3,8,7,0,59,14,5,25,23,18,24,25,44,28,213,470,1115,1036,933,633,299,282,450,62,5283
3012,25,9,99,32,28,25,43,23,0,281,0,0,0,0,3,0,0,3,0,7,5,10,16,14,7,3,13,0,4,76,7,6,46,22,16,12,25,18,29,179,433,1280,1634,551,455,219,597,254,98,5506
3013,110,31,421,192,127,149,95,127,8,1262,3,3,13,15,4,0,3,9,3,49,29,39,41,28,43,3,46,17,7,246,39,33,99,72,37,50,65,102,67,562,1791,5055,4447,2680,2242,985,1166,1189,230,19781
3014,778,173,2437,1106,693,785,236,584,50,6838,11,10,13,9,15,33,7,25,3,126,116,174,152,140,128,77,80,79,39,975,174,158,371,218,181,243,131,284,307,2060,11210,24032,16869,11627,10200,6548,2976,5728,1238,90422
3015,242,67,791,395,294,255,92,231,9,2374,3,6,11,13,8,5,0,15,3,62,59,78,37,65,60,25,53,37,10,426,78,74,135,110,89,93,76,140,102,895,4236,11197,6861,4779,4619,2156,1543,2390,376,38161
3016,328,77,1057,610,322,303,155,284,26,3157,4,8,10,12,4,17,4,13,3,80,122,133,77,131,89,33,87,57,22,753,80,98,158,144,113,89,116,177,174,1143,5319,14280,9606,7362,5790,2577,2479,2754,631,50801
