SUA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
1010,0,4,3,32,11,7,8,5,5,80,0,0,4,8,0,8,28,19,7,77,4,4,3,0,3,3,0,4,0,20,0,3,8,15,3,0,0,0,0,28,0,0,0,3,0,0,0,0,0,8,17,13,3,12,6,3,4,0,0,52,0,0,0,0,0,3,15,3,0,16,0,0,0,0,0,3,0,0,0,3,0,13,29,64,23,4,4,3,0,139,0,0,3,4,0,0,0,0,0,5,0,0,0,3,3,26,41,25,9,111,0,18,29,110,86,95,69,33,9,457,0,3,0,6,0,0,11,9,0,31,3,8,8,3,5,4,0,0,0,30,0,0,4,13,13,0,0,0,0,31,0,13,16,21,7,0,0,3,0,66,0,0,0,7,0,7,5,7,5,21,0,4,6,15,22,28,45,30,17,162,0,3,0,7,0,0,0,0,0,17,0,14,8,39,37,20,13,6,3,136
1011,0,3,0,15,0,3,4,0,0,22,0,0,0,0,0,0,3,3,4,15,0,3,0,0,0,0,0,0,0,5,0,0,4,21,0,0,0,0,0,28,0,0,0,0,0,0,7,3,0,11,0,0,0,4,6,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,7,3,101,0,0,0,0,0,108,0,0,0,3,0,0,8,3,3,19,0,13,16,32,28,20,26,3,3,142,0,3,4,3,3,3,4,0,0,14,3,4,5,27,0,3,0,0,0,38,0,0,0,0,0,3,0,0,0,3,0,12,3,27,15,0,0,0,0,65,0,0,0,0,0,0,0,0,0,3,0,0,4,8,0,7,7,3,0,29,0,0,3,0,0,0,4,0,0,7,0,0,8,14,3,5,0,0,0,33
1012,0,0,0,0,0,3,3,6,0,16,0,0,0,6,3,3,12,10,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,3,8,7,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,17,10,7,39,0,3,0,19,20,22,30,9,5,97,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,7,0,0,0,0,0,13,0,0,0,0,0,0,3,3,0,6,0,0,0,4,0,9,23,12,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,12,3,0,34
1013,0,3,0,6,4,3,0,0,0,18,0,3,0,0,0,4,6,4,3,22,0,0,0,3,0,0,0,0,0,3,0,0,13,18,0,0,0,0,0,34,0,0,3,8,5,3,0,3,0,16,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,19,0,0,0,3,3,0,9,5,5,21,3,3,10,35,23,26,14,3,0,128,0,0,0,3,0,0,5,0,0,9,0,0,0,7,0,0,0,0,0,13,0,0,0,3,3,0,0,0,0,9,0,13,10,14,4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,6,0,0,3,6,5,8,11,6,4,44,0,0,0,0,0,0,3,0,0,5,3,0,3,3,3,0,0,0,0,17
1014,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,20,0,3,0,16,13,11,16,3,3,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,3,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,0,10
1015,0,0,0,6,0,0,0,0,0,13,0,0,3,16,19,43,98,135,80,401,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,20,21,4,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,7,0,0,8,9,32,49,58,19,10,9,0,0,186,0,0,0,0,0,0,0,0,0,0,0,9,3,35,19,0,0,0,0,71,0,3,0,3,0,0,0,0,0,3,0,11,7,33,12,9,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,3,0,3,4,11,13,3,0,0,0,39
1016,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,14,0,0,0,15,8,12,8,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,3,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1017,0,0,0,6,3,0,5,0,0,19,0,0,0,0,0,6,9,30,15,61,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,8,3,23,0,5,11,27,33,36,18,3,0,137,0,0,0,0,3,4,0,0,3,11,0,3,0,7,0,3,0,0,0,13,0,0,0,11,0,0,0,0,0,11,0,4,3,5,3,4,0,0,0,22,0,0,0,0,0,4,0,0,0,3,0,0,3,6,7,9,8,3,0,28,0,0,0,3,0,0,0,0,0,3,3,0,3,10,10,4,0,0,5,31
1018,0,0,0,3,0,0,5,0,0,11,0,0,0,0,0,9,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,5,0,0,0,10,0,0,3,6,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,15,0,4,7,23,13,14,11,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,3,3,3,3,0,0,0,15,0,0,0,0,0,3,0,0,3,9,0,0,0,8,3,3,15,3,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11
1019,0,4,0,5,3,6,8,3,0,24,0,0,0,0,3,4,12,10,7,25,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,4,0,0,12,0,0,0,0,0,3,0,0,0,10,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,13,4,0,22,0,0,0,3,0,3,3,0,0,12,0,0,0,9,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,14,10,4,39,0,7,21,55,49,52,43,31,16,264,0,0,0,0,5,0,3,0,0,9,0,0,0,7,0,0,0,0,0,7,0,0,0,10,8,8,0,0,0,30,0,0,10,13,4,0,0,0,0,28,0,0,0,0,0,3,0,0,0,10,0,0,0,0,5,6,18,5,3,42,0,0,0,0,0,0,0,0,0,3,0,0,11,7,8,10,6,8,0,58
1020,0,0,0,7,0,0,0,0,0,6,0,0,0,0,3,3,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,3,0,23,15,8,8,9,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,10,3,4,0,0,0,26
1021,0,0,0,7,4,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,11,0,3,3,27,19,19,8,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,12,3,18,6,0,3,0,0,40,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,3,3,9,0,0,0,0,22
1022,0,0,0,9,11,4,7,10,0,34,0,0,0,0,6,4,21,9,0,52,0,3,0,3,0,0,0,0,0,4,3,0,3,3,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,5,0,4,0,6,9,3,0,0,0,19,0,0,0,0,4,9,9,4,0,26,0,0,0,3,3,6,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,11,0,0,0,3,0,0,26,16,0,48,0,6,4,42,34,37,43,15,6,182,0,0,0,3,4,6,6,0,0,14,0,0,0,3,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,7,0,16,3,14,0,0,0,0,0,33,0,0,0,0,0,6,4,3,0,9,0,3,0,3,10,17,30,22,3,89,0,0,0,0,0,0,0,0,0,6,0,8,8,17,10,9,19,4,0,93
