SUA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1018,3352,3359,6714,794,902,1692,825,953,1779,8,15,23,30,38,61,13,6,16,7,10,15,3,4,3,0,0,0,8,13,20,0,0,0,894,1027,1915,60,56,118,29,29,58,1777,2008,3787,952,598,1549,6082,5969,12055
1019,5922,6190,12111,1047,1091,2142,2760,2951,5710,85,76,165,134,156,285,22,15,38,46,52,91,3,10,13,11,16,26,13,14,35,0,0,0,3074,3284,6355,151,170,320,57,57,115,4330,4602,8930,659,702,1365,10912,11496,22405
1020,2358,2496,4852,941,1001,1938,1129,1148,2279,14,11,26,121,121,240,15,11,28,13,8,23,6,7,11,0,4,6,5,10,13,0,0,0,1311,1321,2630,69,82,151,22,27,55,2346,2429,4775,546,594,1140,5244,5517,10761
1021,2619,2498,5116,982,1003,1984,1025,1158,2177,26,31,51,143,152,291,9,11,19,23,22,41,3,4,7,9,8,19,3,0,6,0,0,0,1237,1381,2612,109,123,225,46,41,92,2373,2543,4916,666,386,1054,5658,5425,11085
1022,6171,6523,12695,1743,1845,3588,2595,2748,5341,119,132,246,249,222,467,25,31,54,53,48,95,26,31,50,29,38,61,46,48,93,0,0,0,3133,3287,6416,216,252,472,94,139,236,5186,5527,10711,1034,1162,2200,12393,13211,25608
1023,118858,123008,241866,16744,17637,34372,52328,56654,108980,926,1004,1936,2262,2428,4693,373,353,728,516,533,1051,187,222,407,332,345,684,421,440,860,5,11,16,57352,62000,119354,5009,5334,10346,1340,1318,2660,80443,86287,166735,12694,12402,25098,211996,221705,433701
1024,8349,8668,17012,1803,1933,3735,3422,3781,7199,105,118,227,234,222,460,32,32,69,68,71,140,28,25,55,32,26,51,105,85,193,4,3,9,4038,4372,8411,258,312,576,134,127,257,6228,6750,12979,2092,1440,3529,16668,16855,33518
1025,8627,9151,17776,1999,2194,4197,4300,4783,9079,108,91,197,207,230,438,43,38,82,78,83,158,16,29,41,14,16,29,39,53,94,0,0,3,4807,5317,10121,393,455,849,110,99,212,7311,8062,15376,1327,1365,2689,17263,18575,35840
1026,2752,2916,5668,853,961,1811,577,650,1225,16,28,46,75,71,149,12,9,30,22,15,36,9,0,8,4,4,13,6,14,20,0,0,0,726,801,1527,69,69,134,27,27,57,1681,1854,3532,478,543,1025,4916,5315,10231
1027,9741,10928,20665,2420,2725,5140,5230,5886,11113,194,193,391,439,417,848,56,51,106,62,80,143,53,58,111,42,51,90,74,103,176,0,0,0,6149,6840,12985,398,427,830,136,144,287,9108,10139,19244,1487,1695,3183,20333,22763,43091
