SUA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
3016,308,422,737,175,210,384,283,861,1145,304,1247,1549,998,2454,3448,1232,1445,2675,2671,1366,4035,2528,1654,4186,3312,1721,5039,3444,1376,4828,2985,1080,4067,2972,720,3688,5837,944,6782,4183,200,4382,2454,97,2549,1535,277,1818,2425,97,2522,5007,657,5667,556,712,1262,43206,17537,60746
3017,39,39,74,15,32,53,30,115,148,40,179,213,144,448,595,163,201,368,519,146,664,313,172,483,413,128,543,423,75,501,270,57,325,282,33,313,431,34,466,212,6,213,107,0,107,50,27,76,75,0,78,350,26,381,73,123,196,3950,1840,5794
3018,40,46,86,26,25,48,27,110,140,34,172,203,144,373,524,137,173,310,384,164,542,255,123,382,385,142,526,350,102,453,253,94,352,290,62,348,526,86,616,386,16,404,247,3,246,178,29,209,287,11,297,673,50,724,65,94,165,4697,1881,6577
4000,530,668,1199,450,465,916,563,2076,2640,535,3050,3584,2616,6824,9441,2313,2948,5259,7306,2553,9862,5353,2672,8019,6780,2372,9151,6595,1397,7997,4403,971,5371,4628,650,5280,7496,855,8351,4380,118,4497,2431,41,2471,1307,402,1704,2603,46,2649,7051,331,7382,1224,1687,2917,68571,30131,98701
4001,2769,4242,7004,1607,2139,3745,2561,9146,11705,2441,13900,16341,9266,27318,36583,10392,14413,24802,26575,12346,38916,22875,14169,37042,29541,13947,43488,28161,8948,37110,22386,7325,29708,21989,5142,27128,41459,6257,47716,27797,952,28743,17050,544,17595,10543,2492,13033,21237,427,21671,30454,3300,33756,3889,6114,10004,332992,153106,486101
4002,36,69,98,24,51,81,66,267,335,83,383,470,291,833,1125,288,364,648,718,326,1043,569,352,923,705,326,1026,700,179,879,583,121,711,569,75,644,890,93,985,516,11,529,250,6,255,130,45,176,222,0,231,646,42,687,115,200,318,7415,3748,11159
4003,27,51,84,23,22,42,27,194,225,59,286,340,198,524,728,216,221,441,593,207,800,406,189,603,503,160,667,429,76,506,306,46,355,298,50,341,456,45,499,212,11,227,97,6,102,55,26,80,83,10,93,389,29,426,81,147,228,4467,2296,6771
4004,25,41,72,25,30,51,36,112,145,40,176,213,134,274,410,130,160,290,264,134,402,234,131,369,295,135,428,263,108,370,199,74,274,178,61,240,327,63,396,235,9,243,151,3,156,72,18,91,105,3,109,390,22,415,113,115,231,3230,1677,4908
4005,27,33,65,22,23,44,32,155,181,33,223,254,135,350,493,127,190,317,358,174,531,281,162,447,398,149,548,344,102,446,266,76,340,260,38,302,469,72,544,290,8,299,149,8,157,79,17,90,153,3,157,416,32,445,71,107,181,3918,1924,5841
4006,22,38,63,15,32,50,37,179,216,45,289,335,187,551,733,180,165,348,458,168,619,311,131,443,324,125,452,272,94,366,219,69,289,212,34,245,362,41,402,219,9,224,97,10,99,59,19,76,100,0,100,368,11,383,69,115,185,3556,2076,5631
