SUA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
1010,124,1766,208,2104,90,1515,169,1776,235,2940,328,3504,347,3012,282,3641,494,3259,342,4101,657,3707,445,4809,458,3089,384,3928,239,1479,359,2077,79,479,209,772,2724,21255,2731,26712,116,1625,210,1947,119,1455,139,1721,406,3071,279,3758,610,3170,258,4038,924,3487,393,4800,1141,3606,375,5116,613,3083,424,4123,275,1765,494,2528,49,809,398,1262,4250,22071,2972,29292,241,3390,416,4046,212,2975,308,3498,641,6010,613,7259,959,6185,538,7683,1414,6746,739,8898,1801,7310,822,9925,1069,6175,805,8051,515,3246,856,4609,132,1294,611,2031,6970,43329,5701,56007
1011,48,955,110,1116,65,998,105,1169,167,2061,219,2453,194,1708,192,2103,271,1664,182,2110,250,1499,166,1914,148,1102,154,1406,93,602,109,799,29,220,45,296,1264,10802,1291,13359,54,984,129,1160,79,1028,94,1201,279,2259,230,2762,355,1722,162,2245,459,1666,194,2318,493,1544,184,2228,230,1150,181,1562,108,816,184,1104,17,401,88,503,2072,11560,1447,15084,103,1938,239,2274,140,2019,203,2366,448,4313,448,5214,555,3432,359,4347,731,3329,373,4431,746,3039,357,4135,376,2256,341,2972,200,1417,286,1901,46,620,138,798,3337,22362,2742,28440
1012,39,422,65,533,30,277,29,335,55,569,61,687,96,648,65,806,152,802,107,1061,218,1092,118,1434,198,1477,191,1874,120,873,203,1193,42,331,121,486,944,6497,962,8405,30,385,49,460,28,294,29,350,98,595,58,759,149,673,69,886,233,835,78,1151,406,1143,129,1681,269,1522,220,2005,144,960,277,1381,31,513,197,744,1387,6919,1108,9415,65,806,118,989,60,571,56,683,155,1163,128,1448,241,1323,131,1696,383,1636,185,2205,626,2240,245,3113,469,3000,407,3879,263,1833,484,2580,75,847,314,1231,2334,13420,2070,17828
1013,24,605,81,711,44,602,143,792,98,1130,315,1535,151,1016,276,1448,205,1087,196,1484,193,1057,122,1373,148,826,167,1139,59,419,123,599,23,135,65,223,945,6878,1470,9292,29,554,65,649,53,502,51,606,175,1187,101,1466,211,1001,93,1310,292,1096,82,1475,320,1066,100,1485,173,873,161,1206,65,554,177,803,13,262,172,445,1342,7097,1011,9443,61,1157,146,1364,100,1105,195,1400,272,2315,418,2997,364,2019,372,2756,499,2186,277,2959,510,2121,222,2855,321,1697,319,2346,123,976,301,1395,37,396,232,667,2288,13973,2479,18737
1014,37,478,82,595,40,387,76,505,83,760,163,1013,98,775,139,1015,163,773,135,1068,186,866,104,1153,103,802,102,1012,52,441,105,606,16,179,40,234,787,5466,946,7195,46,444,75,563,38,393,35,465,151,759,74,990,204,776,80,1063,271,838,74,1186,350,845,93,1286,179,823,128,1127,92,603,142,832,6,394,84,485,1347,5868,782,7994,80,918,159,1151,76,783,107,967,236,1515,245,1998,307,1548,220,2078,433,1614,202,2256,537,1707,202,2445,284,1628,223,2138,146,1042,250,1435,27,573,118,725,2133,11331,1732,15191
1015,41,513,80,630,31,505,76,611,86,1177,149,1405,108,943,117,1166,173,880,116,1172,140,794,130,1065,77,485,109,672,49,352,112,512,23,114,76,217,711,5760,969,7443,34,439,67,538,33,487,71,587,137,1150,140,1420,177,852,115,1145,230,824,123,1169,240,685,134,1058,128,576,122,828,66,418,159,642,9,210,152,381,1051,5635,1079,7763,71,949,148,1170,62,993,146,1194,219,2321,289,2826,282,1793,233,2315,404,1699,238,2338,381,1479,261,2125,206,1059,235,1497,112,775,269,1155,31,331,233,596,1764,11397,2047,15205
1016,23,354,106,483,28,288,126,448,73,523,279,875,92,502,189,786,111,614,159,886,126,685,136,950,103,610,119,833,50,273,91,421,7,84,55,150,629,3945,1265,5835,26,338,74,441,39,293,52,383,121,543,105,765,166,505,99,771,212,582,103,900,224,705,128,1060,139,615,126,878,51,333,123,506,13,216,103,327,991,4131,913,6031,49,691,180,925,76,583,179,833,195,1063,391,1640,261,1007,288,1556,329,1197,259,1784,348,1396,271,2009,241,1231,243,1713,104,615,214,929,23,304,160,480,1619,8073,2178,11870
1017,38,748,89,875,57,800,123,980,124,1313,157,1597,174,1281,129,1589,280,1341,139,1757,305,1364,183,1859,153,982,162,1300,77,529,101,709,23,232,63,321,1240,8601,1140,10983,57,766,86,912,67,804,103,969,191,1374,167,1733,310,1283,123,1718,421,1368,163,1951,442,1355,173,1976,240,1081,138,1451,112,725,157,999,12,525,114,655,1859,9275,1229,12361,93,1521,179,1789,121,1601,225,1947,319,2687,321,3335,487,2559,259,3306,697,2705,302,3711,749,2721,357,3831,396,2060,292,2753,190,1257,255,1703,41,756,174,970,3097,17877,2377,23341
1018,13,327,45,390,25,300,92,418,55,542,234,830,73,487,165,725,115,554,115,793,134,619,113,866,59,637,95,793,40,294,89,428,15,98,29,135,531,3861,978,5371,23,270,50,337,35,258,32,324,91,546,66,698,124,500,57,681,175,565,65,803,200,603,76,877,99,607,97,804,59,380,95,539,4,187,49,242,800,3906,590,5298,33,601,94,725,55,558,131,741,147,1085,301,1530,191,988,226,1405,292,1123,182,1595,339,1219,185,1735,158,1240,200,1594,106,672,185,965,18,280,75,381,1332,7766,1574,10670
1019,32,670,51,754,28,589,46,663,92,1015,80,1190,141,983,67,1192,184,1170,96,1454,235,1206,111,1552,199,1065,141,1405,113,720,102,931,38,284,46,366,1065,7708,738,9504,49,604,36,692,59,601,37,693,129,986,58,1167,221,978,60,1267,350,1089,88,1531,406,1134,111,1649,258,1152,155,1573,145,784,130,1062,21,456,79,548,1637,7788,756,10181,83,1274,87,1443,90,1191,81,1360,219,2005,137,2363,362,1962,135,2459,539,2260,181,2985,640,2339,218,3198,459,2219,298,2975,254,1508,228,1988,53,743,122,919,2699,15497,1488,19686
1020,8,265,56,332,8,291,21,319,55,690,80,827,34,599,56,687,86,571,81,741,69,460,81,614,38,375,62,471,14,245,41,301,10,77,5,96,326,3564,491,4384,7,263,54,323,18,269,37,321,73,652,63,782,95,577,75,746,119,586,62,764,125,444,74,644,73,416,78,561,34,281,84,390,7,159,43,208,547,3642,559,4751,20,522,111,656,31,557,56,643,130,1338,146,1612,129,1174,133,1437,202,1165,140,1509,193,908,158,1258,110,788,140,1034,45,520,125,690,12,237,46,304,874,7209,1055,9135
1021,13,311,40,368,26,310,42,374,66,748,175,991,73,592,134,800,97,662,111,871,75,544,74,684,42,342,54,434,9,136,37,185,3,36,6,46,396,3680,683,4756,11,294,40,344,28,337,32,392,91,733,59,882,103,573,52,727,151,577,60,790,126,443,55,621,45,342,57,446,22,185,47,254,7,72,15,96,578,3552,426,4553,28,604,78,714,54,642,73,771,154,1481,238,1874,171,1165,193,1527,245,1243,177,1663,197,989,124,1307,89,678,109,876,30,318,89,439,4,109,26,138,976,7231,1107,9305
1022,34,635,75,739,30,491,47,572,55,850,81,985,146,1039,106,1294,185,1323,135,1642,255,1416,156,1827,220,1699,227,2146,126,890,223,1243,30,250,95,374,1086,8596,1145,10827,47,616,72,739,38,478,47,562,123,840,73,1031,253,1107,87,1445,340,1297,130,1771,481,1414,152,2040,345,1726,255,2325,113,903,266,1289,28,484,117,627,1766,8860,1204,11828,82,1254,148,1483,66,968,96,1137,176,1686,150,2014,402,2149,193,2743,528,2617,265,3412,737,2831,303,3870,565,3429,484,4474,240,1796,486,2530,60,730,214,1002,2855,17457,2349,22658
1023,595,12857,1039,14488,830,14144,1039,16010,2022,26153,2156,30330,2814,23756,1956,28528,3946,23217,2065,29230,4438,21335,1938,27712,2874,16674,1949,21499,1246,8067,1553,10866,361,2689,888,3944,19126,148896,14582,182602,737,11963,878,13579,1103,13736,880,15718,3350,25802,1665,30819,4785,23364,1418,29567,6482,22382,1645,30511,7210,20364,1813,29379,3997,17101,2052,23153,1364,10150,2242,13756,253,5170,2050,7477,29280,150032,14650,193953,1333,24814,1919,28066,1937,27879,1916,31734,5366,51955,3822,61151,7597,47123,3372,58095,10433,45604,3710,59743,11650,41700,3744,57093,6865,33777,4008,44652,2609,18211,3797,24621,616,7866,2941,11417,48407,298923,29230,376562
1024,46,928,140,1110,73,941,227,1242,170,1716,438,2326,217,1473,362,2053,265,1574,273,2114,337,1637,222,2195,220,1470,216,1913,122,749,153,1019,36,237,100,375,1496,10729,2130,14355,69,854,128,1052,97,889,114,1096,286,1671,185,2140,365,1467,142,1977,470,1554,193,2215,586,1630,192,2408,279,1498,241,2015,116,809,219,1146,21,369,150,534,2289,10739,1552,14585,112,1778,269,2164,172,1831,335,2339,455,3383,620,4465,585,2945,504,4033,735,3130,468,4328,927,3269,414,4604,500,2970,457,3931,245,1553,367,2161,52,603,252,904,3785,21466,3687,28934
1025,64,1061,154,1275,48,915,84,1047,168,2110,202,2484,219,2014,201,2432,290,1772,201,2260,262,1680,178,2127,171,1269,162,1604,90,700,142,939,22,228,54,306,1339,11746,1381,14469,79,1026,121,1229,87,1007,87,1186,289,2282,195,2769,326,1995,170,2488,460,1828,191,2476,465,1612,169,2245,290,1380,178,1852,106,888,197,1194,23,472,101,598,2122,12492,1418,16033,142,2091,279,2506,138,1924,175,2233,454,4392,403,5248,539,4008,368,4912,750,3602,392,4733,731,3296,350,4373,466,2649,343,3456,195,1586,342,2131,51,692,161,903,3459,24238,2803,30504
1026,9,313,58,376,18,281,34,327,44,544,52,643,56,459,57,572,76,516,72,665,100,477,70,650,43,369,81,494,28,200,66,300,8,74,33,118,393,3227,515,4136,16,329,50,394,33,257,25,323,90,504,46,642,111,468,55,635,134,475,75,686,163,458,63,680,79,368,87,538,32,286,106,428,4,154,64,223,668,3310,579,4554,31,641,107,777,48,542,62,648,132,1048,98,1280,169,929,104,1200,210,991,148,1347,260,939,136,1335,122,736,168,1030,63,487,173,727,21,226,99,344,1057,6537,1093,8692
1027,48,1119,109,1275,42,806,68,923,162,1716,175,2054,227,1950,125,2301,318,2130,183,2633,395,2166,221,2779,362,2369,295,3023,209,1417,244,1872,56,533,135,724,1826,14198,1560,17585,70,1107,93,1270,56,853,61,970,254,1814,148,2224,413,1995,122,2531,550,2300,173,3030,747,2262,204,3222,526,2538,372,3436,219,1693,377,2293,49,995,204,1246,2895,15563,1756,20219,122,2227,203,2544,97,1659,131,1889,413,3529,327,4271,642,3947,246,4834,867,4430,363,5659,1146,4431,422,5997,887,4906,670,6459,434,3114,622,4167,100,1529,339,1972,4717,29770,3317,37799
1028,21,591,55,676,29,576,38,642,69,1010,86,1166,103,881,69,1059,132,933,80,1141,126,692,59,876,62,419,36,520,26,203,39,269,7,67,10,90,593,5369,472,6432,16,466,38,526,42,420,24,492,105,912,75,1087,161,862,70,1099,203,820,66,1091,190,598,66,849,74,390,64,534,23,250,52,326,6,160,31,201,826,4889,492,6207,41,1060,98,1204,79,995,70,1143,172,1921,158,2253,267,1745,142,2151,338,1753,142,2233,313,1291,120,1721,135,812,101,1051,54,456,93,597,13,232,43,292,1412,10267,962,12640
1029,29,397,57,481,25,309,34,375,77,594,60,737,100,713,65,882,148,790,93,1035,222,994,98,1313,197,1129,145,1469,86,584,132,794,15,164,55,236,895,5676,747,7315,30,396,44,476,22,308,35,365,113,626,40,785,186,737,56,978,245,821,92,1154,331,1000,98,1433,219,1169,146,1533,87,628,174,889,11,257,113,378,1242,5946,793,7984,61,797,102,959,50,614,69,742,191,1217,106,1520,291,1452,122,1858,389,1609,188,2182,552,1995,193,2742,414,2298,286,2999,168,1210,302,1681,25,427,172,619,2139,11623,1541,15301
1030,6074,119305,10817,136193,7945,140255,13493,161690,20536,308868,32347,361751,28328,269317,24655,322296,34332,227935,20588,282858,31844,181988,16548,230379,18996,127478,13286,159759,8710,63807,9022,81544,2663,23719,4618,31004,159432,1462683,145371,1767479,6665,112727,9634,129026,9668,136555,11938,158158,31123,311670,29016,371803,44457,261847,21585,327889,54629,221097,18351,294081,51427,177274,16081,244786,27538,129360,14440,171343,10413,76475,11805,98689,2173,42815,9018,53998,238089,1469819,141868,1849776,12737,232032,20447,265224,17613,276808,25432,319848,51661,620536,61361,733560,72787,531165,46233,650182,88968,449035,38941,576942,83272,359262,32628,475167,46530,256844,27723,331099,19126,140284,20827,180234,4833,66532,13634,85000,397523,2932504,287236,3617260
1031,54,1142,182,1379,77,1069,124,1267,185,2261,299,2738,211,1815,248,2276,280,1861,205,2346,352,1749,240,2336,193,1362,224,1781,113,757,161,1023,29,254,64,343,1482,12269,1744,15499,66,1047,148,1261,91,1047,127,1266,333,2252,224,2801,375,1866,203,2440,520,1897,207,2627,528,1768,261,2558,318,1480,256,2049,149,984,260,1390,30,528,144,697,2399,12864,1829,17093,117,2193,328,2637,166,2117,251,2535,512,4510,519,5538,591,3680,447,4719,797,3764,417,4976,876,3514,497,4889,508,2844,485,3832,263,1738,416,2413,53,779,214,1043,3883,25135,3575,32592
1032,35,685,102,818,36,547,59,648,106,960,84,1148,134,946,98,1179,225,1141,141,1507,277,1240,160,1676,214,1231,190,1633,96,741,152,984,22,273,102,399,1146,7764,1080,9990,38,634,88,768,67,566,59,692,199,991,88,1280,261,961,98,1318,387,1175,141,1700,445,1321,148,1913,255,1288,185,1733,123,831,230,1187,18,443,191,651,1796,8215,1235,11245,77,1321,188,1583,108,1116,119,1343,306,1946,167,2425,394,1901,197,2497,611,2314,290,3213,718,2561,307,3592,467,2517,373,3361,216,1570,385,2171,44,717,293,1054,2944,15973,2317,21236
1033,16,309,52,379,16,225,31,267,28,480,47,555,88,571,53,711,115,678,66,855,171,885,96,1152,130,995,127,1258,75,531,112,715,17,160,78,262,658,4833,657,6148,20,315,51,389,13,170,13,201,79,489,49,617,117,575,50,734,216,700,68,985,288,960,116,1364,191,992,144,1325,89,590,156,833,11,199,124,336,1016,4988,769,6772,34,627,101,765,30,394,46,467,110,962,92,1166,199,1146,102,1449,326,1377,131,1836,460,1841,215,2519,321,1990,270,2579,158,1117,272,1546,29,363,198,595,1675,9825,1422,12925
