SUA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
1010,0,15,..,5,0,4,0,4,..,10,0,10,0,10,..,6,14,26,0,26,..,32,0,33,0,33,..,27,0,24,0,24,..,7,0,7,0,7,..,8,0,11,0,11,..,49,0,55,0,55,..,19,0,22,0,22,..,72,4,76,0,77,..,22,0,22,0,22,..,166,3,172,0,176,..,94,7,110,0,108,..,12,0,12,0,12,..,58,9,69,0,69,..,6,0,6,0,6,..,25,11,37,3,33,..,478,268,743,19,758,..,2176,570,2746,56,2801,..,128,10,138,2357,2491,30140,2303,583,2888,2408,35434,58377,..,..,..,..,58377,..,56,0,62,0,62,..,133,17,152,0,152,..,47,0,47,0,47,..,65,35,102,3,102,..,125,94,219,4,225,..,21,8,28,3,31,..,210,137,349,8,358,..,14,0,15,0,15,..,97,4,94,0,100,..,144,6,156,3,160,..,257,3,266,11,275
1011,0,22,..,3,0,3,0,3,..,3,0,3,0,3,..,14,0,14,0,14,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,3,0,3,0,3,..,22,3,28,0,28,..,4,3,6,0,6,..,63,4,65,0,65,..,7,0,7,0,7,..,100,8,110,0,110,..,15,0,21,0,21,..,26,0,26,0,26,..,12,3,19,0,19,..,0,0,0,0,0,..,35,0,35,0,30,..,180,31,212,0,214,..,976,126,1107,6,1109,..,43,10,52,1183,1239,16460,1028,137,1161,1191,18810,31496,..,..,..,..,31496,..,33,0,33,0,33,..,88,3,89,0,93,..,30,0,29,0,29,..,53,31,83,0,83,..,124,33,156,0,161,..,6,0,10,0,10,..,182,66,246,0,249,..,0,0,0,0,0,..,13,0,13,0,13,..,24,3,27,0,27,..,34,0,33,0,33
1012,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,3,0,3,0,3,..,25,0,25,0,25,..,3,0,3,0,3,..,39,0,39,0,39,..,19,0,19,0,19,..,0,0,0,0,0,..,10,3,14,0,14,..,0,0,0,0,0,..,4,0,4,0,4,..,45,4,42,0,50,..,284,23,308,4,314,..,26,0,25,774,805,9617,307,26,335,783,10738,18332,..,..,..,..,18332,..,4,0,4,0,4,..,13,0,13,0,14,..,11,0,11,0,11,..,28,13,46,0,41,..,14,7,22,0,22,..,0,0,0,0,0,..,50,19,64,0,69,..,13,0,13,0,13,..,29,0,29,0,29,..,22,3,26,0,26,..,59,0,60,3,67
1013,0,31,..,0,0,0,0,0,..,3,0,3,0,3,..,4,3,9,0,9,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,33,0,33,0,33,..,7,0,5,0,5,..,21,0,21,0,21,..,3,0,3,0,3,..,66,0,64,0,64,..,15,0,16,0,17,..,0,0,0,0,0,..,18,3,23,0,24,..,4,0,4,0,4,..,3,0,3,0,3,..,100,32,127,3,130,..,451,100,549,12,562,..,40,5,47,668,712,10174,486,110,593,674,11441,19834,..,..,..,..,19834,..,11,0,11,0,8,..,38,8,46,0,48,..,0,0,0,0,0,..,22,14,40,0,40,..,46,18,67,4,68,..,3,0,3,0,3,..,78,35,107,4,112,..,5,3,5,0,5,..,10,0,10,0,10,..,25,4,29,0,29,..,37,0,36,3,41
1014,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,3,0,3,..,0,0,0,0,0,..,18,0,18,0,18,..,0,0,0,0,0,..,25,0,22,0,27,..,8,0,8,0,8,..,52,0,50,0,55,..,3,0,3,0,8,..,3,0,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,4,3,10,0,10,..,29,0,34,3,31,..,209,22,230,7,241,..,24,0,23,577,600,8759,235,20,259,583,9604,16861,..,..,..,..,16861,..,5,0,9,0,9,..,8,0,7,0,7,..,22,0,22,3,30,..,30,5,34,0,34,..,20,5,19,0,19,..,4,0,4,0,4,..,51,14,58,0,58,..,0,0,0,0,0,..,9,0,9,0,9,..,10,0,10,0,10,..,24,0,24,0,24
1015,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,5,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,95,11,107,3,110,..,0,0,0,0,0,..,35,0,35,0,35,..,4,0,4,0,4,..,51,3,51,0,55,..,6,6,14,0,14,..,98,12,105,0,105,..,25,6,35,0,35,..,7,0,6,0,12,..,19,3,22,0,22,..,21,28,53,0,56,..,0,0,3,0,3,..,302,79,374,10,382,..,1674,544,2225,35,2256,..,29,10,39,849,884,6554,1709,550,2261,886,9703,12863,..,..,..,..,12863,..,36,0,40,0,40,..,29,7,32,0,32,..,4,0,4,0,4,..,41,18,54,0,59,..,56,142,202,0,202,..,3,3,8,0,8,..,97,168,262,0,266,..,0,0,0,0,0,..,7,0,7,0,7,..,7,0,10,0,10,..,20,4,20,0,20
1016,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,22,0,22,0,21,..,3,0,3,0,3,..,37,0,37,0,40,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,3,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,37,6,39,0,41,..,174,29,201,5,202,..,29,0,30,730,760,6484,200,25,227,733,7443,12507,..,..,..,..,12507,..,0,0,0,0,0,..,10,0,10,0,10,..,34,8,38,3,48,..,8,3,14,0,14,..,21,20,39,0,39,..,7,3,7,0,7,..,37,21,55,0,55,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,7,0,7,..,14,0,14,0,14
1017,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,14,0,12,0,12,..,44,3,48,0,48,..,4,0,4,0,4,..,84,3,90,0,90,..,20,0,23,0,27,..,3,0,3,0,3,..,22,0,28,0,28,..,0,0,0,0,0,..,20,5,27,0,27,..,121,25,148,0,152,..,660,94,754,8,764,..,49,4,48,1054,1104,12959,711,95,803,1067,14835,24847,..,..,..,..,24847,..,13,3,18,0,18,..,11,0,11,0,11,..,58,3,61,0,62,..,30,4,32,0,32,..,55,19,75,0,75,..,3,0,4,0,3,..,83,26,116,0,112,..,3,0,3,0,3,..,25,0,25,0,25,..,51,3,53,0,53,..,87,0,89,4,94
1018,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,7,0,7,..,7,0,9,0,9,..,24,0,24,0,24,..,3,0,3,0,3,..,38,3,41,0,41,..,11,0,11,0,11,..,3,0,3,0,3,..,18,0,17,0,17,..,0,0,0,0,0,..,15,3,15,0,15,..,40,8,46,3,48,..,237,41,277,3,283,..,32,0,32,519,546,5518,267,41,307,517,6345,10849,..,..,..,..,10849,..,3,0,3,0,3,..,18,5,28,0,26,..,3,0,3,0,3,..,21,10,35,0,38,..,8,9,16,0,16,..,0,0,0,0,0,..,32,25,59,0,59,..,12,3,9,0,9,..,16,0,16,0,16,..,11,0,11,0,11,..,21,0,19,0,20
1019,0,20,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,8,0,8,0,9,..,11,0,8,0,8,..,25,4,25,0,25,..,8,0,8,0,8,..,15,0,16,3,15,..,0,0,0,0,0,..,18,0,18,0,18,..,9,0,9,0,9,..,39,0,43,3,45,..,44,0,42,0,42,..,3,0,3,0,3,..,14,5,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,111,15,130,3,130,..,475,60,535,10,546,..,35,0,39,541,577,10985,514,60,573,553,12110,21432,..,..,..,..,21432,..,56,3,54,0,54,..,30,0,28,0,28,..,5,0,5,0,5,..,21,5,21,4,27,..,34,11,38,0,38,..,0,0,0,0,0,..,53,11,66,4,68,..,9,0,17,0,17,..,31,0,35,0,36,..,43,0,42,0,42,..,45,0,46,3,43
1020,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,18,0,18,0,18,..,3,0,3,0,3,..,25,0,25,0,25,..,10,0,10,0,10,..,0,0,0,0,0,..,12,3,11,0,11,..,0,0,0,0,0,..,4,0,7,0,7,..,29,7,33,0,32,..,161,29,192,3,194,..,12,0,12,496,506,5302,180,29,206,499,6003,10370,..,..,..,..,10370,..,25,0,25,0,25,..,7,0,9,0,9,..,8,0,8,0,8,..,5,0,5,0,5,..,14,11,27,0,27,..,0,0,0,0,0,..,23,16,38,0,38,..,6,0,7,0,7,..,9,0,6,0,6,..,6,0,5,0,5,..,14,0,14,0,14
1021,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,4,..,20,0,20,0,20,..,6,0,6,0,6,..,47,0,47,0,49,..,3,0,6,0,6,..,9,0,9,0,9,..,4,0,9,0,8,..,0,0,0,0,0,..,0,0,3,0,3,..,69,13,79,0,79,..,222,29,257,6,255,..,20,0,19,339,365,5270,243,33,274,347,5889,10571,..,..,..,..,10571,..,19,0,19,0,19,..,11,0,11,0,11,..,3,0,3,0,3,..,17,6,26,0,26,..,29,4,32,0,32,..,0,0,0,0,0,..,40,9,54,0,54,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,9,0,11,0,11
1022,0,18,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,16,0,16,0,16,..,11,0,10,0,10,..,0,0,0,0,0,..,10,0,10,0,11,..,12,0,12,0,12,..,7,0,7,0,7,..,24,0,24,0,24,..,4,0,4,0,4,..,49,0,49,0,51,..,36,0,36,0,36,..,0,0,0,0,0,..,21,4,26,0,26,..,3,0,4,0,4,..,8,8,9,0,9,..,71,13,81,0,80,..,544,64,611,13,615,..,49,0,45,1022,1071,12094,591,62,659,1032,13785,23497,..,..,..,..,23497,..,38,0,44,0,42,..,15,0,15,0,15,..,0,0,0,0,0,..,17,11,30,0,33,..,45,13,54,3,63,..,3,3,7,0,7,..,64,25,88,3,95,..,68,8,73,0,78,..,32,0,32,0,32,..,66,5,76,0,76,..,85,0,83,3,85
1023,8,314,..,661,166,827,5,832,..,29,10,42,0,42,..,113,16,128,0,133,..,354,40,393,4,400,..,148,10,155,0,155,..,167,11,175,0,178,..,142,42,180,3,182,..,302,12,315,6,325,..,137,11,152,6,152,..,557,21,577,12,584,..,146,11,159,0,159,..,1146,52,1200,17,1218,..,443,45,485,4,492,..,156,10,171,0,171,..,326,92,421,7,425,..,37,3,37,0,37,..,283,123,405,5,408,..,2032,455,2491,68,2557,..,12064,2188,14254,188,14437,..,525,68,591,11217,11813,209590,12594,2252,14844,11408,235842,411757,..,..,..,..,411757,..,386,8,393,4,392,..,752,224,983,11,993,..,109,0,112,3,112,..,869,291,1156,6,1166,..,2081,585,2668,16,2680,..,204,82,285,3,290,..,3148,960,4106,27,4132,..,315,49,363,3,366,..,342,5,344,3,352,..,549,21,568,4,574,..,935,23,962,18,975
1024,0,10,..,3,3,4,0,4,..,12,0,12,0,12,..,0,0,0,0,0,..,9,0,9,0,9,..,6,4,11,0,11,..,4,0,4,0,4,..,3,0,3,0,3,..,26,0,26,0,26,..,24,0,25,0,25,..,65,0,66,0,66,..,3,0,3,0,3,..,121,0,119,0,119,..,40,4,44,0,44,..,3,0,3,0,3,..,31,8,37,0,40,..,0,0,0,0,0,..,11,7,13,0,19,..,133,24,159,3,161,..,708,116,823,11,838,..,56,3,60,1252,1309,15825,764,115,881,1261,17970,30933,..,..,..,..,30933,..,19,0,19,0,19,..,39,4,40,0,40,..,16,0,20,0,20,..,41,31,68,0,68,..,66,19,85,0,85,..,6,0,6,0,6,..,111,55,167,0,167,..,25,8,32,0,34,..,34,0,38,0,38,..,25,0,25,0,27,..,55,0,62,0,61
1025,0,34,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,11,0,11,..,21,0,22,0,22,..,34,12,42,0,42,..,4,0,4,0,4,..,10,0,15,0,15,..,30,3,33,0,33,..,9,0,9,0,9,..,36,0,38,0,42,..,14,0,14,0,14,..,96,3,99,0,104,..,31,8,42,0,42,..,16,3,20,0,25,..,14,9,21,0,21,..,12,4,9,0,9,..,18,3,28,0,28,..,274,46,324,13,336,..,1014,189,1205,21,1228,..,49,0,49,1167,1218,17517,1060,191,1252,1195,19961,33934,..,..,..,..,33934,..,59,0,64,0,64,..,70,8,80,0,80,..,16,0,16,0,16,..,59,33,88,0,88,..,99,38,138,0,138,..,3,3,5,0,5,..,158,76,230,0,230,..,23,7,28,4,36,..,23,0,23,0,23,..,30,0,31,0,31,..,69,9,74,0,74
1026,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,15,0,15,0,15,..,16,0,16,0,16,..,0,0,0,0,3,..,39,3,43,0,44,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,7,3,7,0,7,..,25,4,30,0,30,..,144,19,168,3,173,..,8,0,6,455,458,5046,151,22,176,453,5676,9735,..,..,..,..,9735,..,25,3,30,0,30,..,17,0,23,0,21,..,15,0,15,0,15,..,12,8,15,4,19,..,15,9,25,0,28,..,8,3,4,0,4,..,32,11,45,3,53,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
1027,0,18,..,3,0,3,0,3,..,7,0,7,0,7,..,3,0,4,0,4,..,12,0,12,0,10,..,16,0,16,0,16,..,3,0,3,0,3,..,6,0,8,0,8,..,35,0,37,0,38,..,6,0,6,0,6,..,38,0,44,0,44,..,4,0,4,0,4,..,90,3,91,0,93,..,47,3,52,0,52,..,3,0,3,0,3,..,29,4,35,0,35,..,9,0,9,0,9,..,25,12,30,0,30,..,141,28,171,7,171,..,838,107,939,20,959,..,68,0,72,1307,1381,21567,905,105,1011,1322,23907,40911,..,..,..,..,40911,..,44,0,44,0,51,..,49,7,55,0,53,..,13,0,11,0,14,..,45,22,62,6,67,..,77,28,107,0,113,..,12,0,12,0,12,..,135,49,185,4,195,..,16,3,20,0,20,..,88,0,87,0,90,..,106,0,106,3,110,..,106,3,103,5,109
1028,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,20,0,23,0,23,..,4,0,4,0,4,..,29,3,33,0,33,..,4,0,4,0,4,..,63,5,67,0,67,..,8,0,13,0,13,..,0,0,0,0,0,..,9,6,12,0,12,..,4,0,4,0,4,..,6,7,15,0,15,..,33,11,40,0,45,..,257,39,299,3,303,..,11,0,11,455,468,7145,270,44,313,456,7916,14556,..,..,..,..,14556,..,76,0,76,0,76,..,7,0,7,0,7,..,6,0,5,3,11,..,25,9,31,0,31,..,33,10,46,0,51,..,0,0,0,0,0,..,58,16,78,0,78,..,0,0,0,0,0,..,10,0,10,0,10,..,6,0,6,0,6,..,20,0,21,0,21
1029,0,0,..,8,0,6,0,6,..,11,0,12,0,16,..,0,0,0,0,0,..,16,0,23,0,20,..,11,3,12,0,13,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,5,0,5,..,26,3,28,0,28,..,4,0,4,0,4,..,38,3,40,0,40,..,27,5,32,0,32,..,0,0,0,0,0,..,8,0,6,0,6,..,0,0,0,0,0,..,0,0,3,0,3,..,62,11,75,0,77,..,421,68,488,8,500,..,25,0,25,495,522,8382,445,68,513,508,9393,16261,..,..,..,..,16261,..,5,0,5,0,11,..,16,4,25,0,25,..,12,0,11,3,14,..,10,11,19,0,19,..,9,11,19,0,19,..,3,0,3,0,3,..,22,17,39,0,39,..,63,5,68,0,68,..,23,0,20,0,20,..,10,0,13,0,13,..,66,8,75,0,75
1030,255,29917,..,7741,1751,9492,107,9598,..,4956,462,5416,67,5489,..,7846,1809,9654,92,9746,..,5711,744,6454,53,6507,..,8039,1606,9637,57,9701,..,7249,597,7843,173,8016,..,7674,1713,9388,89,9481,..,11620,336,11958,91,12046,..,13226,1677,14897,110,15013,..,22081,700,22789,222,23014,..,2502,149,2656,21,2672,..,49430,2864,52292,448,52741,..,25056,3842,28903,296,29197,..,11900,1314,13214,93,13303,..,9864,3354,13214,129,13341,..,7647,2095,9747,102,9851,..,32858,19524,52386,296,52679,..,81980,20798,102776,2000,104780,..,698954,174481,873441,8162,881604,..,5458,1336,6798,119381,126171,1245629,704410,175824,880231,127546,2253408,2483363,..,..,..,..,2483363,..,4828,71,4901,25,4926,..,160824,30614,191441,1785,193228,..,413,16,435,26,461,..,100013,37223,137236,682,137918,..,161413,64700,226111,1232,227342,..,12049,4874,16922,93,17013,..,273476,106792,380272,2008,382278,..,15616,2425,18043,158,18196,..,5194,133,5329,58,5391,..,18419,748,19169,177,19339,..,14352,424,14777,160,14936
1031,0,42,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,9,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,53,0,54,0,54,..,4,0,4,0,4,..,104,9,115,0,111,..,5,0,5,0,5,..,167,8,179,0,177,..,14,4,13,0,15,..,10,0,13,0,13,..,21,8,27,0,27,..,0,0,0,0,0,..,16,10,31,0,35,..,116,25,143,5,147,..,742,153,898,17,911,..,49,0,53,1453,1505,18783,789,154,948,1474,21197,35980,..,..,..,..,35980,..,53,0,53,0,53,..,44,3,47,0,47,..,25,0,23,0,23,..,54,24,83,0,84,..,143,100,239,7,247,..,6,5,5,0,5,..,204,127,329,8,336,..,0,0,0,0,0,..,11,0,11,0,14,..,37,0,37,0,37,..,31,0,31,0,31
1032,0,11,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,5,0,5,0,5,..,25,0,25,0,25,..,3,0,3,0,3,..,49,0,49,0,49,..,16,0,17,0,17,..,3,0,3,0,3,..,11,3,14,0,17,..,0,0,0,0,0,..,6,3,9,0,12,..,79,16,93,6,98,..,352,57,404,12,419,..,29,0,30,908,933,12131,376,56,432,922,13485,23267,..,..,..,..,23267,..,14,0,14,0,14,..,26,0,30,0,32,..,30,0,30,4,32,..,16,9,26,0,26,..,33,15,49,0,49,..,0,0,3,0,0,..,49,27,76,0,77,..,3,0,3,0,4,..,24,0,24,0,24,..,22,0,22,0,20,..,40,0,41,0,41
1033,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,5,3,7,0,7,..,7,0,7,0,7,..,5,0,5,0,5,..,9,0,12,0,12,..,0,0,0,0,0,..,22,0,22,0,22,..,11,0,11,0,11,..,0,0,3,0,3,..,17,4,17,0,17,..,0,0,0,0,0,..,14,3,13,0,13,..,34,3,37,0,40,..,271,28,295,0,303,..,19,0,19,500,513,7091,289,28,318,501,7905,13726,..,..,..,..,13726,..,11,0,11,0,11,..,5,0,12,0,12,..,0,0,0,0,0,..,12,0,13,0,13,..,23,9,29,0,29,..,3,0,3,0,3,..,38,11,45,0,45,..,25,0,24,0,27,..,18,0,19,0,19,..,17,3,18,0,18,..,45,0,46,0,51
1034,0,33,..,0,0,0,0,0,..,3,0,3,0,3,..,23,6,31,0,31,..,14,0,15,0,15,..,8,0,8,0,8,..,5,0,4,0,4,..,13,0,13,0,13,..,70,3,74,0,79,..,10,0,10,0,10,..,87,0,88,0,88,..,21,3,24,0,24,..,190,4,193,0,196,..,29,3,33,0,31,..,24,3,29,0,29,..,20,3,27,0,27,..,0,0,0,0,0,..,19,9,32,0,32,..,482,114,597,8,605,..,1581,286,1864,29,1896,..,81,0,82,1350,1434,24712,1659,284,1946,1378,28035,47590,..,..,..,..,47590,..,80,0,84,0,84,..,245,29,280,0,279,..,40,0,41,4,42,..,89,39,124,0,127,..,150,111,266,3,272,..,18,12,32,0,32,..,258,165,422,3,426,..,17,0,21,0,21,..,26,0,26,0,28,..,46,0,51,0,51,..,76,3,77,0,77
