SUA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1031,14,171,757,563,561,504,219,65,41,2898,0,84,472,364,325,283,77,19,3,1629,3,45,273,278,314,236,46,16,3,1212,0,12,148,210,245,188,41,3,6,860,0,9,173,296,317,222,42,27,3,1083,3,4,60,78,140,96,32,23,12,444,345,257,510,459,426,491,405,335,177,3408,2637,2535,5538,4719,4976,4889,3832,2413,1043,32592
1032,4,57,220,228,284,259,107,58,23,1245,0,19,133,159,159,127,44,19,4,674,0,6,83,79,122,116,23,8,0,443,0,6,30,66,79,77,13,9,3,282,0,5,31,56,66,74,11,4,0,243,0,5,11,27,36,44,35,8,3,176,198,115,178,178,279,299,358,336,293,2224,1583,1343,2425,2497,3213,3592,3361,2171,1054,21236
1033,0,19,136,149,147,191,132,54,11,839,0,9,76,86,98,94,45,18,4,433,0,3,43,67,79,83,28,14,6,319,0,0,25,40,71,55,18,11,6,216,0,4,15,69,48,72,23,16,3,252,3,0,13,30,22,35,17,8,6,138,94,39,88,98,136,196,274,236,165,1328,765,467,1166,1449,1836,2519,2579,1546,595,12925
1034,25,323,1034,810,771,698,233,90,34,4012,6,133,742,579,556,474,139,36,17,2674,0,60,544,512,488,320,85,22,13,2032,0,16,292,440,406,288,58,18,3,1517,0,9,271,516,503,327,75,17,9,1730,7,16,60,176,221,184,64,25,12,771,339,332,510,431,434,459,460,365,220,3542,3786,4410,7566,6558,6465,6188,4465,2719,1304,43454
1035,48,1289,4314,3773,3809,3083,1224,425,125,18090,15,553,3286,2851,2824,2062,603,127,46,12374,10,249,2554,2775,2755,1897,379,94,29,10746,0,94,1510,2313,2287,1552,240,63,12,8066,12,75,1717,3566,3373,1991,340,90,25,11185,23,49,432,1449,1548,969,278,97,30,4858,1346,1289,2254,2023,2248,2353,2375,2058,1237,17180,18495,20492,35262,35947,37489,34962,27026,16532,7063,233270
2000,164,2114,7519,7986,10323,9194,3779,1199,495,42777,42,754,4683,5593,6761,5748,1926,456,137,26095,7,308,2994,4601,5678,4626,1208,339,136,19896,10,114,1582,3072,3911,2939,772,194,82,12670,11,83,1635,3646,4700,3534,963,298,86,14957,50,100,622,1728,2528,2227,1056,425,151,8881,5658,3041,6513,7559,9566,10826,10618,6901,3762,64442,39948,30512,62085,76335,98475,108918,91011,44497,17903,569670
2001,3,78,369,294,324,224,82,24,3,1400,0,26,273,275,250,176,40,7,5,1067,0,25,170,222,221,120,25,3,0,795,0,4,102,206,158,100,13,4,0,585,0,7,101,216,213,133,19,3,0,692,6,0,25,63,80,40,16,7,0,232,122,79,150,187,192,167,206,123,80,1313,1342,1208,2530,2787,2802,2377,1903,795,333,16082
2002,8,52,209,155,176,175,74,41,10,902,0,17,104,99,108,112,29,8,4,490,0,7,66,84,97,75,17,4,3,360,0,0,26,37,52,38,17,4,0,179,0,0,30,48,77,44,5,6,6,218,3,3,23,21,39,40,15,5,0,147,136,110,185,153,168,215,242,240,180,1632,838,822,1628,1518,1767,1908,1851,1212,563,12101
2003,12,438,1679,1371,1397,1108,423,121,62,6616,7,146,1161,995,1033,671,185,70,20,4280,0,48,744,918,836,587,119,34,5,3289,0,20,397,591,622,431,75,23,10,2168,0,12,389,684,775,527,108,24,9,2524,8,17,115,386,458,303,107,48,25,1468,633,594,935,859,904,898,959,778,469,7035,6504,7489,12991,12161,12626,11787,9477,5375,2375,80792
2004,13,440,1608,1187,1281,1041,389,143,71,6174,8,182,1111,931,926,668,185,42,21,4070,0,53,688,815,793,567,135,28,15,3086,0,20,371,514,547,361,85,21,11,1931,3,19,386,652,661,420,88,46,14,2282,9,18,111,279,290,235,84,41,11,1067,653,504,950,790,887,947,957,846,712,7258,6023,6970,12416,11241,11552,11405,8880,5240,2515,76243
