SUA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1024,25,59,130,119,108,79,25,7,0,548,39,44,95,94,95,73,27,4,0,472,942,1406,2906,2670,2872,2260,483,57,9,13603
1025,52,78,194,135,136,76,26,3,0,696,40,45,87,112,117,78,33,13,0,520,1025,1511,3885,3714,3503,2573,652,78,9,16944
1026,11,40,41,34,32,28,3,0,0,198,14,24,35,27,32,28,9,3,0,165,316,412,891,866,965,731,162,25,3,4376
1027,31,65,148,152,146,99,33,3,0,684,33,39,80,110,116,84,31,16,3,502,1155,1258,3157,3749,4267,3204,746,83,7,17633
1028,20,44,77,77,81,30,3,0,0,337,15,31,47,47,58,26,6,0,0,241,602,834,1649,1626,1683,972,171,20,0,7570
1029,12,26,50,41,42,31,8,0,0,220,18,18,36,43,59,60,15,7,4,256,371,493,1026,1304,1471,1223,241,24,11,6170
1030,2966,7548,18257,16621,15307,10184,2779,316,34,74011,4029,11102,28525,24317,22371,13911,4075,839,218,109393,85823,199955,540644,492722,428851,280863,71557,7959,1057,2109429
1031,29,93,174,148,158,120,36,5,0,760,58,66,163,124,134,104,34,14,6,707,1139,1681,4045,3462,3686,2891,684,97,11,17701
1032,14,46,69,78,97,62,19,3,0,392,23,35,52,52,83,68,25,5,3,345,561,766,1481,1551,2006,1708,364,50,7,8499
1033,4,9,38,49,49,39,5,4,0,205,13,23,32,29,38,44,13,7,5,206,350,331,832,1087,1272,1162,264,38,8,5336
1034,44,127,225,202,191,149,41,0,0,998,57,103,199,156,160,123,42,6,3,846,1821,3010,5766,5127,5045,3925,885,106,7,25687
1035,294,636,1186,1089,1032,652,141,15,0,5035,267,551,934,937,1045,658,167,65,20,4638,7336,13266,25791,27514,27804,18533,3214,344,51,123844
2000,571,1110,1867,1902,2372,1906,553,64,14,10365,862,1029,1666,2213,3067,2669,1168,421,101,13195,16084,20707,43519,55459,72254,63468,19136,3472,682,294791
2001,18,57,94,61,79,43,17,0,0,365,25,49,81,83,95,58,27,4,0,417,573,858,1899,2107,2140,1412,290,19,3,9307
2002,12,29,53,41,49,57,8,0,0,257,16,16,40,38,50,44,19,5,0,230,342,530,1132,1053,1254,1092,271,46,7,5729
2003,57,181,317,295,325,260,79,6,0,1520,105,173,261,273,326,212,72,21,4,1440,2649,4796,9436,9115,9337,6847,1468,166,26,43841
2004,75,211,388,278,288,251,67,9,3,1571,83,169,262,309,281,249,72,27,3,1450,2564,4711,9126,8350,8563,6723,1379,151,31,41593
2005,8,18,44,33,30,32,10,0,0,176,9,20,58,37,37,46,12,3,5,239,378,545,1050,1000,1108,965,217,33,12,5312
2006,18,44,87,54,73,72,20,4,0,373,22,37,56,62,91,77,27,3,4,379,645,675,1648,1751,2047,1645,390,57,10,8863
2007,150,479,910,813,796,600,164,24,3,3941,240,451,817,871,890,673,219,59,19,4243,6296,10925,23362,24291,24295,17742,3854,414,63,111234
2008,10,26,59,75,82,65,16,3,0,340,18,28,53,103,106,59,32,0,3,407,533,727,1442,2310,2641,1711,462,33,3,9860
2009,16,43,88,60,59,57,19,4,0,346,23,26,58,43,56,43,16,10,0,271,479,707,1522,1371,1544,1340,334,60,12,7364
2010,2194,7499,18718,15795,15506,9980,2683,319,38,72734,3279,9850,25167,21868,21551,13467,4169,866,269,100488,84049,196031,524424,466991,423981,272576,66010,7072,1142,2042271
2011,58,118,273,216,155,134,33,0,0,989,68,167,312,310,281,175,33,4,0,1354,1339,2460,6427,5858,4738,3405,595,30,3,24867
2012,49,97,167,134,162,119,32,4,0,763,46,87,179,167,182,178,55,14,6,920,1305,1864,4088,4098,4604,3693,895,113,26,20681
2013,9,37,51,40,55,43,13,0,0,242,24,35,52,38,60,50,11,6,0,271,389,667,1205,1122,1350,1096,225,28,5,6085
2014,7,20,27,34,42,27,11,0,0,175,14,25,19,32,38,32,12,11,0,188,290,347,679,899,1098,884,203,39,3,4446
2015,9,35,54,43,33,39,8,0,0,231,15,21,68,25,40,41,4,4,3,219,399,537,1324,1257,1337,1052,212,31,10,6155
2016,45,90,198,178,219,131,44,5,0,904,63,96,203,188,175,131,45,13,11,921,1362,1812,4282,4165,4497,3425,845,94,20,20507
2017,9,30,63,31,26,25,6,0,0,190,10,25,39,25,29,29,8,5,0,178,322,476,1019,884,970,796,165,31,4,4666
2018,34,81,151,136,112,73,27,7,0,616,32,58,129,99,118,90,31,11,0,580,946,1622,3671,3300,3505,2673,577,80,8,16376
2019,13,42,70,58,63,44,18,0,0,296,31,27,60,52,67,49,17,9,0,316,558,655,1469,1583,1793,1449,296,39,10,7862
2020,44,72,156,127,171,129,37,7,0,747,30,55,110,102,151,115,43,15,3,633,934,1321,3036,2829,3483,2687,703,121,17,15136
2021,22,73,119,123,113,92,29,3,0,567,39,53,108,84,138,85,25,13,3,544,1203,1618,3116,3052,3526,2629,548,68,16,15780
