SOSR_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR179,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,5,3,7,3,0,3,35,0,8,0,3,6,13,3,0,31,4,4,9,11,8,20,3,3,61,0,0,0,0,0,3,0,0,3,3,0,0,3,4,0,0,0,8,5,4,7,11,11,23,3,3,74,0,0,0,0,0,0,0,0,3,7,7,6,6,13,21,14,0,69,8,30,15,24,43,60,25,3,212
SOSR199,85,39,31,20,12,0,365,3,31,23,23,26,11,0,0,120,199,494,197,146,110,88,16,4,1247,75,146,99,99,128,100,14,3,663,154,314,226,252,265,169,18,3,1416,42,23,22,12,15,11,0,0,126,33,33,29,26,49,23,4,0,195,232,363,277,290,333,205,23,7,1738,11,21,14,13,10,15,5,0,83,448,798,701,670,495,283,90,29,3513,989,2023,1392,1284,1142,722,150,41,7741
SOSR201,64350,38981,25084,13081,3682,892,228537,1946,19415,22604,20308,16198,7324,1826,392,90018,60796,212103,159258,101709,67103,35384,13215,4330,653905,27721,77201,70799,61953,44482,27435,11548,4085,325230,44232,92579,80857,83972,60640,35882,18646,6198,423020,5620,5422,5224,4689,3323,1847,522,151,26793,4268,8266,9944,11328,9651,6797,3061,1406,54715,54124,106260,96026,99990,73609,44528,22230,7757,504523,2304,5625,4998,4425,4086,3627,2085,934,28089,39859,52851,40823,37845,34711,33609,27873,18125,285699,191895,550772,458860,365205,265276,164993,82466,36526,2115997
SOSR203,1189,842,620,331,86,20,4452,63,664,688,640,573,252,70,16,2971,1627,5241,4169,2659,2175,1186,438,130,17620,871,2346,2347,2276,1974,1244,519,223,11798,2799,4989,3868,4058,3277,1995,987,352,22327,366,299,232,223,173,84,23,4,1404,207,315,352,395,390,288,120,62,2117,3364,5605,4445,4677,3834,2359,1129,426,25843,57,148,110,107,130,124,92,40,807,1697,1497,1335,1589,1652,1738,1683,1178,12372,7787,16753,14292,12789,10957,7245,4013,2033,75861
SOSR211,1386,1153,930,519,137,21,5641,95,901,1167,1102,1023,505,124,19,4931,1753,7094,5899,3572,3014,1797,620,194,23947,1264,3798,3769,3585,3132,1997,759,240,18545,5348,10281,7725,7157,5938,3482,1502,436,41862,788,700,522,435,357,163,19,15,2998,385,703,722,712,703,485,192,74,3974,6513,11678,8972,8300,7002,4135,1717,513,48839,96,206,190,201,219,237,139,62,1350,3222,2979,2630,2777,3059,3220,2626,1490,22006,13105,27993,24014,20699,18384,12401,6131,2532,125257
SOSR212,676,534,446,182,46,9,2569,67,513,630,629,512,217,48,16,2632,945,3830,3159,2185,1865,929,360,102,13368,782,2255,2312,2323,1915,1108,480,137,11311,2995,5873,4818,4792,3767,2140,895,266,25555,438,394,287,244,218,102,21,14,1719,232,374,411,444,417,270,105,41,2284,3666,6639,5516,5479,4402,2516,1015,318,29556,59,135,133,124,126,134,64,38,815,1998,1966,1738,1995,2175,2299,1934,1125,15241,7604,15941,14155,13264,11443,7386,3952,1741,75499
SOSR213,1078,823,676,444,130,26,4072,56,682,905,864,960,501,108,18,4093,1014,5085,4993,3375,3104,1913,694,211,20386,926,2985,3446,3498,3413,2295,972,322,17850,4262,8673,7376,7523,6203,3971,1785,521,40307,538,512,444,359,323,198,50,11,2442,321,540,640,648,717,571,227,94,3760,5123,9728,8454,8532,7240,4740,2061,626,46508,67,157,178,177,202,223,170,80,1266,2582,2249,2339,2722,3147,3643,3144,1883,21714,9836,21710,21398,19994,18741,13761,7283,3167,115887
SOSR214,471,419,436,301,92,13,2073,34,278,417,512,464,302,67,10,2089,454,1954,2239,1649,1652,1254,478,148,9822,398,1309,1637,1791,1734,1494,625,200,9180,1939,3905,3645,4064,3644,2676,1231,406,21513,290,301,267,250,203,124,33,18,1484,157,269,367,354,434,381,134,70,2169,2383,4477,4282,4673,4282,3183,1398,490,25173,42,92,81,96,132,155,110,41,751,1552,1430,1501,1805,2096,2686,2289,1318,14679,4886,9851,10632,10947,10796,9379,5063,2222,63772
SOSR215,770,693,724,520,131,33,3416,54,491,782,782,824,512,105,23,3568,730,3271,3833,2760,2867,2112,782,243,16598,682,2387,2687,2857,2934,2324,965,302,15125,3115,6794,6287,6612,5788,3861,1657,508,34631,405,438,386,336,312,213,55,11,2163,223,445,539,596,679,596,232,97,3415,3749,7670,7218,7550,6786,4676,1949,616,40215,38,124,102,170,196,265,157,80,1135,2412,1831,2046,2665,3375,3793,3156,1831,21109,7714,16280,17430,17469,17703,14196,7240,3130,101164
SOSR221,176,183,232,191,50,3,941,19,144,206,212,247,160,30,6,1016,150,742,915,776,845,640,183,46,4301,177,511,736,828,984,727,259,73,4296,781,1781,1764,2180,1977,1259,551,112,10415,116,124,106,124,120,55,12,4,662,56,111,146,194,209,214,60,10,994,957,2018,2013,2500,2308,1527,618,127,12070,13,21,39,47,62,90,34,21,330,622,474,628,809,1155,1266,777,454,6176,1947,3999,4707,5357,5834,4600,1956,733,29127
SOSR222,101,108,180,83,22,0,571,15,69,131,139,166,80,13,3,622,99,497,600,507,559,347,95,25,2732,92,330,469,514,548,388,123,37,2511,467,1089,1117,1381,1277,762,238,70,6399,71,66,76,73,77,41,6,0,398,39,78,83,125,152,108,24,3,601,571,1236,1270,1576,1505,908,269,70,7398,12,19,27,28,44,31,15,6,192,474,358,428,630,687,705,421,223,3940,1280,2572,3030,3506,3695,2547,956,374,17963
SOSR231,1412,1732,1913,1210,299,41,7528,88,780,1347,1754,2084,970,159,17,7201,1440,5447,7718,7181,7462,4309,1032,213,34798,1358,3680,5423,7186,7041,4669,1167,250,30773,5912,10125,12068,16032,13343,7171,2204,464,67324,726,629,702,762,702,301,49,21,3894,417,643,1003,1344,1421,1014,247,59,6154,7060,11399,13776,18143,15466,8488,2504,544,77376,91,144,253,365,473,490,155,49,2032,5509,4278,5280,7040,7743,6948,3380,1053,41232,15639,26558,35211,43412,42184,27084,8692,2163,200936
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,25
SOSR299,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
SOSR301,24477,17823,11628,5715,1567,371,86404,997,7681,9325,8659,6243,2720,732,130,36492,25005,83319,68747,45807,29172,15830,5293,1513,274686,14297,31798,33306,31774,22678,12593,4665,1380,152484,34494,59921,51197,48002,36690,21432,9230,2749,263716,6597,3884,2868,2308,1685,957,230,79,18607,3072,4641,5516,5461,5113,3477,1362,531,29174,44161,68442,59586,55773,43490,25869,10821,3356,311494,1102,2212,2074,2084,1924,1698,962,386,12432,20670,24667,20069,18997,16630,15034,12248,8975,137288,107479,241693,217579,180911,131760,79454,36288,16118,1011278
SOSR302,3784,2829,2060,1143,326,61,14234,235,1316,1504,1421,1241,601,161,33,6509,4861,15426,13599,9101,6639,4196,1496,408,55725,4076,8885,10001,9484,6962,4266,1519,436,45623,8971,16071,16229,15646,11882,8354,3645,1017,81820,1355,825,790,619,579,324,95,24,4609,842,1341,1818,1831,1694,1500,647,191,9858,11168,18236,18832,18100,14154,10175,4385,1230,96288,249,511,609,632,694,713,401,156,3960,6290,7131,6289,6487,6204,6092,4652,3213,46360,27206,55211,54621,48057,37949,27189,12935,5537,268703
SOSR303,3871,3628,2871,1649,542,77,15654,214,1569,2072,2353,1890,996,276,33,9398,4282,16693,15787,12224,8990,5590,2017,565,66154,2603,8095,10356,10892,8480,5272,2123,607,48430,12149,21605,19645,19461,15794,9508,4067,1174,103402,2437,1340,1008,823,681,387,126,22,6833,974,1449,1655,1950,1929,1518,648,205,10331,15556,24397,22311,22237,18406,11409,4842,1402,120558,235,507,566,633,640,666,443,149,3843,8039,7991,7411,7885,7356,7076,5578,3606,54938,31073,62129,62369,59853,48642,32663,15820,6433,318980
SOSR311,741,679,536,265,65,12,2919,70,415,549,620,512,232,69,8,2476,1028,4482,3999,3053,2337,1222,480,132,16732,550,2096,2605,2898,2553,1454,577,154,12887,4456,8515,7219,7353,6342,4007,1904,446,40232,1031,615,450,336,225,138,41,5,2834,341,541,576,640,597,464,234,61,3452,5827,9670,8245,8323,7157,4613,2177,514,46522,83,159,150,202,208,225,129,56,1212,2509,2648,2605,3083,3072,3128,2839,1583,21463,10108,20042,18897,18851,16382,11129,6339,2453,104211
SOSR312,194,126,98,34,9,4,625,11,77,113,137,110,40,11,0,503,213,1017,876,601,427,232,89,20,3464,108,459,576,694,551,302,99,24,2812,1223,2310,1974,1817,1443,801,365,84,10019,281,221,101,104,54,26,3,0,790,77,107,147,141,134,96,34,3,744,1576,2645,2226,2064,1635,930,402,88,11549,27,46,49,42,60,44,24,6,299,636,669,690,688,681,609,497,205,4678,2584,5062,4727,4340,3552,2191,1133,348,23937
SOSR313,469,438,403,222,71,14,2020,48,306,398,398,363,169,50,8,1729,666,2783,2495,1961,1535,1038,398,102,10971,427,1344,1848,2027,1724,1201,497,124,9193,2933,5772,5060,4802,4071,2638,1118,262,26657,700,455,295,223,206,111,29,7,2019,209,367,395,432,408,340,167,44,2371,3845,6598,5746,5464,4680,3085,1318,315,31050,47,81,106,120,117,138,102,27,744,1909,1888,1808,1985,1972,2053,1741,1171,14526,6957,13372,12868,12380,10795,7905,4188,1769,70233
SOSR314,483,436,344,216,63,8,1964,53,292,371,336,294,145,45,4,1543,660,3078,2758,1862,1445,890,310,89,11092,478,1634,2020,2127,1574,941,370,113,9249,2717,5637,5205,4787,3723,2187,902,183,25339,607,344,304,240,171,88,17,7,1775,229,375,448,452,407,290,110,30,2327,3549,6353,5962,5473,4295,2566,1030,213,29444,63,136,113,120,99,131,81,23,779,2179,2401,2088,2126,2131,2051,1508,673,15156,7021,14271,13798,12494,10188,6929,3409,1124,69235
SOSR315,618,594,535,404,98,16,2674,44,379,491,486,476,279,66,3,2222,846,3482,3387,2447,2159,1446,474,102,14345,693,2285,2877,3213,2786,1784,602,133,14362,4054,8310,7915,7664,6733,4137,1525,305,40654,904,642,490,413,294,175,45,9,2963,389,549,780,731,719,523,201,45,3935,5343,9498,9184,8812,7746,4840,1771,356,47553,67,149,138,165,214,250,103,27,1116,3713,3935,3507,3629,3770,3657,2516,1241,25969,10730,20119,20208,19345,17677,12663,5623,1878,108244
SOSR321,217,280,261,170,44,7,1107,19,108,195,238,249,125,37,3,970,284,1083,1377,1145,1071,698,214,35,5899,237,655,1072,1412,1366,774,232,41,5794,1416,2815,2992,3303,3097,1958,616,94,16290,318,227,194,187,132,76,10,3,1143,138,183,280,331,347,223,77,15,1589,1868,3220,3464,3820,3568,2264,706,115,19022,29,38,77,89,106,97,55,15,504,1469,1197,1380,1581,1613,1682,886,318,10123,3910,6413,7779,8563,8242,5804,2173,529,43408
SOSR322,94,80,115,67,16,0,409,5,48,64,92,82,59,9,0,354,97,402,476,388,461,306,91,17,2239,71,257,413,572,550,328,88,14,2282,597,1166,1237,1399,1479,1028,316,54,7275,164,165,109,100,73,51,10,0,673,49,77,107,133,140,111,30,18,666,818,1408,1455,1627,1699,1187,354,70,8611,16,13,28,31,43,44,18,4,197,740,558,564,796,846,919,519,127,5075,1737,2718,3088,3587,3798,2899,1099,227,19153
SOSR331,1204,1607,1434,928,194,36,5970,66,430,849,1240,1229,518,92,13,4424,1309,5060,7170,6487,5685,3230,887,135,29967,1037,2962,5174,7006,6057,3386,931,155,26711,6554,11470,13630,15506,13736,7708,2150,350,71096,1327,826,725,796,628,298,52,11,4654,522,734,1184,1644,1542,1057,292,47,7022,8404,13024,15533,17943,15899,9058,2487,411,82765,124,190,238,412,445,423,180,32,2036,5929,5306,6312,8019,8011,6768,3200,844,44387,16894,27514,36475,42701,38769,24312,7967,1624,196263
SOSR379,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,0,0,3,3,0,0,12,4,3,3,6,0,0,4,0,18,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,8,6,3,0,4,0,26,0,0,0,0,0,0,0,0,3,4,0,0,0,4,9,0,3,23,10,11,12,8,15,15,6,3,71
SOSR399,41,38,38,25,3,0,266,7,23,12,19,36,19,0,0,118,200,451,125,104,130,115,21,3,1147,88,128,95,109,218,128,18,0,779,151,340,256,316,418,356,61,8,1898,27,17,16,13,24,16,0,0,113,19,42,19,24,60,37,4,0,202,197,398,300,349,497,411,64,9,2221,16,24,9,18,19,20,7,0,113,331,585,474,448,481,334,102,17,2765,839,1709,1058,1085,1426,1050,215,24,7409
SOSR401,11850,7969,5999,3548,1162,284,43965,376,3393,4432,4249,4087,2168,514,111,19334,11534,42293,34095,22566,17936,10843,3778,1448,144499,4330,15005,16581,17827,15291,9616,3509,1346,83514,15895,32126,26920,28644,23102,14789,7614,2601,151690,3315,3107,2309,1783,1329,671,205,63,12779,1374,2420,3204,3489,3396,2645,1166,511,18204,20592,37654,32429,33922,27825,18098,8982,3175,182680,578,1283,1232,1279,1267,1267,768,379,8044,9266,10409,9102,9720,9598,9842,8687,6201,72828,47305,122567,109726,97530,82005,55387,27403,12941,554855
SOSR412,223,193,131,52,20,0,813,20,98,126,149,148,80,23,3,641,282,1157,1071,780,607,343,110,32,4387,170,565,847,1080,841,453,148,58,4153,1411,2685,2245,2507,1896,1152,597,167,12652,314,344,194,156,98,50,12,3,1173,100,185,199,242,205,155,63,17,1175,1823,3216,2637,2914,2203,1352,667,191,15000,30,48,58,67,61,63,36,11,372,688,619,586,812,815,845,791,416,5575,3028,5878,5546,5996,4797,3184,1796,709,30941
SOSR413,472,494,397,329,79,19,2093,15,159,291,321,395,252,48,9,1492,424,1724,1957,1582,1408,1051,336,114,8594,205,757,1090,1396,1448,1092,403,113,6504,1536,2955,2673,2814,2457,1753,806,248,15248,362,356,289,162,142,105,24,6,1453,132,239,278,321,336,324,146,38,1818,2031,3550,3240,3299,2943,2184,979,299,18508,37,97,88,93,111,125,78,38,657,1176,1233,1165,1185,1236,1370,1134,629,9127,3916,7800,8299,8363,7936,6397,3061,1212,46983
SOSR414,39,42,58,56,16,4,260,0,24,33,51,75,47,12,0,241,53,316,302,231,282,276,109,22,1591,37,187,236,300,342,377,132,30,1637,345,767,632,626,633,549,265,79,3891,56,78,65,46,45,26,8,3,326,34,58,86,101,94,105,36,12,519,436,896,782,769,770,678,311,90,4731,0,14,14,16,34,36,27,17,165,203,185,169,210,259,393,336,241,2001,737,1666,1585,1620,1813,1853,935,407,10621
SOSR415,295,256,224,144,42,6,1216,20,164,221,240,305,133,37,3,1118,374,1694,1667,1197,1127,766,253,80,7156,189,890,1202,1495,1431,932,327,112,6577,1681,3323,3081,3244,2788,1899,813,238,17060,302,335,253,218,162,97,31,14,1409,165,245,348,359,368,324,116,36,1962,2149,3905,3687,3812,3311,2317,961,289,20429,32,56,90,81,111,113,75,41,592,1091,878,949,1238,1437,1634,1431,1027,9695,3884,7821,8103,8321,7945,6039,3128,1560,46786
SOSR421,59,72,94,43,20,3,335,5,39,62,88,114,54,14,0,368,98,461,477,343,358,252,88,27,2097,68,252,336,460,498,325,93,38,2082,424,1001,985,1097,989,612,204,56,5374,97,88,70,59,42,29,11,5,405,39,76,105,100,124,83,32,7,575,557,1169,1158,1258,1155,728,250,69,6350,3,18,14,28,25,22,11,12,134,320,278,281,365,461,499,367,288,2868,1065,2258,2390,2617,2705,1921,852,433,14248
SOSR422,34,34,46,21,9,0,170,0,25,17,39,56,26,8,0,170,60,216,185,165,213,134,38,3,1026,32,127,163,245,273,159,46,9,1050,239,576,555,641,666,460,163,41,3329,58,53,56,42,24,15,3,0,258,20,38,52,70,98,63,12,4,360,317,665,665,754,783,539,178,44,3946,3,4,23,18,19,37,14,3,120,244,214,230,317,332,377,210,100,2021,651,1283,1316,1568,1735,1301,495,161,8505
