SOSR_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,21219,837,228,1066,22284,4593,82,26964,135,28,3,124,284,4,0,5,292,38,247,569,81342,10899,1132,1686,95059,2645,636,3282,98338,7870,451,106667,16188,1892,159,123,18365,468,94,564,18925,1030,28,19985,21561,2699,242,197,24701,378,90,469,25163,893,26,26080,476,74,114,3,670,18,3,17,684,40,0,721,281,53,3,297,630,24,5,27,656,45,19,720,38507,4712,516,615,44358,888,193,1077,45435,2004,70,47512,534,101,12,19,662,152,17,173,839,83,0,919,956,176,9,26,1167,125,58,183,1347,92,0,1440,1492,282,17,41,1826,279,74,354,2184,178,0,2361,39998,4994,535,657,46182,1166,267,1433,47621,2179,76,49872,9511,1779,145,288,11728,456,140,592,12323,2937,52,15306,70,15,0,48,137,7,0,4,144,25,166,329,49585,6792,684,991,58044,1625,405,2032,60082,5142,289,65513,23779,2706,273,182,26940,687,152,843,27781,1636,29,29446,28109,3674,349,277,32412,546,111,660,33073,1457,38,34571
SOSR203,583,23,7,26,615,132,3,747,3,0,0,4,5,0,0,0,5,0,10,19,2720,313,48,45,3128,73,26,101,3229,232,19,3483,482,61,13,0,556,20,4,24,577,32,0,606,878,72,4,3,959,10,3,9,969,43,0,1015,18,3,3,0,31,0,0,0,31,3,0,32,10,4,0,6,18,0,0,0,18,0,0,18,1385,141,24,13,1564,30,5,34,1598,72,0,1672,21,9,0,0,26,3,0,3,34,0,0,33,38,0,0,0,37,3,4,7,47,0,0,48,54,11,0,3,62,12,4,11,76,3,0,83,1442,152,24,13,1630,41,7,48,1672,78,0,1751,297,49,5,6,362,13,6,21,387,92,0,475,3,0,0,0,3,0,0,0,3,0,7,12,1745,200,31,27,1995,53,10,70,2062,165,11,2235,743,65,12,4,826,15,0,15,838,36,3,878,1109,115,13,14,1255,18,0,18,1273,68,0,1342
SOSR211,1244,65,12,79,1320,330,8,1659,3,0,0,0,4,0,0,0,3,0,18,23,4915,638,100,98,5753,153,42,193,5946,549,32,6525,1019,111,17,8,1155,18,7,19,1172,46,5,1223,1392,151,20,21,1589,24,9,40,1622,64,0,1686,49,7,7,0,59,3,0,3,63,0,0,61,17,0,0,17,31,0,0,0,33,0,0,37,2470,274,45,46,2828,47,14,63,2890,107,4,3005,25,3,0,0,34,8,0,8,40,3,0,46,57,4,0,3,66,0,7,7,73,8,0,84,85,6,4,3,102,8,7,14,113,14,0,127,2552,285,51,44,2929,53,22,78,3007,125,4,3132,518,96,15,15,635,28,12,38,676,203,7,889,3,0,0,0,3,0,0,0,5,0,9,17,3072,372,66,65,3571,84,36,118,3689,332,23,4043,1454,147,19,15,1635,22,9,34,1671,89,5,1763,1851,214,26,12,2106,18,4,31,2133,107,0,2242
SOSR212,659,44,9,48,703,237,4,949,7,0,0,3,8,0,0,0,8,0,13,22,3174,342,64,59,3641,110,23,135,3775,368,17,4157,677,65,4,6,755,26,3,27,780,38,0,823,946,79,26,14,1064,20,3,21,1088,43,0,1128,28,9,3,0,39,0,0,0,44,0,0,46,5,3,0,4,14,0,0,0,14,0,0,10,1650,157,36,35,1876,40,4,46,1921,83,0,2011,29,4,0,0,33,13,0,13,39,4,0,45,39,5,0,0,40,10,0,11,52,3,0,52,61,6,0,0,71,17,0,23,93,5,0,98,1716,164,33,35,1948,58,4,68,2013,92,3,2106,303,42,7,11,360,22,9,29,391,142,0,530,3,0,0,4,6,0,0,0,6,0,10,18,2020,204,48,49,2314,86,14,100,2411,233,8,2654,991,112,16,6,1125,32,3,36,1165,67,0,1227,1333,136,37,13,1511,25,3,30,1538,71,0,1605
SOSR213,974,29,3,33,1010,204,0,1212,3,0,0,4,10,0,0,0,10,0,15,27,4726,516,96,96,5434,114,16,128,5568,402,24,5994,930,86,15,7,1036,15,3,19,1060,49,7,1111,1552,161,13,16,1747,30,5,34,1777,57,0,1838,40,0,7,0,47,4,0,8,56,3,0,60,10,3,0,23,36,0,0,0,36,0,0,38,2532,251,31,52,2866,48,12,62,2928,113,4,3046,38,14,0,0,51,3,0,3,59,3,0,58,39,3,0,0,46,0,3,8,50,5,0,58,83,18,0,0,98,12,3,10,112,4,0,115,2615,271,31,52,2965,58,12,72,3040,118,4,3163,465,55,13,11,547,16,3,22,569,126,0,696,6,0,0,6,7,0,0,0,7,0,7,17,3081,325,43,64,3519,76,19,95,3610,245,18,3878,1387,142,24,8,1561,23,3,27,1588,71,5,1662,1928,209,35,26,2191,26,7,39,2227,80,0,2304
SOSR214,475,23,3,28,504,98,3,601,0,0,0,0,0,0,0,0,0,0,7,14,2415,314,66,47,2843,73,27,98,2940,200,15,3158,482,58,4,8,552,3,8,7,562,37,0,605,680,78,16,7,784,16,6,18,802,40,3,844,25,6,8,0,44,0,0,0,45,0,0,50,10,3,0,10,20,0,0,0,20,0,0,23,1203,143,32,23,1404,20,7,26,1429,80,5,1517,12,3,0,0,17,4,0,4,20,0,0,20,23,5,0,0,30,0,0,0,29,0,0,30,39,7,0,0,44,4,0,3,50,0,0,51,1236,151,36,25,1448,23,9,34,1483,86,5,1570,224,49,15,7,290,16,0,22,310,74,3,384,0,0,0,0,0,0,0,0,0,0,7,6,1460,199,49,36,1739,41,9,55,1791,156,19,1959,678,93,4,6,776,14,3,14,794,39,0,829,881,140,27,12,1057,14,0,14,1076,60,9,1144
SOSR215,945,31,11,42,985,162,8,1151,10,5,0,3,17,0,0,0,17,0,8,25,4017,536,120,99,4774,100,22,122,4893,342,25,5255,763,91,18,9,878,14,0,12,894,53,0,947,1107,158,27,13,1299,8,3,7,1304,61,5,1372,44,12,4,0,61,0,0,0,61,3,0,60,15,0,0,23,31,0,0,0,31,0,0,35,1918,255,51,43,2270,17,3,24,2287,115,3,2412,17,3,0,0,23,8,0,8,30,9,0,32,37,3,0,0,36,0,5,7,49,3,0,52,53,6,3,0,64,10,5,13,71,6,0,81,1973,258,57,43,2333,24,10,34,2365,126,3,2495,455,57,12,19,544,20,3,18,569,118,4,683,6,3,0,0,10,0,0,0,10,0,4,13,2438,316,66,67,2885,40,10,51,2941,243,17,3200,1105,114,25,8,1251,25,3,30,1282,64,4,1352,1485,196,38,19,1728,25,5,28,1757,77,5,1834
SOSR221,234,9,0,15,244,49,4,304,0,0,0,0,5,0,0,0,5,0,3,10,1112,182,32,36,1358,43,6,48,1403,112,10,1523,196,24,4,0,226,0,0,0,223,14,3,245,360,54,11,3,432,0,0,0,433,19,0,452,14,3,0,0,20,0,0,0,16,0,0,16,0,0,0,10,14,0,0,0,14,0,0,14,576,81,11,16,679,7,0,5,689,39,3,724,5,3,0,0,6,3,0,3,9,0,0,9,9,3,0,0,12,0,0,0,11,0,0,11,11,6,0,0,23,0,0,3,25,0,0,25,587,85,11,16,702,8,4,9,712,39,3,746,94,14,7,10,129,0,0,5,127,37,0,165,0,0,0,0,3,0,0,0,3,0,0,4,683,102,20,20,829,12,3,13,843,71,3,921,277,31,5,0,317,5,0,5,315,15,0,332,463,59,16,3,539,8,0,3,549,24,0,579
SOSR222,169,0,0,0,171,32,0,204,3,0,0,0,3,0,0,0,3,0,8,5,712,117,20,10,861,8,4,13,873,70,4,953,170,22,3,0,191,0,0,0,193,5,0,201,197,38,7,0,241,0,0,3,239,5,0,250,16,0,3,0,17,0,0,0,18,0,0,18,4,0,0,0,3,0,0,0,3,3,0,9,386,55,17,3,453,3,0,3,460,19,0,474,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,3,5,0,0,0,5,0,0,0,8,0,0,9,388,55,17,3,460,8,0,4,466,17,0,481,67,8,7,0,85,8,0,8,86,23,0,117,3,0,0,0,3,0,0,0,3,0,3,5,458,61,18,8,549,14,0,13,555,44,3,602,226,24,6,0,257,0,0,0,264,4,0,270,251,54,14,3,316,0,0,0,314,26,0,343
SOSR231,1977,48,15,59,2042,325,6,2376,31,4,5,9,47,0,0,0,47,3,28,77,10171,1207,235,265,11878,143,37,180,12052,696,61,12813,2248,222,28,16,2504,17,3,22,2533,108,3,2641,3225,401,49,43,3717,36,12,46,3759,145,3,3902,78,12,28,0,120,0,0,0,124,8,0,130,37,7,3,56,98,0,0,0,98,3,3,106,5588,640,98,113,6442,59,12,68,6512,262,12,6788,23,10,0,3,36,12,0,12,45,8,0,50,83,13,0,0,94,6,4,13,106,8,0,114,104,15,0,3,132,16,4,17,151,15,0,164,5700,657,100,118,6571,76,12,91,6661,277,12,6950,931,136,35,37,1146,21,6,35,1175,233,5,1415,22,6,0,3,32,0,0,0,34,0,20,57,6655,795,136,160,7747,100,21,125,7874,518,33,8422,3319,301,57,24,3693,33,9,41,3737,154,9,3898,4283,572,74,60,4996,43,11,53,5046,176,9,5231
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,9758,432,93,522,10280,1946,33,12263,59,4,0,25,89,0,0,0,89,6,170,273,42043,4989,683,760,48472,1484,279,1767,50236,3736,260,54227,9828,996,96,60,10979,278,32,312,11295,641,12,11955,9975,1186,138,71,11373,250,42,290,11663,457,15,12131,276,46,65,3,392,4,0,11,407,26,0,432,113,22,0,123,255,9,0,16,274,22,5,292,20190,2252,305,265,23006,548,78,625,23632,1149,30,24815,394,56,3,8,466,82,4,89,555,49,0,599,493,86,12,22,616,54,20,72,690,42,0,729,891,143,16,30,1082,140,22,160,1238,91,0,1327,21072,2401,314,297,24085,680,102,789,24873,1238,33,26141,4492,711,105,137,5440,249,49,292,5738,1305,20,7063,30,8,0,25,64,3,0,3,67,7,79,157,25599,3119,423,455,29597,930,149,1087,30677,2549,135,33357,14006,1308,186,90,15583,411,66,479,16064,878,13,16956,12665,1599,208,98,14570,312,47,355,14930,644,12,15586
SOSR302,2233,89,20,106,2341,396,3,2734,19,7,0,12,27,3,0,3,29,5,32,67,9856,1456,183,163,11660,311,56,367,12026,831,43,12905,2235,322,32,24,2612,45,15,64,2676,127,5,2808,2499,361,34,16,2912,42,3,45,2965,108,3,3070,70,21,24,0,111,0,0,0,111,5,0,119,31,7,3,42,85,3,0,3,84,7,4,90,4841,712,89,79,5723,93,20,112,5835,247,9,6097,73,17,0,6,93,26,0,25,121,9,0,132,117,25,0,0,149,8,3,14,163,13,0,174,193,46,3,8,244,37,3,40,278,20,0,299,5031,758,92,88,5967,128,23,155,6117,266,9,6397,1077,161,27,34,1302,46,4,49,1349,244,3,1604,8,0,0,7,13,0,0,0,14,0,14,32,6121,916,116,128,7284,180,27,204,7489,518,32,8034,3324,408,46,26,3802,67,19,90,3895,197,3,4089,3084,500,51,25,3658,76,9,85,3749,162,0,3908
SOSR303,2451,133,33,157,2608,589,6,3207,15,3,0,9,26,0,0,0,26,9,35,66,12057,1675,277,209,14215,473,94,567,14785,1221,61,16060,2983,360,38,24,3403,79,8,87,3493,174,4,3667,3114,480,77,28,3697,75,12,85,3782,171,4,3956,84,8,20,4,110,0,0,0,110,12,0,118,38,4,0,34,79,3,0,7,80,10,3,98,6215,854,131,92,7288,151,21,176,7464,362,14,7836,100,22,0,3,123,32,0,34,160,20,0,181,145,23,3,3,177,25,8,31,206,16,0,227,243,44,3,9,300,58,10,65,366,38,0,412,6460,897,130,105,7588,208,29,242,7828,406,14,8246,1071,186,34,30,1327,79,22,101,1430,376,6,1809,9,0,0,13,23,0,0,0,23,5,34,61,7535,1086,164,143,8933,294,52,341,9282,783,50,10112,4201,431,70,38,4742,136,23,163,4902,234,8,5134,3782,593,84,43,4501,97,9,107,4609,230,6,4847
SOSR311,854,71,10,81,929,261,3,1195,0,0,0,6,4,0,0,0,4,0,13,13,3923,558,91,79,4650,217,43,268,4918,505,24,5438,967,94,13,10,1085,41,9,46,1128,62,5,1192,1043,152,25,11,1223,43,4,45,1271,82,0,1352,26,0,4,0,35,3,0,3,36,4,0,42,10,0,0,9,18,0,0,0,18,3,0,26,2041,251,45,26,2361,83,13,94,2454,148,5,2614,38,6,0,0,46,21,0,21,64,10,0,72,44,4,0,3,60,19,6,21,82,8,0,93,87,16,3,3,106,34,6,38,144,15,0,167,2125,260,50,30,2472,116,16,137,2603,170,5,2778,393,81,11,5,497,26,7,37,530,162,0,697,0,0,0,0,4,0,0,0,4,0,11,10,2521,346,58,41,2964,145,28,167,3137,335,13,3482,1360,136,29,10,1537,44,12,54,1592,77,0,1665,1301,150,32,14,1503,61,12,73,1574,80,0,1658
SOSR312,250,39,0,39,289,97,0,389,0,0,0,0,0,0,0,0,0,0,6,5,989,74,41,34,1147,85,3,87,1238,143,8,1385,220,20,3,0,245,5,0,5,254,12,0,266,263,27,7,6,297,10,0,10,310,14,0,325,5,3,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,492,47,15,3,556,17,0,17,570,28,0,600,14,0,0,0,17,9,0,9,19,0,0,24,13,3,0,0,18,3,0,3,23,0,0,21,28,3,0,0,31,5,0,5,42,0,0,45,519,51,14,3,591,28,0,28,616,30,0,646,142,16,8,10,170,25,3,23,195,63,0,261,0,0,0,0,0,0,0,0,0,0,7,7,665,71,18,10,760,45,3,46,812,95,7,911,277,23,4,3,311,3,3,10,318,15,0,336,310,40,5,4,358,12,0,15,376,20,0,397
SOSR313,732,36,4,47,780,182,0,963,4,4,0,0,11,0,0,3,7,3,13,23,2911,363,100,71,3441,105,12,118,3557,339,11,3912,662,67,10,7,748,23,0,23,767,33,0,803,762,85,20,9,880,8,4,15,889,44,0,933,12,4,9,0,29,3,0,3,32,0,0,34,8,0,0,10,21,0,0,0,26,0,0,25,1453,157,41,26,1676,37,4,35,1711,83,0,1792,25,0,0,0,24,8,0,8,34,4,0,43,26,3,0,0,33,4,3,8,38,3,0,41,54,3,3,0,59,12,3,16,73,9,0,89,1508,158,38,28,1731,50,4,55,1789,90,0,1881,320,48,16,16,398,31,3,30,431,115,0,546,3,0,0,0,8,0,0,0,9,0,0,11,1837,207,53,43,2139,79,6,85,2224,205,3,2430,886,77,10,10,982,27,3,30,1014,47,0,1060,872,114,25,12,1022,14,0,15,1041,49,0,1089
SOSR314,778,40,9,51,820,150,3,977,8,0,0,9,13,0,0,0,13,0,17,29,3312,381,92,89,3866,129,18,151,4011,300,30,4344,779,62,15,8,866,23,3,23,882,36,3,927,835,103,21,7,975,26,3,23,1001,41,0,1041,24,3,12,0,35,0,0,0,35,3,0,41,8,0,3,12,23,0,0,0,23,3,0,26,1640,175,50,29,1900,42,3,46,1945,87,3,2033,24,0,0,0,30,11,0,11,33,8,0,41,32,4,3,4,47,3,4,5,53,3,0,58,59,7,3,4,75,14,4,13,87,12,0,98,1702,184,54,30,1969,59,4,60,2035,98,3,2129,307,43,15,6,378,12,3,19,394,110,0,503,4,0,0,3,7,0,0,0,7,0,9,22,2013,230,74,45,2356,72,7,78,2435,202,15,2659,1034,93,19,8,1150,21,5,29,1181,50,0,1238,977,120,29,15,1134,25,3,33,1168,44,0,1213
SOSR315,1217,108,16,123,1336,406,7,1747,8,0,0,7,17,0,0,0,17,3,15,38,4590,688,107,121,5506,235,48,285,5788,693,36,6521,1008,124,17,4,1152,15,3,20,1170,70,0,1238,1125,182,23,20,1351,26,3,29,1386,80,6,1473,38,7,15,0,59,3,3,4,65,11,0,74,14,0,0,21,35,0,0,3,42,3,0,39,2186,307,55,46,2600,44,11,57,2658,159,8,2826,37,7,0,3,46,23,0,23,71,11,0,83,47,6,6,0,55,10,3,14,74,3,0,75,85,8,6,3,102,33,3,39,141,20,0,159,2277,322,62,48,2703,81,18,96,2803,180,8,2986,447,89,28,16,581,62,14,73,656,275,3,931,3,0,0,4,8,0,0,0,14,3,12,35,2725,411,84,71,3292,145,26,177,3466,459,27,3951,1265,118,28,13,1419,29,10,42,1462,92,0,1555,1232,185,30,11,1459,44,16,54,1513,99,3,1615
SOSR321,429,37,3,40,470,171,3,643,3,0,0,3,3,0,0,0,3,0,9,17,1717,282,59,54,2108,85,19,105,2218,303,16,2531,365,50,13,5,434,13,0,13,444,33,0,477,428,82,12,11,529,14,3,14,543,37,0,586,13,0,6,0,23,0,0,0,22,0,0,22,4,0,0,7,11,0,0,0,15,3,0,15,806,136,31,21,997,24,3,27,1028,71,0,1099,11,3,3,3,17,10,0,16,33,9,0,39,14,4,0,0,19,4,3,5,25,3,0,29,23,14,3,3,38,14,4,16,59,13,0,69,828,147,37,19,1035,43,5,51,1081,83,0,1169,181,35,4,12,226,13,0,10,240,102,6,345,4,0,0,0,4,0,0,0,4,0,3,9,1021,183,43,28,1270,51,10,62,1332,180,8,1520,482,57,7,6,551,11,0,18,567,41,0,611,533,97,14,9,650,20,0,18,670,50,0,722
SOSR322,169,14,8,18,185,109,5,292,3,0,0,3,5,0,0,0,6,0,8,13,663,107,18,21,812,34,7,45,855,166,10,1034,124,17,3,3,147,5,0,3,151,12,0,163,150,21,6,0,178,0,0,0,181,19,0,203,8,0,5,0,16,0,0,0,16,0,0,16,0,0,0,9,10,0,0,0,10,3,0,7,279,42,8,12,347,5,0,4,356,36,0,388,3,3,0,0,10,4,0,4,16,5,0,21,3,0,0,0,3,0,0,0,6,4,0,4,7,3,0,0,10,7,0,7,19,4,0,24,287,45,8,12,356,13,0,17,371,42,0,416,70,11,0,0,82,11,3,12,99,53,0,154,3,0,0,0,3,0,0,0,4,0,0,6,359,59,9,15,443,23,9,26,469,99,3,571,164,19,7,0,188,5,0,4,194,10,0,201,179,27,4,3,223,4,0,4,225,14,0,235
