SOSR_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR399,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,..,124747,124747,136596,12940,149534,67266,3574,70841,65219,1343,66563,23315,430,23742,10140,255,10397,302544,143295,445836
SOSR412,..,9007,9007,9364,625,9988,4000,62,4065,3789,11,3797,1489,3,1493,635,0,635,19275,9712,28988
SOSR413,..,11817,11817,13909,853,14765,5371,111,5478,5116,40,5156,2090,5,2097,860,12,876,27345,12844,40190
SOSR414,..,3034,3034,3805,202,4013,1050,32,1088,1062,12,1070,402,7,405,161,11,171,6476,3306,9781
SOSR415,..,12956,12956,15353,787,16140,5281,101,5387,5103,28,5130,2274,13,2284,849,14,863,28853,13895,42751
SOSR421,..,3863,3863,4741,238,4982,1517,27,1547,1529,5,1533,644,3,647,276,0,277,8707,4140,12851
SOSR422,..,2552,2552,2939,148,3083,933,4,940,800,0,801,411,0,411,243,0,242,5325,2708,8031
SOSR431,..,11139,11139,18997,829,19824,6855,69,6921,7266,17,7286,3646,6,3660,1521,7,1529,38283,12080,50362
SOSR479,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,..,155518,155518,204176,18390,222566,107196,5372,112566,110941,2172,113110,43898,812,44705,19874,445,20316,486080,182704,668779
SOSR511,..,5999,5999,8484,587,9070,3914,100,4022,4000,28,4029,1579,14,1595,659,4,664,18636,6736,25377
SOSR512,..,10877,10877,13580,1061,14637,5897,188,6080,5923,57,5982,2624,14,2636,1263,9,1263,29285,12197,41485
SOSR513,..,4099,4099,5023,511,5537,2628,128,2762,2772,44,2820,1289,12,1297,650,7,660,12363,4809,17170
SOSR514,..,2921,2921,3968,276,4243,1918,72,1995,1911,16,1934,795,11,800,349,3,353,8936,3306,12246
SOSR515,..,8393,8393,9909,647,10561,4018,135,4153,4047,38,4081,1887,13,1901,960,18,980,20819,9244,30056
SOSR521,..,4481,4481,5227,344,5570,2035,49,2086,1908,16,1921,959,7,967,649,3,654,10776,4901,15673
SOSR522,..,2133,2133,2291,136,2427,791,14,801,739,3,744,412,0,412,421,0,421,4650,2291,6944
SOSR531,..,9778,9778,18531,787,19322,6756,107,6860,7420,26,7441,3665,3,3668,1953,15,1964,38326,10710,49039
SOSR579,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,..,21078,21078,21773,2051,23826,9931,626,10565,8855,236,9092,3277,68,3354,1410,45,1457,45248,24109,69360
SOSR611,..,9542,9542,9100,878,9981,4071,220,4292,3601,77,3676,1334,33,1368,597,15,607,18710,10759,29465
SOSR612,..,3089,3089,3029,243,3271,1269,21,1294,1039,11,1047,420,0,421,188,3,185,5941,3363,9308
SOSR613,..,4266,4266,4350,253,4600,1693,27,1727,1389,7,1399,561,3,564,264,0,262,8258,4554,12810
SOSR614,..,1475,1475,1560,72,1638,586,9,598,477,3,478,194,3,203,93,0,93,2915,1562,4479
SOSR615,..,7350,7350,8496,470,8964,3143,48,3195,2792,12,2802,1145,0,1147,480,3,483,16062,7875,23936
SOSR621,..,2184,2184,2779,193,2974,943,17,956,925,3,929,353,0,351,144,0,145,5140,2397,7537
SOSR622,..,1474,1474,1816,83,1900,566,8,576,506,4,509,190,0,190,96,0,96,3184,1565,4748
SOSR631,..,8063,8063,13972,682,14661,5042,46,5083,4897,9,4905,2133,4,2134,1070,0,1078,27112,8816,35932
SOSR679,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,..,8007,8007,10752,1603,12352,6340,511,6851,5906,163,6066,2626,54,2677,1508,38,1548,27131,10379,37506
SOSR712,..,2073,2073,2115,281,2396,1191,101,1288,1103,33,1136,502,3,506,312,9,327,5223,2501,7725
SOSR714,..,479,479,470,53,524,273,13,290,282,6,291,112,3,111,91,0,91,1227,565,1785
SOSR715,..,675,675,660,68,727,406,9,418,457,8,461,332,0,333,963,0,963,2813,758,3577
SOSR721,..,721,721,630,84,715,338,17,355,358,12,370,258,0,261,720,0,720,2310,835,3141
SOSR722,..,568,568,498,49,550,266,5,272,285,4,295,241,3,244,672,0,677,1968,630,2597
SOSR731,..,1698,1698,2504,236,2736,1249,41,1283,1422,22,1445,748,3,758,799,0,798,6723,2000,8721
SOSR779,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,..,35361,35361,42462,4359,46824,22428,1681,24116,23147,581,23733,8499,188,8687,3520,118,3634,100059,42291,142353
SOSR822,..,19,19,33,0,36,13,0,13,11,0,11,11,0,11,3,0,3,78,24,99
SOSR831,..,32,32,47,3,56,42,0,42,42,0,42,29,0,29,14,0,14,170,40,214
SOSR879,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,..,95,95,128,6,129,62,0,63,59,0,59,32,0,32,20,0,20,299,101,399
SOSR921,..,124,124,122,4,127,37,0,36,33,0,33,14,0,14,3,0,3,203,129,333
SOSR922,..,17,17,42,0,41,33,0,33,24,0,24,16,0,16,30,0,30,155,22,172
SOSR931,..,132,132,169,6,174,65,0,65,44,0,44,35,0,35,13,0,13,318,132,454
SOSR979,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
