SOSR_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR331,..,320,5813,13147,18789,20042,16247,6168,1006,81526,..,1179,3260,3276,3613,2680,1261,251,23,15541,..,47,219,638,970,627,355,257,112,3236,38017,..,..,..,..,..,..,..,..,38017,..,7775,..,..,..,..,..,..,..,7775,..,8231,3283,1675,1116,415,59,3,0,14790,..,781,369,272,371,531,554,349,202,3431,..,746,521,378,435,376,257,85,22,2807,..,517,613,525,811,963,703,219,34,4384,..,501,1184,1666,3366,4528,4001,1813,495,17561,638,958,836,714,748,864,697,181,43,5676,38656,21059,16102,22280,30225,31022,24137,9319,1946,194743,..,621,8295,16179,20989,20061,13618,3776,405,83940,..,1851,3759,3495,3791,2391,842,132,15,16271,..,459,1535,2384,2396,1064,690,565,302,9402,35521,..,..,..,..,..,..,..,..,35521,..,7895,..,..,..,..,..,..,..,7895,..,5171,1667,643,505,248,46,6,0,8278,..,555,197,121,265,662,840,628,431,3706,..,738,376,169,218,175,111,39,10,1837
SOSR379,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR399,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,206,357,560,418,346,380,335,77,3,2677,206,357,560,418,346,380,335,77,3,2677,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR401,..,936,24394,40355,40656,38620,32106,17494,4916,199474,..,3684,14094,8524,6968,4561,1964,504,96,40391,..,140,670,2045,3319,2229,781,516,352,10052,97603,..,..,..,..,..,..,..,..,97603,..,29342,..,..,..,..,..,..,..,29342,..,19673,12775,4457,2929,1203,146,3,0,41191,..,4087,2769,1024,1003,1046,681,365,235,11217,..,2580,2396,913,655,400,164,32,6,7156,..,7462,8426,2687,2428,1832,1003,337,102,24260,..,2172,7534,8367,10852,10557,7871,4692,2739,54793,1568,2244,2638,1629,1325,931,722,335,138,11522,99164,72334,75692,69995,70132,61374,45439,24281,8587,527006,..,2275,32896,42482,41879,38495,29398,12886,2378,202697,..,5668,14778,8299,6933,4100,1484,317,55,41632,..,1503,6441,10732,12340,6492,2595,2144,1348,43595,92548,..,..,..,..,..,..,..,..,92548,..,29677,..,..,..,..,..,..,..,29677,..,13493,7620,1876,1491,874,188,8,0,25539,..,3496,1921,612,1064,2092,1635,1271,809,12904,..,2391,1579,384,283,175,69,25,4,4914
SOSR412,..,73,1251,2062,2553,2510,2030,1177,319,11982,..,422,938,574,519,286,114,20,3,2885,..,17,85,154,264,115,43,27,22,720,6724,..,..,..,..,..,..,..,..,6724,..,1542,..,..,..,..,..,..,..,1542,..,1495,594,227,158,55,5,0,0,2535,..,155,85,49,41,59,30,18,17,454,..,95,62,42,47,24,6,3,0,272,..,213,204,95,109,113,49,19,7,801,..,219,563,594,880,864,542,414,169,4240,179,193,216,117,116,86,76,36,10,1025,6900,4422,3997,3917,4687,4109,2892,1708,540,33173,..,124,1718,2266,2645,2517,1869,910,132,12186,..,635,940,592,487,258,87,4,9,3006,..,220,693,819,804,320,110,121,54,3140,6529,..,..,..,..,..,..,..,..,6529,..,1566,..,..,..,..,..,..,..,1566,..,930,257,69,77,41,8,0,0,1382,..,144,48,20,46,91,81,58,34,522,..,85,55,10,18,12,3,0,0,181
SOSR413,..,84,1571,2751,3305,3603,3824,2059,482,17673,..,453,1188,758,758,472,231,71,16,3934,..,11,82,209,268,168,78,35,18,880,8935,..,..,..,..,..,..,..,..,8935,..,2105,..,..,..,..,..,..,..,2105,..,1777,736,346,208,75,18,0,0,3159,..,248,144,77,69,78,54,29,12,713,..,171,152,69,49,42,10,3,0,492,..,306,342,137,115,141,83,41,7,1183,..,223,562,617,926,1088,858,518,296,5091,201,251,220,151,153,140,148,74,25,1358,9138,5629,4996,5114,5849,5795,5303,2831,857,45527,..,177,2072,3180,3565,3723,3556,1499,245,18017,..,714,1202,836,739,440,182,52,15,4180,..,205,661,1054,1043,471,223,144,93,3898,8587,..,..,..,..,..,..,..,..,8587,..,2157,..,..,..,..,..,..,..,2157,..,1101,395,129,85,68,17,0,0,1796,..,195,75,38,74,131,137,88,48,799,..,142,89,26,28,13,5,0,0,298
SOSR414,..,14,405,594,657,860,1108,656,178,4478,..,82,258,148,149,113,69,32,4,860,..,4,9,45,57,35,7,8,0,176,1814,..,..,..,..,..,..,..,..,1814,..,387,..,..,..,..,..,..,..,387,..,320,130,61,43,22,3,0,0,580,..,42,26,19,13,11,13,4,3,132,..,37,23,13,14,8,4,3,0,98,..,92,94,70,57,49,24,10,3,393,..,47,135,142,198,271,244,159,90,1288,48,52,42,30,27,34,48,12,4,294,1857,1081,1126,1124,1218,1400,1519,883,284,10498,..,41,527,655,699,939,1084,507,85,4539,..,143,259,156,144,114,60,11,5,902,..,20,117,213,240,92,39,32,24,769,1800,..,..,..,..,..,..,..,..,1800,..,405,..,..,..,..,..,..,..,405,..,210,63,21,17,19,3,0,0,337,..,28,13,7,7,25,26,25,15,138,..,33,19,11,4,3,3,0,0,74
SOSR415,..,88,1754,2997,3567,4059,3994,2197,552,19205,..,461,1232,851,777,558,266,86,15,4246,..,8,58,217,306,172,49,47,25,881,9393,..,..,..,..,..,..,..,..,9393,..,2053,..,..,..,..,..,..,..,2053,..,1901,704,244,227,89,19,0,0,3186,..,241,129,53,79,81,38,29,23,677,..,103,103,54,58,31,17,3,0,369,..,271,291,144,179,141,99,39,15,1179,..,242,636,670,1064,1300,1047,679,323,5959,172,211,190,138,116,146,166,74,16,1224,9564,5586,5090,5374,6371,6575,5704,3143,982,48382,..,186,2361,3351,3887,4126,3761,1616,254,19548,..,725,1258,866,793,476,217,64,14,4412,..,151,626,1034,964,379,155,153,103,3575,8853,..,..,..,..,..,..,..,..,8853,..,2050,..,..,..,..,..,..,..,2050,..,1080,302,93,114,80,18,0,0,1678,..,191,69,22,98,115,120,99,55,760,..,116,44,22,21,19,5,3,0,240
SOSR421,..,17,509,871,1152,1409,1251,634,142,5973,..,117,330,242,282,194,103,32,3,1296,..,3,25,50,76,53,15,14,7,235,2725,..,..,..,..,..,..,..,..,2725,..,571,..,..,..,..,..,..,..,571,..,496,216,66,57,29,5,0,0,881,..,61,35,10,29,28,18,3,7,199,..,44,39,14,17,8,8,0,0,123,..,65,66,35,55,56,33,11,3,317,..,66,208,204,334,468,379,214,92,1969,40,79,54,46,48,63,63,23,5,423,2768,1515,1469,1550,2039,2313,1872,933,260,14716,..,47,669,1026,1280,1412,1121,456,70,6076,..,177,352,266,261,189,84,19,0,1346,..,37,150,262,260,87,49,36,28,918,2620,..,..,..,..,..,..,..,..,2620,..,638,..,..,..,..,..,..,..,638,..,301,100,23,19,12,8,0,0,468,..,50,17,4,14,28,28,24,18,175,..,29,11,6,3,9,0,0,0,61
SOSR422,..,47,294,480,654,833,794,407,83,3601,..,68,223,166,166,136,70,9,3,844,..,4,16,54,50,44,18,5,3,189,1676,..,..,..,..,..,..,..,..,1676,..,313,..,..,..,..,..,..,..,313,..,326,140,57,48,18,0,0,0,588,..,87,49,29,30,19,23,3,8,252,..,27,8,16,7,11,6,0,0,71,..,17,24,19,29,29,33,11,3,173,..,51,111,139,299,353,322,158,55,1485,32,42,39,50,45,71,38,26,6,352,1713,982,910,1009,1331,1513,1314,623,156,9544,..,78,398,539,725,886,727,282,47,3685,..,102,249,171,168,136,44,11,0,876,..,25,114,160,158,53,31,30,15,581,1524,..,..,..,..,..,..,..,..,1524,..,318,..,..,..,..,..,..,..,318,..,213,63,24,23,14,0,0,0,332,..,55,25,29,30,33,27,15,10,221,..,21,4,3,10,7,3,0,0,46
SOSR431,..,98,1834,4449,6716,7442,5696,2032,367,28637,..,290,1048,1054,1282,1009,428,69,10,5194,..,11,51,183,381,231,98,53,38,1048,12328,..,..,..,..,..,..,..,..,12328,..,3023,..,..,..,..,..,..,..,3023,..,2828,1157,421,296,123,13,0,0,4844,..,223,117,79,109,128,101,63,34,853,..,142,111,63,83,57,30,10,0,503,..,164,170,129,196,246,132,49,9,1091,..,217,542,735,1490,1897,1479,599,182,7137,211,317,250,222,249,315,223,62,19,1864,12539,7317,5277,7322,10807,11464,8202,2937,665,66514,..,174,2618,5355,7274,7352,4869,1325,154,29132,..,482,1128,1128,1353,919,299,38,6,5358,..,90,363,584,724,311,152,151,107,2472,11487,..,..,..,..,..,..,..,..,11487,..,3105,..,..,..,..,..,..,..,3105,..,1634,603,162,126,80,16,0,0,2625,..,177,65,21,71,140,155,110,89,818,..,137,53,36,37,34,10,8,3,328
SOSR479,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,58,129,207,136,103,87,56,9,0,795,58,129,207,136,103,87,56,9,0,795,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR501,..,1535,43552,72253,70756,59759,45925,22919,5684,322382,..,6474,27231,14436,10862,6349,2768,701,126,68948,..,187,856,2542,4338,2841,1177,591,351,12883,172292,..,..,..,..,..,..,..,..,172292,..,46516,..,..,..,..,..,..,..,46516,..,32902,17832,5748,3316,1357,175,7,0,61329,..,7402,5544,1620,1426,1479,971,594,335,19366,..,4086,5619,1874,1167,623,214,67,20,13665,..,9433,14963,4767,3356,2484,1386,511,131,37037,..,3317,11967,11324,12698,12491,9897,5677,2801,70177,2189,3080,3699,2137,1606,1210,941,507,167,15531,174481,114930,131265,116703,109533,88585,63444,31578,9616,840127,..,3981,60404,79394,73230,59147,39710,16563,2615,335041,..,10667,29348,14374,10634,5563,2011,437,65,73094,..,2220,9061,15126,17015,8689,3417,2444,1536,59507,163622,..,..,..,..,..,..,..,..,163622,..,47084,..,..,..,..,..,..,..,47084,..,22806,10808,2566,1675,1071,250,11,0,39188,..,6078,3649,1026,1705,3252,2882,2128,1278,22004,..,3610,3508,762,527,346,122,44,22,8937
SOSR511,..,69,1332,2415,2546,2350,1889,873,239,11710,..,358,938,535,469,307,100,26,3,2738,..,8,45,172,174,87,35,15,16,549,7028,..,..,..,..,..,..,..,..,7028,..,1368,..,..,..,..,..,..,..,1368,..,1352,453,156,114,29,4,0,0,2113,..,197,96,33,50,39,30,21,6,470,..,138,109,43,30,12,8,0,0,337,..,203,306,92,97,87,43,18,0,852,..,128,420,428,498,535,384,210,91,2699,149,159,166,109,77,79,59,31,9,829,7175,3984,3857,3990,4056,3520,2554,1202,364,30703,..,158,1960,2740,2759,2393,1646,643,107,12406,..,549,1017,579,490,263,96,16,0,3015,..,149,520,764,636,262,107,69,41,2546,6765,..,..,..,..,..,..,..,..,6765,..,1403,..,..,..,..,..,..,..,1403,..,838,243,65,52,32,4,0,0,1243,..,131,46,14,57,90,63,55,45,487,..,130,70,16,15,7,3,0,0,243
SOSR512,..,91,2060,3504,3796,3558,2868,1506,430,17808,..,649,1627,1059,836,546,210,74,12,5005,..,13,74,216,302,150,64,39,19,877,11161,..,..,..,..,..,..,..,..,11161,..,1981,..,..,..,..,..,..,..,1981,..,2274,676,279,195,71,10,3,0,3506,..,345,240,102,89,97,85,36,21,1010,..,214,161,80,62,34,16,10,0,576,..,402,455,199,221,175,98,28,10,1589,..,251,721,651,988,1035,803,438,232,5122,213,247,263,180,158,156,136,55,16,1415,11373,6474,6272,6261,6639,5819,4294,2194,732,50052,..,192,2932,4005,4111,3608,2518,1114,184,18661,..,1011,1693,1084,868,491,174,49,6,5370,..,224,738,1169,1047,402,173,131,89,3975,10820,..,..,..,..,..,..,..,..,10820,..,2056,..,..,..,..,..,..,..,2056,..,1411,377,126,84,74,15,0,0,2091,..,283,107,48,111,159,153,107,62,1034,..,192,85,37,34,16,8,3,0,376
SOSR513,..,41,1346,1982,1650,1212,557,190,33,7009,..,313,1204,713,496,267,73,16,0,3074,..,7,40,82,130,48,28,8,8,342,5690,..,..,..,..,..,..,..,..,5690,..,745,..,..,..,..,..,..,..,745,..,732,251,96,39,12,0,0,0,1134,..,208,97,47,57,44,26,18,3,497,..,75,142,62,43,39,9,0,0,369,..,172,306,144,152,75,29,14,3,898,..,145,434,397,476,484,246,118,37,2337,120,109,158,126,113,104,51,18,3,799,5810,2550,3979,3648,3152,2283,1015,366,90,22895,..,108,1832,2091,1583,1028,408,134,18,7196,..,516,1260,694,470,219,50,8,0,3218,..,106,353,393,310,131,62,34,10,1405,5366,..,..,..,..,..,..,..,..,5366,..,654,..,..,..,..,..,..,..,654,..,469,125,42,19,10,0,0,0,668,..,149,66,35,56,74,41,35,11,460,..,89,91,23,30,21,0,4,3,258
SOSR514,..,21,604,1194,1082,1001,875,407,82,5275,..,140,505,394,278,165,68,14,7,1567,..,3,20,70,88,37,25,9,6,258,3744,..,..,..,..,..,..,..,..,3744,..,550,..,..,..,..,..,..,..,550,..,568,191,93,45,19,0,0,0,911,..,72,55,26,15,22,11,13,11,231,..,67,67,23,19,16,8,3,0,194,..,108,195,58,47,42,28,8,0,482,..,56,169,193,272,292,244,109,34,1372,70,67,96,52,44,44,37,15,5,431,3808,1653,1904,2100,1885,1643,1300,575,144,15011,..,77,946,1364,1079,1056,809,255,33,5622,..,210,658,364,258,128,56,12,3,1689,..,78,242,381,341,140,54,25,24,1288,3444,..,..,..,..,..,..,..,..,3444,..,550,..,..,..,..,..,..,..,550,..,380,112,38,17,22,4,0,0,573,..,61,30,12,25,38,38,36,15,249,..,54,47,14,7,7,3,0,0,131
SOSR515,..,69,1387,2488,2492,2428,2126,1098,231,12324,..,497,1254,857,752,457,190,57,11,4064,..,26,55,134,218,121,54,35,20,663,8432,..,..,..,..,..,..,..,..,8432,..,1185,..,..,..,..,..,..,..,1185,..,1246,425,187,139,46,14,0,0,2059,..,282,130,81,86,93,50,20,19,767,..,127,136,61,41,39,19,9,4,432,..,321,314,134,144,142,58,27,9,1150,..,197,509,509,841,1006,747,374,143,4323,222,185,226,169,155,137,106,39,13,1257,8651,4135,4445,4628,4876,4468,3359,1665,436,36660,..,134,2003,2805,2600,2503,1910,757,111,12820,..,742,1364,898,718,396,127,46,3,4297,..,167,587,748,678,265,114,101,49,2719,7934,..,..,..,..,..,..,..,..,7934,..,1152,..,..,..,..,..,..,..,1152,..,839,215,91,62,46,8,0,0,1252,..,237,68,55,97,114,104,72,42,801,..,123,78,24,18,11,5,4,4,266
SOSR521,..,46,662,1066,1332,1444,1267,594,117,6524,..,170,538,424,418,323,122,26,8,2031,..,8,23,62,102,87,42,14,7,348,4087,..,..,..,..,..,..,..,..,4087,..,569,..,..,..,..,..,..,..,569,..,748,335,157,102,26,8,0,0,1377,..,196,105,60,60,55,47,23,14,557,..,63,52,31,14,25,19,3,0,206,..,75,98,74,95,92,56,13,3,501,..,83,225,278,455,583,466,239,74,2403,92,104,97,78,78,79,68,31,9,628,4179,2063,2130,2237,2656,2708,2093,940,230,19233,..,90,906,1248,1481,1490,1090,398,53,6764,..,285,627,452,434,279,85,21,0,2179,..,103,329,352,348,163,81,69,26,1476,3868,..,..,..,..,..,..,..,..,3868,..,556,..,..,..,..,..,..,..,556,..,492,142,58,36,26,0,0,0,747,..,148,57,32,76,88,68,31,27,536,..,53,30,16,17,7,7,0,6,139
SOSR522,..,51,300,435,498,594,539,255,53,2741,..,82,285,194,192,143,65,14,0,981,..,3,19,36,58,38,9,5,5,177,1896,..,..,..,..,..,..,..,..,1896,..,216,..,..,..,..,..,..,..,216,..,316,136,58,35,14,3,0,0,562,..,150,67,46,46,24,31,9,5,383,..,19,16,14,13,5,0,0,0,74,..,18,34,13,31,30,30,4,0,162,..,40,115,112,240,296,245,104,29,1172,57,49,74,49,43,56,35,19,3,378,1949,942,1056,964,1155,1201,957,413,101,8737,..,78,405,459,571,640,445,175,24,2809,..,116,320,210,208,118,35,10,0,1024,..,58,155,177,164,84,38,31,16,720,1864,..,..,..,..,..,..,..,..,1864,..,223,..,..,..,..,..,..,..,223,..,241,69,34,22,9,0,0,0,373,..,105,50,35,50,65,44,29,10,385,..,19,9,6,3,3,4,0,0,48
SOSR531,..,90,1840,4475,6743,6994,5381,1913,324,27762,..,344,1208,1202,1420,993,447,82,15,5708,..,16,56,164,348,209,85,61,33,971,13000,..,..,..,..,..,..,..,..,13000,..,2490,..,..,..,..,..,..,..,2490,..,2813,1065,457,257,93,12,0,0,4706,..,349,203,97,107,164,148,91,45,1204,..,168,151,106,91,94,49,21,0,670,..,134,220,143,193,211,143,48,5,1103,..,245,537,658,1257,1602,1320,496,137,6271,221,300,341,272,299,324,243,66,14,2087,13223,6956,5609,7577,10711,10686,7836,2783,581,65963,..,187,2736,5628,7406,7067,4422,1163,121,28743,..,544,1463,1346,1443,920,271,55,4,6049,..,117,443,634,732,331,169,127,89,2646,11994,..,..,..,..,..,..,..,..,11994,..,2567,..,..,..,..,..,..,..,2567,..,1649,573,178,101,65,8,0,0,2567,..,240,103,61,103,165,192,189,87,1150,..,183,109,54,66,39,22,11,4,480
SOSR579,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR599,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,88,141,268,188,178,141,98,17,6,1114,88,141,268,188,178,141,98,17,6,1114,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR603,..,119,2874,4972,5525,5731,4760,2576,685,27245,..,795,2562,1617,1381,889,400,102,16,7756,..,21,136,362,594,313,131,66,50,1677,15091,..,..,..,..,..,..,..,..,15091,..,4102,..,..,..,..,..,..,..,4102,..,2563,1465,565,375,204,21,0,0,5188,..,497,276,126,120,167,110,74,25,1402,..,366,312,108,85,44,29,10,0,944,..,1272,1364,372,276,294,156,67,12,3819,..,399,1151,1220,1567,1791,1334,806,443,8708,300,419,437,258,203,203,168,80,22,2086,15393,10560,10577,9602,10129,9634,7102,3781,1246,78021,..,234,3760,5577,5684,5827,4322,1837,317,27553,..,1177,2644,1642,1328,779,285,48,3,7916,..,401,1326,1909,1936,918,405,282,182,7355,14204,..,..,..,..,..,..,..,..,14204,..,3737,..,..,..,..,..,..,..,3737,..,1794,764,272,185,121,34,4,0,3164,..,389,195,64,130,280,245,201,117,1615,..,332,240,49,53,34,15,5,0,723
