SOSR_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,888,1754,6596,361,436,3667,13708,241,1616,397,330,99,43,2729,1150,13640,2563,829,498,193,18871,3293,5580,4248,1476,719,148,15452,4870,2807,3561,663,550,110,12563,21284,2641,7271,867,1342,214,33622,86787,2750,17237,677,2235,432,110121,108272,1344,14456,287,1295,348,126002,46652,248,6944,126,479,149,54595,21575,98,3314,49,224,65,25320,9739,56,1575,23,102,32,11526,4825,31,954,24,58,21,5914,2480,17,476,3,39,10,3026,5605,15,1120,3,108,35,6887,6071,2235,4243,613,731,640,14539,323735,34833,74963,6342,8916,6096,454883
SOSR203,22,150,211,18,55,146,598,13,114,26,25,14,3,198,140,1039,211,106,38,21,1554,740,412,436,150,52,11,1799,736,206,352,107,41,11,1459,2308,236,664,70,68,24,3363,4124,134,781,40,63,12,5165,2587,26,395,26,46,14,3091,507,8,101,0,7,0,620,135,0,32,3,3,0,167,35,0,20,0,0,0,52,21,0,18,0,0,0,41,9,0,9,0,0,0,19,31,0,17,0,0,0,47,186,145,124,46,63,30,592,11581,2476,3395,598,452,275,18771
SOSR211,40,218,314,27,57,210,873,22,174,45,39,10,9,298,474,1694,385,106,45,39,2742,1600,821,686,180,80,30,3390,1673,453,821,149,62,23,3182,6548,320,1413,121,259,42,8702,7670,79,1126,26,165,37,9104,2471,24,363,14,47,17,2941,240,4,72,4,17,3,350,51,9,23,0,6,3,95,25,4,12,0,0,0,42,13,0,7,0,3,0,30,7,0,8,0,0,0,15,17,3,14,0,0,4,43,282,245,210,56,51,43,883,21149,4047,5500,736,804,454,32687
SOSR212,28,147,209,26,37,113,561,28,113,37,21,12,5,213,323,1049,252,95,68,27,1813,1425,570,568,152,88,35,2836,1288,294,515,54,71,18,2242,2637,157,731,38,68,15,3643,3807,57,682,29,68,16,4650,1626,20,256,6,33,4,1950,167,0,39,0,4,6,221,30,0,15,0,3,0,57,14,0,6,0,0,0,23,8,0,3,0,0,0,8,7,3,0,0,0,0,10,22,0,12,0,5,0,36,183,156,133,36,40,33,580,11597,2576,3450,451,503,262,18847
SOSR213,40,243,349,43,63,254,990,46,355,51,50,14,6,526,642,1435,385,107,78,32,2676,2041,782,810,183,111,46,3979,1517,278,727,97,67,21,2704,3346,215,939,49,125,28,4698,4216,57,809,15,94,21,5207,2612,27,423,12,37,16,3120,502,10,117,0,6,3,643,111,0,11,0,3,0,131,33,0,5,0,0,0,39,12,0,11,0,0,0,17,7,0,0,0,0,0,4,13,0,19,0,5,0,41,269,199,209,53,57,42,833,15399,3601,4871,616,653,465,25612
SOSR214,20,118,196,41,37,195,606,18,97,36,24,14,6,192,324,856,287,99,76,23,1664,1067,397,588,85,93,31,2263,951,181,516,25,53,21,1741,2148,104,602,30,63,16,2952,2093,34,421,16,32,19,2614,867,12,169,7,9,3,1065,116,4,37,0,0,0,161,31,0,10,0,3,0,42,11,0,8,0,0,0,20,10,0,0,0,0,0,14,4,0,7,0,0,0,7,20,0,10,0,0,0,29,131,121,129,21,42,26,475,7816,1928,3002,340,424,329,13843
SOSR215,32,119,363,56,102,344,1010,28,138,68,82,35,9,359,399,863,539,131,165,41,2130,1388,429,1000,93,125,30,3072,1141,96,757,37,81,15,2116,2204,66,817,19,87,16,3204,2699,39,719,3,51,21,3528,1297,9,291,0,25,15,1635,143,3,53,3,3,3,202,31,0,14,0,4,0,53,12,0,8,0,4,0,24,9,0,8,0,0,0,13,0,0,8,0,0,0,12,19,0,25,0,0,0,45,167,111,184,32,45,32,568,9567,1863,4849,450,726,516,17975
SOSR221,5,27,148,15,53,105,357,5,52,33,13,8,3,117,90,102,218,32,70,12,521,221,19,331,24,61,7,662,217,8,224,6,30,6,489,506,7,229,7,14,3,758,423,0,129,0,11,4,574,167,0,66,4,0,3,238,31,0,12,0,0,0,42,3,0,3,0,3,0,8,0,0,4,0,0,0,4,3,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,15,21,17,50,3,25,6,128,1697,243,1446,108,280,143,3923
SOSR222,4,20,112,4,48,70,252,10,35,20,3,13,0,78,55,30,129,4,25,3,254,138,18,201,10,23,9,391,122,0,128,0,11,0,266,222,0,121,0,13,0,356,162,0,80,0,9,0,250,71,0,44,0,3,3,127,18,0,10,0,0,0,33,8,0,9,0,0,0,22,3,0,0,0,0,0,7,0,0,3,0,0,0,7,0,0,5,0,0,0,5,6,0,12,0,11,0,21,7,5,48,4,28,4,96,826,114,919,31,178,88,2159
SOSR231,21,16,1951,14,1041,1579,4633,23,22,276,10,113,3,444,250,35,1223,12,323,29,1865,601,8,1352,13,343,21,2336,480,7,919,6,204,6,1629,863,13,842,3,249,8,1975,1384,10,706,4,168,18,2296,982,3,358,6,59,5,1406,302,0,136,0,18,6,463,138,0,46,0,3,0,189,56,0,27,0,3,0,87,23,0,18,0,0,0,41,9,0,10,0,0,0,21,31,0,42,0,4,3,78,99,15,605,13,443,33,1202,5248,121,8511,85,2978,1713,18658
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,284,1353,2186,145,275,1285,5527,71,2058,114,115,38,19,2414,541,8471,1194,423,318,99,11048,1582,5022,2026,823,740,109,10309,1902,1875,2153,281,529,76,6817,9830,2350,4198,505,2272,121,19273,38190,1929,10037,540,1543,282,52518,70789,629,13226,419,1214,335,86604,27930,99,5201,102,383,89,33807,9728,33,1927,31,154,27,11904,3795,18,798,12,53,14,4698,1690,18,411,0,35,8,2169,815,10,204,4,14,0,1047,1168,8,368,3,41,7,1599,2282,1427,1569,345,389,340,6360,170606,25310,45617,3749,7987,2817,256084
SOSR302,99,198,643,26,111,449,1525,17,318,25,20,11,6,399,111,1316,255,58,72,11,1808,305,725,490,162,165,17,1861,326,253,503,33,68,12,1199,1650,279,946,73,198,34,3178,8429,311,2855,100,437,89,12222,20770,147,5292,128,607,140,27079,10476,25,2053,35,181,55,12821,3573,5,804,9,45,11,4448,1528,7,314,3,18,3,1870,639,3,147,0,9,3,808,322,0,68,0,6,0,399,380,0,111,0,7,3,500,686,209,460,53,113,102,1624,49302,3791,14972,696,2064,928,71750
SOSR303,105,460,665,45,151,520,1947,36,714,77,66,35,15,942,300,2752,599,155,136,40,3985,1772,1578,1148,254,245,63,5051,2526,616,1377,79,225,35,4855,7046,696,2556,92,1387,65,11843,16967,527,4492,99,755,103,22946,17863,150,3908,67,349,83,22416,6862,14,1267,8,101,30,8278,1962,13,359,3,28,0,2372,644,7,142,5,12,3,809,218,3,54,3,6,0,282,100,0,29,3,3,0,136,129,7,58,0,18,0,213,663,474,520,88,189,129,2056,57187,8017,17239,978,3633,1089,88139
SOSR311,45,284,333,38,87,214,991,20,330,34,49,24,3,454,175,1151,295,108,68,21,1820,982,865,583,142,179,18,2776,1453,317,815,106,155,20,2864,3933,310,1575,85,226,53,6179,6783,175,1912,40,192,41,9148,3474,32,820,53,87,24,4495,476,4,130,7,6,4,629,103,4,30,3,3,3,139,27,3,21,3,3,0,64,9,3,5,0,0,0,23,3,0,3,0,0,0,3,13,0,5,0,3,3,26,284,239,226,42,82,57,932,17784,3724,6793,677,1113,460,30547
SOSR312,19,82,54,3,52,38,255,23,84,3,4,24,0,137,195,338,58,28,39,3,669,674,256,221,70,50,15,1282,656,73,261,15,47,5,1055,1568,115,437,24,53,15,2217,1182,27,249,13,29,9,1502,371,9,72,4,19,4,472,79,0,18,0,3,0,102,18,0,3,0,0,0,22,3,0,6,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,3,3,0,0,0,7,93,43,51,13,57,15,271,4872,1031,1433,176,376,114,8001
SOSR313,39,163,166,16,375,182,954,9,195,19,44,95,0,361,194,646,212,72,115,10,1249,837,454,476,178,165,24,2133,1065,161,538,75,90,17,1952,2959,180,967,56,134,20,4314,4633,67,1062,29,100,26,5903,2474,28,605,11,70,9,3200,560,3,176,3,29,0,770,112,0,49,0,9,0,174,38,0,22,0,3,0,64,15,0,3,0,5,0,19,0,0,0,0,0,0,3,15,0,12,0,7,0,23,184,112,131,24,119,31,603,13141,2004,4424,508,1302,336,21720
SOSR314,51,148,196,11,906,179,1499,22,144,22,31,231,3,449,206,548,220,55,246,20,1298,949,488,437,158,148,25,2207,1093,141,505,64,96,19,1929,2245,174,742,68,121,21,3370,3421,87,889,20,123,31,4571,2832,13,554,3,56,15,3475,609,3,113,0,19,0,752,112,0,29,0,7,0,149,30,0,9,0,0,0,39,20,0,3,0,0,0,27,5,0,0,0,0,0,8,17,0,12,0,0,0,31,168,113,136,28,156,29,623,11778,1873,3858,445,2116,345,20420
SOSR315,87,414,372,52,1851,389,3170,15,411,35,47,212,10,729,269,1320,382,179,321,25,2506,1347,875,745,149,272,58,3441,1321,175,812,66,167,26,2574,3161,144,1017,70,228,39,4649,4536,151,1178,26,172,45,6110,2861,40,708,13,82,18,3721,648,6,134,4,44,0,832,143,3,34,0,38,3,221,90,0,21,0,19,0,139,62,0,9,0,9,0,77,38,0,3,0,7,0,46,12,0,28,0,9,0,56,234,141,213,44,267,41,946,14834,3680,5704,648,3690,655,29210
SOSR321,14,330,180,131,445,217,1316,13,248,23,29,60,3,372,66,712,246,95,177,13,1311,281,357,489,76,131,18,1352,325,52,381,16,61,9,844,782,37,443,39,71,14,1389,920,18,452,8,48,14,1455,594,9,221,0,23,8,854,164,4,57,3,6,0,232,54,3,23,0,0,0,77,14,3,3,0,0,0,18,3,0,4,0,0,0,7,3,0,3,0,0,0,3,13,0,11,0,5,0,24,57,100,121,14,88,13,393,3298,1868,2645,411,1124,309,9653
SOSR322,8,182,128,27,255,138,741,7,135,14,24,57,3,242,32,403,159,77,93,5,772,194,292,225,34,65,13,824,176,31,212,5,29,5,456,379,13,243,3,29,4,673,378,4,183,0,20,3,590,162,0,59,0,5,0,224,31,0,17,0,0,0,48,8,0,4,0,0,0,11,5,0,0,0,0,0,6,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,6,29,46,66,3,63,8,215,1400,1118,1320,179,615,184,4817
SOSR331,37,64,1977,33,1714,2142,5971,9,61,215,15,150,6,458,104,140,1079,59,365,20,1759,412,82,1418,36,388,32,2372,575,11,1283,10,243,27,2147,1330,27,1410,21,271,21,3073,1952,22,1452,7,209,29,3668,2079,10,979,5,80,18,3173,845,0,313,0,27,8,1195,290,0,106,0,13,3,406,109,0,45,0,4,0,162,63,3,16,0,3,0,89,22,0,15,0,0,0,38,25,0,40,0,9,0,78,152,21,637,21,661,54,1549,8018,430,10975,212,4136,2366,26131
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,169,1604,1687,249,147,943,4789,52,4648,152,512,61,75,5509,432,7820,1321,940,202,107,10831,1514,4222,2350,1516,288,75,9970,2284,1588,2529,514,283,44,7243,10380,2007,6143,564,987,110,20193,23577,1427,10545,365,1029,150,37095,17144,391,6315,85,417,75,24428,4506,41,1527,36,86,24,6219,1381,25,466,14,55,11,1940,567,21,185,6,19,6,796,249,21,96,4,17,0,390,128,17,49,3,4,3,203,166,56,76,0,10,8,318,908,1322,1084,404,227,191,4137,63469,25213,34534,5213,3814,1828,134070
SOSR412,11,219,87,19,13,59,404,13,488,19,22,11,6,559,336,953,135,46,70,20,1559,727,682,305,47,78,18,1859,517,223,273,18,38,9,1077,1241,110,332,26,105,15,1820,1139,22,303,13,53,9,1539,325,10,56,15,17,3,418,37,4,15,0,10,0,60,3,3,0,0,0,0,9,6,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,3,4,0,0,5,13,66,147,50,12,17,15,315,4428,2860,1561,226,415,153,9639
