SOSR_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,28067,3756,371,190,32379,829,185,1016,33394,1880,45,35318,60767,6999,641,512,68923,797,183,980,69905,1553,71,71529,14980,1449,1413,142,17984,196,30,224,18207,315,12,18531,899,131,17,713,1758,38,4,50,1806,85,66,1961,104705,12334,2439,1558,121046,1859,404,2264,123304,3839,194,127336,1853,325,21,40,2244,366,23,396,2638,172,4,2808,3438,515,26,41,4022,307,105,407,4428,139,11,4583,5284,837,48,90,6259,672,133,803,7068,309,15,7390,109995,13170,2488,1651,127308,2535,536,3063,130370,4146,210,134728,58432,9488,1366,1539,70822,2833,547,3384,74206,9248,211,83665,320,76,6,294,702,22,3,22,725,67,614,1409,168745,22740,3858,3479,198830,5387,1084,6469,205300,13459,1034,219800,36626,4900,356,258,42142,1081,268,1349,43488,2503,46,46039,68339,7385,633,602,76956,1001,193,1201,78152,2032,82,80273,2567,348,494,29,3440,37,7,41,3479,115,3,3595,740,127,14,716,1597,36,10,43,1646,105,70,1815,108278,12759,1489,1609,124131,2155,474,2636
SOSR203,661,103,17,3,785,16,11,23,811,63,3,874,2509,261,28,15,2810,35,7,41,2856,47,0,2904,609,52,56,5,724,8,0,8,734,14,0,749,26,0,0,23,53,0,0,0,53,3,5,57,3811,417,97,49,4370,61,13,78,4450,132,4,4584,41,5,0,4,51,3,0,3,56,4,0,59,122,18,0,0,140,5,3,6,142,4,0,146,160,26,0,4,191,5,3,7,198,9,0,203,3967,439,97,55,4558,70,18,90,4645,142,4,4792,1763,286,68,49,2162,87,17,104,2267,283,7,2553,6,0,3,5,21,0,0,0,21,0,22,42,5743,722,166,106,6740,152,40,195,6930,418,30,7380,926,144,16,0,1088,36,6,49,1139,68,0,1207,2683,239,24,12,2956,35,6,46,3000,57,6,3060,118,11,42,0,176,0,0,0,176,4,0,181,28,4,0,13,40,0,3,3,46,3,0,47,3755,406,78,31,4269,73,19,94
SOSR211,1313,196,16,5,1530,31,9,45,1577,116,0,1691,4401,501,58,31,4992,48,15,65,5058,123,3,5182,1035,114,115,7,1276,7,3,15,1286,14,0,1305,61,3,0,38,107,3,0,3,104,3,0,111,6811,814,193,90,7905,96,29,124,8030,252,8,8293,74,7,0,4,92,24,0,25,123,11,0,131,199,29,3,4,235,15,8,23,259,15,0,271,277,40,3,4,323,44,9,52,376,21,0,402,7087,858,191,98,8229,137,34,175,8407,278,8,8692,3610,524,102,72,4310,216,45,257,4572,514,14,5096,23,3,0,8,32,0,0,4,32,0,30,58,10722,1381,297,177,12578,352,87,435,13010,791,45,13846,1894,263,28,14,2199,50,17,65,2259,141,0,2406,4576,525,75,51,5226,55,12,72,5295,169,3,5468,191,36,28,7,255,3,0,5,263,14,0,277,36,3,0,49,92,3,0,3,95,7,3,105,6699,831,125,119,7766,109,31,147
SOSR212,778,117,11,4,917,14,13,29,942,69,0,1009,2509,278,35,27,2846,35,4,45,2894,68,3,2959,590,55,44,6,693,17,3,20,709,13,0,726,26,5,0,33,64,0,0,0,63,0,0,68,3905,459,93,66,4520,71,22,94,4609,146,8,4762,46,4,0,0,47,7,3,11,63,6,0,68,83,10,3,3,102,10,0,10,107,3,0,115,128,15,3,3,146,20,3,23,172,12,0,188,4040,467,97,66,4669,96,25,117,4784,161,8,4950,1910,296,51,53,2300,132,35,165,2467,450,8,2923,15,0,0,8,23,3,0,3,26,10,29,62,5962,764,143,129,6995,223,60,281,7277,611,36,7933,1252,172,12,8,1447,27,10,40,1490,93,0,1581,2846,291,41,32,3206,33,3,39,3245,101,8,3351,124,16,16,3,163,5,4,12,169,5,0,177,28,9,0,24,59,0,0,0,60,3,0,65,4243,486,71,71,4873,72,19,87
SOSR213,936,153,18,8,1114,23,12,31,1141,80,0,1222,4096,397,85,34,4614,52,9,68,4674,91,0,4773,836,89,102,11,1043,7,0,7,1047,12,0,1058,52,4,3,36,95,0,0,0,102,7,8,107,5921,645,204,93,6861,80,22,103,6962,192,8,7165,19,11,3,3,30,3,0,6,40,5,0,44,161,12,3,0,170,16,0,18,190,12,0,197,179,22,7,4,203,21,3,23,226,20,0,247,6098,665,209,95,7065,100,24,128,7193,210,9,7409,3150,390,95,84,3720,134,36,167,3888,325,8,4219,14,0,0,8,27,0,0,0,27,9,34,66,9264,1054,301,184,10809,232,61,295,11103,541,51,11694,1648,251,33,19,1942,30,13,40,1979,132,0,2114,4717,503,59,44,5319,63,16,81,5397,159,3,5563,165,23,37,3,231,3,3,4,233,5,0,244,25,5,0,31,66,0,0,0,63,5,6,75,6551,775,131,95,7553,93,27,123
SOSR214,443,91,8,0,542,12,5,17,562,41,0,603,1825,228,52,13,2121,22,3,23,2144,48,7,2201,411,41,49,9,501,0,0,0,505,5,0,509,34,0,0,9,48,0,0,0,48,0,3,47,2707,362,107,34,3213,31,4,41,3256,93,5,3355,10,6,5,0,15,7,0,7,25,3,0,31,67,10,3,0,73,0,5,3,83,6,0,84,77,14,3,0,92,11,5,12,109,12,0,120,2787,372,113,34,3311,43,9,54,3364,101,5,3474,1440,255,57,48,1796,86,12,96,1886,170,4,2064,7,3,0,3,18,0,0,0,18,3,18,39,4236,625,168,88,5116,135,22,151,5272,277,24,5574,796,120,6,6,932,13,11,22,957,72,3,1028,2192,277,58,19,2544,44,3,45,2592,79,0,2676,91,13,23,0,128,0,0,0,124,4,0,129,19,0,0,18,35,0,0,0,35,0,0,43,3099,410,84,43,3641,58,14,73
SOSR215,774,120,15,11,909,13,4,22,930,76,0,1003,3246,352,63,22,3679,32,7,38,3721,79,6,3807,679,73,81,10,845,9,3,11,855,16,3,867,60,3,0,31,94,0,0,0,94,6,0,100,4753,546,159,72,5530,55,16,71,5596,171,13,5782,35,3,0,0,42,5,0,5,46,6,0,48,113,19,0,3,129,13,6,13,148,7,0,149,145,22,0,4,168,12,6,17,194,5,0,197,4893,571,159,76,5701,71,20,91,5793,179,13,5983,2659,352,86,67,3165,106,16,124,3283,276,4,3567,10,3,0,6,17,0,0,0,17,0,15,36,7567,922,241,150,8882,179,33,210,9095,460,34,9589,1410,227,36,15,1687,25,11,37,1721,120,3,1841,3801,451,61,43,4359,48,3,53,4417,127,9,4554,140,28,49,3,221,3,3,4,228,9,0,239,58,10,0,41,122,0,0,0,122,13,0,128,5417,715,150,110,6386,81,16,98
SOSR221,206,40,0,0,250,3,3,8,258,22,0,277,765,82,16,3,864,7,4,8,875,15,0,894,206,16,10,0,240,0,0,0,237,3,0,245,15,3,0,6,26,0,0,0,26,0,0,26,1186,145,30,14,1381,10,8,19,1398,43,0,1441,6,0,0,0,6,3,0,3,8,3,0,12,25,4,0,0,24,0,0,0,24,3,0,26,31,4,0,0,32,3,0,3,36,9,0,41,1212,148,31,14,1414,14,8,21,1428,53,0,1486,664,113,18,19,819,37,3,40,859,70,0,925,3,0,0,3,3,0,0,0,3,0,0,8,1879,267,55,40,2233,52,11,59,2295,120,4,2413,357,68,0,0,430,9,3,11,446,32,0,475,1060,140,26,8,1228,7,4,8,1242,39,0,1278,60,7,4,0,76,0,0,0,72,3,0,77,15,5,0,17,31,0,0,0,31,3,0,32,1490,218,30,27,1763,16,9,25
SOSR222,110,16,0,3,135,0,0,0,133,11,0,143,503,50,6,8,562,6,3,12,575,11,0,587,117,3,15,5,141,3,0,3,146,7,0,153,17,0,0,12,26,0,0,0,26,3,0,33,744,70,26,28,866,13,3,16,879,35,0,911,3,0,0,0,3,3,0,3,8,3,0,6,15,0,0,0,14,3,0,3,20,3,0,20,18,3,0,0,17,4,0,4,24,3,0,32,755,78,22,28,885,15,3,17,905,40,0,941,411,47,8,18,484,21,7,30,512,38,3,556,3,0,0,0,3,0,0,0,3,0,3,7,1173,117,32,44,1374,41,9,44,1420,79,8,1505,262,41,0,0,311,3,3,3,319,11,0,328,629,71,12,9,720,0,3,3,724,37,0,767,31,6,5,0,41,0,0,0,43,3,0,46,9,0,0,0,11,0,0,0,11,0,0,14,934,117,25,8,1087,4,7,12
SOSR231,1767,199,33,10,2004,23,9,30,2035,104,0,2139,5748,578,81,61,6468,49,15,66,6531,118,6,6656,1112,116,140,14,1382,11,0,11,1389,24,0,1417,104,7,0,57,169,0,4,4,171,8,3,183,8718,898,264,144,10025,87,21,109,10128,253,10,10391,45,3,0,0,47,13,0,13,55,10,0,68,152,14,3,3,169,14,3,22,190,4,0,190,195,14,3,3,214,28,3,32,246,12,0,259,8916,914,263,143,10238,110,22,135,10375,266,10,10654,4176,544,120,147,4991,108,17,119,5108,403,13,5533,43,3,3,9,59,0,0,0,59,0,32,93,13139,1463,387,298,15279,219,38,256,15541,675,56,16270,3681,414,45,24,4165,26,20,45,4209,209,6,4427,8293,931,117,75,9420,53,9,66,9487,234,16,9736,302,55,108,7,466,3,0,3,469,19,0,489,113,6,0,104,226,0,0,0,229,13,3,245,12387,1406,268,208,14275,84,33,120
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,15680,1832,211,128,17856,481,115,602,18454,1048,17,19525,28260,3175,344,219,31989,467,89,557,32547,789,20,33358,7729,802,729,62,9324,110,7,116,9438,222,3,9668,414,60,11,323,803,21,3,23,830,40,38,906,52077,5866,1297,730,59973,1086,215,1300,61272,2106,80,63458,1022,194,21,21,1261,240,14,256,1514,99,0,1613,1598,261,20,37,1913,178,41,220,2132,80,0,2212,2621,454,37,59,3171,415,60,473,3647,175,5,3827,54700,6325,1335,789,63146,1501,273,1774,64920,2278,84,67288,25608,3788,711,711,30820,1406,260,1667,32485,3444,84,36021,124,11,0,93,237,4,0,7,244,15,234,487,80432,10128,2043,1593,94200,2912,533,3447,97646,5743,404,103794,22108,2616,264,149,25136,698,170,871,26010,1418,28,27456,32669,3441,345,252,36711,639,119,758,37464,973,29,38469,1455,184,200,14,1851,35,3,40,1883,77,3,1966,319,56,8,389,766,32,3,33,796,57,41,890,56547,6292,814,803,64459,1406,294,1699
SOSR302,3301,439,50,26,3815,86,18,107,3924,227,3,4152,7298,992,93,56,8437,104,26,134,8570,212,8,8788,1439,140,119,16,1712,36,0,36,1752,56,0,1807,131,6,0,65,203,0,0,3,201,6,9,222,12170,1578,260,155,14171,227,51,275,14447,491,24,14969,146,28,8,3,178,41,3,41,219,17,0,234,399,75,3,10,490,41,9,54,538,29,0,569,539,104,8,9,662,78,9,90,754,45,0,805,12711,1685,267,171,14832,306,60,370,15205,538,29,15773,5947,914,172,141,7176,261,41,297,7473,666,13,8156,19,14,0,24,61,0,0,0,61,4,66,135,18677,2612,442,331,22068,570,97,669,22739,1218,109,24063,4973,628,62,35,5695,146,36,188,5887,302,0,6188,8075,1072,90,69,9305,148,32,181,9488,284,12,9788,279,28,54,3,362,13,0,13,376,16,0,395,99,14,3,87,202,3,0,3,201,7,6,216,13428,1739,207,193,15566,309,71,380
SOSR303,3797,565,94,26,4481,111,32,145,4624,320,3,4950,7946,1121,121,83,9270,151,28,187,9453,262,15,9731,1823,238,224,11,2296,30,8,30,2331,65,0,2394,108,14,5,71,204,6,0,5,210,21,0,228,13676,1935,440,195,16245,300,70,373,16616,664,17,17296,201,40,6,11,255,55,0,60,313,33,0,347,477,79,5,15,571,51,26,74,645,15,0,663,670,117,16,19,824,113,25,141,963,46,0,1011,14353,2057,453,212,17071,413,102,510,17578,709,17,18308,6505,1083,209,168,7970,456,102,560,8532,951,14,9496,23,0,0,16,39,0,0,0,39,5,77,123,20878,3138,663,403,25084,870,200,1071,26153,1665,107,27928,6168,830,119,33,7152,188,49,234,7386,479,5,7866,9566,1194,145,96,10992,212,30,242,11231,372,10,11615,354,63,65,3,484,7,4,14,495,28,0,519,100,13,3,101,216,7,4,15,227,12,5,249,16180,2101,321,235,18842,410,81,494
SOSR311,1229,166,31,4,1432,41,12,55,1489,112,0,1598,2621,329,49,22,3021,64,13,72,3097,107,0,3201,567,54,79,7,709,24,6,27,739,17,0,751,38,5,0,27,74,5,0,9,79,3,3,84,4452,556,152,69,5228,132,32,167,5397,237,3,5635,75,7,3,0,86,17,7,26,109,12,0,125,178,24,0,6,206,33,0,32,246,16,3,261,247,32,0,6,297,52,7,60,352,25,3,388,4703,587,156,72,5524,184,38,228,5747,262,7,6022,2242,411,93,54,2804,247,36,288,3085,346,10,3443,16,0,0,3,22,0,0,0,22,0,31,56,6958,1004,258,128,8348,432,76,509,8860,611,48,9513,1910,254,29,12,2211,90,24,115,2328,149,3,2476,3085,366,54,52,3555,98,12,113,3670,144,5,3815,126,21,19,0,168,7,3,7,183,18,0,197,33,5,0,53,84,3,0,5,93,8,0,97,5151,644,105,116,6022,200,42,242
SOSR312,220,26,4,0,252,13,3,14,266,13,0,285,567,66,12,0,649,24,0,24,670,16,0,694,115,14,17,3,152,4,0,4,159,0,0,159,3,0,0,7,12,0,0,0,13,3,3,20,907,110,34,13,1063,45,3,48,1108,38,3,1150,27,5,0,0,35,18,0,18,51,10,0,54,69,3,0,0,71,7,0,13,81,4,0,89,93,13,0,0,105,24,0,23,136,8,0,141,995,124,37,15,1172,67,5,74,1241,50,3,1292,851,105,27,26,1005,106,9,118,1120,138,3,1264,3,0,0,0,6,0,0,0,6,0,14,24,1846,227,65,41,2183,173,11,186,2370,190,24,2575,381,43,5,3,428,19,0,19,444,28,0,474,672,80,12,12,773,34,0,34,810,37,3,853,37,4,3,0,44,0,0,0,44,0,0,46,13,0,0,10,24,3,0,3,24,0,0,27,1099,119,24,28,1273,55,0,55
SOSR313,866,98,24,10,988,20,5,24,1016,52,0,1070,1897,185,30,10,2132,26,8,35,2163,61,0,2232,467,40,45,0,553,3,0,3,561,18,0,578,31,3,0,18,61,3,0,5,64,0,3,68,3265,328,95,41,3731,55,15,74,3805,130,3,3938,54,12,0,0,65,9,0,11,78,12,0,92,98,11,0,3,119,19,3,21,139,8,0,143,153,26,3,3,182,32,0,34,216,19,0,238,3418,355,97,52,3916,86,22,106,4021,145,3,4178,2158,271,83,53,2560,147,33,183,2743,302,3,3054,16,3,0,4,22,0,0,0,25,6,22,52,5593,625,178,111,6501,233,58,292,6794,457,32,7277,1350,138,34,16,1544,41,4,50,1595,91,0,1684,2279,221,50,32,2581,47,3,47,2631,101,0,2728,119,23,12,0,153,0,0,0,153,14,0,165,33,6,0,22,57,3,0,4,67,0,0,68,3790,389,97,69,4343,90,14,107
SOSR314,947,125,22,9,1103,24,7,30,1130,56,3,1189,2113,209,27,25,2370,40,4,43,2416,62,3,2483,489,38,55,4,580,11,0,11,595,17,0,613,26,4,0,39,71,0,0,0,72,0,0,76,3571,374,107,75,4128,78,9,90,4218,138,8,4361,52,11,0,0,58,18,3,26,89,9,0,101,113,17,3,7,135,22,3,26,163,6,3,172,165,27,3,3,198,44,5,47,249,17,4,267,3738,405,105,75,4328,126,13,135,4466,154,9,4630,2067,281,88,70,2505,123,19,137,2647,265,11,2917,10,0,0,3,18,0,0,0,18,0,16,36,5822,687,196,151,6851,245,32,278,7129,422,38,7586,1611,176,39,17,1837,31,9,41,1875,88,0,1969,2651,288,39,22,3003,35,3,45,3045,69,6,3123,137,10,40,0,182,6,0,6,189,7,0,199,31,0,0,42,73,3,0,3,78,9,3,98,4433,470,116,85,5104,81,9,97
SOSR315,1450,163,18,9,1646,46,6,50,1695,130,3,1830,2711,326,34,37,3101,54,3,61,3163,134,5,3302,648,59,81,9,802,6,0,8,811,17,0,833,45,10,0,33,93,0,0,0,95,4,0,97,4854,556,140,90,5643,110,12,123,5764,280,8,6053,87,9,0,5,106,47,0,47,155,28,0,178,164,17,5,3,187,9,12,23,213,17,0,231,257,26,6,11,295,54,18,70,366,41,0,409,5112,586,143,102,5941,169,28,198,6130,323,8,6470,2976,417,145,115,3655,285,57,344,3996,671,11,4678,19,0,3,9,32,0,0,0,32,6,35,68,8111,1003,286,220,9622,454,86,542,10160,1000,54,11216,2247,256,35,21,2560,40,12,57,2618,177,3,2796,3531,449,66,49,4091,89,10,96,4186,200,13,4399,182,22,43,5,247,10,3,11,255,15,0,271,52,5,3,52,107,3,0,7,117,4,0,117,6000,730,142,129,7010,140,28,166
SOSR321,437,51,6,10,507,15,5,19,519,55,0,578,965,138,27,19,1149,15,0,18,1168,60,0,1225,230,22,37,0,286,3,3,8,295,9,0,300,19,3,0,11,30,0,0,0,30,3,0,27,1653,210,68,39,1973,34,8,39,2010,126,3,2133,40,0,0,0,43,32,3,34,78,10,0,86,53,7,3,3,65,10,3,12,74,10,0,86,90,6,3,3,104,41,7,46,150,19,0,167,1743,225,70,42,2075,69,16,83,2159,140,3,2306,955,160,40,36,1196,108,16,126,1321,302,14,1639,7,3,0,0,13,3,0,3,11,0,11,31,2711,387,114,78,3287,175,35,212,3495,447,25,3971,775,101,7,13,898,14,8,20,916,80,6,1000,1341,205,46,16,1615,26,10,28,1643,104,3,1745,61,14,22,0,94,3,0,3,104,0,3,104,12,7,0,24,42,3,0,3,52,5,3,58,2195,324,80,53,2650,44,14,63
