SOSR_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOSR222,76,110,113,142,224,385,255,807,27,2140,141,224,305,339,360,381,244,306,22,2319,99,192,192,215,529,679,291,432,52,2677,132,368,310,353,267,206,93,135,54,1914,79,239,267,271,372,253,112,111,16,1717,60,369,230,196,186,134,91,93,19,1384,69,59,67,83,219,264,167,346,30,1299,93,483,243,294,351,362,180,207,61,2281,21,21,16,18,41,24,13,27,89,276,765,2067,1742,1924,2540,2685,1437,2461,372,16005
SOSR231,1620,2841,2582,3584,3490,7590,4067,20192,980,46932,1536,2865,4153,4585,4155,5023,2566,4391,359,29621,985,1896,1870,2433,5325,7591,3112,5318,592,29124,1061,3673,3174,3316,2223,1964,1038,1227,358,18031,956,3359,3512,3627,4097,3222,1229,1425,271,21702,574,4555,2109,1910,1763,1376,794,1194,268,14545,632,764,833,1015,2109,2538,1585,3455,287,13209,996,4875,2664,2638,3278,3385,1552,2565,557,22505,264,282,192,252,347,453,149,428,1184,3548,8622,25102,21079,23359,26795,33143,16075,40191,4861,199216
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,23
SOSR299,7,3,12,11,31,40,17,52,7,178,34,34,33,40,54,108,31,64,7,405,6,10,26,18,59,70,35,55,5,297,13,59,40,55,28,32,21,19,8,277,15,14,23,21,45,33,9,10,7,182,3,29,16,16,30,13,7,11,6,134,14,11,11,14,42,35,15,48,13,200,6,46,42,46,51,47,19,31,12,307,8,10,7,0,0,3,3,3,23,57,111,212,205,226,348,385,170,296,84,2033
SOSR301,2819,3279,4187,6491,18128,25204,16655,37835,973,115568,8752,16876,18902,25573,44645,53635,24764,38234,1763,233135,3125,5945,6722,9061,29118,30487,16561,21680,1756,124457,4215,20323,17489,20250,17980,11798,6122,7171,1599,106953,5147,13121,15228,17350,43606,27586,11868,11130,1291,146329,2573,24028,13593,12504,14055,10232,5360,8410,1160,91918,1657,3228,3792,5506,14479,10964,6897,11665,1157,59344,2591,17715,12818,12735,18089,12037,5435,7063,1746,90225,618,1166,851,1007,2524,2469,871,1812,4574,15898,31493,105682,93581,110478,202619,184415,94541,145001,16021,983828
SOSR302,714,1089,1222,2055,4766,6789,4106,10096,317,31156,1643,3773,4073,6214,8476,9957,4238,7633,393,46404,877,1950,2226,3324,7475,8972,4671,7462,558,37516,1152,5468,4925,6677,5449,3205,1558,1890,483,30798,1063,3854,4127,5009,9105,5987,2351,2523,343,34368,807,7285,4534,4908,4912,3481,1696,2978,409,31006,375,826,947,1417,2458,2058,1377,3149,215,12823,657,4875,3605,4030,4145,3077,1502,2360,506,24755,193,359,246,352,560,630,222,508,1316,4379,7479,29482,25906,33982,47343,44155,21719,38591,4542,253203
SOSR303,787,1112,1200,1950,4777,6162,4438,10843,280,31555,2571,4308,5124,7850,10905,11700,5822,9906,468,58651,1372,2230,2206,3583,9749,10061,6036,8659,614,44509,1631,6584,5700,8087,6738,4443,2661,3435,589,39871,1393,4000,4282,5677,11332,6425,2965,2888,323,39288,932,8248,4315,4980,5175,3133,1841,2904,381,31910,621,943,967,1450,3121,2475,2124,4502,287,16494,937,6272,3885,4832,5171,3264,1718,2617,566,29252,209,328,213,278,571,623,260,555,1321,4366,10451,34027,27897,38695,57531,48288,27866,46309,4828,295899
SOSR311,240,291,304,557,1359,1531,1134,3246,100,8763,684,1015,1281,2087,3270,3282,1677,2684,129,16108,478,756,671,1148,4040,3049,2235,3691,228,16306,520,1816,1718,2673,2016,1136,609,852,179,11529,445,1237,1308,1703,3544,1870,885,908,94,11994,354,2909,1461,1667,1746,827,589,704,134,10396,340,345,387,545,1508,1174,1164,2666,148,8285,383,2396,1419,1736,2331,1513,755,1056,264,11859,72,104,71,97,214,160,84,174,492,1462,3518,10880,8615,12219,20026,14549,9125,15986,1767,96707
SOSR312,57,56,60,99,259,320,253,677,7,1786,145,206,233,388,535,651,354,583,27,3117,125,167,165,235,880,823,672,1084,60,4206,101,400,377,553,419,227,166,182,37,2462,94,261,260,345,757,423,213,265,27,2641,72,596,347,366,311,136,110,142,36,2113,99,88,118,114,314,309,549,695,41,2325,113,605,345,363,422,260,196,459,67,2827,28,16,17,22,39,44,30,58,101,359,827,2403,1910,2481,3938,3193,2550,4138,395,21827
SOSR313,210,230,211,377,868,1037,843,2274,72,6125,470,713,831,1360,1813,1978,1077,1848,90,10182,377,496,501,727,2188,2126,1894,2762,156,11217,366,1176,1143,1668,1302,777,428,596,120,7578,300,850,836,1162,2138,1271,571,606,72,7807,244,1804,838,1082,1106,574,385,568,78,6673,328,261,254,373,903,779,1280,2378,123,6685,276,1658,904,1168,1434,1011,595,762,178,7983,66,87,40,63,129,100,64,141,357,1046,2640,7277,5556,7976,11872,9659,7144,11933,1234,65297
